Protein_ID,Study_ID,Tissue_Compartment,Gene_Symbol,Abundance_Young,Abundance_Old,Zscore_Delta
A0A087WYU1,Randles_2021,Tubulointerstitial,SNX9,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WYV8,Randles_2021,Glomerular,FBN2,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WYV8,Randles_2021,Tubulointerstitial,FBN2,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WYX9,Randles_2021,Glomerular,,,13.228700304622132,0.34406647174663163
A0A087WYX9,Randles_2021,Tubulointerstitial,COL5A2,13.322051790494571,13.592348455958708,0.34406647174663163
A0A087WYY6,Randles_2021,Glomerular,PKP1,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WYY6,Randles_2021,Tubulointerstitial,PKP1,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WZ82,Randles_2021,Glomerular,FXYD6,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WZ82,Randles_2021,Tubulointerstitial,FXYD6,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WZN1,Randles_2021,Glomerular,IDH3B,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WZN1,Randles_2021,Tubulointerstitial,IDH3B,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WZV1,Randles_2021,Glomerular,HNRNPAB,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WZV1,Randles_2021,Tubulointerstitial,HNRNPAB,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WZY5,Randles_2021,Glomerular,COL4A6,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WZY5,Randles_2021,Tubulointerstitial,COL4A6,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087X004,Randles_2021,Glomerular,GLS2,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087X004,Randles_2021,Tubulointerstitial,GLS2,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087X054,Randles_2021,Glomerular,HYOU1,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087X054,Randles_2021,Tubulointerstitial,HYOU1,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087X0K0,Randles_2021,Glomerular,COL15A1,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087X0K0,Randles_2021,Tubulointerstitial,COL15A1,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087X0Q5,Randles_2021,Glomerular,CLEC18B,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087X0Q5,Randles_2021,Tubulointerstitial,CLEC18B,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087X0Q9,Randles_2021,Glomerular,SELO,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087X0Q9,Randles_2021,Tubulointerstitial,SELO,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087X0S5,Randles_2021,Glomerular,COL6A1,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087X0S5,Randles_2021,Tubulointerstitial,COL6A1,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087X0T3,Randles_2021,Glomerular,MYH7B,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087X0T3,Randles_2021,Tubulointerstitial,MYH7B,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087X0X3,Randles_2021,Glomerular,HNRNPM,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087X0X3,Randles_2021,Tubulointerstitial,HNRNPM,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087X198,Randles_2021,Glomerular,PRAMEF15,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087X198,Randles_2021,Tubulointerstitial,PRAMEF15,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087X1J7,Randles_2021,Glomerular,GPX3,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087X1J7,Randles_2021,Tubulointerstitial,GPX3,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087X1N2,Randles_2021,Glomerular,CEBPZ,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087X1N2,Randles_2021,Tubulointerstitial,CEBPZ,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087X1S2,Randles_2021,Glomerular,YBX1,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087X1S2,Randles_2021,Tubulointerstitial,YBX1,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087X1V3,Randles_2021,Glomerular,TRIM24,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087X1V3,Randles_2021,Tubulointerstitial,TRIM24,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087X256,Randles_2021,Glomerular,KIAA1033,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087X256,Randles_2021,Tubulointerstitial,KIAA1033,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087X2C0,Randles_2021,Glomerular,IGHM,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087X2C0,Randles_2021,Tubulointerstitial,IGHM,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087X2D5,Randles_2021,Glomerular,MRPL45,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087X2D5,Randles_2021,Tubulointerstitial,MRPL45,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087X2I1,Randles_2021,Glomerular,PSMC6,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087X2I1,Randles_2021,Tubulointerstitial,PSMC6,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087X2I6,Randles_2021,Glomerular,KRT33B,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087X2I6,Randles_2021,Tubulointerstitial,KRT33B,13.322051790494571,13.592348455958708,0.9846458520422735
A0A096LNH1,Randles_2021,Glomerular,PCDH11X,13.054404516831411,13.228700304622132,0.9846458520422735
A0A096LNH1,Randles_2021,Tubulointerstitial,PCDH11X,13.322051790494571,13.592348455958708,0.9846458520422735
A0A096LP22,Randles_2021,Glomerular,PTRH1,13.054404516831411,13.228700304622132,0.9846458520422735
A0A096LP22,Randles_2021,Tubulointerstitial,PTRH1,13.322051790494571,13.592348455958708,0.9846458520422735
A0A096LP34,Randles_2021,Glomerular,PTRH1,13.054404516831411,13.228700304622132,0.9846458520422735
A0A096LP34,Randles_2021,Tubulointerstitial,PTRH1,13.322051790494571,13.592348455958708,0.9846458520422735
A0A096LPI6,Randles_2021,Glomerular,4,13.054404516831411,13.228700304622132,0.9846458520422735
A0A096LPI6,Randles_2021,Tubulointerstitial,4,13.322051790494571,13.592348455958708,0.9846458520422735
A0A0A0MQ90,Dipali_2023,Ovary,S100A13,19.081354596065317,19.135263626994472,
A0A0A0MQM7,Dipali_2023,Ovary,MATN2,19.081354596065317,19.135263626994472,
A0A0A0MQR2,Randles_2021,Glomerular,RTFDC1,13.054404516831411,13.228700304622132,0.9846458520422735
A0A0A0MQR2,Randles_2021,Tubulointerstitial,RTFDC1,13.322051790494571,13.592348455958708,0.9846458520422735
A0A0A0MQS9,Randles_2021,Glomerular,LAMA4,13.054404516831411,13.228700304622132,0.9846458520422735
A0A0A0MQS9,Randles_2021,Tubulointerstitial,LAMA4,13.322051790494571,13.592348455958708,0.9846458520422735
A0A0A0MQU0,Randles_2021,Glomerular,WDR18,13.054404516831411,13.228700304622132,0.9846458520422735
A0A0A0MQU0,Randles_2021,Tubulointerstitial,WDR18,13.322051790494571,13.592348455958708,0.9846458520422735
A0A0A0MQU3,Randles_2021,Glomerular,UBE2D2,13.054404516831411,13.228700304622132,0.9846458520422735
A0A0A0MQU3,Randles_2021,Tubulointerstitial,UBE2D2,13.322051790494571,13.592348455958708,0.9846458520422735
A0A0A0MQV9,Randles_2021,Glomerular,SETD1B,13.054404516831411,13.228700304622132,0.9846458520422735
A0A0A0MQV9,Randles_2021,Tubulointerstitial,SETD1B,13.322051790494571,13.592348455958708,0.9846458520422735
A0A0A0MQX1,Randles_2021,Glomerular,MYO10,13.054404516831411,13.228700304622132,0.9846458520422735
A0A0A0MQX1,Randles_2021,Tubulointerstitial,MYO10,13.322051790494571,13.592348455958708,0.9846458520422735
A0A0A0MQZ6,Randles_2021,Glomerular,NSA2,13.054404516831411,13.228700304622132,0.9846458520422735
A0A0A0MQZ6,Randles_2021,Tubulointerstitial,NSA2,13.322051790494571,13.592348455958708,0.9846458520422735
A0A0A0MR89,Randles_2021,Glomerular,NRXN3,13.054404516831411,13.228700304622132,0.9846458520422735
A0A0A0MR89,Randles_2021,Tubulointerstitial,NRXN3,13.322051790494571,13.592348455958708,0.9846458520422735
A0A0A0MRA8,Randles_2021,Glomerular,EPB41L3,13.054404516831411,13.228700304622132,0.9846458520422735
A0A0A0MRA8,Randles_2021,Tubulointerstitial,EPB41L3,13.322051790494571,13.592348455958708,0.9846458520422735
A0A0A0MRE3,Randles_2021,Glomerular,SYNE2,13.054404516831411,13.228700304622132,0.9846458520422735
A0A0A0MRE3,Randles_2021,Tubulointerstitial,SYNE2,13.322051790494571,13.592348455958708,0.9846458520422735
A0A0A0MRF9,Randles_2021,Glomerular,PLCG2,13.054404516831411,13.228700304622132,0.9846458520422735
A0A0A0MRF9,Randles_2021,Tubulointerstitial,PLCG2,13.322051790494571,13.592348455958708,0.9846458520422735
A0A0A0MRH7,Randles_2021,Glomerular,PAX2,13.054404516831411,13.228700304622132,0.9846458520422735
A0A0A0MRH7,Randles_2021,Tubulointerstitial,PAX2,13.322051790494571,13.592348455958708,0.9846458520422735
A0A0A0MRJ6,Randles_2021,Glomerular,PCMT1,13.054404516831411,13.228700304622132,0.9846458520422735
A0A0A0MRJ6,Randles_2021,Tubulointerstitial,PCMT1,13.322051790494571,13.592348455958708,0.9846458520422735
A0A0A0MRM8,Randles_2021,Glomerular,MYO6,13.054404516831411,13.228700304622132,0.9846458520422735
A0A0A0MRM8,Randles_2021,Tubulointerstitial,MYO6,13.322051790494571,13.592348455958708,0.9846458520422735
A0A0A0MRP6,Randles_2021,Glomerular,SMARCA1,13.054404516831411,13.228700304622132,0.9846458520422735
A0A0A0MRP6,Randles_2021,Tubulointerstitial,SMARCA1,13.322051790494571,13.592348455958708,0.9846458520422735
A0A0A0MRP7,Randles_2021,Glomerular,BCAS1,13.054404516831411,13.228700304622132,0.9846458520422735
A0A0A0MRP7,Randles_2021,Tubulointerstitial,BCAS1,13.322051790494571,13.592348455958708,0.9846458520422735
A0A0A0MS41,Randles_2021,Glomerular,SFXN3,13.054404516831411,13.228700304622132,0.9846458520422735
A0A0A0MS41,Randles_2021,Tubulointerstitial,SFXN3,13.322051790494571,13.592348455958708,0.9846458520422735
A0A0A0MS51,Randles_2021,Glomerular,GSN,13.054404516831411,13.228700304622132,0.9846458520422735
A0A0A0MS51,Randles_2021,Tubulointerstitial,GSN,13.322051790494571,13.592348455958708,0.9846458520422735
A0A0A0MSA0,Randles_2021,Glomerular,LAMA3,13.054404516831411,13.228700304622132,0.9846458520422735
A0A0A0MSA0,Randles_2021,Tubulointerstitial,LAMA3,13.322051790494571,13.592348455958708,0.9846458520422735
A0A0A0MSA7,Randles_2021,Glomerular,EIF4G3,13.054404516831411,13.228700304622132,0.9846458520422735
A0A0A0MSA7,Randles_2021,Tubulointerstitial,EIF4G3,13.322051790494571,13.592348455958708,0.9846458520422735
A0A0A0MSG0,Randles_2021,Glomerular,WIPF3,13.054404516831411,13.228700304622132,0.9846458520422735
A0A0A0MSG0,Randles_2021,Tubulointerstitial,WIPF3,13.322051790494571,13.592348455958708,0.9846458520422735
A0A0A0MSG2,Randles_2021,Glomerular,FHL2,13.054404516831411,13.228700304622132,0.9846458520422735
A0A0A0MSG2,Randles_2021,Tubulointerstitial,FHL2,13.322051790494571,13.592348455958708,0.9846458520422735
A0A0A0MSQ0,Randles_2021,Glomerular,PLS3,13.054404516831411,13.228700304622132,0.9846458520422735
