Extraction_Method,Protein_Symbol,Gene_Symbol,Score,Mass,Num_Significant_Matches,Num_Significant_Sequences,Num_Unique_Sequences,Protein_Name
PBS,ACY2_MOUSE,ACY2,79,35778,3,1,1,Aspartoacylase
PBS,ACYP1_MOUSE,ACYP1,20,11234,1,1,1,Acylphosphatase-1
PBS,ACYP2_MOUSE,ACYP2,1050,11927,71,6,6,Acylphosphatase-2
PBS,ADGB_MOUSE,ADGB,36,189464,8,2,2,Androglobin
PBS,ADH1_MOUSE,ADH1,1392,40601,102,10,10,Alcohol dehydrogenase 1
PBS,ADHX_MOUSE,ADHX,3358,40320,212,15,15,Alcohol dehydrogenase class-3
PBS,ADIPO_MOUSE,ADIPO,62,26906,7,2,2,Adiponectin
PBS,ADK_MOUSE,ADK,398,40466,45,9,9,Adenosine kinase
PBS,ADNP_MOUSE,ADNP,28,125769,4,1,1,Activity-dependent neuroprotector homeobox protein
PBS,ADPRH_MOUSE,ADPRH,27,40328,2,2,2,[Protein ADP-ribosylarginine] hydrolase
PBS,ADT1_MOUSE,ADT1,6507,33111,352,19,19,ADP/ATP translocase 1
PBS,AF1L2_MOUSE,AF1L2,35,92802,7,2,2,Actin filament-associated protein 1-like 2
PBS,AFAM_MOUSE,AFAM,65,71272,7,4,4,Afamin
PBS,AGM1_MOUSE,AGM1,19,60043,1,1,1,Phosphoacetylglucosamine mutase
PBS,AGRIN_MOUSE,AGRIN,25,215386,1,1,1,Agrin
PBS,AHSA1_MOUSE,AHSA1,576,38321,28,4,4,Activator of 90 kDa heat shock protein ATPase homolog 1
PBS,AIMP1_MOUSE,AIMP1,22,34318,1,1,1,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1
PBS,AIMP2_MOUSE,AIMP2,161,35640,13,2,2,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2
PBS,AK1A1_MOUSE,AK1A1,695,36792,55,11,11,Alcohol dehydrogenase [NADP(+)]
PBS,AKT2_MOUSE,AKT2,709,56105,21,3,3,RAC-beta serine/threonine-protein kinase
PBS,AL1A1_MOUSE,AL1A1,1181,55060,79,10,9,Retinal dehydrogenase 1
PBS,AL1L1_MOUSE,AL1L1,21,99502,1,1,1,Cytosolic 10-formyltetrahydrofolate dehydrogenase
PBS,AL3A1_MOUSE,AL3A1,1834,50848,102,14,14,"Aldehyde dehydrogenase, dimeric NADP-preferring"
PBS,AL4A1_MOUSE,AL4A1,986,62258,69,12,12,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial"
PBS,AL7A1_MOUSE,AL7A1,32,59337,2,1,1,Alpha-aminoadipic semialdehyde dehydrogenase
PBS,ALAT1_MOUSE,ALAT1,135,55905,22,4,4,Alanine aminotransferase 1
PBS,ALBU_MOUSE,ALBU,114385,70700,4158,55,52,Serum albumin
PBS,ALD1_MOUSE,ALD1,772,36137,61,6,4,Aldose reductase-related protein 1
PBS,ALD2_MOUSE,ALD2,742,36440,50,6,4,Aldose reductase-related protein 2
PBS,ALDH2_MOUSE,ALDH2,7243,57015,400,23,22,"Aldehyde dehydrogenase, mitochondrial"
PBS,ALDOA_MOUSE,ALDOA,213115,39787,9549,42,7,Fructose-bisphosphate aldolase A
PBS,ALDR_MOUSE,ALDR,12532,36052,588,17,17,Aldose reductase
PBS,AMBP_MOUSE,AMBP,84,39916,7,2,2,Protein AMBP
PBS,AMPB_MOUSE,AMPB,19,73054,1,1,1,Aminopeptidase B
PBS,AMPD1_MOUSE,AMPD1,7317,86734,470,36,36,AMP deaminase 1
PBS,AMPL_MOUSE,AMPL,989,56505,88,12,12,Cytosol aminopeptidase
PBS,AMRP_MOUSE,AMRP,20,42189,1,1,1,Alpha-2-macroglobulin receptor-associated protein
PBS,AN32A_MOUSE,AN32A,151,28691,13,3,2,Acidic leucine-rich nuclear phosphoprotein 32 family member A
PBS,AN32B_MOUSE,AN32B,168,31231,13,3,2,Acidic leucine-rich nuclear phosphoprotein 32 family member B
PBS,AN32E_MOUSE,AN32E,467,29832,18,1,1,Acidic leucine-rich nuclear phosphoprotein 32 family member E
PBS,ANGT_MOUSE,ANGT,32,52243,1,1,1,Angiotensinogen
PBS,ANKR2_MOUSE,ANKR2,3195,36855,140,13,13,Ankyrin repeat domain-containing protein 2
PBS,ANM1_MOUSE,ANM1,128,43035,13,3,3,Protein arginine N-methyltransferase 1
PBS,ANM5_MOUSE,ANM5,56,73318,6,1,1,Protein arginine N-methyltransferase 5
PBS,ANT3_MOUSE,ANT3,2058,52484,145,18,18,Antithrombin-III
PBS,ANX11_MOUSE,ANX11,5017,54387,243,14,14,Annexin A11
PBS,ANXA1_MOUSE,ANXA1,1394,38995,39,4,4,Annexin A1
PBS,ANXA2_MOUSE,ANXA2,6474,38937,279,17,17,Annexin A2
PBS,ANXA3_MOUSE,ANXA3,742,36533,55,4,4,Annexin A3
PBS,ANXA4_MOUSE,ANXA4,1261,36178,78,9,8,Annexin A4
PBS,ANXA5_MOUSE,ANXA5,8130,35787,297,17,17,Annexin A5
PBS,ANXA6_MOUSE,ANXA6,21148,76294,966,42,41,Annexin A6
PBS,ANXA7_MOUSE,ANXA7,935,50178,93,12,12,Annexin A7
PBS,AP2A2_MOUSE,AP2A2,118,104863,11,2,2,AP-2 complex subunit alpha-2
PBS,AP2B1_MOUSE,AP2B1,78,105428,6,3,3,AP-2 complex subunit beta
PBS,AP2S1_MOUSE,AP2S1,20,17178,1,1,1,AP-2 complex subunit sigma
PBS,AP4A_MOUSE,AP4A,357,17150,31,6,6,Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]
PBS,APEH_MOUSE,APEH,266,82441,28,6,6,Acylamino-acid-releasing enzyme
PBS,APOA1_MOUSE,APOA1,8350,30597,417,17,17,Apolipoprotein A-I
PBS,APOA2_MOUSE,APOA2,185,11359,16,1,1,Apolipoprotein A-II
PBS,APOA4_MOUSE,APOA4,1324,45001,85,10,10,Apolipoprotein A-IV
PBS,APOC3_MOUSE,APOC3,243,10975,11,1,1,Apolipoprotein C-III
PBS,APOD_MOUSE,APOD,63,21744,3,1,1,Apolipoprotein D
PBS,APOE_MOUSE,APOE,621,35901,46,7,7,Apolipoprotein E
PBS,APOH_MOUSE,APOH,341,39904,36,5,5,Beta-2-glycoprotein 1
PBS,APT_MOUSE,APT,1530,19883,61,5,5,Adenine phosphoribosyltransferase
PBS,ARC1A_MOUSE,ARC1A,48,42170,6,3,2,Actin-related protein 2/3 complex subunit 1A
PBS,ARC1B_MOUSE,ARC1B,56,41836,5,2,1,Actin-related protein 2/3 complex subunit 1B
PBS,ARF1_MOUSE,ARF1,2191,20741,117,6,4,ADP-ribosylation factor 1
PBS,ARF4_MOUSE,ARF4,1164,20498,61,3,1,ADP-ribosylation factor 4
PBS,ARHL1_MOUSE,ARHL1,329,40373,20,3,3,[Protein ADP-ribosylarginine] hydrolase-like protein 1
PBS,ARK72_MOUSE,ARK72,590,41042,40,6,6,Aflatoxin B1 aldehyde reductase member 2
PBS,ARL3_MOUSE,ARL3,127,20645,8,2,2,ADP-ribosylation factor-like protein 3
PBS,ARLY_MOUSE,ARLY,37,51878,3,1,1,Argininosuccinate lyase
PBS,ARMT1_MOUSE,ARMT1,196,51087,18,5,5,Protein-glutamate O-methyltransferase
PBS,ARP2_MOUSE,ARP2,152,45017,11,3,3,Actin-related protein 2
PBS,ARP3_MOUSE,ARP3,673,47783,30,3,3,Actin-related protein 3
PBS,ARPC2_MOUSE,ARPC2,80,34450,7,3,3,Actin-related protein 2/3 complex subunit 2
PBS,ARPC3_MOUSE,ARPC3,97,20739,9,1,1,Actin-related protein 2/3 complex subunit 3
PBS,ARPC4_MOUSE,ARPC4,68,19768,8,4,4,Actin-related protein 2/3 complex subunit 4
PBS,ARXS1_MOUSE,ARXS1,43,20191,3,1,1,Adipocyte-related X-chromosome expressed sequence 1
PBS,AS3MT_MOUSE,AS3MT,948,42451,48,9,9,Arsenite methyltransferase
PBS,ASGL1_MOUSE,ASGL1,837,34385,67,6,6,Isoaspartyl peptidase/L-asparaginase
PBS,ASPC1_MOUSE,ASPC1,38,60044,3,1,1,Tether containing UBX domain for GLUT4
PBS,ASPN_MOUSE,ASPN,250,42944,25,6,6,Asporin
PBS,ASPP1_MOUSE,ASPP1,20,119667,1,1,1,Apoptosis-stimulating of p53 protein 1
PBS,ASSY_MOUSE,ASSY,62,46840,3,1,1,Argininosuccinate synthase
PBS,AT1A2_MOUSE,AT1A2,132,113457,13,6,6,Sodium/potassium-transporting ATPase subunit alpha-2
PBS,AT1B4_MOUSE,AT1B4,19,41716,1,1,1,Protein ATP1B4
PBS,AT2A1_MOUSE,AT2A1,67489,110723,2529,63,63,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1
PBS,AT2L2_MOUSE,AT2L2,384,52333,19,3,3,5-phosphohydroxy-L-lysine phospho-lyase
PBS,AT5F1_MOUSE,AT5F1,252,29044,22,5,5,"ATP synthase F(0) complex subunit B1, mitochondrial"
PBS,ATOX1_MOUSE,ATOX1,63,7505,6,3,3,Copper transport protein ATOX1
PBS,ATP5E_MOUSE,ATP5E,47,5891,4,1,1,"ATP synthase subunit epsilon, mitochondrial"
PBS,ATP5H_MOUSE,ATP5H,153,18795,15,3,3,"ATP synthase subunit d, mitochondrial"
PBS,ATP5I_MOUSE,ATP5I,156,8230,13,3,3,"ATP synthase subunit e, mitochondrial"
PBS,ATP5J_MOUSE,ATP5J,27,12489,1,1,1,"ATP synthase-coupling factor 6, mitochondrial"
PBS,ATP5L_MOUSE,ATP5L,33,11417,2,2,2,"ATP synthase subunit g, mitochondrial"
PBS,ATPA_MOUSE,ATPA,26333,59830,937,30,30,"ATP synthase subunit alpha, mitochondrial"
PBS,ATPB_MOUSE,ATPB,33582,56265,1276,28,28,"ATP synthase subunit beta, mitochondrial"
PBS,ATPD_MOUSE,ATPD,117,17589,5,1,1,"ATP synthase subunit delta, mitochondrial"
PBS,ATPG_MOUSE,ATPG,1063,32979,83,8,8,"ATP synthase subunit gamma, mitochondrial"
PBS,ATPK_MOUSE,ATPK,208,10394,22,1,1,"ATP synthase subunit f, mitochondrial"
PBS,ATPO_MOUSE,ATPO,573,23406,26,4,4,"ATP synthase subunit O, mitochondrial"
PBS,AUHM_MOUSE,AUHM,119,33659,12,3,3,"Methylglutaconyl-CoA hydratase, mitochondrial"
PBS,B2L13_MOUSE,B2L13,387,46862,13,2,2,Bcl-2-like protein 13
PBS,BABA2_MOUSE,BABA2,21,43973,1,1,1,BRISC and BRCA1-A complex member 2
PBS,BAF_MOUSE,BAF,32,10324,3,2,2,Barrier-to-autointegration factor
PBS,BAG3_MOUSE,BAG3,25,62050,2,1,1,BAG family molecular chaperone regulator 3
PBS,BBX_MOUSE,BBX,17,101746,1,1,1,HMG box transcription factor BBX
PBS,BCAT2_MOUSE,BCAT2,898,44669,72,7,7,"Branched-chain-amino-acid aminotransferase, mitochondrial"
PBS,BFSP1_MOUSE,BFSP1,61,73966,6,1,1,Filensin
PBS,BIEA_MOUSE,BIEA,146,33675,14,1,1,Biliverdin reductase A
PBS,BIN1_MOUSE,BIN1,9458,64658,446,17,17,Myc box-dependent-interacting protein 1
PBS,BIP_MOUSE,BIP,4709,72492,241,22,20,Endoplasmic reticulum chaperone BiP
PBS,BLMH_MOUSE,BLMH,44,53104,7,2,2,Bleomycin hydrolase
PBS,BLVRB_MOUSE,BLVRB,1371,22297,59,4,4,Flavin reductase (NADPH)
PBS,BMPR2_MOUSE,BMPR2,22,116259,1,1,1,Bone morphogenetic protein receptor type-2
PBS,BPHL_MOUSE,BPHL,71,33058,8,4,4,Valacyclovir hydrolase
PBS,BPNT1_MOUSE,BPNT1,27,33517,3,2,2,"3'(2'),5'-bisphosphate nucleotidase 1"
PBS,BRNP1_MOUSE,BRNP1,20,89896,1,1,1,BMP/retinoic acid-inducible neural-specific protein 1
PBS,BTF3_MOUSE,BTF3,52,22017,2,1,1,Transcription factor BTF3
PBS,BZW2_MOUSE,BZW2,245,48261,32,2,2,Basic leucine zipper and W2 domain-containing protein 2
PBS,C1QBP_MOUSE,C1QBP,580,31336,36,3,3,"Complement component 1 Q subcomponent-binding protein, mitochondrial"
PBS,C1TC_MOUSE,C1TC,1531,101820,97,14,14,"C-1-tetrahydrofolate synthase, cytoplasmic"
PBS,C4BPA_MOUSE,C4BPA,91,52973,7,3,3,C4b-binding protein
PBS,CA2D1_MOUSE,CA2D1,52,125692,2,2,2,Voltage-dependent calcium channel subunit alpha-2/delta-1
PBS,CAB39_MOUSE,CAB39,1112,39989,67,6,6,Calcium-binding protein 39
PBS,CACB1_MOUSE,CACB1,52,65731,4,2,2,Voltage-dependent L-type calcium channel subunit beta-1
PBS,CACP_MOUSE,CACP,4342,71250,289,21,21,Carnitine O-acetyltransferase
PBS,CAD13_MOUSE,CAD13,60,78536,6,3,3,Cadherin-13
PBS,CAF17_MOUSE,CAF17,37,38774,2,1,1,"Putative transferase CAF17 homolog, mitochondrial"
PBS,CAH1_MOUSE,CAH1,42,28370,2,2,2,Carbonic anhydrase 1
PBS,CAH2_MOUSE,CAH2,1180,29129,78,7,7,Carbonic anhydrase 2
PBS,CAH3_MOUSE,CAH3,29170,29633,1513,23,23,Carbonic anhydrase 3
PBS,CALM1_MOUSE,CALM1,3104,16827,171,10,9,Calmodulin-1
PBS,CALR_MOUSE,CALR,645,48136,72,7,7,Calreticulin
PBS,CALU_MOUSE,CALU,126,37155,19,3,3,Calumenin
PBS,CAN1_MOUSE,CAN1,684,82739,55,13,13,Calpain-1 catalytic subunit
PBS,CAN2_MOUSE,CAN2,376,80677,43,11,11,Calpain-2 catalytic subunit
PBS,CANB1_MOUSE,CANB1,22,19402,1,1,1,Calcineurin subunit B type 1
PBS,CAND1_MOUSE,CAND1,211,137955,14,4,4,Cullin-associated NEDD8-dissociated protein 1
PBS,CAND2_MOUSE,CAND2,4720,137086,288,31,31,Cullin-associated NEDD8-dissociated protein 2
PBS,CAP1_MOUSE,CAP1,387,51875,20,3,2,Adenylyl cyclase-associated protein 1
PBS,CAP2_MOUSE,CAP2,43,53114,5,3,2,Adenylyl cyclase-associated protein 2
PBS,CAPG_MOUSE,CAPG,79,39501,6,1,1,Macrophage-capping protein
PBS,CAPZB_MOUSE,CAPZB,33,31611,1,1,1,F-actin-capping protein subunit beta
PBS,CARME_MOUSE,CARME,496,46822,71,7,7,Carnosine N-methyltransferase
PBS,CASQ1_MOUSE,CASQ1,18812,46349,837,17,17,Calsequestrin-1
PBS,CASQ2_MOUSE,CASQ2,475,48203,19,1,1,Calsequestrin-2
PBS,CATA_MOUSE,CATA,400,60043,34,9,7,Catalase
PBS,CATB_MOUSE,CATB,290,38168,35,5,5,Cathepsin B
PBS,CATD_MOUSE,CATD,388,45381,33,9,9,Cathepsin D
PBS,CAVN1_MOUSE,CAVN1,2268,43927,113,8,8,Caveolae-associated protein 1
PBS,CAVN4_MOUSE,CAVN4,57,41040,4,4,4,Caveolae-associated protein 4
PBS,CAZA2_MOUSE,CAZA2,110,33118,7,2,2,F-actin-capping protein subunit alpha-2
PBS,CBG_MOUSE,CBG,1083,44911,54,10,10,Corticosteroid-binding globulin
PBS,CBPN_MOUSE,CBPN,31,52098,1,1,1,Carboxypeptidase N catalytic chain
PBS,CBPQ_MOUSE,CBPQ,43,51837,2,1,1,Carboxypeptidase Q
PBS,CBR1_MOUSE,CBR1,1340,30907,130,10,9,Carbonyl reductase [NADPH] 1
PBS,CBR2_MOUSE,CBR2,1117,26056,66,8,8,Carbonyl reductase [NADPH] 2
PBS,CBR3_MOUSE,CBR3,146,31333,18,2,1,Carbonyl reductase [NADPH] 3
PBS,CBR4_MOUSE,CBR4,30,25570,3,1,1,Carbonyl reductase family member 4
PBS,CBWD1_MOUSE,CBWD1,65,44201,2,1,1,COBW domain-containing protein 1
PBS,CC169_MOUSE,CC169,124,24739,17,1,1,Coiled-coil domain-containing protein 169
PBS,CCD42_MOUSE,CCD42,34,37965,1,1,1,Coiled-coil domain-containing protein 42
PBS,CD158_MOUSE,CD158,28,127318,2,1,1,Coiled-coil domain-containing protein 158
PBS,CD36_MOUSE,CD36,17,53234,1,1,1,Platelet glycoprotein 4
PBS,CDC42_MOUSE,CDC42,358,21587,37,5,4,Cell division control protein 42 homolog
PBS,CDC6_MOUSE,CDC6,18,63658,1,1,1,Cell division control protein 6 homolog
PBS,CDNF_MOUSE,CDNF,60,21645,4,2,2,Cerebral dopamine neurotrophic factor
PBS,CDV3_MOUSE,CDV3,28,29711,1,1,1,Protein CDV3
PBS,CE295_MOUSE,CE295,33,273923,2,1,1,Centrosomal protein of 295 kDa
PBS,CELR3_MOUSE,CELR3,49,363043,4,1,1,Cadherin EGF LAG seven-pass G-type receptor 3
PBS,CERU_MOUSE,CERU,5028,121872,265,45,45,Ceruloplasmin
PBS,CES1D_MOUSE,CES1D,822,62034,76,5,2,Carboxylesterase 1D
PBS,CFAB_MOUSE,CFAB,463,86319,40,9,9,Complement factor B
PBS,CFAH_MOUSE,CFAH,38,143722,2,2,2,Complement factor H
PBS,CFAI_MOUSE,CFAI,65,69497,5,3,3,Complement factor I
PBS,CH082_MOUSE,CH082,102,24656,7,2,2,UPF0598 protein C8orf82 homolog
PBS,CH10_MOUSE,CH10,2484,10956,133,7,7,"10 kDa heat shock protein, mitochondrial"
PBS,CH60_MOUSE,CH60,13405,61088,522,25,25,"60 kDa heat shock protein, mitochondrial"
PBS,CHCH2_MOUSE,CHCH2,52,15879,5,2,2,Coiled-coil-helix-coiled-coil-helix domain-containing protein 2
PBS,CIP4_MOUSE,CIP4,39,68675,1,1,1,Cdc42-interacting protein 4
PBS,CISD1_MOUSE,CISD1,48,12260,2,2,2,CDGSH iron-sulfur domain-containing protein 1
PBS,CISY_MOUSE,CISY,17653,51988,829,21,21,"Citrate synthase, mitochondrial"
PBS,CKP2L_MOUSE,CKP2L,32,83689,1,1,1,Cytoskeleton-associated protein 2-like
PBS,CLAP2_MOUSE,CLAP2,42,141564,4,1,1,CLIP-associating protein 2
PBS,CLH1_MOUSE,CLH1,2319,193202,140,20,20,Clathrin heavy chain 1
PBS,CLIC4_MOUSE,CLIC4,47,28939,4,2,2,Chloride intracellular channel protein 4
PBS,CLIP1_MOUSE,CLIP1,211,156345,11,7,7,CAP-Gly domain-containing linker protein 1
PBS,CLUS_MOUSE,CLUS,393,52250,23,8,8,Clusterin
PBS,CLYBL_MOUSE,CLYBL,73,37867,10,7,7,"Citramalyl-CoA lyase, mitochondrial"
PBS,CMBL_MOUSE,CMBL,2944,28226,118,8,8,Carboxymethylenebutenolidase homolog
PBS,CMC1_MOUSE,CMC1,1368,74922,86,15,15,Calcium-binding mitochondrial carrier protein Aralar1
PBS,CMYA5_MOUSE,CMYA5,97,414327,8,3,3,Cardiomyopathy-associated protein 5
PBS,CNBP_MOUSE,CNBP,144,20833,10,3,3,Cellular nucleic acid-binding protein
PBS,CNDP2_MOUSE,CNDP2,360,53190,29,8,8,Cytosolic non-specific dipeptidase
PBS,CNPY2_MOUSE,CNPY2,33,21096,1,1,1,Protein canopy homolog 2
PBS,CO3_MOUSE,CO3,5606,187905,423,53,53,Complement C3
PBS,CO4B_MOUSE,CO4B,335,194447,29,13,13,Complement C4-B
PBS,CO5_MOUSE,CO5,86,190469,3,1,1,Complement C5
PBS,CO6A1_MOUSE,CO6A1,29,109562,2,1,1,Collagen alpha-1(VI) chain
PBS,CO8G_MOUSE,CO8G,19,22665,1,1,1,Complement component C8 gamma chain
PBS,CO9_MOUSE,CO9,228,63217,9,3,3,Complement component C9
PBS,COF1_MOUSE,COF1,1690,18776,93,7,5,Cofilin-1
PBS,COF2_MOUSE,COF2,6546,18812,397,13,11,Cofilin-2
PBS,COMP_MOUSE,COMP,56,84912,10,4,2,Cartilage oligomeric matrix protein
PBS,COMT_MOUSE,COMT,19,29695,1,1,1,Catechol O-methyltransferase
PBS,COPB_MOUSE,COPB,21,108138,1,1,1,Coatomer subunit beta
PBS,COPG1_MOUSE,COPG1,81,98705,2,1,1,Coatomer subunit gamma-1
PBS,COQ6_MOUSE,COQ6,121,51645,5,1,1,"Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial"
PBS,COQ7_MOUSE,COQ7,19,24197,1,1,1,"5-demethoxyubiquinone hydroxylase, mitochondrial"
PBS,COQ8A_MOUSE,COQ8A,3794,72154,175,13,13,"Atypical kinase COQ8A, mitochondrial"
PBS,COQ9_MOUSE,COQ9,1996,35232,113,6,6,"Ubiquinone biosynthesis protein COQ9, mitochondrial"
PBS,COTL1_MOUSE,COTL1,229,16048,10,1,1,Coactosin-like protein
PBS,COX2_MOUSE,COX2,1481,26130,87,3,3,Cytochrome c oxidase subunit 2
PBS,COX41_MOUSE,COX41,257,19575,23,6,6,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial"
PBS,COX5A_MOUSE,COX5A,377,16319,12,1,1,"Cytochrome c oxidase subunit 5A, mitochondrial"
PBS,COX5B_MOUSE,COX5B,44,14089,4,2,2,"Cytochrome c oxidase subunit 5B, mitochondrial"
PBS,COX6C_MOUSE,COX6C,21,8464,1,1,1,Cytochrome c oxidase subunit 6C
PBS,COX7C_MOUSE,COX7C,25,7328,1,1,1,"Cytochrome c oxidase subunit 7C, mitochondrial"
PBS,CP2J5_MOUSE,CP2J5,30,58032,1,1,1,Cytochrome P450 2J5
PBS,CPN2_MOUSE,CPN2,62,61296,5,2,2,Carboxypeptidase N subunit 2
PBS,CPNE1_MOUSE,CPNE1,27,59591,2,2,2,Copine-1
PBS,CPNE2_MOUSE,CPNE2,114,61681,11,3,3,Copine-2
