Gene_Symbol,Tissue,TSI,Mean_Zscore_Delta,Function_Category
A2M,Native_Tissue,8.617582811691623,2.082167866979455,Other
Lama3,Decellularized_Tissue,9.928000430198134,-0.3861111923754009,Structural
Anxa5,Decellularized_Tissue,7.749047324837366,1.9167199163841289,Other
Nid1,Decellularized_Tissue,5.190733674566745,0.9283012518958332,Other
Cspg4,Decellularized_Tissue,3.9040896395541105,-0.7604038442841142,Other
Ctsh,Decellularized_Tissue,3.888893952669678,1.210248511266396,Other
Mfge8,Decellularized_Tissue,3.6290283302012463,2.4969574865484474,Other
Hcfc1,Decellularized_Tissue,3.3968661119200787,-0.6063052868145158,Other
Serpina1a,Decellularized_Tissue,2.9975572706474547,1.2281035197740715,Other
Ctsb,Decellularized_Tissue,2.8884524167879126,1.8245274855662936,Other
Ctsd,Decellularized_Tissue,2.481326099558657,2.0561243307224832,Other
MMP14,Skin dermis,111.21013077865052,2.210121431736242,Regulatory
EFEMP2,Skin dermis,71.59242744781342,2.388338638024498,Other
S100B,Skin dermis,50.74441179059397,2.076261501147726,Other
PRG4,Skin dermis,38.067869653967875,-3.7095864909840586,Other
CLEC11A,Skin dermis,37.12911313022037,2.679186213187131,Other
MGP,Skin dermis,27.620485754216613,-1.68221846421031,Other
S100A1,Skin dermis,20.952348016323747,-3.0597280869251,Other
PLXDC2,Skin dermis,20.33831341512442,2.3407606808082577,Other
FNDC1,Skin dermis,17.901641183584683,2.575528651353516,Other
ACAN,Skin dermis,15.225915621964537,3.443846764655154,Other
PDF,Glomerular,56.42190235043568,1.5414997641953658,Other
PRELP,Glomerular,26.09547822457791,2.596536473858281,Other
TGM2,Glomerular,10.378830615484407,1.2402748381915651,Other
GPC4,Glomerular,8.912935809891383,1.896375029776845,Other
FCN2,Glomerular,8.90759519276465,3.557043991965834,Other
ANXA1,Glomerular,7.810529073272757,-1.7714986507434844,Other
F13A1,Glomerular,7.568876962704851,2.1886031758951563,Other
OGN,Glomerular,6.5142642594338085,2.2016235494540672,Other
EMILIN1,Glomerular,5.469725769072385,0.9698905350030398,Other
LUM,Glomerular,5.267925683138786,2.4099045749187624,Proteoglycan
INHBE,Tubulointerstitial,14.391726434055734,-0.5692477828673704,Other
COL4A6,Tubulointerstitial,5.8173651678495295,-1.4891270331431636,Structural
ANXA11,Tubulointerstitial,4.886996082350366,-1.091991898752765,Other
FGF2,Tubulointerstitial,4.348956108558154,0.8346701731801526,Other
LTBP4,Tubulointerstitial,3.420423837395734,1.298802897612419,Other
SEMA3B,Tubulointerstitial,3.2638883181233176,0.4324190810655485,Other
COL4A1,Tubulointerstitial,3.051909977742512,-0.9438564490894064,Structural
TIMP1,Tubulointerstitial,2.840106060262197,1.110153925217175,Regulatory
LGALS3,Tubulointerstitial,2.8009987297266754,1.8411950971288888,Other
COL5A2,Tubulointerstitial,2.454865839975414,0.6052419662725321,Structural
