Protein,N_measurements,N_studies,N_tissues,Tissues,Studies,Category,Division,Mean_Zscore_Delta,Std_Zscore_Delta,Min_Zscore_Delta,Max_Zscore_Delta,Pct_Increasing,Mean_Old_Abundance,Mean_Young_Abundance
Col18a1,9,6,9,"Lung, Ovary, Skeletal_muscle_Soleus, Skeletal_muscle_TA, Skeletal_muscle_EDL, Brain_Cortex, Brain_Hippocampus, Heart_Native_Tissue, Heart_Decellularized_Tissue","Angelidis_2019, Dipali_2023, Schuler_2021, Tsumagari_2023, Santinha_2024_Mouse_NT, Santinha_2024_Mouse_DT",Collagens,Core matrisome,0.08143449363388573,0.10696465242178081,-0.08464497872281,0.2846888304653543,77.77777777777779,81242.54696478277,66932.76005121114
COL1A2,8,5,8,"Intervertebral_disc_NP, Intervertebral_disc_IAF, Intervertebral_disc_OAF, Heart_Native_Tissue, Skin dermis, Kidney_Glomerular, Kidney_Tubulointerstitial, Ovary_Cortex","Tam_2020, Santinha_2024_Human, LiDermis_2021, Randles_2021, Ouni_2022",Collagens,Core matrisome,-0.19006324886830506,0.2896711896935735,-0.6709586875427094,0.2424194394275325,25.0,2037573.8383772362,1955446.8148797166
HPX,8,5,8,"Intervertebral_disc_NP, Intervertebral_disc_IAF, Intervertebral_disc_OAF, Heart_Native_Tissue, Skin dermis, Kidney_Glomerular, Kidney_Tubulointerstitial, Ovary_Cortex","Tam_2020, Santinha_2024_Human, LiDermis_2021, Randles_2021, Ouni_2022",ECM-affiliated Proteins,Matrisome-associated,1.0050720136416453,1.127020241380975,-0.4467961688780865,2.716973940858929,75.0,43745.8287125742,15088.024794278992
Fn1,12,6,10,"Lung, Ovary, Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL, Brain_Cortex, Brain_Hippocampus, Heart_Native_Tissue, Heart_Decellularized_Tissue","Angelidis_2019, Dipali_2023, Schuler_2021, Tsumagari_2023, Santinha_2024_Mouse_NT, Santinha_2024_Mouse_DT",ECM Glycoproteins,Core matrisome,-0.15823022522173855,0.19035764638184915,-0.4948377444667755,0.0271551379569145,25.0,390065.6608978031,394724.20663002273
TIMP3,7,4,7,"Intervertebral_disc_NP, Intervertebral_disc_IAF, Intervertebral_disc_OAF, Heart_Native_Tissue, Skin dermis, Kidney_Glomerular, Kidney_Tubulointerstitial","Tam_2020, Santinha_2024_Human, LiDermis_2021, Randles_2021",ECM Regulators,Matrisome-associated,0.9380965928302631,1.1440862706526882,-0.5376416720368191,3.141208179502989,85.71428571428571,21353.480195706838,3765.388653268757
LAMA4,8,5,8,"Intervertebral_disc_NP, Intervertebral_disc_IAF, Intervertebral_disc_OAF, Heart_Native_Tissue, Skin dermis, Kidney_Glomerular, Kidney_Tubulointerstitial, Ovary_Cortex","Tam_2020, Santinha_2024_Human, LiDermis_2021, Randles_2021, Ouni_2022",ECM Glycoproteins,Core matrisome,-0.1450781770162956,0.24400060064641005,-0.593792963275022,0.2087965881444065,25.0,8948.829108169717,7878.598799127873
Fbn2,6,3,6,"Ovary, Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL, Heart_Decellularized_Tissue","Dipali_2023, Schuler_2021, Santinha_2024_Mouse_DT",ECM Glycoproteins,Core matrisome,-0.9096908665526114,0.9932705984193125,-2.3443563235579807,0.0340652611761245,16.666666666666664,62123.328301308844,110186.19514499504
Fbln1,8,5,8,"Lung, Ovary, Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL, Heart_Native_Tissue, Heart_Decellularized_Tissue","Angelidis_2019, Dipali_2023, Schuler_2021, Santinha_2024_Mouse_NT, Santinha_2024_Mouse_DT",ECM Glycoproteins,Core matrisome,-0.09746959695703306,0.12716167546084528,-0.2810294464316237,0.1160304577442347,25.0,54376.0873266164,99399.88838940265
Bgn,11,6,10,"Lung, Ovary, Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL, Brain_Cortex, Brain_Hippocampus, Heart_Native_Tissue, Heart_Decellularized_Tissue","Angelidis_2019, Dipali_2023, Schuler_2021, Tsumagari_2023, Santinha_2024_Mouse_NT, Santinha_2024_Mouse_DT",Proteoglycans,Core matrisome,0.13789025893583065,0.18662157024653228,-0.0255876504637451,0.6201191792507286,72.72727272727273,864580.4007710061,681554.0802286573
COL3A1,10,5,8,"Intervertebral_disc_NP, Intervertebral_disc_IAF, Intervertebral_disc_OAF, Heart_Native_Tissue, Skin dermis, Kidney_Glomerular, Kidney_Tubulointerstitial, Ovary_Cortex","Tam_2020, Santinha_2024_Human, LiDermis_2021, Randles_2021, Ouni_2022",Collagens,Core matrisome,-0.24409723861614108,0.36410564840176274,-0.8746457477320987,0.3130394010403534,30.0,2006058.4045348042,1582911.1729384004
