Protein,Importance,Baseline_R2,Permuted_R2
CAV1,0.0449361400592152,-2.835538612543911,-2.880474752603126
EGFL7,0.03946568623784774,-2.835538612543911,-2.8750042987817586
STAT1,0.03890945301877746,-2.835538612543911,-2.8744480655626883
ANGPTL6,0.03134472392989274,-2.835538612543911,-2.8668833364738036
NBEA,0.028083278564472014,-2.835538612543911,-2.863621891108383
OGDH,0.02474347392192655,-2.835538612543911,-2.8602820864658374
PPM1K,0.020365925247742833,-2.835538612543911,-2.8559045377916537
ATPAF1,0.019900136770691024,-2.835538612543911,-2.855438749314602
TEKT2,0.018279415709904878,-2.835538612543911,-2.8538180282538157
TSP1,0.017023600627817714,-2.835538612543911,-2.8525622131717285
MCCC2,0.016973762685758675,-2.835538612543911,-2.8525123752296695
OSBP,0.015848641568122712,-2.835538612543911,-2.8513872541120335
PPBP,0.008630113318062183,-2.835538612543911,-2.844168725861973
SURF4,0.0005913533841188645,-2.835538612543911,-2.8361299659280297
PGK1,0.00013645678471840839,-2.835538612543911,-2.8356750693286292
Ppt1,-0.0004590057877300602,-2.835538612543911,-2.8350796067561808
CO1A2,-0.0016326279284415435,-2.835538612543911,-2.8339059846154693
NXN,-0.003690359975490498,-2.835538612543911,-2.8318482525684203
ATP5B,-0.004173030926981625,-2.835538612543911,-2.831365581616929
SEMA3F,-0.006332400330660626,-2.835538612543911,-2.82920621221325
C1QTNF2,-0.00656895990320594,-2.835538612543911,-2.828969652640705
NIFK,-0.00891128446177003,-2.835538612543911,-2.826627328082141
MDK,-0.01434929740630242,-2.835538612543911,-2.8211893151376084
NDUFA7,-0.0342186084855447,-2.835538612543911,-2.801320004058366
CPM,-0.035730494747885366,-2.835538612543911,-2.7998081177960255
GSTA1,-0.03734664663591003,-2.835538612543911,-2.798191965908001
PLCG2,-0.03992189959755388,-2.835538612543911,-2.795616712946357
ATM,-0.040980006343730224,-2.835538612543911,-2.7945586062001806
NNT,-0.045612610124204256,-2.835538612543911,-2.7899260024197066
ARPC1A,-0.046181904861497536,-2.835538612543911,-2.7893567076824133
Dsp,-0.04743650937175303,-2.835538612543911,-2.788102103172158
CKAP4,-0.04969501485422034,-2.835538612543911,-2.7858435976896905
MRPS14,-0.051353494662758514,-2.835538612543911,-2.7841851178811523
Col4a5,-0.057530608733129984,-2.835538612543911,-2.778008003810781
TCERG1L,-0.05988750364917683,-2.835538612543911,-2.775651108894734
FBLN5,-0.0667961967867261,-2.835538612543911,-2.7687424157571847
Itga6,-0.06768931759245778,-2.835538612543911,-2.767849294951453
ACSL4,-0.06887296599701376,-2.835538612543911,-2.766665646546897
KRT2,-0.07021112253363437,-2.835538612543911,-2.7653274900102764
ACY1,-0.07158868170733879,-2.835538612543911,-2.763949930836572
Gpt,-0.07939486337724722,-2.835538612543911,-2.7561437491666636
SLC12A1,-0.08466897202640622,-2.835538612543911,-2.7508696405175046
HNRNPC,-0.0870346357132945,-2.835538612543911,-2.7485039768306163
HSD17B10,-0.09208659274923736,-2.835538612543911,-2.7434520197946735
37500,-0.10669002166052088,-2.835538612543911,-2.72884859088339
STARD7,-0.1091350801192914,-2.835538612543911,-2.7264035324246194
GSTT1,-0.11954869661601553,-2.835538612543911,-2.7159899159278953
ATP1A1,-0.12341972559610248,-2.835538612543911,-2.7121188869478083
Megf8,-0.15654107340168677,-2.835538612543911,-2.678997539142224
FTL,-0.1655001764208639,-2.835538612543911,-2.670038436123047
NOP58,-0.17155860071647266,-2.835538612543911,-2.663980011827438
SEC23B,-0.20995951959927694,-2.835538612543911,-2.625579092944634
C1qb,-0.2269316862879065,-2.835538612543911,-2.6086069262560043
PCK1,-0.2363101656447495,-2.835538612543911,-2.5992284468991613
Anpep,-0.2586230047431597,-2.835538612543911,-2.576915607800751
L2HGDH,-0.25988269680968523,-2.835538612543911,-2.5756559157342256
Cfh,-0.3498632678208726,-2.835538612543911,-2.485675344723038
CTSA,-0.480329954009989,-2.835538612543911,-2.355208658533922
CLEC1A,-0.495833724669807,-2.835538612543911,-2.339704887874104
