Protein,Timing,Magnitude,Category
FCN3,Early Prevention,0.6303325475721668,ECM-affiliated Proteins
AMBP,Continuous Monitoring,0.6179412953407062,ECM Regulators
IGFALS,Continuous Monitoring,0.6169740643275367,ECM Glycoproteins
Angptl2,Early Prevention,0.6060683479185923,Secreted Factors
ITIH4,Continuous Monitoring,0.5912591915744232,ECM Regulators
Fam213a,Early Prevention,0.589164138815103,Non-ECM
MMP2,Continuous Monitoring,0.5809673122778218,ECM Regulators
Cxcl12,Early Prevention,0.5657850903935682,Secreted Factors
Col4a3,Early Prevention,0.5503172926340834,Collagens
Col11a2,Continuous Monitoring,0.5480735216082906,Collagens
Hc,Continuous Monitoring,0.5471800440083119,Non-ECM
CSTB,Continuous Monitoring,0.5237034207287398,ECM Regulators
ECM1,Continuous Monitoring,0.5230263321353391,ECM Glycoproteins
MASP1,Early Prevention,0.5202177878722383,ECM Regulators
ANGPTL2,Continuous Monitoring,0.49579426681827665,Secreted Factors
Sema3c,Continuous Monitoring,0.48412940958823797,ECM-affiliated Proteins
F2,Continuous Monitoring,0.4784004036981658,ECM Regulators
INHBC,Continuous Monitoring,0.4773647345473106,Secreted Factors
Apod,Continuous Monitoring,0.46313494957556,Non-ECM
ITIH3,Continuous Monitoring,0.4564250217936337,ECM Regulators
A2M,Continuous Monitoring,0.4526963934658959,ECM Regulators
Srpx,Continuous Monitoring,0.45259696461881926,ECM Glycoproteins
HTRA1,Continuous Monitoring,0.449299675319099,ECM Regulators
Ppp1r1a,Continuous Monitoring,0.4411375943374869,Non-ECM
HTRA3,Continuous Monitoring,0.4403139319156351,ECM Regulators
CXCL12,Continuous Monitoring,0.4352467442360715,Secreted Factors
Hrg,Continuous Monitoring,0.43404007909942166,ECM Regulators
Mfge8,Continuous Monitoring,0.4329152409585449,ECM Glycoproteins
COL10A1,Continuous Monitoring,0.43007233462145184,Collagens
ADIPOQ,Continuous Monitoring,0.4268784384430349,ECM Glycoproteins
Itih3,Continuous Monitoring,0.4243490387790778,ECM Regulators
S100A7,Continuous Monitoring,0.41961148294373474,Secreted Factors
Ambp,Continuous Monitoring,0.4187678254194361,ECM Regulators
Pla2g7,Continuous Monitoring,0.4151469795374391,Non-ECM
Aspn,Continuous Monitoring,0.4126795693589933,Proteoglycans
SERPINE2,Continuous Monitoring,0.4082565941477477,ECM Regulators
Hapln2,Continuous Monitoring,0.3973284483517803,Proteoglycans
Alpl,Continuous Monitoring,0.39549052913049204,Non-ECM
Thbs1,Continuous Monitoring,0.3902979874342554,ECM Glycoproteins
SERPINA1,Continuous Monitoring,0.3900365751958458,ECM Regulators
Cdnf,Continuous Monitoring,0.3806571223507656,Non-ECM
Ces1d,Continuous Monitoring,0.37289938212478,Non-ECM
CTSZ,Continuous Monitoring,0.3718366432846391,ECM Regulators
NTN3,Continuous Monitoring,0.364636027519893,ECM Glycoproteins
SERPINA7,Continuous Monitoring,0.3637666045159409,ECM Regulators
CTSD,Continuous Monitoring,0.35673722730632784,ECM Regulators
EBI3,Continuous Monitoring,0.35667127164328377,Secreted Factors
Pebp1,Continuous Monitoring,0.34764380169965486,Non-ECM
F12,Continuous Monitoring,0.34510577740472914,ECM Regulators
Ctsd,Continuous Monitoring,0.3406239855236033,ECM Regulators
SFRP1,Continuous Monitoring,0.3353492499187324,Secreted Factors
ANGPTL4,Continuous Monitoring,0.3316414169098383,Secreted Factors
Gpx3,Continuous Monitoring,0.3219618561277561,Non-ECM
Clu,Continuous Monitoring,0.3119124778682617,Non-ECM
Col4a4,Continuous Monitoring,0.3092273610429659,Collagens
S100A7A,Continuous Monitoring,0.30812756427078014,Secreted Factors
INHBA,Continuous Monitoring,0.30496775933932657,Secreted Factors
POSTN,Continuous Monitoring,0.30232196370101705,ECM Glycoproteins
Ctsb,Continuous Monitoring,0.29944733092727577,ECM Regulators
CCN5,Continuous Monitoring,0.2974546749132226,ECM Glycoproteins
COMP,Continuous Monitoring,0.2967765920416349,ECM Glycoproteins
EFEMP1,Continuous Monitoring,0.29506366333491474,ECM Glycoproteins
SERPINF1,Continuous Monitoring,0.2940033802248792,ECM Regulators
Gfer,Continuous Monitoring,0.2939805856201262,Non-ECM
Itih1,Continuous Monitoring,0.29094298646440936,ECM Regulators
Gsto1,Continuous Monitoring,0.28726115657276263,Non-ECM
ADAMTSL4,Continuous Monitoring,0.28436006551304005,ECM Regulators
Naxe,Continuous Monitoring,0.28034085492071065,Non-ECM
MMP3,Continuous Monitoring,0.2791378212647263,ECM Regulators
SERPINA3,Continuous Monitoring,0.2750957077975833,ECM Regulators
COL4A5,Continuous Monitoring,0.27394385251958375,Collagens
Mif,Continuous Monitoring,0.2717451880984444,Non-ECM
Col4a1,Continuous Monitoring,0.27143571270801725,Collagens
Cfi,Continuous Monitoring,0.2688985139460397,Non-ECM
FREM2,Continuous Monitoring,0.26849254297191794,ECM-affiliated Proteins
Serpinb6a,Continuous Monitoring,0.2667496967034667,ECM Regulators
COL22A1,Continuous Monitoring,0.2665164442222181,Collagens
Mmrn1,Continuous Monitoring,0.2654502395691259,ECM Glycoproteins
Ctss,Continuous Monitoring,0.2634879546289103,ECM Regulators
Dbi,Continuous Monitoring,0.2614891843673119,Non-ECM
Serpina3n,Continuous Monitoring,0.2602453639514771,ECM Regulators
PODN,Continuous Monitoring,0.25969911617445274,Proteoglycans
Fetub,Continuous Monitoring,0.25905854719212806,Non-ECM
Akr1b3,Continuous Monitoring,0.2572940827430622,Non-ECM
Hspb6,Continuous Monitoring,0.2563492331972402,Non-ECM
Them6,Continuous Monitoring,0.2547747658241129,Non-ECM
Hpx,Continuous Monitoring,0.25471393542323534,ECM-affiliated Proteins
Vtn,Continuous Monitoring,0.2537413164355531,ECM Glycoproteins
CPAMD8,Continuous Monitoring,0.25342864493153283,ECM Regulators
CCL21,Continuous Monitoring,0.2518597660059456,Secreted Factors
LTBP1,Continuous Monitoring,0.2513254655091098,ECM Glycoproteins
Pcolce2,Continuous Monitoring,0.25004956679272483,ECM Glycoproteins
Col6a5,Continuous Monitoring,0.24683398592755842,Collagens
C1QB,Continuous Monitoring,0.24496743863676307,ECM-affiliated Proteins
PRG3,Continuous Monitoring,0.24254037680676965,Proteoglycans
Serpina1a,Continuous Monitoring,0.23883278804817995,ECM Regulators
Dhrs11,Continuous Monitoring,0.23755009305753466,Non-ECM
SFRP2,Continuous Monitoring,0.23403416885320089,Secreted Factors
Fcna,Continuous Monitoring,0.23268200006754586,ECM-affiliated Proteins
FN1,Continuous Monitoring,0.2288793111476802,ECM Glycoproteins
CLEC11A,Continuous Monitoring,0.2272398453138574,ECM-affiliated Proteins
ADAMTS5,Continuous Monitoring,0.22391331581593127,ECM Regulators
Angpt1,Continuous Monitoring,0.22365470991707495,Secreted Factors
Serpina3m,Continuous Monitoring,0.22314271543849673,ECM Regulators
Psap,Continuous Monitoring,0.22310651923562744,Non-ECM
CLEC5A,Continuous Monitoring,0.22056644923281052,ECM-affiliated Proteins
Lgals3,Continuous Monitoring,0.21783895184111568,ECM-affiliated Proteins
S100a6,Continuous Monitoring,0.2158892192116991,Secreted Factors
S100A9,Continuous Monitoring,0.2156586334038839,Secreted Factors
Htra1,Continuous Monitoring,0.21231720904722895,ECM Regulators
OMD,Continuous Monitoring,0.21073914086328185,Proteoglycans
Cpa3,Continuous Monitoring,0.20898202127617832,Non-ECM
Gstm1,Continuous Monitoring,0.2074412061493101,Non-ECM
Ttr,Continuous Monitoring,0.20729551385514908,Non-ECM
Clec10a,Continuous Monitoring,0.2048128948537423,ECM-affiliated Proteins
PDGFC,Continuous Monitoring,0.20294891524298872,Secreted Factors
Cma1,Low Priority,0.19869858032458715,Non-ECM
Cstb,Low Priority,0.19831588875001813,ECM Regulators
F13A1,Low Priority,0.19198984504920671,ECM Regulators
S100a5,Low Priority,0.19065449428478123,Secreted Factors
Igfbp5,Low Priority,0.18557086252393934,ECM Glycoproteins
Col4a2,Low Priority,0.18556267998988407,Collagens
Itih4,Low Priority,0.18521850792353833,ECM Regulators
Gstm5,Low Priority,0.18472964447974596,Non-ECM
Wnt4,Low Priority,0.18369325241211873,Secreted Factors
ITIH6,Low Priority,0.18192102139412494,ECM Regulators
COL4A6,Low Priority,0.1801396184523861,Collagens
Pdap1,Low Priority,0.1791271575877445,Non-ECM
Actg1,Low Priority,0.17838986654018077,Non-ECM
Tpt1,Low Priority,0.17545757343974802,Non-ECM
OGN,Low Priority,0.1754071308006204,Proteoglycans
PLXDC2,Low Priority,0.17504197831317672,ECM-affiliated Proteins
CTSB,Low Priority,0.17319559250266922,ECM Regulators
Ces1c,Low Priority,0.1731362991918946,Non-ECM
CPN2,Low Priority,0.17286787935759046,ECM Regulators
Orm1,Low Priority,0.17243384044013263,Non-ECM
Hspa5,Low Priority,0.17138905423694464,Non-ECM
ADAM19,Low Priority,0.1661997470001283,ECM Regulators
Rnh1,Low Priority,0.16564272813652675,Non-ECM
Mbl1,Low Priority,0.1652780335318328,ECM-affiliated Proteins
CCL14,Low Priority,0.16469924360879287,Secreted Factors
Fabp3,Low Priority,0.16422005596912295,Non-ECM
CXCL14,Low Priority,0.16368400110841705,Secreted Factors
Asah1,Low Priority,0.16210733241592556,Non-ECM
SMOC1,Low Priority,0.1615638362717971,ECM Glycoproteins
ADAMTSL5,Low Priority,0.15951023835203218,ECM Regulators
Serpina10,Low Priority,0.15885805522263724,ECM Regulators
Cp,Low Priority,0.1568294051992908,Non-ECM
SERPINI2,Low Priority,0.15611754060839866,ECM Regulators
Serpine2,Low Priority,0.15593328115821117,ECM Regulators
Cbln4,Low Priority,0.15587224531348293,Secreted Factors
Trf,Low Priority,0.1537597363424321,Non-ECM
F10,Low Priority,0.15318295554184885,ECM Regulators
Ache,Low Priority,0.15257381335870562,Non-ECM
SFRP4,Low Priority,0.15200410944741996,Secreted Factors
GDF5,Low Priority,0.1518947261098848,Secreted Factors
A2m,Low Priority,0.150456705868355,ECM Regulators
Papln,Low Priority,0.14999218593013172,ECM Glycoproteins
Serpinc1,Low Priority,0.14856839188312582,ECM Regulators
Aebp1,Low Priority,0.14787392529900728,ECM Glycoproteins
SPON1,Low Priority,0.14653726475401618,ECM Glycoproteins
Mgp,Low Priority,0.14633013047034,ECM Glycoproteins
SPON2,Low Priority,0.14520812386599793,ECM Glycoproteins
Alad,Low Priority,0.1450754277503022,Non-ECM
ANGPTL6,Low Priority,0.14428050186534644,Secreted Factors
Lamb2,Low Priority,0.140951961234512,ECM Glycoproteins
LGALS2,Low Priority,0.14063018777017686,ECM-affiliated Proteins
Sfrp1,Low Priority,0.14062458045705759,Secreted Factors
Serpina1b,Low Priority,0.1382530395832279,ECM Regulators
Bgn,Low Priority,0.13789025893583065,Proteoglycans
Gc,Low Priority,0.1364379744770201,Non-ECM
Sord,Low Priority,0.13425840097974798,Non-ECM
Sod1,Low Priority,0.1308741302964665,Non-ECM
C1QC,Low Priority,0.12993291100059914,ECM-affiliated Proteins
Il1rap,Low Priority,0.12837701973057383,Non-ECM
COL18A1,Low Priority,0.12836395254627464,Collagens
Cfh,Low Priority,0.12512010615323926,Non-ECM
Tsg101,Low Priority,0.12086099598284172,Non-ECM
SERPING1,Low Priority,0.12024208660375194,ECM Regulators
Acan,Low Priority,0.1179114095380627,Proteoglycans
NELL1,Low Priority,0.11721597939258753,ECM Glycoproteins
ANXA5,Low Priority,0.11697529462000113,ECM-affiliated Proteins
COL2A1,Low Priority,0.11355528005198055,Collagens
Kng1,Low Priority,0.11256351849967099,ECM Regulators
TIMP1,Low Priority,0.11001416583704082,ECM Regulators
SDC2,Low Priority,0.10950540745080965,ECM-affiliated Proteins
PLOD1,Low Priority,0.10890747088501046,ECM Regulators
Sdc1,Low Priority,0.10702264354707165,ECM-affiliated Proteins
Prkacb,Low Priority,0.10634188899265487,Non-ECM
LTBP2,Low Priority,0.10613808308582119,ECM Glycoproteins
Pltp,Low Priority,0.1040030880932255,Non-ECM
CTSG,Low Priority,0.10296662821103983,ECM Regulators
Car4,Low Priority,0.10265380175612777,Non-ECM
Azgp1,Low Priority,0.10161797985405473,Non-ECM
Apoo,Low Priority,0.10080670176962302,Non-ECM
S100B,Low Priority,0.09911267055447555,Secreted Factors
Ppia,Low Priority,0.09816358718028863,Non-ECM
Aqp1,Low Priority,0.09622933993731106,Non-ECM
C1QTNF5,Low Priority,0.0958173793117354,ECM-affiliated Proteins
Serpinf2,Low Priority,0.09574955551388681,ECM Regulators
Gpi1,Low Priority,0.09574925746958092,Non-ECM
Col6a2,Low Priority,0.09499525361963322,Collagens
Sod3,Low Priority,0.09490627166668392,Non-ECM
Serpina3k,Low Priority,0.09448571483936176,ECM Regulators
Lgi3,Low Priority,0.09379454534972585,ECM Glycoproteins
IGFBP3,Low Priority,0.09365598338169633,ECM Glycoproteins
Gas6,Low Priority,0.09339743331375736,ECM Glycoproteins
Col4a5,Low Priority,0.09213243199151175,Collagens
Serpina1c,Low Priority,0.09052095985066781,ECM Regulators
1300017J02Rik,Low Priority,0.089251987690925,Non-ECM
FAM20C,Low Priority,0.08871697254349539,ECM Regulators
MUC1,Low Priority,0.08806431925887169,ECM-affiliated Proteins
Col12a1,Low Priority,0.0849178949052843,Collagens
FBLN1,Low Priority,0.0837734078718199,ECM Glycoproteins
SEMA3D,Low Priority,0.0835970652270851,ECM-affiliated Proteins
Serpinb9b,Low Priority,0.08335670605724775,ECM Regulators
Tnxb,Low Priority,0.08266950738535989,ECM Glycoproteins
SERPINE1,Low Priority,0.08248756907183502,ECM Regulators
Col18a1,Low Priority,0.08143449363388573,Collagens
Npc2,Low Priority,0.08044381425414254,Non-ECM
VWF,Low Priority,0.07895957721354792,ECM Glycoproteins
Egfl7,Low Priority,0.07710040009769405,Secreted Factors
Lama5,Low Priority,0.07651863119575038,ECM Glycoproteins
CTSF,Low Priority,0.07610451412869046,ECM Regulators
MMP12,Low Priority,0.0756803445838968,ECM Regulators
Lgals1,Low Priority,0.07305267456999591,ECM-affiliated Proteins
Col6a1,Low Priority,0.07080876804640195,Collagens
Tgfbi,Low Priority,0.07045155113204142,ECM Glycoproteins
Vwf,Low Priority,0.07037326428272483,ECM Glycoproteins
HAPLN1,Low Priority,0.07003082493605253,Proteoglycans
Hmgb1,Low Priority,0.06914898828615071,Non-ECM
Nucb1,Low Priority,0.06905770924130639,Non-ECM
SRPX,Low Priority,0.06704858255811784,ECM Glycoproteins
S100a1,Low Priority,0.06664291970185453,Secreted Factors
Rab5b,Low Priority,0.06638916200118529,Non-ECM
TGFB1,Low Priority,0.06569377084860824,Secreted Factors
NTN4,Low Priority,0.06495360015152585,ECM Glycoproteins
BGN,Low Priority,0.06494913831333936,Proteoglycans
Txn1,Low Priority,0.06490360830792552,Non-ECM
Lamc1,Low Priority,0.06345058319046808,ECM Glycoproteins
CILP2,Low Priority,0.0632938628081539,ECM Glycoproteins
Megf10,Low Priority,0.0624161876426598,Secreted Factors
Mstn,Low Priority,0.06239993507206115,Secreted Factors
Gpt,Low Priority,0.061401770498920746,Non-ECM
Sra1,Low Priority,0.06119553045182173,Non-ECM
Itih2,Low Priority,0.061182154521559645,ECM Regulators
Nenf,Low Priority,0.060090179704844704,Non-ECM
Ddt,Low Priority,0.059565892040971694,Non-ECM
Hdgf,Low Priority,0.05948211113745992,Non-ECM
Agt,Low Priority,0.05938670335507806,ECM Regulators
Edil3,Low Priority,0.058942434229655505,ECM Glycoproteins
Pzp,Low Priority,0.05871402075621071,ECM Regulators
Cpn2,Low Priority,0.057874444410764704,ECM Regulators
SEMA3E,Low Priority,0.057630819638656905,ECM-affiliated Proteins
Lrpap1,Low Priority,0.05739529601789537,Non-ECM
MDK,Low Priority,0.05734040098229695,Secreted Factors
Tinagl1,Low Priority,0.057000514412854156,ECM Glycoproteins
CST3,Low Priority,0.05535741917194828,ECM Regulators
EFEMP2,Low Priority,0.054247319259626225,ECM Glycoproteins
Aldoa,Low Priority,0.05394101449516653,Non-ECM
Cd151,Low Priority,0.05384245169299986,Non-ECM
Loxl1,Low Priority,0.05357687188260499,ECM Regulators
Igf2r,Low Priority,0.05342585512484632,Non-ECM
SEMA3C,Low Priority,0.05338921741330199,ECM-affiliated Proteins
C1qb,Low Priority,0.05284605950847114,ECM-affiliated Proteins
TINAGL1,Low Priority,0.052739257206934696,ECM Glycoproteins
NPNT,Low Priority,0.05159754041017438,ECM Glycoproteins
S100a4,Low Priority,0.05155303209049945,Secreted Factors
PRELP,Low Priority,0.051389483790773995,Proteoglycans
PXDN,Low Priority,0.04964033702233864,ECM Glycoproteins
Clec1a,Low Priority,0.048947723343975846,ECM-affiliated Proteins
Slmap,Low Priority,0.04837730760344745,Non-ECM
COL4A1,Low Priority,0.047400373923812134,Collagens
Anxa4,Low Priority,0.0467552117494583,ECM-affiliated Proteins
Alb,Low Priority,0.04491255060640116,Non-ECM
Ccs,Low Priority,0.043491044013427134,Non-ECM
Gars,Low Priority,0.04325489382171745,Non-ECM
Gpc1,Low Priority,0.04320813142432293,ECM-affiliated Proteins
Ctsc,Low Priority,0.04300731558169426,ECM Regulators
Pkm,Low Priority,0.04277795202409243,Non-ECM
ACAN,Low Priority,0.04174398552878804,Proteoglycans
Dpt,Low Priority,0.041549320627626764,ECM Glycoproteins
Col2a1,Low Priority,0.040566572268517086,Collagens
Hapln4,Low Priority,0.0384156464937702,Proteoglycans
Ybx1,Low Priority,0.036022761030458456,Non-ECM
Serpind1,Low Priority,0.035837727153276995,ECM Regulators
Npnt,Low Priority,0.0352407272595094,ECM Glycoproteins
Snca,Low Priority,0.03404394692677501,Non-ECM
Dpp7,Low Priority,0.033851473988945266,Non-ECM
Afm,Low Priority,0.0330098767187093,Non-ECM
Pdcd6ip,Low Priority,0.0326699097831104,Non-ECM
Plxnb1,Low Priority,0.032533249142842634,ECM-affiliated Proteins
S100a9,Low Priority,0.03203235223217935,Secreted Factors
Hexb,Low Priority,0.0318866748116239,Non-ECM
Sema7a,Low Priority,0.03167808743578568,ECM-affiliated Proteins
DCN,Low Priority,0.03162510678876691,Proteoglycans
Serpina6,Low Priority,0.03136021015611905,ECM Regulators
Anxa5,Low Priority,0.030355841682335606,ECM-affiliated Proteins
CTSC,Low Priority,0.030199971941038278,ECM Regulators
Thbs4,Low Priority,0.029260606884920486,ECM Glycoproteins
LAMC1,Low Priority,0.028977399988155537,ECM Glycoproteins
Plg,Low Priority,0.0285395569753484,ECM Regulators
SLPI,Low Priority,0.028482239892731267,ECM Regulators
Hspg2,Low Priority,0.028346594279217863,Proteoglycans
CLEC3B,Low Priority,0.027271992888374362,ECM-affiliated Proteins
Lgals3bp,Low Priority,0.025330371294764602,Non-ECM
Selenop,Low Priority,0.025255838577884063,Non-ECM
PRSS2,Low Priority,0.025082626875862907,ECM Regulators
Npc1,Low Priority,0.0249616686177545,Non-ECM
TGM1,Low Priority,0.024853322532024658,ECM Regulators
Galnt2,Low Priority,0.02459672248173095,Non-ECM
Fgg,Low Priority,0.023295446578446857,ECM Glycoproteins
THBS3,Low Priority,0.023289531905083205,ECM Glycoproteins
Prg2,Low Priority,0.022570309868989422,Proteoglycans
S100b,Low Priority,0.022261024015905333,Secreted Factors
FNDC1,Low Priority,0.02169980373666231,ECM Glycoproteins
Srpx2,Low Priority,0.0198693315320559,ECM Glycoproteins
Ckm,Low Priority,0.019672677357352546,Non-ECM
MMP9,Low Priority,0.019369865064413176,ECM Regulators
Xdh,Low Priority,0.018892143959463648,Non-ECM
Ago2,Low Priority,0.018853926073340327,Non-ECM
Lama1,Low Priority,0.018822660864926025,ECM Glycoproteins
Slc2a4,Low Priority,0.018509977216219702,Non-ECM
S100A8,Low Priority,0.016216805507629734,Secreted Factors
Vwa1,Low Priority,0.016115859332997598,ECM Glycoproteins
SRPX2,Low Priority,0.015580860053251835,ECM Glycoproteins
Pon1,Low Priority,0.014787324684155936,Non-ECM
Dnpep,Low Priority,0.01399697786732667,Non-ECM
Ogn,Low Priority,0.012824694567946458,Proteoglycans
Pon3,Low Priority,0.01056247478953845,Non-ECM
Dnajc9,Low Priority,0.010159996819656666,Non-ECM
Pgk1,Low Priority,0.0099705944321026,Non-ECM
DPT,Low Priority,0.009547146217448718,ECM Glycoproteins
Cat,Low Priority,0.008931961824056254,Non-ECM
Col6a3,Low Priority,0.008023712363903073,Collagens
Cx3cl1,Low Priority,0.0072324114050986,Secreted Factors
Rbmx,Low Priority,0.007144697528488129,Non-ECM
Lgi1,Low Priority,0.007096767801054764,ECM Glycoproteins
Ctsa,Low Priority,0.0068401859992725,ECM Regulators
Cfb,Low Priority,0.005440962940836028,Non-ECM
Adamtsl1,Low Priority,0.005038156971372852,ECM Regulators
LMAN1,Low Priority,0.004943893402808086,ECM-affiliated Proteins
Bag6,Low Priority,0.0044780141229068034,Non-ECM
Adam10,Low Priority,0.0043083407159129105,ECM Regulators
LAMC3,Low Priority,0.003977826653282848,ECM Glycoproteins
Prelp,Low Priority,0.003439948658107339,Proteoglycans
Dag1,Low Priority,0.002968639191082421,Non-ECM
Ncan,Low Priority,0.0026623138098919013,Proteoglycans
PLXNB2,Low Priority,0.0024972342011515547,ECM-affiliated Proteins
FGF2,Low Priority,0.0018616693674311999,Secreted Factors
Adam17,Low Priority,0.0015334487871206497,ECM Regulators
Kars,Low Priority,0.0002467766441156677,Non-ECM
PRG2,Low Priority,1.2800359514387322e-05,Proteoglycans
Apoh,Low Priority,0.0007244788069074512,Non-ECM
Vcan,Low Priority,0.002673110899252563,Proteoglycans
Serpina1d,Low Priority,0.002680596967277799,ECM Regulators
Cpm,Low Priority,0.003395502986289045,Non-ECM
Crlf3,Low Priority,0.0036938410060611757,Secreted Factors
Pik3ip1,Low Priority,0.005225266332723001,Secreted Factors
MFGE8,Low Priority,0.0055643955264057755,ECM Glycoproteins
Hsd17b11,Low Priority,0.00565348355860823,Non-ECM
Ctsh,Low Priority,0.005714003805225951,ECM Regulators
Adam9,Low Priority,0.00660413158550594,ECM Regulators
S100a16,Low Priority,0.0070990098857849505,Secreted Factors
Nid1,Low Priority,0.007680441364159135,ECM Glycoproteins
FLG2,Low Priority,0.0078010106324163005,Secreted Factors
Serpinb8,Low Priority,0.007852222170197135,ECM Regulators
KCP,Low Priority,0.007937104838713335,ECM Glycoproteins
FBLN7,Low Priority,0.008508612556035225,ECM Glycoproteins
Col1a2,Low Priority,0.009398625057597532,Collagens
PCOLCE2,Low Priority,0.011253735584990368,ECM Glycoproteins
COL7A1,Low Priority,0.0115021284978013,Collagens
COL6A6,Low Priority,0.013314555227181012,Collagens
CCN1,Low Priority,0.013414028657248722,ECM Glycoproteins
Igfbp6,Low Priority,0.014002450174827633,ECM Glycoproteins
Lum,Low Priority,0.014859645458889459,Proteoglycans
Fgb,Low Priority,0.015533122048256198,ECM Glycoproteins
Spon1,Low Priority,0.016252213570134018,ECM Glycoproteins
Col5a2,Low Priority,0.016586717467053202,Collagens
Ctsz,Low Priority,0.018615527669182824,ECM Regulators
Col6a6,Low Priority,0.018708596002950523,Collagens
Fastkd2,Low Priority,0.019171213570057223,Non-ECM
Cspg5,Low Priority,0.019193215996580668,ECM-affiliated Proteins
Try4,Low Priority,0.0195758053842876,ECM Regulators
Serpinb1a,Low Priority,0.01967099163318209,ECM Regulators
CTHRC1,Low Priority,0.019953335375555978,ECM Glycoproteins
S100a13,Low Priority,0.020891183373268066,Secreted Factors
F9,Low Priority,0.02105923186588807,ECM Regulators
Mmp2,Low Priority,0.02154012049846966,ECM Regulators
Mfap4,Low Priority,0.021715075969663378,ECM Glycoproteins
Retn,Low Priority,0.02245917274240379,Non-ECM
SERPINB1,Low Priority,0.022516802025168814,ECM Regulators
Lgalsl,Low Priority,0.022599648028272426,ECM-affiliated Proteins
Fgf13,Low Priority,0.02260432288155147,Secreted Factors
Lama2,Low Priority,0.022670758865966346,ECM Glycoproteins
Cdh13,Low Priority,0.022740574453978746,Non-ECM
Plxdc2,Low Priority,0.022827464873917902,ECM-affiliated Proteins
Ist1,Low Priority,0.022836687680867798,Non-ECM
Adam11,Low Priority,0.022901150662410198,ECM Regulators
Sdc4,Low Priority,0.02303531001699535,ECM-affiliated Proteins
Itm2b,Low Priority,0.02314487248114885,Non-ECM
Gpc4,Low Priority,0.02322387131941654,ECM-affiliated Proteins
Megf8,Low Priority,0.02339243102386365,Secreted Factors
Ntn1,Low Priority,0.02365010823982357,ECM Glycoproteins
Sema4b,Low Priority,0.0251513861525811,ECM-affiliated Proteins
Rnpep,Low Priority,0.026816475449267303,Non-ECM
Col25a1,Low Priority,0.028022938274496798,Collagens
Sema6d,Low Priority,0.029013315567062797,ECM-affiliated Proteins
THBS2,Low Priority,0.02916411866017604,ECM Glycoproteins
Ogfod1,Low Priority,0.029694171703550598,ECM Regulators
Calu,Low Priority,0.02975126335800687,Non-ECM
COL4A2,Low Priority,0.029880851256382433,Collagens
Agrn,Low Priority,0.030282967587935476,ECM Glycoproteins
Pfn1,Low Priority,0.03108680612118675,Non-ECM
Serpinb9,Low Priority,0.031319020348995155,ECM Regulators
C1qtnf9,Low Priority,0.031685862512156215,ECM-affiliated Proteins
CCN2,Low Priority,0.03305653944382437,ECM Glycoproteins
Gpc6,Low Priority,0.03337244000185725,ECM-affiliated Proteins
Ntng1,Low Priority,0.0333968150596053,ECM Glycoproteins
BC048546,Low Priority,0.03378918158000345,ECM Regulators
SPARC,Low Priority,0.033831372794234364,ECM Glycoproteins
