NCTId,BriefTitle,OverallStatus,Phase,Conditions,Interventions,StudyType,StartDate,PrimaryCompletionDate,Enrollment
NCT01101204,The Effects of Hypolipemic and Antidiabetic Treatment on Cytokines,UNKNOWN,NA,Diabetes; Dyslipidemia; Inflammation; Cytokines,"DRUG: Metformin 1000mg, simvastatin 10mg and fenofibrate 100mg",INTERVENTIONAL,2012-07,2012-10,
NCT06680180,Fibrinolysis Resistance in Infection and Trauma,RECRUITING,,Sepsis and Septic Shock; Trauma,DIAGNOSTIC_TEST: Viscoelastometric assessment of fibrinolysis,OBSERVATIONAL,2024-06-01,2025-12-31,
NCT03208166,Pilot Study of Pre-Ischemic Conditioning for Intracranial Atherosclerosis,COMPLETED,NA,Intracranial Atherosclerosis,DEVICE: Doctormate; OTHER: Usual Care,INTERVENTIONAL,2017-06-15,2018-05-30,
NCT05490394,Correlation Study of PAI-1 4G/5G Polymorphism and Postoperative AKI in Patients With Aortic Dissection,COMPLETED,,AKI - Acute Kidney Injury; PAI-1 4G/5G Polymorphism; Aortic Dissection,,OBSERVATIONAL,2022-04-28,2022-06-16,
NCT06235853,Biomarkers of Recurrence and Progression in Non-muscle Invasive Bladder Cancer,COMPLETED,,Non-muscle Invasive Bladder Cancer; Cystoscopy; Recurrence; Progression; Bladder Cancer; Biomarkers,"DIAGNOSTIC_TEST: Blood serum: sUPAR, PAI-1, IL-8.; DIAGNOSTIC_TEST: Urine: IL-8, APOE, VEGF.",OBSERVATIONAL,2020-01-01,2022-12-31,
NCT01916408,The Effects of Enzymes and Flavonoids on Inflammation and Coagulation After Marathon,COMPLETED,PHASE1,"Inflammation; Death, Sudden, Cardiac; Death; Heart Diseases; Cardiovascular Diseases; Pathologic Processes; Death, Sudden; Blood Coagulation Disorders; Respiratory Tract Infections",DRUG: Wobenzym plus; DRUG: PL 1,INTERVENTIONAL,2013-08,2014-01,
NCT00371982,Effect of Fish Oil on Adiposity and Atherogenic Factors in Type 2 Diabetic Women,TERMINATED,NA,Type 2 Diabetes,DRUG: Fish oil (Maxepa),INTERVENTIONAL,2002-12,,
NCT05246774,Study of Serum and Urinary Biomarkers and Radiation Cystitis in Patients Treated With Radiotherapy for Localized Prostate Cancer,UNKNOWN,,Radiation Cystitis; Prostate Cancer; Radiotherapy Side Effect,BIOLOGICAL: Biological sample collection; OTHER: Questionnaires,OBSERVATIONAL,2022-03-01,2024-09,
NCT06454045,Evaluation of Platelet Aggregability in Patients With Previous Acute Myocardial Infarction or Concomitant Lower Extremity Peripheral Artery Disease,ACTIVE_NOT_RECRUITING,,Coronary Artery Disease; Peripheral Arterial Disease,DRUG: Clopidogrel,OBSERVATIONAL,2024-05-13,2026-05-13,
NCT06503809,Efficacy and Safety of a Ketogenic Diet in Type 1 Diabetes,RECRUITING,NA,"Diabetes Mellitus, Type 1",BEHAVIORAL: Ketogenic Diet; BEHAVIORAL: Standard Diet,INTERVENTIONAL,2024-08-12,2029-03-31,
NCT06467643,Minimally Invasive Root Canal Treatment With Active Disinfection on Single Rooted Teeth With Periapical Lesions,COMPLETED,NA,Radiographic Healing of Periapical Lesions Following Ultrasonic Activation of Heated Sodium Hypochlorite Without Instrumentation of Root Canals,PROCEDURE: non-instrumented root canal treatment with passive ultrasonic activation of heated sodium hypochlorite; PROCEDURE: conventional root canal treatment with passive ultrasonic activation of heated sodium hypochlorite,INTERVENTIONAL,2023-07-07,2023-10-07,
NCT01441921,Effect of Pistachio Intake on Insulin Resistance and Type 2 Diabetes Mellitus,COMPLETED,NA,Type 2 Diabetes Mellitus,DIETARY_SUPPLEMENT: Pistachios; OTHER: control diet,INTERVENTIONAL,2011-09,2016-09,
NCT02251795,"Effects of Steady State Tipranavir/Ritonavir or Darunavir/Ritonavir or Ritonavir on Platelet Function, Coagulation and Fibrinolysis Biomarkers in Healthy Subjects",COMPLETED,PHASE1,Healthy,DRUG: Tipranavir; DRUG: Ritonavir; DRUG: Darunavir; DRUG: Aspirin,INTERVENTIONAL,2007-08,2008-06,
NCT00667498,Metabolic Effect of Metformin in Obese Insulin Resistant Adolescents With Normal Glucose Tolerance,COMPLETED,PHASE4,Pediatric Obesity; Insulin Resistance; Hyperinsulinemia,DRUG: Metformin; DRUG: Placebo,INTERVENTIONAL,2004-03,2007-12,
NCT06422494,The Role of the Adrenergic System in Hypoglycaemia Induced Inflammatory Response in People With Type 1 Diabetes and People Without Type 1 Diabetes-RAID-II,ACTIVE_NOT_RECRUITING,NA,"Diabetes Mellitus, Type 1; Inflammation",DRUG: hyperinsulinaemic hypoglycaemic clamp; DRUG: Propranolol Hydrochloride 1 MG/ML; DRUG: Phentolamine,INTERVENTIONAL,2025-01-01,2025-09,
NCT03552757,Research Study Investigating How Well Semaglutide Works in People With Type 2 Diabetes Suffering From Overweight or Obesity,COMPLETED,PHASE3,Obesity; Overweight,DRUG: Semaglutide 1.0 mg; DRUG: Semaglutide 2.4 mg; DRUG: Placebo I (Semaglutide); DRUG: Placebo II (Semaglutide),INTERVENTIONAL,2018-06-04,2020-03-24,
NCT03903302,Study Investigation Pharmacokinetics and Pharmacodynamics of CS1,COMPLETED,PHASE1,Thrombosis,DRUG: CS1-Sodium Valproate,INTERVENTIONAL,2017-10-06,2018-02-28,
NCT02284230,The Effect of Liraglutide in Patients With Prediabetes and Kidney Failure,WITHDRAWN,PHASE2,"Kidney Failure, Chronic; Prediabetic State",DRUG: Liraglutide; DRUG: Placebo,INTERVENTIONAL,2014-12,2015-08,
NCT00092157,Effectiveness of Two Approved Drugs in Lowering High Cholesterol (0733-224),COMPLETED,PHASE3,Hypercholesterolemia,"DRUG: MK0733, simvastatin; DRUG: Comparator: simvastatin",INTERVENTIONAL,2002-05-01,2003-03-03,
NCT04109742,Curcumin for Pediatric Nonalcoholic Fatty Liver Disease,WITHDRAWN,PHASE2,NAFLD - Nonalcoholic Fatty Liver Disease; NASH - Nonalcoholic Steatohepatitis,DRUG: phosphatidylcholine-curcumin complex supplement; DRUG: Placebo curcumin capsule,INTERVENTIONAL,2019-12-09,2020-04-22,
NCT06935942,The Associations of Plasminogen Activator Inhibitor-1 Gene Polymorphisms With Crohn's Disease in Chinese Patients,COMPLETED,,Crohn Disease,BIOLOGICAL: Ustekinumab - Standard Dosage,OBSERVATIONAL,2020-01-01,2025-01-01,
NCT05583305,Prevalence and Etiologies of Intracranial Stenosis in Patients With Antiphospholipid Syndrome,ENROLLING_BY_INVITATION,,Antiphospholipid Syndrome; Stenosis; Intracranial Stenosis,DIAGNOSTIC_TEST: Imaging assessment; DIAGNOSTIC_TEST: Neurosonology assessment; DIAGNOSTIC_TEST: Blood Test,OBSERVATIONAL,2022-10-12,2026-01-31,
NCT00662805,Pharmacovigilance Study to Evaluate Safety of SERETIDE in Participants With Chronic Obstructive Pulmonary Disease (COPD),COMPLETED,,"Pulmonary Disease, Chronic Obstructive",DRUG: Salmeterol/Fluticasone propionate,OBSERVATIONAL,2004-06,2008-09,
NCT03811574,STEP 6: Research Study Investigating How Well Semaglutide Works in People Living With Overweight or Obesity,COMPLETED,PHASE3,Overweight; Obesity,DRUG: Semaglutide; DRUG: Placebo (semaglutide),INTERVENTIONAL,2019-01-21,2020-11-20,
NCT00395512,Efficacy of Alogliptin With Pioglitazone (Actos®) in Subjects With Type 2 Diabetes Mellitus,COMPLETED,PHASE3,Diabetes Mellitus,DRUG: Alogliptin; DRUG: Pioglitazone; DRUG: Placebo,INTERVENTIONAL,2006-11,2008-02,
NCT00608465,Defining Strategies for Improving Endothelial and Fibrinolytic Dysfunction in Obesity,TERMINATED,PHASE4,Metabolic Syndrome X,DRUG: Eplerenone; DRUG: Ramipril,INTERVENTIONAL,2006-05,2009-05,
NCT02186353,Processing Responses of Grains (PRO-Grains) Study,WITHDRAWN,NA,Insulin Resistance; Cardiovascular Disease; Diabetes,BEHAVIORAL: Partial feeding study,INTERVENTIONAL,2014-09,2015-09,
NCT03236272,Establishment of a Biomarkers-based Early Warning System of Acute Respiratory Distress Syndrome (ARDS),UNKNOWN,,"Respiratory Distress Syndrome, Adult",,OBSERVATIONAL,2017-09-15,2020-12-31,
NCT05652972,"Effect of KETOgenic Diet on Metabolism, Inflammation, Nutrition Deficiencies and OXidative Stress in Women With Overweight",ACTIVE_NOT_RECRUITING,NA,Overweight and Obesity,OTHER: Ketogenic diet; OTHER: Control diet,INTERVENTIONAL,2023-02-01,2024-05-30,
NCT05330819,Thrombogenicity of Lipoprotein A: Laboratory Study Defining the Prothrombotic Effects of Lipoprotein A,UNKNOWN,,Cardiovascular Disease and Lipid Disorders; Cardiac Disease,OTHER: Non-interventional,OBSERVATIONAL,2022-05-01,2022-08,
NCT00385931,Efficacy and Safety of Valsartan and the Combination of Valsartan and Simvastatin,COMPLETED,PHASE3,Hypertension; Hypercholesterolemia; Dyslipidemia,DRUG: Valsartan and simvastatin,INTERVENTIONAL,2002-01,2003-04,
NCT02225834,Atorvastatin in Acute Stroke Treatment,COMPLETED,PHASE4,Ischemic Stroke,DRUG: Atorvastatin,INTERVENTIONAL,2011-11,2014-01,
NCT02238821,Role of the MET Oncogene in Human Colorectal Cancer - A Translational Study,COMPLETED,,Colorectal Cancer,,OBSERVATIONAL,2007-10,2016-09,
NCT05789108,Deep Venous Thrombosis and Long Term Complications,RECRUITING,NA,DVT of Legs,DIAGNOSTIC_TEST: Blood sample and Ultrasound examination,INTERVENTIONAL,2023-03-14,2026-03-09,
NCT03012633,Rapid Diagnostic of Hyperfibrinolysis in Liver Transplantation,COMPLETED,,Liver Transplantation,DEVICE: Lysis timer,OBSERVATIONAL,2017-01-09,2017-06-14,
NCT00500955,Rosiglitazone on Microalbuminuria in Type 2 Diabetics,COMPLETED,PHASE3,"Diabetes Mellitus, Type 2",DRUG: Rosiglitazone,INTERVENTIONAL,2000-04,,
NCT06275906,"Influence of a Mediterranean Diet Combined With a Physical Activity Intervention, on NAFLD and Inflammation Parameters.",RECRUITING,NA,NAFLD; Obesity; IBS,OTHER: Mediterranean diet and moderate intensity physical exercise (outdoor walking).,INTERVENTIONAL,2024-03-19,2025-04-08,
NCT03844035,Impacts of Oral Irrigation in Patients With Periimplant Mucositis,COMPLETED,NA,Peri-implant Mucositis,DIAGNOSTIC_TEST: Periimplant crevicular fluid (PICF) collection,INTERVENTIONAL,2014-11-06,2015-05-04,
NCT04389125,Efficacy and Safety of Angelica Gigas Nakai and Allium Cepa L.Extract Mixtures on the Improvement of Blood Flow,UNKNOWN,NA,Blood Flow,DIETARY_SUPPLEMENT: Angelica Gigas Nakai and Allium Cepa L.Extract Mixtures; DIETARY_SUPPLEMENT: Placebo,INTERVENTIONAL,2020-01-30,2021-04-30,
NCT03855501,Apexification Treatment With MTA(Mineral Trioxide Aggregate) and Ca(OH)2,COMPLETED,NA,Immature Teeth,OTHER: Mineral trioxide aggregate; OTHER: Calcium hydroxide,INTERVENTIONAL,2015-01,2019-01,
NCT01704274,GTN Therapy on Biomarkers of Immune Escape in Men With Biochemical Recurrence of Prostate Cancer After Primary Therapy,COMPLETED,PHASE2,Prostate Cancer,OTHER: Low Dose GTN 0.0285 mg/hr; OTHER: High Dose GTN 0.057 mg/hr; OTHER: Placebo,INTERVENTIONAL,2012-04,2017-01,
NCT02310191,Correlation Between Laboratory Markers and Origin of New Brain Ischemic Lesions After Carotid Stenting,COMPLETED,,Carotid Stenosis; Brain Ischemia; Laboratory Problem,PROCEDURE: Carotid stenting,OBSERVATIONAL,2012-07,2014-11,
NCT05588479,Pomegranate Extract and Inflammageing,COMPLETED,NA,Aging,DIETARY_SUPPLEMENT: Pomegranate extract; DIETARY_SUPPLEMENT: Control,INTERVENTIONAL,2022-12-10,2024-06-30,
NCT05713461,Physical Exercise in Obesity for Health and Quality of Life.,COMPLETED,NA,Obesity; Overweight and Obesity; Overweight or Obesity,BEHAVIORAL: exercise training program; BEHAVIORAL: Feeding training,INTERVENTIONAL,2022-10-26,2023-05-31,
NCT05847647,Evaluation of the Effect of Leukocyte and Platelet-rich Fibrin on Healing After Periradicular Surgery,ACTIVE_NOT_RECRUITING,NA,Apical Periodontitis; Periapical Lesion,OTHER: Retrograde Filling Group; OTHER: Retrograde Filling+L-PRF Group; OTHER: (Orthograde Filling Group / OG Group).; OTHER: (Orthograde Filling+L-PRF Group,INTERVENTIONAL,2022-02-07,2023-03-02,
NCT01696448,"The BANGALORE Study; Combination of Berberine, Lipoic Acid, and Picrorhiza",COMPLETED,NA,Metabolic Syndrome,DIETARY_SUPPLEMENT: CAR-191; OTHER: Placebo,INTERVENTIONAL,2012-08,2013-04,
NCT03124108,Study to Evaluate the Efficacy and Safety of Elafibranor in Patients With Primary Biliary Cholangitis (PBC) and Inadequate Response to Ursodeoxycholic Acid,COMPLETED,PHASE2,Primary Biliary Cholangitis (PBC),DRUG: Elafibranor 80 mg; DRUG: Elafibranor 120 mg; DRUG: Placebo,INTERVENTIONAL,2017-04-05,2018-10-31,
NCT01559415,An Adipocyte-Driven Mechanism For Weight Regain After Weight Loss: The Yo-Yo Effect,COMPLETED,NA,Obesity; Weight Loss; Diet,OTHER: Meal replacement diet using Modifast; OTHER: Normal diet combined with Modifast diet,INTERVENTIONAL,2012-03,2014-11,
NCT05496868,Add-on Reparixin in Adult Patients With ARDS,COMPLETED,PHASE2,"Acute Respiratory Distress Syndrome, Adult",DRUG: Reparixin 600mg; OTHER: Matching Placebo,INTERVENTIONAL,2022-12-06,2025-03-18,
NCT03347591,Rare Bleeding Disorders in the Netherlands,UNKNOWN,,Rare Bleeding Disorders,GENETIC: WES; DIAGNOSTIC_TEST: Several assays,OBSERVATIONAL,2017-11-07,2021-07-01,
NCT01261390,Sleep Apnea Intervention for Cardiovascular Disease Reduction,COMPLETED,NA,Obstructive Sleep Apnea,BEHAVIORAL: Conservative Medical Therapy (CMT); DEVICE: Sham PAP (Sham); DEVICE: Active PAP with RT Support (Active-Beh); DEVICE: Active PAP with Behavioral Modification (Active+Beh),INTERVENTIONAL,2011-03,2014-03,
NCT03424460,Venous Thromboembolism in Myotonic Dystrophy Type 1,COMPLETED,NA,Myotonic Dystrophy 1,BIOLOGICAL: Haemostasis tests; BIOLOGICAL: Monocytes and megacaryocytes culture and RNA extraction; GENETIC: RNA extraction,INTERVENTIONAL,2018-06-11,2023-03-15,
NCT05746013,Lipoproteins and ImmunoMetabolism,ACTIVE_NOT_RECRUITING,NA,Obesity; Metabolic Syndrome; Metabolism Disorder; Inflammation; Immune System and Related Disorders,DIETARY_SUPPLEMENT: Lipid Emulsion,INTERVENTIONAL,2020-02-01,2023-05,
NCT01293175,Whole Grain Polyphenol Bioavailability and Effects on Health,COMPLETED,NA,Overweight,DIETARY_SUPPLEMENT: Whole grains,INTERVENTIONAL,2011-02,2012-02,
NCT02876601,Defibrotide in the Human Endotoxemia Model --- an Exploratory Trial Investigating the Effects and the Mechanisms of Defibrotide,COMPLETED,PHASE4,Healthy Volunteers; Endotoxemia,DRUG: Defibrotide; DRUG: Placebo (0.9% sodium chloride); DRUG: Lipopolysaccharide; DRUG: Placebo (0.9% sodium chloride bolus),INTERVENTIONAL,2017-04-18,2018-02-12,
NCT02548689,PAI-1 Expression in Non-scarring Hair Loss,TERMINATED,,Androgenetic Alopecia; Telogen Effluvium; Alopecia Areata,,OBSERVATIONAL,2015-07,2021-06,
NCT01087086,Reduction of the Metabolic Syndrome in Navarra-Spain,COMPLETED,NA,Metabolic Syndrome; Obesity; Diabetes; Cardiovascular Disease,BEHAVIORAL: Crononutrition; BEHAVIORAL: American Heart Association,INTERVENTIONAL,2010-01,2010-12,
NCT05379205,Multidisciplinary Prehabilitation and Postoperative Rehabilitation in Patients Undergoing Resection of Colon Cancer,ACTIVE_NOT_RECRUITING,NA,Colon Cancer; Postoperative Complications,BEHAVIORAL: Prehabilitation program (4 week before the surgery); BEHAVIORAL: Postoperative program (12 week after the surgery); OTHER: Usual Care,INTERVENTIONAL,2022-11-01,2025-07-17,
NCT01409382,Maternal Lifestyle and Neonatal Hypoglycemia,COMPLETED,NA,Hyperinsulinemia; Miscarriages; Pregnancy; Sedentary Lifestyle; Hypoglycemia,BEHAVIORAL: Daily brisk walking plus a carbohydrate-restricted diet,INTERVENTIONAL,2011-03,2013-04,
NCT01906359,Effects of Triacylglycerol Structure on Gut Hormones and Haemostatic Markers,COMPLETED,NA,Type 2 Diabetes Mellitus,OTHER: Native palm olein (IV56); OTHER: Chemically interesterified palm olein (IV56); OTHER: High oleic sunflower oil,INTERVENTIONAL,2012-09,2013-07,
NCT01397682,Epidemiological Observatory on the Health Conditions of Inpatients Aged 65 or Older at the INRCA Research Hospitals,ENROLLING_BY_INVITATION,,Aging; Inpatients,OTHER: blood sample collection,OBSERVATIONAL,2011-05-05,2025-05,
NCT00884819,Effects of Fenofibrate on Metabolic and Reproductive Parameters in Polycystic Ovary Syndrome,TERMINATED,NA,Polycystic Ovary Syndrome,DRUG: Fenofibrate; OTHER: Placebo,INTERVENTIONAL,2008-12,2015-02,
NCT01816165,"Effects of Acipimox on Insulin Action, Vascular Function, and Muscle Function in Type 1 Diabetes",COMPLETED,PHASE3,Type 1 Diabetes,DRUG: Acipimox; DRUG: Placebo,INTERVENTIONAL,2011-06,2015-06-24,
NCT00777647,Effect of Carbonated Soft Drinks on the Body Weight,COMPLETED,NA,Obesity; Metabolic; Complications; Dietary Habits,OTHER: Sugar-sweetened soft drink; OTHER: Aspartame-sweetened soft drink; OTHER: Semi-skimmed milk; OTHER: Water,INTERVENTIONAL,2008-05,2010-12,
NCT06150079,Individualized PEEP Titration on Postoperative Pulmonary Complications,COMPLETED,NA,Postoperative Pulmonary Complications; Positive End-expiratory Pressure; Elderly; Laparoscopic Surgery,PROCEDURE: Pes-Guided PEEP titration,INTERVENTIONAL,2023-11-30,2024-11-18,
NCT02862223,A Study Investigating the Effects of Neprinol Study Product on Vascular Function,COMPLETED,PHASE2,Obesity; Overweight,DIETARY_SUPPLEMENT: Neoprinol,INTERVENTIONAL,2012-03,2014-03,
NCT01337882,"Biodiesel Exhaust, Acute Vascular and Endothelial Responses",COMPLETED,NA,Healthy,OTHER: Forearm venous occlusion plethysmography study,INTERVENTIONAL,2011-04,2011-07,
NCT06643013,Targeting 18kDa Translocator Protein (TSPO) to Improve Brain Endothelial Cell Function in Cerebral Small Vessel Disease,RECRUITING,NA,Cerebral Small Vessel Disease,DRUG: XBD173,INTERVENTIONAL,2024-10,2028-04,
NCT04480892,Fibrinolytic Deficit in Patients With Acute PE,UNKNOWN,,Acute Pulmonary Embolism; Fibrinolytic Deficit,,OBSERVATIONAL,2020-08,2023-12,
NCT04180137,Management of Endothelial Dysfunction in Patients With Chronic Venous Insufficiency After Endovenous Surgical Procedure,COMPLETED,NA,Venous Insufficiency of Leg; Venous Insufficiency (Chronic)(Peripheral); Endothelial Dysfunction,PROCEDURE: Endovenous laser ablation of great saphenous vein (GSV) and microphlebectomy of varicose veins; DRUG: Pharmacotherapy,INTERVENTIONAL,2019-11-28,2020-12-31,
NCT01795248,The Impact of Liraglutide on Glucose Tolerance and the Risk of Type 2 Diabetes in Women With Previous Pregnancy-induced Diabetes,COMPLETED,PHASE4,Gestational Diabetes Mellitus,DRUG: Liraglutide; DRUG: Placebo,INTERVENTIONAL,2012-07,2019-09,
NCT00353834,The Effect of Exenatide Compared to Lantus Insulin on Vascular Function in Type 2 Diabetes,COMPLETED,PHASE4,Type 2 Diabetes Mellitus,DRUG: Exenatide; DRUG: Glargine Insulin,INTERVENTIONAL,2006-08,2010-09,
NCT05328804,Herombopag + rhTPO in Severe Immune Thrombocytopenia,UNKNOWN,PHASE3,Immune Thrombocytopenia,DRUG: rhTPO; DRUG: Herombopag,INTERVENTIONAL,2022-01-01,2023-11-30,
NCT00141778,"Renin-angiotensin-aldosterone System (RAAS), Inflammation, and Post-Operative Atrial Fibrillation (AF)",COMPLETED,"PHASE2, PHASE3",Atrial Fibrillation,DRUG: Placebo; DRUG: Ramipril; DRUG: Spironolactone,INTERVENTIONAL,2005-04,2010-07,
NCT02264743,Oral Verses Patch Trial In Menopausal Women - Individualisation of Oestrogen Therapy,UNKNOWN,PHASE4,Venous Thrombosis; Insulin Resistance,DRUG: Femoston Conti; DRUG: EVOREL® CONTI,INTERVENTIONAL,2013-11,2014-11,
NCT05660798,Effects of Switching From Cigarettes to Tobacco Heating System on Coronary Atherosclerosis Progression,RECRUITING,NA,Coronary Artery Disease; Coronary Atherosclerosis; Nicotine Dependence,BEHAVIORAL: heated tobacco - lifestyle intervention,INTERVENTIONAL,2023-02-09,2025-12-31,
NCT00279045,Diabetes Study With Rosiglitazone Monotherapy Versus Metformin Or Glyburide/Glibenclamide,COMPLETED,PHASE3,"Diabetes Mellitus, Type 2",DRUG: Rosiglitazone; DRUG: glyburide; DRUG: metformin,INTERVENTIONAL,2000-01-03,2006-06-01,
NCT01449110,Resveratrol-enriched Grape Extract (Stilvid) in Primary and Secondary Prevention of Cardiovascular Disease,COMPLETED,PHASE2,Cardiovascular Diseases,DIETARY_SUPPLEMENT: Placebo in primary cardiovascular prevention (PP); DIETARY_SUPPLEMENT: Placebo in secondary prevention; DIETARY_SUPPLEMENT: Grape extract in primary prevention (PP); DIETARY_SUPPLEMENT: Grape extract in SP; DIETARY_SUPPLEMENT: Resveratrol-enriched grape extract in PP; DIETARY_SUPPLEMENT: Resveratrol-enriched grape extract in SP,INTERVENTIONAL,2009-04,2010-10,
NCT05207774,Pre-operative Intranasal Oxytocin for Enhancing Bariatric-induced Diabetes Remission,UNKNOWN,NA,Obesity; Diabetes; Bariatric Surgery,DRUG: Oxytocin; DRUG: placebo,INTERVENTIONAL,2020-01-09,2023-08-30,
NCT02101814,Energy Balance and Inflammation in Obese Adults Bariatric Surgery Follow-up,UNKNOWN,NA,Obesity; Morbid Obesity; Metabolic Syndrome; Inflammation; Energy Balance,PROCEDURE: Roux-en-Y gastric bypass (bariatric surgery),INTERVENTIONAL,2013-03,2015-05,
NCT01317576,Optimizing the Beneficial Health Effects of Exercise for Diabetes: Focus on the Liver!,COMPLETED,NA,"Diabetes Mellitus, Type 2; Non-alcoholic Fatty Liver Disease; Obesity",BEHAVIORAL: Exercise intervention,INTERVENTIONAL,2011-03,2015-11,
NCT00934336,Importance in Type 1 Diabetes Patients of an Optimized Control of Post-Prandial Glycaemia on Oxidant Stress Prevention,COMPLETED,NA,Type 1 Diabetes,OTHER: Therapeutic and preventive strategies; OTHER: Therapeutic and preventive strategies,INTERVENTIONAL,2008-11,2011-04,
NCT07005193,Effects of LPG and Ventilation Interventions on Reducing HAP and Improving Cardiopulmonary Health,NOT_YET_RECRUITING,NA,Cardiopulmonary Function; Environmental Exposures,DEVICE: Using rang hood during cooking; BEHAVIORAL: Using liquefied gas for cooking,INTERVENTIONAL,2025-06-01,2029-06-30,
NCT01547104,"Effect of Linagliptin in Comparison With Glimepiride as Add on to Metformin on Postprandial Beta Cell Function, Postprandial Metabolism and Oxidative Stress in Patients With Type 2 Diabetes Mellitus",UNKNOWN,PHASE4,Diabetes Mellitus Type 2,DRUG: Linagliptin; DRUG: Glimepiride,INTERVENTIONAL,2012-04,2012-10,
NCT00808535,Cardiac Magnetic Resonance Imaging for Detecting Endothelial Dysfunction,UNKNOWN,,Endothelial Dysfunction; Myocardial Perfusion Abnormalities; Cardiac MRI Perfusion With Vasomotor Stress; Diabetes,PROCEDURE: Cardiac Perfusion MRI w Vasomotor Stress,OBSERVATIONAL,2009-02,2010-02,
NCT00000108,Effects of Training Intensity on the CHD Risk Factors in Postmenopausal Women,COMPLETED,NA,Cardiovascular Diseases; Coronary Disease,BEHAVIORAL: Exercise,INTERVENTIONAL,,,
NCT02394249,"SIT LESS 3: The Effect of Low Intensity Physical Activity on Insulin Sensitivity, Mood and Cognitive Performance",COMPLETED,NA,Overweight; Obesity,BEHAVIORAL: Physical activity regime,INTERVENTIONAL,2015-02,2015-09,
NCT02922348,Hormone Replacement for Premature Ovarian Insufficiency,WITHDRAWN,PHASE3,Primary Ovarian Insufficiency,DRUG: Hormone Replacement Therapy; DRUG: Combined Oral Contraceptives,INTERVENTIONAL,2016-03-01,2018-12-01,
NCT00775671,Comparative Effect of Nebivolol vs. Metoprolol on Insulin Sensitivity and Fibrinolytic Balance in Metabolic Syndrome,COMPLETED,PHASE4,Metabolic Syndrome,DRUG: placebo; DRUG: Nebivolol; DRUG: Metoprolol,INTERVENTIONAL,2008-10,2011-06,
NCT05627362,A Study to Assess Safety and Effectiveness of Elafibranor in Adult Participants With Primary Sclerosing Cholangitis.,ACTIVE_NOT_RECRUITING,PHASE2,Primary Sclerosing Cholangitis,DRUG: Elafibranor 80 mg; DRUG: Elafibranor 120 mg; DRUG: Placebo Matched to Elafibranor 80 mg; DRUG: Placebo Matched to Elafibranor 120 mg,INTERVENTIONAL,2022-12-29,2026-08-28,
