Protein,N_Studies,N_Tissues,Matrisome_Category,Matrisome_Division,Shannon_Entropy,Variance_Entropy_CV,Predictability_Score,Aging_Direction,Entropy_Transition,Mean_Zscore_Delta,N_Observations
CXCL14,3,5,Secreted Factors,Matrisome-associated,3.112231512194791,0.4270936988679378,0.6,increase,0.5171877454590819,-0.6813780492810144,5
EFEMP2,2,4,ECM Glycoproteins,Core matrisome,2.84079880437939,0.32722841143330483,0.75,decrease,0.48535710030713547,0.4680501893312515,4
F13A1,4,7,ECM Regulators,Matrisome-associated,3.5011625218547584,0.5173163737627838,0.7142857142857143,increase,0.00718728308826555,0.5922623693259207,7
F2,8,13,ECM Regulators,Matrisome-associated,4.60948827122325,0.4472789722861452,0.7857142857142857,increase,0.07484739577874294,0.5662471442497237,14
F9,6,8,ECM Regulators,Matrisome-associated,4.0221614407803825,0.3932089071554643,0.7777777777777778,increase,0.0726616675309818,1.1089786840702964,9
F10,7,8,ECM Regulators,Matrisome-associated,3.9926438218732794,0.39543830391282064,0.6666666666666666,increase,0.03729693402590378,0.5275915325915354,9
PLG,5,8,ECM Regulators,Matrisome-associated,3.7414907165291598,0.47524120335397546,0.625,increase,0.10139778120718518,0.5820493625810772,8
F12,6,8,ECM Regulators,Matrisome-associated,4.016682186005763,0.39280548583068026,0.8888888888888888,increase,0.10634728534194665,0.5350765707040291,9
SERPINC1,5,8,ECM Regulators,Matrisome-associated,3.704147211748186,0.5212359106848943,0.625,increase,0.0902261941171017,0.5551162080122082,8
SERPINA1,5,8,ECM Regulators,Matrisome-associated,3.946770845231836,0.6047134697061266,0.6,increase,0.02060061375505673,0.15017941651545452,10
SERPINA3,5,8,ECM Regulators,Matrisome-associated,3.908196511682263,0.6373332367340186,0.6,increase,0.016738213600886342,0.14228121566100677,10
AGT,5,8,ECM Regulators,Matrisome-associated,3.7001157853373767,0.530653705558402,0.625,decrease,0.045966091681794996,-0.663870379565451,8
A2M,5,8,ECM Regulators,Matrisome-associated,3.640653908080293,0.5780763788420066,0.75,increase,0.022162579131754234,0.4984654145518097,8
TIMP1,2,5,ECM Regulators,Matrisome-associated,2.8271269538573356,0.44703915273345296,0.6,increase,0.009171782424718389,0.07937164044784947,5
CST3,3,6,ECM Regulators,Matrisome-associated,3.2512208811761405,0.362960258184808,0.5,mixed,0.04395340323770497,0.33699281225593564,6
KNG1,5,8,ECM Regulators,Matrisome-associated,3.645766104726114,0.5714505362597274,0.75,increase,0.043239313362960385,1.3095405867343908,8
TGFB1,2,4,Secreted Factors,Matrisome-associated,2.9316833997017486,0.02169838633798426,1.0,decrease,0.0020142477139899542,-0.1845529636405338,4
COL1A1,5,8,Collagens,Core matrisome,3.759681455507918,0.43669972350085906,0.875,decrease,0.0046237581450453424,-0.4707467661261191,8
COL2A1,4,7,Collagens,Core matrisome,3.62680198596401,0.4090497587123271,0.8571428571428571,decrease,0.1428777783534006,-0.5055708254375896,7
COL3A1,5,8,Collagens,Core matrisome,4.143446606726161,0.3714470647377644,0.9,decrease,0.019137156714151893,-0.4279587874619276,10
FGA,5,8,ECM Glycoproteins,Core matrisome,4.0492801998017365,0.505296941311671,0.7,increase,0.08789652106852547,0.80257210122337,10
FGB,5,8,ECM Glycoproteins,Core matrisome,3.7180707449704116,0.4914206947993995,0.75,increase,0.05586302907811558,0.9837365784815196,8
FGG,5,8,ECM Glycoproteins,Core matrisome,3.6673605371925313,0.5281634327394097,0.875,increase,0.06450998634138061,0.926093407813948,8
C1QA,3,5,ECM-affiliated Proteins,Matrisome-associated,3.0326807805986644,0.466587170090848,0.6,decrease,0.03135159859810632,0.592742248908308,5
C1QB,4,7,ECM-affiliated Proteins,Matrisome-associated,3.519879524237633,0.4860660726228131,0.5714285714285714,decrease,0.012959574829998322,-0.05264358672050758,7
C1QC,4,7,ECM-affiliated Proteins,Matrisome-associated,3.556044491256939,0.45425257411570186,0.7142857142857143,increase,0.003996020013043555,0.45299281151341625,7
LRG1,4,7,ECM Glycoproteins,Core matrisome,3.52191125442931,0.545704987809996,1.0,increase,0.12021349777421975,1.8423011520743027,7
FN1,5,8,ECM Glycoproteins,Core matrisome,3.634189860955425,0.5850775585133058,0.75,increase,9.45137730004042e-05,0.38277663004960205,8
AMBP,5,8,ECM Regulators,Matrisome-associated,3.719204370754947,0.49528315417647667,0.5,mixed,0.029014745644605378,0.39009818546885505,8
CXCL10,3,6,Secreted Factors,Matrisome-associated,3.351256064711246,0.25045915662109464,0.8571428571428571,increase,0.04904560317046738,0.7458976698400278,7
HPX,5,8,ECM-affiliated Proteins,Matrisome-associated,3.722338858069589,0.4955661242609305,0.75,increase,0.0555453493873459,1.2340784764174249,8
SLPI,4,7,ECM Regulators,Matrisome-associated,4.0086698593195464,0.5375066550713918,0.7,decrease,0.06187636176438216,-0.0907246744343069,10
VTN,5,8,ECM Glycoproteins,Core matrisome,3.7111526916802684,0.511027073805517,0.875,increase,0.06172420660968875,1.4384654722535242,8
ANXA1,5,8,ECM-affiliated Proteins,Matrisome-associated,3.6564096380928492,0.5697057273188215,0.75,decrease,0.011659803197146323,-0.4160063651639987,8
HRG,5,8,ECM Regulators,Matrisome-associated,3.717614903984588,0.5032982266414453,0.75,increase,0.0647242905182121,0.44352543505705316,8
S100B,2,4,Secreted Factors,Matrisome-associated,2.8438742274119706,0.31965760005118277,0.75,decrease,0.4686380027788094,0.4457936957918332,4
VWF,4,7,ECM Glycoproteins,Core matrisome,3.5890008991952183,0.42274583036625824,0.5714285714285714,increase,0.040738818621104955,0.2541619664646732,7
SERPINE1,2,4,ECM Regulators,Matrisome-associated,2.7445937940498997,0.14826809002269814,0.75,decrease,0.014062271552161082,-0.2165942135241543,4
SERPINA5,4,7,ECM Regulators,Matrisome-associated,3.6646605666105496,0.3593327936069334,0.8571428571428571,decrease,0.2078421257616665,-0.3094081123321229,7
SERPING1,5,8,ECM Regulators,Matrisome-associated,3.922506961542277,0.6369023260427608,0.5,mixed,0.04171266146271824,0.5322760997743038,10
CLEC3B,3,5,ECM-affiliated Proteins,Matrisome-associated,3.03841259478132,0.37254505791801706,0.8,decrease,0.005758759052183149,-0.23765549176097367,5
SERPINA7,2,4,ECM Regulators,Matrisome-associated,2.7836159514618846,0.14340296764588428,0.75,increase,0.008684820663394932,0.5552129307653355,4
SERPIND1,5,8,ECM Regulators,Matrisome-associated,3.522630685546442,0.6844030929243484,0.625,increase,0.0865681252273871,0.8441124252097925,8
COL5A2,5,8,Collagens,Core matrisome,3.9704030795020113,0.5506482359301317,0.8,decrease,0.053227751377580845,-0.44956063719260975,10
S100A9,5,8,Secreted Factors,Matrisome-associated,4.266860422479916,0.3999580856646661,0.6363636363636364,increase,0.010370794825306118,0.3530033846659532,11
S100A6,4,6,Secreted Factors,Matrisome-associated,3.4281646880414285,0.34895045896184246,0.5,mixed,0.22662064563981577,0.39502465243723894,6
SERPINE2,3,5,ECM Regulators,Matrisome-associated,3.1766989827287953,0.33756184658972554,0.6,decrease,0.35585351059641507,0.9741587824297063,5
CTSD,4,6,ECM Regulators,Matrisome-associated,3.30456670632605,0.4707697700888503,0.8333333333333334,increase,0.006372949284464191,0.4636774759474194,6
ANXA2,5,8,ECM-affiliated Proteins,Matrisome-associated,3.5627741515349354,0.6362737147458535,0.875,decrease,0.025174930313435873,-0.24726364279732863,8
DCN,5,8,Proteoglycans,Core matrisome,3.66203498454096,0.5502403575182333,0.625,decrease,0.01474278684410013,-0.13294348749982007,8
CTSB,4,7,ECM Regulators,Matrisome-associated,3.5814244904025405,0.423491964257034,0.5714285714285714,decrease,0.02520402682152284,-0.01510032836967504,7
LAMB1,5,8,ECM Glycoproteins,Core matrisome,3.805294722038525,0.3892823440883869,0.75,decrease,0.009081973493521966,-0.5213995167680017,8
THBS1,3,5,ECM Glycoproteins,Core matrisome,3.0019839660323777,0.25481648873666923,0.8,decrease,0.006060476136957371,-0.7156356354251373,5
COL1A2,5,8,Collagens,Core matrisome,3.745540189052779,0.4587348202973254,0.875,decrease,0.014340415139804885,-0.5470829760963436,8
ANXA6,5,8,ECM-affiliated Proteins,Matrisome-associated,3.6824853848710983,0.5386525019762921,0.75,decrease,0.01163653036908141,-0.2005750766243141,8
SERPINA6,3,5,ECM Regulators,Matrisome-associated,3.04892964617089,0.4510733662529575,0.8,increase,0.005602107156643554,1.0290110456528478,5
MMP2,2,4,ECM Regulators,Matrisome-associated,2.6683161862879468,0.49486475108117234,0.75,increase,0.014052954300997456,0.33497077237624173,4
COL4A2,5,8,Collagens,Core matrisome,3.8190517002824613,0.3621841766707511,0.625,decrease,0.0001793845357656032,-0.320466479091151,8
SERPINF2,5,8,ECM Regulators,Matrisome-associated,3.703561363080676,0.521498940406212,0.75,increase,0.07802548175840529,0.4593062462089831,8
ANXA5,5,8,ECM-affiliated Proteins,Matrisome-associated,3.654436288409724,0.5712080630661605,0.75,decrease,0.0039511085132970525,-0.13978099546543435,8
LGALS1,5,8,ECM-affiliated Proteins,Matrisome-associated,3.76806805134254,0.4416833145342056,0.625,decrease,0.012573301448732588,0.019889604668231697,8
SPARC,3,5,ECM Glycoproteins,Core matrisome,2.8849424284824536,0.6035917604008921,1.0,decrease,0.01679405885675267,-0.44391991510610057,5
ANXA4,5,8,ECM-affiliated Proteins,Matrisome-associated,3.646640035164935,0.5629527506251208,0.875,decrease,0.025898902514715494,-0.2675285685055725,8
HAPLN1,2,4,Proteoglycans,Core matrisome,2.661093376950797,0.5199393808702606,1.0,decrease,0.01387473929207772,-0.4395086509494988,4
LAMC1,5,8,ECM Glycoproteins,Core matrisome,3.801074298181826,0.38534594359808894,0.75,decrease,0.002036052966547408,-0.34854093441242706,8
COL11A1,3,6,Collagens,Core matrisome,3.4450336325438764,0.3429397326368014,0.8333333333333334,decrease,0.2775207487637569,-0.07710606805211181,6
COL6A1,5,8,Collagens,Core matrisome,3.7395674698792227,0.46476584364058526,0.625,decrease,0.02717447060837408,-0.3325875737544515,8
COL6A2,5,8,Collagens,Core matrisome,3.722502154456549,0.4816012537113551,0.75,decrease,0.03351736970342034,-0.25449893269732726,8
COL6A3,5,8,Collagens,Core matrisome,3.6404121868014006,0.5696608756549155,0.625,decrease,0.03866186147553685,-0.11472250849329,8
VCAN,5,8,Proteoglycans,Core matrisome,3.85554539835435,0.675140932480518,0.8,decrease,0.04117495813616501,-0.11031462658376315,10
P4HA1,3,5,ECM Regulators,Matrisome-associated,3.056227453705384,0.4467792071168692,1.0,decrease,0.0025444800747534413,-0.32512171211605473,5
COL11A2,2,5,Collagens,Core matrisome,2.8621385815808016,0.3451381872206615,1.0,decrease,0.03885972338686705,-0.9096397887899711,5
NID1,5,8,ECM Glycoproteins,Core matrisome,3.791565364323098,0.3982642240824671,0.5,mixed,0.010211483883482753,-0.10653285550221223,8
ELN,4,5,ECM Glycoproteins,Core matrisome,3.6028444832866984,0.40888126373663625,0.5714285714285714,increase,0.08342655130842985,1.5489196124768612,7
ACAN,3,6,Proteoglycans,Core matrisome,3.3193267562579285,0.5000610432729903,0.6666666666666666,decrease,0.23176285488060333,0.4420378655919843,6
LGALS3,5,8,ECM-affiliated Proteins,Matrisome-associated,3.7251829638343468,0.4959117151886469,0.625,decrease,0.03944844637036615,0.07208419425343765,8
IGFBP3,2,4,ECM Glycoproteins,Core matrisome,2.7674741526154945,0.13444061941982396,0.75,decrease,0.006334084955028185,-0.03342631839081684,4
ITIH2,3,5,ECM Regulators,Matrisome-associated,3.0368056847798877,0.4744804650764597,0.8,increase,0.04599791574624712,0.8861871609554253,5
ITIH1,5,8,ECM Regulators,Matrisome-associated,3.628194829584089,0.5841587566281756,0.625,increase,0.08786224732213177,0.3501528833729096,8
ANXA7,5,8,ECM-affiliated Proteins,Matrisome-associated,3.7121821796030248,0.5076908315391148,0.75,decrease,0.01080693514812936,-0.18478984621233238,8
PZP,2,2,ECM Regulators,Matrisome-associated,1.6269704998825443,0.5588026489239593,0.5,mixed,0.7902662847982744,0.3530190347011143,2
OGN,5,8,Proteoglycans,Core matrisome,3.6352971247990746,0.5751621776217559,0.75,decrease,0.019910191839359048,0.0491746538065205,8
COL5A1,5,8,Collagens,Core matrisome,3.7693930930875923,0.4313222489106335,0.875,decrease,0.022389503707882952,-0.5141098905070722,8
BGN,5,8,Proteoglycans,Core matrisome,3.657455374083964,0.5598568526275628,0.625,decrease,0.0386262496657952,0.23474818322041957,8
TGM2,4,7,ECM Regulators,Matrisome-associated,3.605508142387174,0.3951824744821205,0.7142857142857143,decrease,0.017316280786078664,0.022906709213161673,7
TNXB,4,6,ECM Glycoproteins,Core matrisome,3.274748437699549,0.5154485230256576,1.0,decrease,0.03306883175079445,-0.9936116933556377,6
CPN2,4,7,ECM Regulators,Matrisome-associated,3.558824778458741,0.4968981006386752,0.5714285714285714,increase,0.17519316323903011,0.8461097674551828,7
FBLN1,4,7,ECM Glycoproteins,Core matrisome,3.813550290185825,0.38287390723359555,0.6666666666666666,increase,0.010015853860780854,0.3182374836388689,9
S100A1,3,5,Secreted Factors,Matrisome-associated,3.184811791210194,0.31520896141351806,0.8,decrease,0.32218330831555575,-0.7780530735212507,5
LAMA2,4,7,ECM Glycoproteins,Core matrisome,3.5900672548028663,0.42603570344317876,0.7142857142857143,decrease,0.0011242670378708297,-0.1354227527891395,7
TNC,4,7,ECM Glycoproteins,Core matrisome,3.5097243991116205,0.5231251058830568,0.5714285714285714,decrease,0.04090891357169302,-0.060672996839893675,7
S100A4,3,5,Secreted Factors,Matrisome-associated,3.1853089073054144,0.3065737431475993,0.6,decrease,0.3446635304375337,0.46752169550426126,5
COL8A1,4,7,Collagens,Core matrisome,3.664238241316196,0.35140826821244814,0.8571428571428571,decrease,0.1407858963105219,-0.34774113904231035,7
LOX,2,4,ECM Regulators,Matrisome-associated,2.6634452589928865,0.48293522559450697,1.0,decrease,0.008150705168372352,-0.5517279120040235,4
SERPINA4,4,7,ECM Regulators,Matrisome-associated,3.4637759319457393,0.5628230965968525,0.5714285714285714,increase,0.08836844515874276,0.28121267362553476,7
SERPINB1,5,8,ECM Regulators,Matrisome-associated,3.654202514035641,0.5546307952864696,0.5,mixed,0.01671569134380979,0.14749587825110394,8
S100A11,4,7,Secreted Factors,Matrisome-associated,3.540608262568268,0.4647169987777098,0.5714285714285714,decrease,0.02327655103502152,-0.06843802295023024,7
GPC1,3,5,ECM-affiliated Proteins,Matrisome-associated,3.056171861922853,0.20704496580967463,1.0,decrease,0.012705278492755878,-0.5386083139167286,5
SERPINB6,4,6,ECM Regulators,Matrisome-associated,3.2980478243153,0.49129142265328657,0.6666666666666666,decrease,0.010580549623126767,0.3307439306238617,6
THBS2,2,4,ECM Glycoproteins,Core matrisome,2.666127744848071,0.5143225110198347,1.0,decrease,0.008398383462079217,-0.21011348960861068,4
THBS4,3,5,ECM Glycoproteins,Core matrisome,3.1772612162254426,0.34045363194093103,0.6,decrease,0.36391235692929524,0.49600930338377347,5
FBN1,5,8,ECM Glycoproteins,Core matrisome,4.034976860176547,0.5021311371953695,0.7,decrease,0.03873850024736469,-0.08627298745570872,10
TIMP3,4,7,ECM Regulators,Matrisome-associated,3.547478171043977,0.4834837843283547,0.8571428571428571,increase,0.03943375831567575,1.53139276341325,7
IGFALS,4,7,ECM Glycoproteins,Core matrisome,3.703345342445803,0.279323299491997,1.0,increase,0.20692250903068224,0.9122507978645151,7
SERPINF1,5,8,ECM Regulators,Matrisome-associated,3.991304973860498,0.5735457253290689,0.5,mixed,0.05836325438548284,0.2861487968502382,10
COL15A1,4,7,Collagens,Core matrisome,3.5618141882369403,0.45073521842725245,0.8571428571428571,decrease,0.0342035696630662,-0.37438235660577207,7
COL18A1,5,8,Collagens,Core matrisome,4.41647151054743,0.39813772669620634,0.6666666666666666,increase,0.004488439611844475,0.29458651067526037,12
CXCL12,4,7,Secreted Factors,Matrisome-associated,3.494409062371426,0.5277882694975511,0.5714285714285714,decrease,0.08939759940196668,0.9046020060114153,7
LMAN1,5,8,ECM-affiliated Proteins,Matrisome-associated,3.7339434674847545,0.503617974744306,0.5,mixed,0.09996450126082418,0.7243294599170675,8
THBS3,2,4,ECM Glycoproteins,Core matrisome,2.6767888548869525,0.48308182676945616,1.0,decrease,0.023047439412074322,-0.5621883377347277,4
SERPINH1,5,8,ECM Regulators,Matrisome-associated,3.725990306589375,0.49937602787501706,0.75,decrease,0.02328136193272612,-0.45205611548333935,8
ANXA11,5,8,ECM-affiliated Proteins,Matrisome-associated,3.703207110227691,0.52808201204441,0.75,decrease,0.006466322862843876,-0.2807610711884825,8
LUM,5,8,Proteoglycans,Core matrisome,3.646074924934664,0.5682908260702917,0.75,decrease,0.021798642343425323,0.25747142799303063,8
PRELP,5,8,Proteoglycans,Core matrisome,3.6341619866867605,0.5828206274460762,0.75,decrease,0.026723228807421395,0.19105145279720215,8
MFAP2,3,6,ECM Glycoproteins,Core matrisome,3.0572293110929767,0.6694820245799691,0.8333333333333334,decrease,0.02367928388924956,-1.1053053107861415,6
MFAP4,4,7,ECM Glycoproteins,Core matrisome,3.4663745453293875,0.5247551155187288,0.5714285714285714,increase,0.0006110624652694296,0.8281903695746794,7
LAMB2,5,8,ECM Glycoproteins,Core matrisome,3.8061935581196704,0.37988857795374764,0.875,decrease,0.016678078149257314,-0.3882542608936719,8
CCL18,2,4,Secreted Factors,Matrisome-associated,2.873897667039512,0.03130068417049655,1.0,decrease,0.025922351000020258,-0.33860677666648736,4
S100A10,4,6,Secreted Factors,Matrisome-associated,3.31679025379825,0.4483462036906246,0.6666666666666666,decrease,0.018379031277865054,0.044462678945794976,6
SRPX,3,5,ECM Glycoproteins,Core matrisome,3.0504500764201077,0.44101062601768076,0.8,decrease,0.021699922337954203,-0.14142183682422513,5
FBLN2,3,5,ECM Glycoproteins,Core matrisome,3.054622379278387,0.4312085749786296,1.0,decrease,0.009732563682134043,-0.5021510043970323,5
HSPG2,5,8,Proteoglycans,Core matrisome,3.7633783297617653,0.4400125065215351,1.0,decrease,0.00976269995931317,-0.449809804984024,8
COL7A1,3,6,Collagens,Core matrisome,3.3480779495196877,0.4185636012535104,0.5,mixed,0.008824685645413999,-0.09010777580018238,6
PLOD1,3,5,ECM Regulators,Matrisome-associated,3.178770815333461,0.32463331809731516,0.8,decrease,0.3265776204941312,0.4204955523565008,5
COL14A1,5,8,Collagens,Core matrisome,3.706905631196008,0.5085300718287873,0.75,decrease,0.04578046255675822,-0.22041687602705445,8
ITIH3,4,7,ECM Regulators,Matrisome-associated,3.5833824141874975,0.47022724320028914,1.0,increase,0.13319379714245488,1.0747562660821193,7
FMOD,4,6,Proteoglycans,Core matrisome,3.2569079730105703,0.530434261315987,1.0,decrease,0.0036394220503337404,-0.818589723257647,6
COL16A1,4,7,Collagens,Core matrisome,3.520844294129955,0.4807816920481124,1.0,decrease,0.006298929448525226,-0.34006674579462887,7
DPT,5,8,ECM Glycoproteins,Core matrisome,3.672962213880233,0.5305941202717563,0.75,decrease,0.020109226314607098,-0.10106102857263957,8
MFGE8,4,7,ECM Glycoproteins,Core matrisome,3.5213733872936555,0.5122791418045577,0.7142857142857143,decrease,0.015474550617716853,0.008110893850696046,7
EFEMP1,5,8,ECM Glycoproteins,Core matrisome,3.755042830453342,0.45254255045433606,0.75,increase,0.013829709054218153,-0.04872215012612198,8
FSTL1,2,4,Secreted Factors,Matrisome-associated,2.7633139540308025,0.1242420135149928,1.0,decrease,0.013735556348676223,-0.29044764489691904,4
SEMA3B,2,5,ECM-affiliated Proteins,Matrisome-associated,2.8237173616816396,0.4008349760350178,0.6,increase,0.01332358387522159,0.11594657086479314,5
ADAM15,2,3,ECM Regulators,Matrisome-associated,1.6161694793014365,0.4100912806849642,0.6666666666666666,decrease,0.4350966753670967,-1.3265265670313788,3
COL9A2,2,5,Collagens,Core matrisome,2.886218434949184,0.2845516059270483,0.6,decrease,0.0329021776215741,-0.0014446005509420544,5
NID2,5,8,ECM Glycoproteins,Core matrisome,3.777206288962297,0.44384357575196803,0.875,decrease,0.00641363209885959,-0.6301118973993494,8
ITIH4,5,8,ECM Regulators,Matrisome-associated,4.0051459309013415,0.5718720250944102,0.8,increase,0.09822907173526252,0.660550578200785,10
LTBP1,4,7,ECM Glycoproteins,Core matrisome,3.648586103775339,0.3834040683264864,0.8571428571428571,increase,0.11898071962642326,1.1232070876519142,7
LTBP2,2,4,ECM Glycoproteins,Core matrisome,2.739128252123501,0.14718273420229414,1.0,decrease,0.0033600971965629944,-0.1673715778244546,4
POSTN,5,8,ECM Glycoproteins,Core matrisome,3.6175210503030173,0.57855163461864,0.75,increase,0.04271902970899444,0.40401427074215956,8
PCOLCE,2,4,ECM Glycoproteins,Core matrisome,2.663645493434684,0.49708882837920637,1.0,decrease,0.005680166270510101,-0.359382217633986,4
FCN2,2,5,ECM-affiliated Proteins,Matrisome-associated,2.971170453433638,0.2553477536609311,1.0,increase,0.08755179473503183,2.1733207300159347,5
TGFBI,5,8,ECM Glycoproteins,Core matrisome,4.04621934272849,0.5050250137844453,0.5,mixed,0.02727466806677753,0.19593560811074923,10
ADIPOQ,3,5,ECM Glycoproteins,Core matrisome,3.168933965069173,0.0978099626259946,0.6,decrease,0.007516611081101729,-0.009376898959823465,5
IGFBP7,3,6,ECM Glycoproteins,Core matrisome,3.1969505704685655,0.4389785100890395,0.5,mixed,0.05703615900920367,0.05343095681193657,6
LAMA4,5,8,ECM Glycoproteins,Core matrisome,3.7764020552079822,0.4372177969493902,0.625,decrease,0.006997658843832799,-0.13201288316101656,8
ECM1,4,7,ECM Glycoproteins,Core matrisome,3.5111523901109596,0.5220818268947821,0.7142857142857143,increase,0.03494592396599594,0.20740211479902607,7
COL28A1,3,5,Collagens,Core matrisome,3.059396164958593,0.43860324343149304,0.6,decrease,0.012081975182897942,-0.23251385287400234,5
P3H1,3,5,ECM Regulators,Matrisome-associated,3.0744088729237458,0.45358718113582025,0.8,decrease,0.01888207767210842,-0.34265813111246385,5
FNDC1,3,6,ECM Glycoproteins,Core matrisome,3.405849210165749,0.39806797121514437,0.8333333333333334,decrease,0.2389075048193519,-0.1408931739391073,6
FBLN7,2,4,ECM Glycoproteins,Core matrisome,2.8412161598773022,0.32194791293177105,0.75,decrease,0.461992591464733,0.42752923302080675,4
ANXA8,2,2,ECM-affiliated Proteins,Matrisome-associated,1.2505475868494038,0.7916413505827334,1.0,decrease,0.0,-0.24314378156726546,2
VWA1,4,7,ECM Glycoproteins,Core matrisome,3.5822588221000924,0.42919037714261604,0.7142857142857143,decrease,0.012793903361295544,-0.08075943633089026,7
CSPG4,3,5,ECM-affiliated Proteins,Matrisome-associated,3.0451842291830253,0.4731120300200642,1.0,decrease,0.005044832259370302,-0.46985503098646253,5
PLXDC2,2,4,ECM-affiliated Proteins,Matrisome-associated,2.8412981628615483,0.3319692612775037,0.5,mixed,0.4895323243012629,0.5452117756669635,4
VIT,2,4,ECM Glycoproteins,Core matrisome,2.6560736735366155,0.5163830874523611,1.0,decrease,0.006993812906316399,-1.02779754948247,4
CD109,3,5,ECM Regulators,Matrisome-associated,3.0513147776607545,0.46817623729342633,1.0,decrease,0.006302806962602936,-0.5637869299887699,5
ABI3BP,4,6,ECM Glycoproteins,Core matrisome,3.1727437653150643,0.5876489696000907,0.8333333333333334,decrease,0.01532163290621913,-0.2434432796799391,6
ITIH5,4,7,ECM Regulators,Matrisome-associated,3.6382687049958826,0.40208802681214223,0.8571428571428571,decrease,0.18492255970715166,-0.265194394429953,7
ANGPTL5,2,4,Secreted Factors,Matrisome-associated,2.842716264961795,0.3303443565804805,0.75,decrease,0.4571811130503194,0.37862685862265283,4
AEBP1,5,8,ECM Glycoproteins,Core matrisome,3.7148107040141,0.5245618180788894,1.0,decrease,0.011759076251572353,-0.4277370021464041,8
LTBP4,4,7,ECM Glycoproteins,Core matrisome,3.6034660566872594,0.43966736217310637,0.5714285714285714,decrease,0.18842656064187174,0.15402823126428927,7
PXDN,4,7,ECM Glycoproteins,Core matrisome,3.748986271197168,0.47714793944050193,0.625,decrease,0.0028349617671341587,-0.17413293264659113,8
HTRA1,3,6,ECM Regulators,Matrisome-associated,3.2194188499535508,0.5877808316968176,0.8333333333333334,increase,0.03370948242428973,0.5317611373375702,6
PRG4,2,4,Proteoglycans,Core matrisome,2.8341677642688126,0.34686739828957336,0.75,increase,0.4964127749770318,-0.5549517292400237,4
CTHRC1,2,4,ECM Glycoproteins,Core matrisome,2.6728744632540744,0.4812964927508364,1.0,decrease,0.00534490641657559,-0.24864655492948198,4
HMCN1,2,4,ECM Glycoproteins,Core matrisome,2.6891485164037414,0.49965533043515237,0.75,decrease,0.026263264451512724,-0.18633907797841925,4
HAPLN3,2,4,Proteoglycans,Core matrisome,2.8375793680653403,0.343460136642604,0.75,decrease,0.4849721332898865,0.20696649693093128,4
