source,query,title,authors,journal,year,doi,identifier,url,abstract,highlights
PubMed,S100A1 calmodulin binding,"Unveiling the intricate role of S100A1 in regulating RyR1 activity: A commentary on ""Structural insights into the regulation of RyR1 by S100A1"".",,Cell calcium,2024,10.1016/j.ceca.2024.102947,39226841,https://pubmed.ncbi.nlm.nih.gov/39226841/,"S100A1, a calcium-binding protein, plays a crucial role in regulating Ca<sup>2+</sup> signaling pathways in skeletal and cardiac myocytes via interactions with the ryanodine receptor (RyR) to affect Ca<sup>2+</sup> release and contractile performance. Biophysical studies strongly suggest that S100A1 interacts with RyRs but have been inconclusive about both the nature of this interaction and its competition with another important calcium-binding protein, calmodulin (CaM). Thus, high-resolution cryo-EM studies of RyRs in the presence of S100A1, with or without additional CaM, were needed. The elegant work by Weninger et al. demonstrates the interaction between S100A1 and RyR1 through various experiments and confirms that S100A1 activates RyR1 at sub-micromolar Ca<sup>2+</sup> concentrations, increasing the open probability of RyR1 channels.","S100A1, a calcium-binding protein, plays a crucial role in regulating Ca<sup>2+</sup> signaling pathways in skeletal and cardiac myocytes via interactions with the ryanodine receptor (RyR) to affect Ca<sup>2+</sup> release and contractile performance. ; Biophysical studies strongly suggest that S100A1 interacts with RyRs but have been inconclusive about both the nature of this interaction and its competition with another important calcium-binding protein, calmodulin (CaM). ; Thus, high-resolution cryo-EM studies of RyRs in the presence of S100A1, with or without additional CaM, were needed."
PubMed,S100A1 calmodulin binding,Vitamin D and calcium co-therapy mitigates pre-established cadmium nephropathy by regulating renal calcium homeostatic molecules and improving anti-oxidative and anti-inflammatory activities in rat.,,Journal of trace elements in medicine and biology : organ of the Society for Minerals and Trace Elements (GMS),2023,10.1016/j.jtemb.2023.127221,37244046,https://pubmed.ncbi.nlm.nih.gov/37244046/,"Cadmium (Cd) is a major environmental pollutant and chronic toxicity could induce nephropathy by increasing renal oxidative stress and inflammation. Although vitamin D (VD) and calcium (Ca) prophylactic treatments attenuated Cd-induced cell injury, none of the prior studies measure their renoprotective effects against pre-established Cd-nephropathy. To measure the alleviating effects of VD and/or Ca single and dual therapies against pre-established nephrotoxicity induced by chronic Cd toxicity prior to treatment initiation. Forty male adult rats were allocated into: negative controls (NC), positive controls (PC), Ca, VD and VC groups. The study lasted for eight weeks and all animals, except the NC, received CdCl<sub>2</sub> in drinking water (44 mg/L) throughout the study. Ca (100 mg/kg) and/or VD (350 IU/kg) were given (five times/week) during the last four weeks to the designated groups. Subsequently, the expression of transforming growth factor-β (TGF-β1), inducible nitric oxide synthase (iNOS), neutrophil gelatinase-associated lipocalin (NGAL), kidney injury molecule-1 (KIM-1), VD synthesising (Cyp27b1) and catabolizing (Cyp24a1) enzymes with VD receptor (VDR) and binding protein (VDBP) was measured in renal tissues. Similarly, renal expression of Ca voltage-dependent channels (Ca<sub>V</sub>1.1/Ca<sub>V</sub>3.1), store-operated channels (RyR1/ITPR1), and binding proteins (CAM/CAMKIIA/S100A1/S100B) were measured. Serum markers of renal function alongside several markers of oxidative stress (MDA/H<sub>2</sub>O<sub>2</sub>/GSH/GPx/CAT) and inflammation (IL-6/TNF-α/IL-10) together with renal cell apoptosis and expression of caspase-3 were also measured. The PC group exhibited hypovitaminosis D, hypocalcaemia, hypercalciuria, proteinuria, reduced creatinine clearance, and increased renal apoptosis/necrosis with higher caspase-3 expression. Markers of renal tissue damage (TGF-β1/iNOS/NGAL/KIM-1), oxidative stress (MDA/H<sub>2</sub>O<sub>2</sub>), and inflammation (TNF-α/IL-1β/IL-6) increased, whilst the antioxidants (GSH/GPx/CAT) and IL-10 decreased, in the PC group. The PC renal tissues also showed abnormal expression of Cyp27b1, Cyp24a1, VDR, and VDBP, alongside Ca-membranous (Ca<sub>V</sub>1.1/Ca<sub>V</sub>3.1) and store-operated channels (RyR1/ITPR1) and cytosolic Ca-binding proteins (CAM/CAMKIIA/S100A1/S100B). Although VD was superior to Ca monotherapy, their combination revealed the best mitigation effects by attenuating serum and renal tissue Cd concentrations, inflammation and oxidative stress, alongside modulating the expression of VD/Ca-molecules. This study is the first to show improved alleviations against Cd-nephropathy by co-supplementing VD and Ca, possibly by better regulation of Ca-dependent anti-oxidative and anti-inflammatory actions.","Similarly, renal expression of Ca voltage-dependent channels (Ca<sub>V</sub>1.1/Ca<sub>V</sub>3.1), store-operated channels (RyR1/ITPR1), and binding proteins (CAM/CAMKIIA/S100A1/S100B) were measured. ; The PC renal tissues also showed abnormal expression of Cyp27b1, Cyp24a1, VDR, and VDBP, alongside Ca-membranous (Ca<sub>V</sub>1.1/Ca<sub>V</sub>3.1) and store-operated channels (RyR1/ITPR1) and cytosolic Ca-binding proteins (CAM/CAMKIIA/S100A1/S100B)."
PubMed,S100A1 calmodulin binding,TRPM5 Channel Binds Calcium-Binding Proteins Calmodulin and S100A1.,,Biochemistry,2022,10.1021/acs.biochem.1c00647,35225608,https://pubmed.ncbi.nlm.nih.gov/35225608/,"Melastatin transient receptor potential (TRPM) channels belong to one of the most significant subgroups of the transient receptor potential (TRP) channel family. Here, we studied the TRPM5 member, the receptor exposed to calcium-mediated activation, resulting in taste transduction. It is known that most TRP channels are highly modulated through interactions with extracellular and intracellular agents. The binding sites for these ligands are usually located at the intracellular N- and C-termini of the TRP channels, and they can demonstrate the character of an intrinsically disordered protein (IDP), which allows such a region to bind various types of molecules. We explored the N-termini of TRPM5 and found the intracellular regions for calcium-binding proteins (CBPs) the calmodulin (CaM) and calcium-binding protein S1 (S100A1) by in vitro binding assays. Furthermore, molecular docking and molecular dynamics simulations (MDs) of the discovered complexes confirmed their known common binding interface patterns and the uniqueness of the basic residues present in the TRPM binding regions for CaM/S100A1.","We explored the N-termini of TRPM5 and found the intracellular regions for calcium-binding proteins (CBPs) the calmodulin (CaM) and calcium-binding protein S1 (S100A1) by in vitro binding assays. ; Furthermore, molecular docking and molecular dynamics simulations (MDs) of the discovered complexes confirmed their known common binding interface patterns and the uniqueness of the basic residues present in the TRPM binding regions for CaM/S100A1."
PubMed,S100A1 calmodulin binding,TRPM7 N-terminal region forms complexes with calcium binding proteins CaM and S100A1.,,Heliyon,2021,10.1016/j.heliyon.2021.e08490,34917797,https://pubmed.ncbi.nlm.nih.gov/34917797/,"Transient receptor potential melastatin 7 (TRPM7) represents melastatin TRP channel with two significant functions, cation permeability and kinase activity. TRPM7 is widely expressed among tissues and is therefore involved in a variety of cellular functions representing mainly Mg<sup>2+</sup> homeostasis, cellular Ca<sup>2+</sup> flickering, and the regulation of DNA transcription by a cleaved kinase domain translocated to the nucleus. TRPM7 participates in several important biological processes in the nervous and cardiovascular systems. Together with the necessary function of the TRPM7 in these tissues and its recently analyzed overall structure, this channel requires further studies leading to the development of potential therapeutic targets. Here we present the first study investigating the N-termini of TRPM7 with binding regions for important intracellular modulators calmodulin (CaM) and calcium-binding protein S1 (S100A1) using in vitro and in silico approaches. Molecular simulations of the discovered complexes reveal their potential binding interfaces with common interaction patterns and the important role of basic residues present in the N-terminal binding region of TRPM.",Here we present the first study investigating the N-termini of TRPM7 with binding regions for important intracellular modulators calmodulin (CaM) and calcium-binding protein S1 (S100A1) using in vitro and in silico approaches.
PubMed,S100A1 calmodulin binding,Identification and Biochemical Characterization of High Mobility Group Protein 20A as a Novel Ca(2+)/S100A6 Target.,,Biomolecules,2021,10.3390/biom11040510,33808200,https://pubmed.ncbi.nlm.nih.gov/33808200/,"During screening of protein-protein interactions, using human protein arrays carrying 19,676 recombinant glutathione s-transferase (GST)-fused human proteins, we identified the high-mobility protein group 20A (HMG20A) as a novel S100A6 binding partner. We confirmed the Ca<sup>2+</sup>-dependent interaction of HMG20A with S100A6 by the protein array method, biotinylated S100A6 overlay, and GST-pulldown assay in vitro and in transfected COS-7 cells. Co-immunoprecipitation of S100A6 with HMG20A from HeLa cells in a Ca<sup>2+</sup>-dependent manner revealed the physiological relevance of the S100A6/HMG20A interaction. In addition, HMG20A has the ability to interact with S100A1, S100A2, and S100B in a Ca<sup>2+</sup>-dependent manner, but not with S100A4, A11, A12, and calmodulin. S100A6 binding experiments using various HMG20A mutants revealed that Ca<sup>2+</sup>/S100A6 interacts with the C-terminal region (residues 311-342) of HMG20A with stoichiometric binding (HMG20A:S100A6 dimer = 1:1). This was confirmed by the fact that a GST-HMG20A mutant lacking the S100A6 binding region (residues 311-347, HMG20A-ΔC) failed to interact with endogenous S100A6 in transfected COS-7 cells, unlike wild-type HMG20A. Taken together, these results identify, for the first time, HMG20A as a target of Ca<sup>2+</sup>/S100 proteins, and may suggest a novel linkage between Ca<sup>2+</sup>/S100 protein signaling and HMG20A function, including in the regulation of neural differentiation.","During screening of protein-protein interactions, using human protein arrays carrying 19,676 recombinant glutathione s-transferase (GST)-fused human proteins, we identified the high-mobility protein group 20A (HMG20A) as a novel S100A6 binding partner. ; We confirmed the Ca<sup>2+</sup>-dependent interaction of HMG20A with S100A6 by the protein array method, biotinylated S100A6 overlay, and GST-pulldown assay in vitro and in transfected COS-7 cells. ; Co-immunoprecipitation of S100A6 with HMG20A from HeLa cells in a Ca<sup>2+</sup>-dependent manner revealed the physiological relevance of the S100A6/HMG20A interaction."
PubMed,calmodulin CAMK extracellular matrix,Early postnatal reelin treatment suppresses epileptic spasms in a rat model of cortical malformation.,,Neuropharmacology,2025,10.1016/j.neuropharm.2025.110637,40818542,https://pubmed.ncbi.nlm.nih.gov/40818542/,"Malformation of cortical development (MCD) is a major cause of intractable epilepsy and developmental delay in childhood. Reelin, an extracellular matrix glycoprotein, regulates neuronal migration and interneuron development. Therefore, we investigated the therapeutic potential of early postnatal reelin treatment in a rat model of MCD induced by prenatal methyazoxymethanol acetate (MAM) exposure at embryonic day 15. The neonatal rats received either recombinant mouse reelin (10 or 2.5 μg/kg) or vehicle once every 2 days from postnatal day (P) 2 to P14. On P15, N-methyl-D-aspartic acid (NMDA)-induced spasms were evaluated. The 2.5 μg/kg reelin group showed a significant reduction in the number of NMDA-induced spasms compared with the vehicle group (p = 0.043). Further analyses in the 2.5 μg/kg group revealed increase in the expression of alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptor 2 (AMPAR2) and calcium/calmodulin-stimulated protein kinase II (CaMKII), and decreased levels of postsynaptic density protein 95 (PSD95), AMPAR3, and NMDA receptor 1 (NMDAR1) (p < 0.05). Importantly, a marked increase in cortical interneuron expression was observed, suggesting enhanced inhibitory signaling as a key mechanism for the antispasmodic effect. In addition, magnetic resonance imaging showed no significant changes in cortical metabolites, and Golgi staining showed that dendritic arborization remained unchanged. Behavioral assessments revealed no adverse effects associated with reelin administration. In conclusion, early postnatal reelin treatment effectively suppressed spasm susceptibility in MCD rats, likely through increased interneuron expression and selective modulation of synaptic protein levels. These findings support further investigation of reelin as a potential therapeutic strategy for epilepsy associated with MCD.","Further analyses in the 2.5 μg/kg group revealed increase in the expression of alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptor 2 (AMPAR2) and calcium/calmodulin-stimulated protein kinase II (CaMKII), and decreased levels of postsynaptic density protein 95 (PSD95), AMPAR3, and NMDA receptor 1 (NMDAR1) (p < 0.05)."
PubMed,calmodulin CAMK extracellular matrix,CaMKK2 Regulates Macrophage Polarization Induced by Matrix Stiffness: Implications for Shaping the Immune Response in Stiffened Tissues.,,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2025,10.1002/advs.202417778,40036145,https://pubmed.ncbi.nlm.nih.gov/40036145/,"Macrophages are essential for immune responses and maintaining tissue homeostasis, exhibiting a wide range of phenotypes depending on their microenvironment. The extracellular matrix (ECM) is a vital component that provides structural support and organization to tissues, with matrix stiffness acting as a key regulator of macrophage behavior. Using physiologically relevant 3D stiffening hydrogel models, it is found that increased matrix stiffness alone promoted macrophage polarization toward a pro-regenerative phenotype, mimicking the effect of interleukin-4(IL-4) in softer matrices. Blocking Calcium/calmodulin-dependent kinase kinase 2 (CaMKK2) selectively inhibited stiffness-induced macrophage polarization without affecting IL-4-driven pro-regenerative pathways. In functional studies, CaMKK2 deletion prevented M2-like/pro-tumoral polarization caused by matrix stiffening, which in turn hindered tumor growth. In a murine wound healing model, loss of CaMKK2 impaired matrix stiffness-mediated macrophage accumulation, ultimately disrupting vascularization. These findings highlight the critical role of CaMKK2 in the macrophage mechanosensitive fate determination and gene expression program, positioning this kinase as a promising therapeutic target to selectively modulate macrophage responses in pathologically stiff tissues.","Blocking Calcium/calmodulin-dependent kinase kinase 2 (CaMKK2) selectively inhibited stiffness-induced macrophage polarization without affecting IL-4-driven pro-regenerative pathways. ; In functional studies, CaMKK2 deletion prevented M2-like/pro-tumoral polarization caused by matrix stiffening, which in turn hindered tumor growth. ; In a murine wound healing model, loss of CaMKK2 impaired matrix stiffness-mediated macrophage accumulation, ultimately disrupting vascularization."
PubMed,calmodulin CAMK extracellular matrix,Role of CaMKII in diabetes induced vascular injury and its interaction with anti-diabetes therapy.,,Reviews in endocrine & metabolic disorders,2024,10.1007/s11154-023-09855-9,38064002,https://pubmed.ncbi.nlm.nih.gov/38064002/,"Diabetes mellitus is a metabolic disorder denoted by chronic hyperglycemia that drives maladaptive structural changes and functional damage to the vasculature. Attenuation of this pathological remodeling of blood vessels remains an unmet target owing to paucity of information on the metabolic signatures of this process. Ca<sup>2+</sup>/calmodulin-dependent kinase II (CaMKII) is expressed in the vasculature and is implicated in the control of blood vessels homeostasis. Recently, CaMKII has attracted a special attention in view of its chronic upregulated activity in diabetic tissues, yet its role in the diabetic vasculature remains under investigation.This review highlights the physiological and pathological actions of CaMKII in the diabetic vasculature, with focus on the control of the dialogue between endothelial (EC) and vascular smooth muscle cells (VSMC). Activation of CaMKII enhances EC and VSMC proliferation and migration, and increases the production of extracellular matrix which leads to maladaptive remodeling of vessels. This is manifested by activation of genes/proteins implicated in the control of the cell cycle, cytoskeleton organization, proliferation, migration, and inflammation. Endothelial dysfunction is paralleled by impaired nitric oxide signaling, which is also influenced by CaMKII signaling (activation/oxidation). The efficiency of CaMKII inhibitors is currently being tested in animal models, with a focus on the genetic pathways involved in the regulation of CaMKII expression (microRNAs and single nucleotide polymorphisms). Interestingly, studies highlight an interaction between the anti-diabetic drugs and CaMKII expression/activity which requires further investigation. Together, the studies reviewed herein may guide pharmacological approaches to improve health-related outcomes in patients with diabetes.","Ca<sup>2+</sup>/calmodulin-dependent kinase II (CaMKII) is expressed in the vasculature and is implicated in the control of blood vessels homeostasis. ; Recently, CaMKII has attracted a special attention in view of its chronic upregulated activity in diabetic tissues, yet its role in the diabetic vasculature remains under investigation.This review highlights the physiological and pathological actions of CaMKII in the diabetic vasculature, with focus on the control of the dialogue between endothelial (EC) and vascular smooth muscle cells (VSMC). ; Activation of CaMKII enhances EC and VSMC proliferation and migration, and increases the production of extracellular matrix which leads to maladaptive remodeling of vessels."
PubMed,calmodulin CAMK extracellular matrix,The CaMKII Inhibitory Peptide AIP Alleviates Renal Fibrosis Through the TGF-β/Smad and RAF/ERK Pathways.,,The Journal of pharmacology and experimental therapeutics,2023,10.1124/jpet.123.001621,37419684,https://pubmed.ncbi.nlm.nih.gov/37419684/,"Renal fibrosis is characterized by the excessive deposition of extracellular matrix that destroys and replaces the functional renal parenchyma, ultimately leading to organ failure. It is a common pathway by which chronic kidney disease can develop into end-stage renal disease, which has high global morbidity and mortality, and there are currently no good therapeutic agents available. Calcium/calmodulin-dependent protein kinase II (CaMKII) has been indicated to be closely related to the occurrence of renal fibrosis, and its specific inhibitory peptide, autocamtide-2-related inhibitory peptide (AIP), was shown to directly bind the active site of CaMKII. In this study, we examined the effect of AIP on the progression of renal fibrosis and its possible mechanism. The results showed that AIP could inhibit the expression of the fibrosis markers fibronectin, collagen I, matrix metalloproteinase 2, and <i>α</i>-smooth muscle actin in vivo and in vitro. Further analysis revealed that AIP could inhibit the expression of various epithelial-to-mesenchymal transformation-related markers, such as vimentin and Snail 1, in vivo and in vitro. Mechanistically, AIP could significantly inhibit the activation of CaMKII, Smad 2, Raf, and extracellular regulated protein kinases (ERK) in vitro and in vivo and reduce the expression of transforming growth factor-<i>β</i> (TGF-<i>β</i>) in vivo. These results suggested that AIP could alleviate renal fibrosis by inhibiting CaMKII and blocking activation of the TGF-<i>β</i>/Smad2 and RAF/ERK pathways. Our study provides a possible drug candidate and demonstrates that CaMKII is a potential pharmacological target for the treatment of renal fibrosis. SIGNIFICANCE STATEMENT: We have demonstrated that AIP significantly attenuated transforming growth factor-<i>β</i>-1-induced fibrogenesis and ameliorated unilateral ureteral obstruction-induced renal fibrosis through the CaMKII/TGF-β/Smad and CaMKII/RAF/ERK signaling pathways in vitro and in vivo. Our study provides a possible drug candidate and demonstrates that CaMKII can be a potential pharmacological target for the treatment of renal fibrosis.","Calcium/calmodulin-dependent protein kinase II (CaMKII) has been indicated to be closely related to the occurrence of renal fibrosis, and its specific inhibitory peptide, autocamtide-2-related inhibitory peptide (AIP), was shown to directly bind the active site of CaMKII. ; Mechanistically, AIP could significantly inhibit the activation of CaMKII, Smad 2, Raf, and extracellular regulated protein kinases (ERK) in vitro and in vivo and reduce the expression of transforming growth factor-<i>β</i> (TGF-<i>β</i>) in vivo. ; These results suggested that AIP could alleviate renal fibrosis by inhibiting CaMKII and blocking activation of the TGF-<i>β</i>/Smad2 and RAF/ERK pathways."
PubMed,calmodulin CAMK extracellular matrix,CaMKII inhibition due to TRIC-B loss-of-function dysregulates SMAD signaling in osteogenesis imperfecta.,,Matrix biology : journal of the International Society for Matrix Biology,2023,10.1016/j.matbio.2023.05.002,37178987,https://pubmed.ncbi.nlm.nih.gov/37178987/,"Ca<sup>2+</sup> is a second messenger that regulates a variety of cellular responses in bone, including osteoblast differentiation. Mutations in trimeric intracellular cation channel B (TRIC-B), an endoplasmic reticulum channel specific for K<sup>+</sup>, a counter ion for Ca<sup>2+</sup>flux, affect bone and cause a recessive form of osteogenesis imperfecta (OI) with a still puzzling mechanism. Using a conditional Tmem38b knock out mouse, we demonstrated that lack of TRIC-B in osteoblasts strongly impairs skeleton growth and structure, leading to bone fractures. At the cellular level, delayed osteoblast differentiation and decreased collagen synthesis were found consequent to the Ca<sup>2+</sup> imbalance and associated with reduced collagen incorporation in the extracellular matrix and poor mineralization. The impaired SMAD signaling detected in mutant mice, and validated in OI patient osteoblasts, explained the osteoblast malfunction. The reduced SMAD phosphorylation and nuclear translocation were mainly caused by alteration in Ca<sup>2+</sup> calmodulin kinase II (CaMKII)-mediated signaling and to a less extend by a lower TGF-β reservoir. SMAD signaling, osteoblast differentiation and matrix mineralization were only partially rescued by TGF-β treatment, strengthening the impact of CaMKII-SMAD axes on osteoblast function. Our data established the TRIC-B role in osteoblasts and deepened the contribution of the CaMKII-SMAD signaling in bone.","The reduced SMAD phosphorylation and nuclear translocation were mainly caused by alteration in Ca<sup>2+</sup> calmodulin kinase II (CaMKII)-mediated signaling and to a less extend by a lower TGF-β reservoir. ; SMAD signaling, osteoblast differentiation and matrix mineralization were only partially rescued by TGF-β treatment, strengthening the impact of CaMKII-SMAD axes on osteoblast function. ; Our data established the TRIC-B role in osteoblasts and deepened the contribution of the CaMKII-SMAD signaling in bone."
