Canonical_Gene_Symbol,Mean_Zscore_Delta,Std_Zscore_Delta,N_Measurements,N_Tissues,Abs_Mean_Delta
Fbln1,-0.097,0.127,8,8,0.097
TGFBI,-0.097,0.231,10,8,0.097
Serpinf2,0.096,0.321,8,8,0.096
Fbln2,-0.096,0.208,7,7,0.096
Col6a2,0.095,0.372,10,10,0.095
Serpina3k,0.094,0.37,5,5,0.094
HSPG2,-0.091,0.175,8,8,0.091
Col12a1,0.085,0.527,9,9,0.085
FBLN1,0.084,0.269,9,7,0.084
Tgm2,-0.082,0.208,10,10,0.082
Col18a1,0.081,0.107,9,9,0.081
Lman1,-0.08,0.1,5,5,0.08
Hmcn2,-0.08,0.417,5,5,0.08
VWF,0.079,0.653,6,6,0.079
Lama5,0.077,0.154,10,10,0.077
Cst3,-0.077,0.22,9,9,0.077
Anxa3,-0.076,0.115,5,5,0.076
Lgals1,0.073,0.167,10,10,0.073
Fga,-0.073,0.195,10,10,0.073
ANXA6,-0.073,0.586,8,8,0.073
Col6a1,0.071,0.417,10,10,0.071
Tgfbi,0.07,0.199,9,9,0.07
Vwf,0.07,0.222,5,5,0.07
Mbl2,-0.07,0.459,6,6,0.07
Ltbp1,-0.07,0.226,6,6,0.07
Hcfc1,-0.069,0.125,6,6,0.069
Ngly1,-0.069,0.068,6,6,0.069
Dcn,-0.069,0.186,10,10,0.069
LGALS1,-0.068,0.659,8,8,0.068
Ctsl,-0.067,0.26,9,9,0.067
Ecm1,-0.066,0.184,8,8,0.066
BGN,0.065,0.334,8,8,0.065
Serpina1e,-0.065,0.729,8,8,0.065
Anxa6,-0.065,0.126,9,6,0.065
Lamc1,0.063,0.209,7,6,0.063
Itih2,0.061,0.23,6,6,0.061
IGFBP7,-0.061,0.486,6,6,0.061
Col1a1,-0.06,0.44,10,10,0.06
Plxna1,-0.06,0.046,5,5,0.06
Pzp,0.059,0.249,6,6,0.059
COL1A1,-0.059,0.389,8,8,0.059
Tinagl1,0.057,0.221,10,10,0.057
Lama3,-0.056,0.106,6,5,0.056
Chrdl1,-0.056,0.159,5,3,0.056
CST3,0.055,0.184,6,6,0.055
C1qb,0.053,0.092,5,5,0.053
TINAGL1,0.053,0.423,8,5,0.053
Fgf1,-0.053,0.154,6,6,0.053
PRELP,0.051,0.253,8,8,0.051
PXDN,0.05,0.394,8,7,0.05
S100A10,-0.049,0.636,6,6,0.049
Anxa4,0.047,0.168,6,6,0.047
COL4A1,0.047,0.216,6,6,0.047
PAPLN,-0.047,0.468,7,3,0.047
SMOC2,-0.044,0.172,5,5,0.044
Gpc1,0.043,0.181,9,9,0.043
Ctsc,0.043,0.315,6,6,0.043
ACAN,0.042,0.123,5,5,0.042
COL8A1,-0.042,0.818,6,6,0.042
Dpt,0.042,0.299,8,8,0.042
S100a10,-0.041,0.211,6,6,0.041
Col2a1,0.041,0.909,6,6,0.041
MFAP4,-0.04,1.064,5,5,0.04
ABI3BP,-0.039,0.427,6,6,0.039
SEMA3B,-0.037,0.44,5,5,0.037
S100a11,-0.037,0.094,6,6,0.037
Serpind1,0.036,0.085,6,6,0.036
Serping1,-0.036,0.183,5,5,0.036
Itih5,-0.035,0.134,9,9,0.035
SPARC,-0.034,0.523,5,5,0.034
Plxnb1,0.033,0.081,5,5,0.033
S100a9,0.032,0.162,6,6,0.032
DCN,0.032,0.331,8,8,0.032
Serpina6,0.031,0.256,5,5,0.031
Agrn,-0.03,0.193,8,8,0.03
COL4A2,-0.03,0.429,7,7,0.03
Anxa5,0.03,0.364,10,10,0.03
Plg,0.029,0.069,8,8,0.029
Thbs4,0.029,0.306,8,8,0.029
LAMC1,0.029,0.414,8,8,0.029
Hspg2,0.028,0.1,7,6,0.028
SLPI,0.028,0.416,9,7,0.028
CLEC3B,0.027,0.423,5,5,0.027
PRSS2,0.025,0.254,5,5,0.025
Gpc4,-0.023,0.155,7,7,0.023
Plxdc2,-0.023,0.087,5,5,0.023
SERPINB1,-0.023,0.382,8,8,0.023
Lama2,-0.023,0.273,10,10,0.023
Fgg,0.023,0.301,10,10,0.023
Prg2,0.023,0.18,9,3,0.023
FNDC1,0.022,0.926,5,5,0.022
S100a13,-0.021,0.143,5,5,0.021
F9,-0.021,0.298,6,5,0.021
Serpinb1a,-0.02,0.182,10,10,0.02
Ctsz,-0.019,0.143,9,9,0.019
Col6a6,-0.019,0.525,8,8,0.019
Col5a2,-0.017,0.538,8,8,0.017
Spon1,-0.016,0.123,5,5,0.016
S100A8,0.016,0.491,6,6,0.016
Vwa1,0.016,0.156,10,10,0.016
Fgb,-0.016,0.282,10,10,0.016
Lum,-0.015,0.3,10,10,0.015
Ogn,0.013,0.189,8,8,0.013
COL6A6,-0.013,0.378,5,5,0.013
COL7A1,-0.012,0.637,6,6,0.012
DPT,0.01,0.267,8,8,0.01
Col1a2,-0.009,0.465,10,10,0.009
Nid1,-0.008,0.193,10,10,0.008
Serpinb8,-0.008,0.153,9,6,0.008
Adam9,-0.007,0.109,5,5,0.007
MFGE8,-0.006,0.226,7,7,0.006
Ctsh,-0.006,0.323,8,8,0.006
LMAN1,0.005,0.414,5,5,0.005
Adam10,0.004,0.096,7,7,0.004
Prelp,0.003,0.261,10,10,0.003
Vcan,-0.003,0.142,6,6,0.003
Serpina1d,-0.003,0.316,9,9,0.003
