Gene_Upper,Gene_Symbol_Disc,Protein_Name_Disc,Zscore_Delta_Disc,Zscore_Young_Disc,Zscore_Old_Disc,Matrisome_Category_Disc,Abundance_Young_Disc,Abundance_Old_Disc,Gene_Symbol_Kidney,Protein_Name_Kidney,Zscore_Delta_Kidney,Zscore_Young_Kidney,Zscore_Old_Kidney,Matrisome_Category_Kidney,Abundance_Young_Kidney,Abundance_Old_Kidney,Same_Direction,Both_Upregulated,Both_Downregulated,Avg_Zscore_Delta,Aging_Signature
PLG,PLG,"Plasminogen;Plasmin heavy chain A;Activation peptide;Angiostatin;Plasmin heavy chain A, short form;Plasmin light chain B",2.91440644129601,-1.0818383421744624,1.832568099121548,ECM Regulators,24.44375,33.201933333333336,PLG,Plasminogen OS=Homo sapiens GN=PLG PE=1 SV=2,0.1053339000913999,1.008983187878669,1.114317087970069,ECM Regulators,79429.7450237569,99527.18282259144,True,False,False,1.509870170693705,Concordant upregulation (weak)
KNG1,KNG1,Kininogen-1;Kininogen-1 heavy chain;T-kinin;Bradykinin;Lysyl-bradykinin;Kininogen-1 light chain;Low molecular weight growth-promoting factor,2.492200398875263,-0.7517347984686429,1.74046560040662,ECM Regulators,25.2824,32.86723333333333,KNG1,Kininogen-1 OS=Homo sapiens GN=KNG1 PE=1 SV=2,0.4897307421654939,-0.3374753290453726,0.1522554131201214,ECM Regulators,3736.136765308247,12932.944883434233,True,False,False,1.4909655705203784,Concordant upregulation (weak)
ITIH1,ITIH1,Inter-alpha-trypsin inhibitor heavy chain H1,3.088624841317249,-1.672607818608879,1.4160170227083704,ECM Regulators,23.0091,31.714066666666664,ITIH1,Inter-alpha-trypsin inhibitor heavy chain H1 OS=Homo sapiens GN=ITIH1 PE=1 SV=3,-0.1295640664219091,0.0469949422765413,-0.0825691241453678,ECM Regulators,8944.022435143494,7858.944236112093,False,False,False,1.47953038744767,Discordant (tissue-specific)
C7,C7,Complement component C7,2.6440794682437785,-1.1953876289825576,1.4486918392612207,Secreted Factors,24.1615,31.8284,C7,Complement component C7 OS=Homo sapiens GN=C7 PE=1 SV=2,0.2907342884680751,0.9589069156527338,1.249641204120809,Secreted Factors,70894.6069096936,132616.72280487602,True,False,False,1.4674068783559269,Concordant upregulation (weak)
SERPINA4,SERPINA4,Kallistatin,3.06714106288023,-1.7542946505492245,1.3128464123310046,ECM Regulators,22.8172,31.355666666666668,SERPINA4,Kallistatin OS=Homo sapiens GN=SERPINA4 PE=1 SV=3,-0.4251789425638751,-0.8148269337723751,-1.2400058763362505,ECM Regulators,1263.5222777032077,673.8887910967077,False,False,False,1.3209810601581773,Discordant (tissue-specific)
IGFALS,IGFALS,Insulin-like growth factor-binding protein complex acid labile subunit,2.09409333336252,-1.04938486119915,1.0447084721633693,ECM Glycoproteins,24.525,30.44245,IGFALS,Insulin-like growth factor-binding protein complex acid labile subunit OS=Homo sapiens GN=IGFALS PE=1 SV=1,0.3933513349155197,2.901103898449225,3.294455233364745,ECM Glycoproteins,5826354.620869082,10143956.561632885,True,False,False,1.2437223341390198,Concordant upregulation (weak)
HRG,HRG,Histidine-rich glycoprotein,2.272092994069841,-0.7999513656616792,1.4721416284081617,ECM Regulators,25.1582,31.9107,HRG,Histidine-rich glycoprotein OS=Homo sapiens GN=HRG PE=1 SV=1,-0.0395434064496178,0.7097802045237334,0.6702367980741155,ECM Regulators,40271.60339044899,38802.95537541233,False,False,False,1.1162747938101116,Discordant (tissue-specific)
AMBP,AMBP,Protein AMBP;Alpha-1-microglobulin;Inter-alpha-trypsin inhibitor light chain;Trypstatin,2.1462363026297435,-0.9014172589376755,1.244819043692068,ECM Regulators,24.89875,31.1215,AMBP,Protein AMBP OS=Homo sapiens GN=AMBP PE=1 SV=1,0.0358693725545562,0.9130407204811554,0.9489100930357116,ECM Regulators,63884.258121913765,70076.6235348608,True,False,False,1.0910528375921498,Concordant upregulation (weak)
SERPINF2,SERPINF2,Alpha-2-antiplasmin,2.310159788696738,-1.0264005659257809,1.2837592227709576,ECM Regulators,24.582700000000003,31.25533333333333,SERPINF2,Alpha-2-antiplasmin OS=Homo sapiens GN=SERPINF2 PE=1 SV=3,-0.1744793991426334,-0.228485761365861,-0.4029651605084944,ECM Regulators,4785.18938646078,3982.663751587603,False,False,False,1.0678401947770524,Discordant (tissue-specific)
F13A1,F13A1,Coagulation factor XIII A chain,1.2984864647993406,-0.3731393873696477,0.9253470774296928,ECM Regulators,26.278333333333336,30.04426666666667,F13A1,Coagulation factor XIII A chain OS=Homo sapiens GN=F13A1 PE=1 SV=4,0.6980174435474489,-0.5666091073109435,0.1314083362365053,ECM Regulators,2220.467946271867,12373.494356778436,True,True,False,0.9982519541733947,Pan-tissue UPREGULATION
SERPINF1,SERPINF1,Pigment epithelium-derived factor,1.93063308421978,-0.592820643579093,1.3378124406406868,ECM Regulators,25.695933333333333,31.44203333333333,SERPINF1,Pigment epithelium-derived factor OS=Homo sapiens GN=SERPINF1 PE=1 SV=4,0.027743521188555,-0.8557067168311256,-0.8279631956425706,ECM Regulators,1151.454610349827,1616.2994977038609,True,False,False,0.9791883027041676,Concordant upregulation (weak)
SERPINF1,SERPINF1,Pigment epithelium-derived factor,1.93063308421978,-0.592820643579093,1.3378124406406868,ECM Regulators,25.695933333333333,31.44203333333333,SERPINF1,Pigment epithelium-derived factor (Fragment) OS=Homo sapiens GN=SERPINF1 PE=1 SV=1,-0.2401083836873927,-0.7619558476996051,-1.002064231386998,ECM Regulators,1424.77552020827,1116.9313076930878,False,False,False,0.8452623502661937,Discordant (tissue-specific)
ITIH3,ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3,1.121385653945985,-0.7125575213241859,0.4088281326217991,ECM Regulators,25.38375,28.378500000000003,ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3 OS=Homo sapiens GN=ITIH3 PE=1 SV=2,0.3376702954659505,-1.1485801201305514,-0.8109098246646009,ECM Regulators,591.768503824905,1675.8699275297556,True,False,False,0.7295279747059678,Concordant upregulation (weak)
S100A9,S100A9,Protein S100-A9,1.1060667709260126,-1.7616055850685932,-0.6555388141425806,Secreted Factors,22.8001,25.22245,S100A9,Protein S100-A9 OS=Homo sapiens GN=S100A9 PE=1 SV=1,0.3379952253135896,0.2656845097276801,0.6036797350412698,Secreted Factors,14694.474447114984,33694.05197775149,True,False,False,0.7220309981198011,Concordant upregulation (weak)
POSTN,POSTN,Periostin,1.3850227731694775,-0.5747376907810752,0.8102850823884022,ECM Glycoproteins,25.7434,29.6652,POSTN,Periostin OS=Homo sapiens GN=POSTN PE=1 SV=2,-0.0382137722375961,-0.6286738612412772,-0.6668876334788734,ECM Glycoproteins,1928.5298772001668,2274.973534604273,False,False,False,0.6734045004659407,Discordant (tissue-specific)
TIMP3,TIMP3,Metalloproteinase inhibitor 3,0.5126896389617742,0.8963776309970218,1.409067269958796,ECM Regulators,29.901666666666667,31.6898,TIMP3,Metalloproteinase inhibitor 3 OS=Homo sapiens GN=TIMP3 PE=1 SV=2,0.8209537622459159,0.0067189359035312,0.8276726981494471,ECM Regulators,8162.455536176237,54186.61450573296,True,True,False,0.666821700603845,Pan-tissue UPREGULATION
HTRA1,HTRA1,Serine protease HTRA1,0.5006559761353153,1.6863920930648502,2.187048069200165,ECM Regulators,32.395500000000006,34.52126666666666,HTRA1,Serine protease HTRA1 OS=Homo sapiens GN=HTRA1 PE=1 SV=1,0.5161108002966042,-0.2890049325394737,0.2271058677571304,ECM Regulators,4170.815550263979,15158.34484809113,True,True,False,0.5083833882159597,Pan-tissue UPREGULATION
C1QB,C1QB,Complement C1q subcomponent subunit B,0.9441854702922768,-0.5912320189360626,0.3529534513562141,ECM-affiliated Proteins,25.7001,28.20375,C1QB,Complement C1q subcomponent subunit B (Fragment) OS=Homo sapiens GN=C1QB PE=1 SV=4,0.0513295445594723,-0.5738713222705447,-0.5225417777110724,ECM-affiliated Proteins,2184.145508306384,3090.2432907002035,True,False,False,0.49775750742587455,Concordant upregulation (weak)
ECM1,ECM1,Extracellular matrix protein 1,1.2031584070346155,-0.0171380294721819,1.1860203775624336,ECM Glycoproteins,27.249233333333333,30.92046666666667,ECM1,Extracellular matrix protein 1 OS=Homo sapiens GN=ECM1 PE=1 SV=2,-0.2486596747081958,0.3116049704718003,0.0629452957636045,ECM Glycoproteins,16309.068395765931,10700.924463652407,False,False,False,0.47724936616320984,Discordant (tissue-specific)
LAMC1,LAMC1,Laminin subunit gamma-1,0.8459318981944808,-1.3537138341132409,-0.5077819359187601,ECM Glycoproteins,23.77316666666667,25.639433333333333,LAMC1,Laminin subunit gamma-1 OS=Homo sapiens GN=LAMC1 PE=1 SV=3,-0.0428190891209974,3.1025638682860586,3.059744779165061,ECM Glycoproteins,9204766.241492352,6165962.813092224,False,False,False,0.4015564045367417,Discordant (tissue-specific)
LUM,LUM,Lumican,-0.0995422083104928,2.850836577793866,2.751294369483373,Proteoglycans,36.44286666666667,36.7271,LUM,Lumican OS=Homo sapiens GN=LUM PE=1 SV=2,0.8804960254053662,0.9529020608791412,1.8333980862845076,Proteoglycans,69934.75126762064,457441.460096837,False,False,False,0.3904769085474367,Discordant (tissue-specific)
A2M,A2M,Alpha-2-macroglobulin,0.7926997111412326,1.913828698718748,2.70652840985998,ECM Regulators,33.15006666666667,36.5472,A2M,Alpha-2-macroglobulin OS=Homo sapiens GN=A2M PE=1 SV=3,-0.0293871915810686,0.3933685598773055,0.3639813682962369,ECM Regulators,19635.5441936052,20264.858266387837,False,False,False,0.381656259780082,Discordant (tissue-specific)
OGN,OGN,Mimecan,-0.0138587054238432,2.330872834923609,2.317014129499766,Proteoglycans,34.57826666666667,35.01763333333333,OGN,Mimecan OS=Homo sapiens GN=OGN PE=1 SV=1,0.7719882392821874,0.4228139921885011,1.1948022314706883,Proteoglycans,20992.9805448726,118054.42937146296,False,False,False,0.3790647669291721,Discordant (tissue-specific)
SERPINA1,SERPINA1,Alpha-1-antitrypsin;Short peptide from AAT,0.4155065613568602,2.3269047270236545,2.7424112883805147,ECM Regulators,34.5644,36.69133333333334,SERPINA1,Alpha-1-antitrypsin OS=Homo sapiens GN=SERPINA1 PE=1 SV=3,0.3337360691451217,-0.7609258085969288,-0.427189739451807,ECM Regulators,1428.1132677115231,3783.1461559322593,True,False,False,0.37462131525099096,Concordant upregulation (weak)
COL18A1,COL18A1,Collagen alpha-1(XVIII) chain;Endostatin,0.1397339296091479,0.236286573763632,0.37602050337278,Collagens,27.961366666666667,28.27576666666667,COL18A1,Collagen alpha-1(XVIII) chain OS=Homo sapiens GN=COL18A1 PE=1 SV=5,0.5348414475223731,1.7395421991984676,2.2743836467208407,Collagens,417092.9091748337,1165615.813949093,True,False,False,0.33728768856576047,Concordant upregulation (weak)
FN1,FN1,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,0.0881448208738535,3.5703080359304984,3.658452856804352,ECM Glycoproteins,39.18513333333333,40.56423333333333,FN1,Fibronectin OS=Homo sapiens GN=FN1 PE=1 SV=4,0.5536114270102865,1.9779335724589824,2.531544999469269,ECM Glycoproteins,716570.758308128,2011143.0559538333,True,False,False,0.32087812394207005,Concordant upregulation (weak)
PRELP,PRELP,Prolargin,-0.278400404309711,2.77328889647327,2.4948884921635583,Proteoglycans,36.1587,35.70823333333333,PRELP,Prolargin OS=Homo sapiens GN=PRELP PE=1 SV=1,0.910899550871796,0.4767564245582082,1.3876559754300044,Proteoglycans,23727.794799872067,177718.70686927115,False,False,False,0.3162495732810425,Discordant (tissue-specific)
NID1,NID1,Nidogen-1,0.4456091816196017,-1.0510599228976245,-0.6054507412780228,ECM Glycoproteins,24.5208,25.36306666666667,NID1,Nidogen-1 OS=Homo sapiens GN=NID1 PE=1 SV=3,0.165553940354012,2.4651013314826837,2.630655271836696,ECM Glycoproteins,2165457.01281784,2481645.047218643,True,False,False,0.3055815609868069,Concordant upregulation (weak)
COL1A1,COL1A1,Collagen alpha-1(I) chain,0.0444861064895192,1.1639624450835384,1.2084485515730576,Collagens,30.724766666666664,30.997,COL1A1,Collagen alpha-1(I) chain OS=Homo sapiens GN=COL1A1 PE=1 SV=5,0.5195352096005297,2.6594974878487005,3.1790326974492302,Collagens,3366676.3773514964,7941169.491345448,True,False,False,0.28201065804502445,Concordant upregulation (weak)
PXDN,PXDN,Peroxidasin homolog,0.3201535799819084,0.4413422453917268,0.7614958253736352,ECM Glycoproteins,28.550700000000003,29.505866666666662,PXDN,Peroxidasin homolog OS=Homo sapiens GN=PXDN PE=1 SV=2,0.1964624832970988,0.2204392136450815,0.4169016969421804,ECM Glycoproteins,13260.024411955124,22672.220909302123,True,False,False,0.2583080316395036,Concordant upregulation (weak)
SERPINA3,SERPINA3,Alpha-1-antichymotrypsin;Alpha-1-antichymotrypsin His-Pro-less,0.4982462146384128,1.6797451513932993,2.177991366031712,ECM Regulators,32.37370000000001,34.48693333333333,SERPINA3,Alpha-1-antichymotrypsin OS=Homo sapiens GN=SERPINA3 PE=1 SV=2,-0.0040932326436131,-0.29686230524726,-0.3009555378908731,ECM Regulators,4097.0632188072295,4944.954372641843,False,False,False,0.24707649099739984,Discordant (tissue-specific)
SERPING1,SERPING1,Plasma protease C1 inhibitor,-0.0899206123635587,1.7388863476431713,1.6489657352796123,ECM Regulators,32.56816666666666,32.53796666666666,SERPING1,Plasma protease C1 inhibitor OS=Homo sapiens GN=SERPING1 PE=1 SV=2,0.5834264438362433,-1.06663033025872,-0.4832038864224768,ECM Regulators,712.9667200774423,3359.235952878966,False,False,False,0.2467529157363423,Discordant (tissue-specific)
COL18A1,COL18A1,Collagen alpha-1(XVIII) chain;Endostatin,0.1397339296091479,0.236286573763632,0.37602050337278,Collagens,27.961366666666667,28.27576666666667,COL18A1,Collagen alpha-1(XVIII) chain (Fragment) OS=Homo sapiens GN=COL18A1 PE=1 SV=1,0.3508290411937519,-0.1579913380581294,0.1928377031356225,Collagens,5615.801614498944,14095.584102201943,True,False,False,0.2452814854014499,Concordant upregulation (weak)
EFEMP1,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,0.2968356755060819,0.7118964261500293,1.0087321016561113,ECM Glycoproteins,29.346666666666668,30.3219,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1 OS=Homo sapiens GN=EFEMP1 PE=1 SV=2,0.1044469131086862,1.1763877923990496,1.2808347055077358,ECM Glycoproteins,116151.8514122802,141687.90624517144,True,False,False,0.20064129430738406,Concordant upregulation (weak)
TGFBI,TGFBI,Transforming growth factor-beta-induced protein ig-h3,-0.2143349606112321,2.006444035627471,1.7921090750162387,ECM Glycoproteins,33.4622,33.0545,TGFBI,Transforming growth factor-beta-induced protein ig-h3 OS=Homo sapiens GN=TGFBI PE=1 SV=1,0.5565730489748882,0.958171309036404,1.5147443580112925,ECM Glycoproteins,70776.3182372881,232703.41947400465,False,False,False,0.17111904418182805,Discordant (tissue-specific)
VCAN,VCAN,Versican core protein,-0.7691060785351378,2.935592481607333,2.166486403072195,Proteoglycans,36.75593333333333,34.44336666666667,VCAN,Versican core protein (Fragment) OS=Homo sapiens GN=VCAN PE=1 SV=1,1.1006964020466783,-1.558193921711254,-0.4574975196645754,Proteoglycans,232.91286883882617,3547.5384345962434,False,False,False,0.16579516175577025,Discordant (tissue-specific)
VWA1,VWA1,von Willebrand factor A domain-containing protein 1,-0.1158242145564508,0.0609343800654559,-0.0548898344909948,ECM Glycoproteins,27.466733333333337,26.9593,VWA1,von Willebrand factor A domain-containing protein 1 OS=Homo sapiens GN=VWA1 PE=1 SV=1,0.4461191956209123,1.2078732255834697,1.653992421204382,ECM Glycoproteins,124757.69047048304,312660.72201099334,False,False,False,0.16514749053223074,Discordant (tissue-specific)
DCN,DCN,Decorin,-0.0722104166605959,2.549384337731131,2.477173921070535,Proteoglycans,35.35026666666667,35.638866666666665,DCN,Decorin OS=Homo sapiens GN=DCN PE=1 SV=1,0.401655059011138,1.214657880473472,1.61631293948461,Proteoglycans,126694.05921392769,288645.1655409867,False,False,False,0.16472232117527105,Discordant (tissue-specific)
FBLN1,FBLN1,Fibulin-1,-0.066911764898498,0.7680708407492032,0.7011590758507051,ECM Glycoproteins,29.5146,29.309966666666668,FBLN1,Fibulin-1 OS=Homo sapiens GN=FBLN1 PE=1 SV=4,0.3821399903863114,0.3318217062597212,0.7139616966460326,ECM Glycoproteins,17075.037685773554,42573.90918281424,False,False,False,0.15761411274390671,Discordant (tissue-specific)
TGM2,TGM2,Protein-glutamine gamma-glutamyltransferase 2,-0.249027254693547,-0.2171047515506845,-0.4661320062442315,ECM Regulators,26.6997,25.758166666666664,TGM2,Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens GN=TGM2 PE=1 SV=2,0.5497198770115643,1.940937880289205,2.4906577573007693,ECM Regulators,658848.6034577764,1844077.4319583431,False,False,False,0.15034631115900865,Discordant (tissue-specific)
CST3,CST3,Cystatin-C,-0.2259618270652101,0.9210420886930732,0.6950802616278631,ECM Regulators,29.976633333333336,29.2903,CST3,Cystatin-C OS=Homo sapiens GN=CST3 PE=1 SV=1,0.5127011922465461,-0.888677069061095,-0.3759758768145489,ECM Regulators,1068.3477065475647,4217.365320738237,False,False,False,0.143369682590668,Discordant (tissue-specific)
DPT,DPT,Dermatopontin,-0.216018071771898,1.3035159245653838,1.0874978527934858,ECM Glycoproteins,31.1627,30.58643333333333,DPT,Dermatopontin OS=Homo sapiens GN=DPT PE=1 SV=2,0.4956778036052448,0.478323601533084,0.9740014051383288,ECM Glycoproteins,23812.36303056103,73907.18541356814,False,False,False,0.1398298659166734,Discordant (tissue-specific)
MMRN2,MMRN2,Multimerin-2,0.01938450655573,-0.5330687620301059,-0.5136842554743758,ECM Glycoproteins,25.8531,25.62265,MMRN2,Multimerin-2 OS=Homo sapiens GN=MMRN2 PE=1 SV=2,0.24143511487295,0.3427325717220525,0.5841676865950026,ECM Glycoproteins,17503.267191489354,32328.00695885793,True,False,False,0.13040981071434,Concordant upregulation (weak)
COL9A2,COL9A2,Collagen alpha-2(IX) chain,0.0139296155893482,0.0030566449591945,0.0169862605485428,Collagens,27.305333333333333,27.1747,COL9A2,Collagen alpha-2(IX) chain (Fragment) OS=Homo sapiens GN=COL9A2 PE=4 SV=6,0.2082834113404,0.4130478570750158,0.6213312684154159,Collagens,20532.667747282667,34979.5037975344,True,False,False,0.11110651346487409,Concordant upregulation (weak)
BGN,BGN,Biglycan,-0.4996180920650817,2.8197520188434613,2.32013392677838,Proteoglycans,36.3287,35.02963333333333,BGN,Biglycan OS=Homo sapiens GN=BGN PE=1 SV=2,0.7188436238646312,1.0431077486135607,1.761951372478192,Proteoglycans,85827.48311312027,393116.56149577,False,False,False,0.10961276589977476,Discordant (tissue-specific)
COL16A1,COL16A1,Collagen alpha-1(XVI) chain,0.1595424777779861,-0.6078294901116721,-0.4482870123336859,Collagens,25.6566,25.8092,COL16A1,Collagen alpha-1(XVI) chain OS=Homo sapiens GN=COL16A1 PE=1 SV=2,0.0553403928344633,1.6889943846174431,1.7443347774519065,Collagens,371876.284702387,378698.472133484,True,False,False,0.1074414353062247,Concordant upregulation (weak)
SERPINB1,SERPINB1,Leukocyte elastase inhibitor,-0.0105791591351748,-0.8412056549327297,-0.8517848140679045,ECM Regulators,25.0524,24.6787,SERPINB1,Leukocyte elastase inhibitor OS=Homo sapiens GN=SERPINB1 PE=1 SV=1,0.1457557598863135,-1.5485843814939326,-1.4028286216076191,ECM Regulators,238.07160170563165,476.7998617370827,False,False,False,0.06758830037556936,Discordant (tissue-specific)
CXCL12,CXCL12,Stromal cell-derived factor 1;SDF-1-beta(3-72);SDF-1-alpha(3-67),-0.5006155832119434,0.9000772700340622,0.3994616868221187,Secreted Factors,29.9129,28.34913333333333,CXCL12,Stromal cell-derived factor 1 OS=Homo sapiens GN=CXCL12 PE=1 SV=1,0.6232813149844185,-0.6296045463398469,-0.0063232313554283,Secreted Factors,1924.457609288264,9238.62439081983,False,False,False,0.06133286588623754,Discordant (tissue-specific)
COL5A2,COL5A2,Collagen alpha-2(V) chain,-0.8588913553753204,1.4062869333523411,0.547395577977021,Collagens,31.489066666666663,28.8164,COL5A2,Collagen alpha-2(V) chain OS=Homo sapiens GN=COL5A2 PE=1 SV=1,0.9676057784483842,-3.961172523818278,-2.9935667453698938,Collagens,0.0,15.365068455657434,False,False,False,0.054357211536531946,Discordant (tissue-specific)
SERPINA3,SERPINA3,Alpha-1-antichymotrypsin;Alpha-1-antichymotrypsin His-Pro-less,0.4982462146384128,1.6797451513932993,2.177991366031712,ECM Regulators,32.37370000000001,34.48693333333333,SERPINA3,Alpha-1-antichymotrypsin OS=Homo sapiens GN=SERPINA3 PE=1 SV=1,-0.3925837008665943,-0.459484680203935,-0.8520683810705293,ECM Regulators,2832.0362379886064,1535.687860714698,False,False,False,0.052831256885909256,Discordant (tissue-specific)
LTBP4,LTBP4,Latent-transforming growth factor beta-binding protein 4,-0.201839257956399,0.1291344000974104,-0.0727048578589886,ECM Glycoproteins,27.6581,26.906166666666667,LTBP4,Latent-transforming growth factor beta-binding protein 4 OS=Homo sapiens GN=LTBP4 PE=1 SV=2,0.2813871978320184,-0.0418416075485973,0.239545590283421,ECM Glycoproteins,7310.3748492759005,15563.6528061176,False,False,False,0.03977396993780968,Discordant (tissue-specific)
SERPINA1,SERPINA1,Alpha-1-antitrypsin;Short peptide from AAT,0.4155065613568602,2.3269047270236545,2.7424112883805147,ECM Regulators,34.5644,36.69133333333334,SERPINA1,Alpha-1-antitrypsin OS=Homo sapiens GN=SERPINA1 PE=1 SV=1,-0.377604357058498,0.4326587349910217,0.0550543779325237,ECM Regulators,21467.44299590413,10523.296242020862,False,False,False,0.01895110214918111,Discordant (tissue-specific)
LAMB2,LAMB2,Laminin subunit beta-2,0.0596724288872028,-1.3194891615278137,-1.259816732640611,ECM Glycoproteins,23.8566,23.58396666666667,LAMB2,Laminin subunit beta-2 OS=Homo sapiens GN=LAMB2 PE=1 SV=2,-0.0301044432723101,3.1623917201519203,3.13228727687961,ECM Glycoproteins,10543771.638203263,7191580.30848438,False,False,False,0.014783992807446349,Discordant (tissue-specific)
LAMA4,LAMA4,Laminin subunit alpha-4,-0.0693573676829508,-0.8734649335014346,-0.9428223011843856,ECM Glycoproteins,24.969966666666664,24.430300000000003,LAMA4,Laminin subunit alpha-4 OS=Homo sapiens GN=LAMA4 PE=1 SV=1,0.0563855449846412,0.7042214275697696,0.7606069725544108,ECM Glycoproteins,39766.60214246404,47001.57010797844,False,False,False,-0.006485911349154799,Discordant (tissue-specific)
