Index,Protein,In_S100_Pathway
141,COL16A1,False
142,COL17A1,False
143,COL18A1,False
144,COL1A1,True
145,COL1A2,False
146,COL21A1,False
147,COL22A1,False
148,COL27A1,False
149,COL28A1,False
150,COL2A1,False
151,COL3A1,False
152,COL4A1,False
153,COL4A2,False
154,COL4A3,False
155,COL4A4,False
156,COL4A5,False
157,COL4A6,False
158,COL5A1,False
159,COL5A2,False
160,COL5A3,False
161,COL6A1,False
162,COL6A2,False
163,COL6A3,False
164,COL6A4,False
165,COL6A5,False
166,COL6A6,False
167,COL7A1,False
168,COL8A1,False
169,COL8A2,False
170,COL9A1,False
171,COL9A2,False
172,COL9A3,False
173,COLEC12,False
174,COLQ,False
175,COMP,False
176,CPAMD8,False
177,CPN2,False
178,CRELD1,False
179,CRELD2,False
180,CRISPLD1,False
181,CRISPLD2,False
182,CRLF1,False
183,CRLF3,False
184,CSPG4,False
185,CST12,False
186,CST3,False
187,CST6,False
188,CSTA,False
189,CSTB,False
190,CTGF,False
191,CTHRC1,False
192,CTSA,False
193,CTSB,False
194,CTSC,False
195,CTSD,False
196,CTSF,False
197,CTSG,False
198,CTSH,False
199,CTSL,False
200,CTSS,False
201,CTSV,False
202,CTSZ,False
203,CXCL10,False
204,CXCL12,False
205,CXCL14,False
206,CXCL15,False
207,CYR61,False
208,Cabp1,False
209,Cap2,False
210,Cbln1,False
211,Cbln4,False
212,Ccl21c,False
213,Cd109,False
214,Cd209d,False
215,Chad,False
216,Chadl,False
217,Chl1,False
218,Cilp,False
219,Cilp2,False
220,Clec10a,False
221,Clec1a,False
222,Clec2l,False
223,Clec3b,False
224,Coch,False
225,Col11a1,False
226,Col11a2,False
227,Col12a1,False
228,Col14a1,False
229,Col15a1,False
230,Col18a1,False
231,Col1a1,False
232,Col1a2,False
233,Col25a1,False
234,Col2a1,False
235,Col3a1,False
236,Col4a1,False
237,Col4a2,False
238,Col4a3,False
239,Col4a4,False
240,Col4a5,False
241,Col5a1,False
242,Col5a2,False
243,Col6a1,False
244,Col6a2,False
245,Col6a3,False
246,Col6a5,False
247,Col6a6,False
248,Col8a2,False
249,Colec11,False
250,Colec12,False
251,Comp,False
252,Cpn2,False
253,Creld1,False
254,Creld2,False
255,Crlf3,False
256,Crp,False
257,Cspg4,False
258,Cspg5,False
259,Cst3,False
260,Cstb,False
261,Ctsa,False
262,Ctsb,False
263,Ctsc,False
264,Ctsd,False
265,Ctsf,False
266,Ctsh,False
267,Ctsl,False
268,Ctss,False
269,Ctsz,False
270,Cx3cl1,False
271,Cxcl12,False
272,Cyr61,False
273,DCN,False
274,DPT,False
275,DSP,False
276,Dcn,False
277,Dpt,False
278,Dsp,False
279,EBI3,False
280,ECM1,False
281,ECM2,False
282,EDIL3,False
283,EFEMP1,False
284,EFEMP2,False
285,EGF,False
286,EGFL7,False
287,EGFLAM,False
288,EGLN1,False
289,ELANE,False
290,ELN,False
291,EMID1,False
292,EMILIN1,False
293,EMILIN2,False
294,EMILIN3,False
295,EPYC,False
296,Ecm1,False
297,Edil3,False
298,Efemp1,False
299,Efemp2,False
300,Egfl7,False
301,Egln1,False
302,Elfn1,False
303,Elfn2,False
304,Eln,False
305,Emilin1,False
306,Emilin2,False
307,F10,False
308,F12,False
309,F13A1,False
310,F13B,True
311,F13a1,False
312,F13b,False
313,F2,False
314,F7,False
315,F9,False
316,FAM132A,False
317,FAM20C,False
318,FBLN1,False
319,FBLN2,False
320,FBLN5,False
321,FBLN7,False
322,FBN1,False
323,FBN2,False
324,FBN3,False
325,FCN1,False
326,FCN2,False
327,FCN3,False
328,FGA,False
329,FGB,False
330,FGF1,False
331,FGF12,False
332,FGF2,False
333,FGFBP2,False
334,FGG,False
335,FGL1,False
336,FGL2,False
337,FLG,False
338,FLG2,False
339,FMOD,False
340,FN1,True
341,FNDC1,False
342,FRAS1,False
343,FREM1,False
344,FREM2,False
345,FRZB,False
346,FSTL1,False
347,FSTL3,False
348,Fam20b,False
349,Fbln1,False
350,Fbln2,False
351,Fbln5,False
352,Fbn1,False
353,Fbn2,False
354,Fcn1,False
355,Fga,False
356,Fgb,False
357,Fgf1,False
358,Fgf12,False
359,Fgf13,False
360,Fgf2,False
361,Fgfbp1,False
362,Fgg,False
363,Fgl2,False
364,Fmod,False
365,Fn1,False
366,Fstl1,False
367,GAS6,False
368,GDF10,False
369,GDF15,False
370,GDF5,False
371,GDF6,False
372,GLDN,False
373,GPC1,False
374,GPC4,False
375,GPC6,False
376,GREM1,False
377,Gas6,False
378,Gpc1,False
379,Gpc4,False
380,Gpc5,False
381,Gpc6,False
382,Grip1,False
383,HABP2,False
384,HAPLN1,False
385,HAPLN3,False
386,HCFC1,False
387,HCFC2,False
388,HGF,False
389,HGFAC,False
390,HHIP,False
391,HMCN1,False
392,HMCN2,False
393,HPX,False
394,HRG,False
395,HRNR,False
396,HSPG2,False
397,HTRA1,False
398,HTRA3,False
399,HTRA4,False
400,HYAL1,False
401,HYAL2,False
402,Habp2,False
403,Hapln1,False
404,Hapln2,False
405,Hapln4,False
406,Hcfc1,False
407,Hgfac,False
408,Hmcn1,False
409,Hmcn2,False
410,Hpx,False
411,Hrg,False
412,Hspg2,False
413,Htra1,False
414,IBSP,False
415,IGF2,False
416,IGFALS,False
417,IGFBP2,False
418,IGFBP3,False
419,IGFBP4,False
420,IGFBP5,False
421,IGFBP6,False
422,IGFBP7,False
423,IHH,False
424,IL11,False
425,IL16,False
426,IL17B,False
427,IL17D,False
428,INHA,False
429,INHBA,False
430,INHBC,False
431,INHBE,False
432,ISM1,False
433,ISM2,False
434,ITIH1,False
435,ITIH2,False
436,ITIH3,False
437,ITIH4,False
438,ITIH5,False
439,ITIH6,False
440,Igfals,False
441,Igfbp4,False
442,Igfbp5,False
443,Igfbp6,False
444,Igfbp7,False
445,Il16,False
446,Itih1,False
447,Itih2,False
448,Itih3,False
449,Itih4,False
450,Itih5,False
451,KAL1,False
452,KCP,False
453,KERA,False
454,KNG1,False
455,KNG2,False
456,Kcp,False
457,Kera,False
458,Kng1,False
459,LAMA1,False
460,LAMA2,False
461,LAMA3,False
462,LAMA4,False
463,LAMA5,False
464,LAMB1,False
465,LAMB2,False
466,LAMB3,False
467,LAMB4,False
468,LAMC1,False
469,LAMC2,False
470,LAMC3,False
471,LEFTY2;LEFTY1,False
472,LEP,False
473,LEPRE1,False
474,LEPREL2,False
475,LGALS1,False
476,LGALS2,False
477,LGALS3,False
478,LGALS7,False
479,LGALS8,False
480,LGALS9,False
481,LGALSL,False
482,LGI4,False
483,LMAN1,False
484,LOX,True
485,LOXL1,True
486,LOXL2,True
487,LOXL3,True
488,LOXL4,True
489,LPA,False
490,LRG1,False
491,LTBP1,False
492,LTBP2,False
493,LTBP3,False
494,LTBP4,False
495,LUM,False
496,Lama1,False
497,Lama2,False
498,Lama3,False
499,Lama4,False
500,Lama5,False
501,Lamb1,False
502,Lamb2,False
503,Lamc1,False
504,Lgals1,False
505,Lgals3,False
506,Lgals8,False
507,Lgals9,False
508,Lgalsl,False
509,Lgi1,False
510,Lgi2,False
511,Lgi3,False
512,Lman1,False
513,Loxl1,False
514,Loxl2,False
515,Ltbp1,False
516,Ltbp2,False
517,Ltbp4,False
518,Lum,False
519,M6pr,False
520,MASP1,False
521,MASP2,False
522,MATN1,False
523,MATN2,False
524,MATN3,False
525,MATN4,False
526,MBL1,False
527,MBL2,False
528,MDK,False
529,MEGF6,False
530,MFAP1,False
531,MFAP2,False
532,MFAP4,False
533,MFAP5,False
534,MFGE8,False
535,MGP,False
536,MIF,False
537,MME,False
538,MMP1,False
539,MMP12,False
540,MMP13,False
541,MMP14,False
542,MMP19,False
543,MMP2,False
544,MMP3,False
545,MMP8,False
546,MMP9,False
547,MMRN1,False
548,MMRN2,False
549,MPI,False
550,MST1;MST1L,False
551,MUC1,False
552,MXRA5,False
553,Masp1,False
554,Masp2,False
555,Matn2,False
556,Matn4,False
557,Mbl1,False
558,Mbl2,False
559,Mbp,False
560,Megf10,False
561,Megf6,False
562,Megf8,False
563,Megf9,False
564,Mfap4,False
565,Mfap5,False
566,Mfge8,False
567,Mgp,False
568,Mmp17,False
569,Mmp2,False
570,Mmrn1,False
571,Mmrn2,False
572,Mstn,False
573,NDNF,False
574,NGF,False
575,NGLY1,False
576,NID1,False
577,NID2,False
578,NID2;NID-2,False
579,NOV,False
580,NPNT,False
581,NRP1,False
582,NRP2,False
583,NTN1,False
584,NTN3,False
585,NTN4,False
586,Ncan,False
587,Nell2,False
588,Ngly1,False
589,Nid1,False
590,Nid2,False
591,Npnt,False
592,Nrg3,False
593,Ntn1,False
594,Ntng1,False
595,OGN,False
596,OMD,False
597,Ogfod1,False
598,Ogn,False
599,Ovos,False
600,P3H1,False
601,P3h1,False
602,P4HA1,False
603,P4HA2,False
604,P4ha1,False
605,P4htm,False
606,PAMR1,False
607,PAPLN,False
608,PAPPA,False
609,PCOLCE,False
610,PCOLCE2,False
611,PCSK5,False
612,PCSK6,False
613,PDF,False
614,PDGFC,False
615,PDGFD,False
616,PF4,False
617,PF4;PF4V1,False
618,PLAT,False
619,PLAU,False
620,PLG,False
621,PLOD1,False
622,PLOD2,False
623,PLOD3,False
624,PLXDC2,False
625,PLXNA1,False
626,PLXNB1,False
627,PLXNB2,False
628,PLXNB2;MKIAA0315,False
629,PLXND1,False
630,PODN,False
631,PODNL1,False
632,POSTN,False
633,PPBP,False
634,PRELP,False
635,PRG2,False
636,PRG3,False
637,PRG4,False
638,PRL7C1,False
639,PRSS1,False
640,PRSS2,False
641,PRSS3P2;PRSS2;PRSS1,False
642,PTN,False
643,PXDN,False
644,PXDNL,False
645,PXN,False
646,PZP,False
647,Pag1,False
648,Papln,False
649,Parm1,False
650,Pcolce,False
651,Pcolce2,False
652,Pik3ip1,False
653,Plg,False
654,Plod1,False
655,Plod3,False
656,Plxdc1,False
657,Plxdc2,False
658,Plxna1,False
659,Plxna2,False
660,Plxna4,False
661,Plxnb1,False
662,Plxnb2,False
663,Plxnc1,False
664,Plxnd1,False
665,Podn,False
666,Postn,False
667,Prelp,False
668,Ptn,False
669,Pxdn,False
670,Pzp,False
671,REG1A;REG1B,False
672,REG3A,False
673,REG4,False
674,Rif1,False
675,S100A1,True
676,S100A10,True
677,S100A11,True
678,S100A12,True
679,S100A13,True
680,S100A14,False
681,S100A16,False
682,S100A1;S100A1,False
683,S100A2,False
684,S100A3,False
685,S100A4,True
686,S100A6,True
687,S100A7,False
688,S100A7A,False
689,S100A7L2,False
690,S100A8,True
691,S100A9,True
692,S100B,True
693,S100G,False
694,S100P,False
695,S100a1,False
696,S100a10,False
697,S100a11,False
698,S100a13,False
699,S100a16,False
700,S100a4,False
701,S100a5,False
702,S100a6,False
703,S100a9,False
704,S100b,False
705,SBSPON,False
706,SCUBE1,False
707,SCUBE3,False
708,SCYL1,False
709,SDC1,False
710,SDC2,False
711,SDC4,False
712,SEMA3A,False
713,SEMA3B,False
714,SEMA3C,False
715,SEMA3D,False
716,SEMA3E,False
717,SEMA3F,False
718,SEMA3G,False
719,SEMA7A,False
720,SERPINA1,False
721,SERPINA10,False
722,SERPINA12,False
723,SERPINA1A,False
724,SERPINA1B,False
725,SERPINA1C,False
726,SERPINA1D,False
727,SERPINA1E,False
728,SERPINA3,False
729,SERPINA3G,False
730,SERPINA3K,False
731,SERPINA3M,False
732,SERPINA3N,False
733,SERPINA4,False
734,SERPINA5,False
735,SERPINA6,False
736,SERPINA7,False
737,SERPINB1,False
738,SERPINB12,False
739,SERPINB1A,False
740,SERPINB2,False
741,SERPINB3,False
742,SERPINB4,False
743,SERPINB5,False
744,SERPINB6,False
745,SERPINB6;SERPINB6A,False
746,SERPINB6B,False
747,SERPINB7,False
748,SERPINB8,False
749,SERPINB9,False
750,SERPINB9B,False
751,SERPINC1,False
752,SERPIND1,False
753,SERPINE1,False
754,SERPINE2,False
755,SERPINF1,False
756,SERPINF2,False
757,SERPING1,False
758,SERPINH1,False
759,SERPINI2,False
760,SFRP1,False
761,SFRP2,False
762,SFRP4,False
763,SFTPA1,False
764,SFTPB,False
765,SFTPC,False
766,SFTPD,False
767,SLIT2,False
768,SLIT3,False
769,SLPI,False
770,SMAP,False
771,SMAP2,False
772,SMOC1,False
773,SMOC2,False
774,SNED1,False
775,SPARC,False
776,SPARCL1,False
777,SPON1,False
778,SPON1;MKIAA0762,False
779,SPON2,False
780,SPP1,False
781,SRPX,False
782,SRPX2,False
783,STFA2L1;STFA2,False
784,SULF1,False
785,SULF2,False
786,SVEP1,False
787,Sdc2,False
788,Sdc3,False
789,Sdc4,False
790,Sema3b,False
791,Sema3c,False
792,Sema4a,False
793,Sema4b,False
794,Sema4d,False
795,Sema4f,False
796,Sema5b,False
797,Sema6d,False
798,Sema7a,False
799,Serpina10,False
800,Serpina1a,False
801,Serpina1b,False
802,Serpina1c,False
803,Serpina1d,False
804,Serpina1e,False
805,Serpina3k,False
806,Serpina3m,False
807,Serpina3n,False
808,Serpina6,False
809,Serpinb1a,False
810,Serpinb5,False
811,Serpinb6,False
812,Serpinb6a,False
813,Serpinb8,False
814,Serpinb9,False
815,Serpinb9b,False
816,Serpinc1,False
817,Serpind1,False
818,Serpine2,False
819,Serpinf1,False
820,Serpinf2,False
821,Serping1,False
822,Serpinh1,False
823,Serpini1,False
824,Sfrp1,False
825,Shh,False
826,Slit1,False
827,Slit2,False
828,Slit3,False
829,Smoc2,False
830,Sparc,False
831,Sparcl1,False
832,Spock1,False
833,Spock2,False
834,Spon1,False
835,Srpx,False
836,Srpx2,False
837,Sulf2,False
838,TCHH,False
839,TGFB1,False
840,TGFB2,False
841,TGFBI,False
842,TGM1,False
843,TGM2,True
844,TGM3,True
845,TGM5,False
846,THBS1,False
847,THBS2,False
848,THBS3,False
849,THBS4,False
850,THSD4,False
851,TIMP1,False
852,TIMP2,False
853,TIMP3,False
854,TINAG,False
855,TINAGL1,False
856,TNC,False
857,TNFAIP6,False
858,TNFSF10,False
859,TNFSF12,False
860,TNFSF13,False
861,TNFSFM13;TNFSF13,False
862,TNN,False
863,TNXB,False
864,TRY10,False
865,TSKU,False
866,TSPEAR,False
867,Tgfbi,False
868,Tgm1,False
869,Tgm2,False
870,Thbs1,False
871,Thbs2,False
872,Thbs3,False
873,Thbs4,False
874,Timp2,False
875,Tinagl1,False
876,Tnc,False
877,Tnr,False
878,Try4,False
879,VCAN,False
880,VEGFA,False
881,VEGFB,False
882,VIT,False
883,VTN,False
884,VWA1,False
885,VWA2,False
886,VWA3B,False
887,VWA5A,False
888,VWA9,False
889,VWF,False
890,Vcan,False
891,Vtn,False
892,Vwa1,False
893,Vwa5a,False
894,Vwa5b2,False
895,Vwf,False
896,WFIKKN2,False
897,WIF1,False
898,WISP2,False
899,WISP3,False
900,WNT11,False
901,WNT3A,False
902,WNT4,False
903,WNT6,False
904,WNT9A,False
905,Wnt10a,False
906,ZP1,False
907,ZP2,False
908,ZP3,False
909,ZP4,False
