Protein,N_Studies,N_Tissues,Matrisome_Category,Matrisome_Division,Shannon_Entropy,Variance_Entropy_CV,Predictability_Score,Aging_Direction,Entropy_Transition,Mean_Zscore_Delta,N_Observations,Shannon_Entropy_Young,Shannon_Entropy_Old,Conditional_Entropy_Delta,Entropy_Cluster
CCN5,3,6,ECM Glycoproteins,Core matrisome,3.2111155000558718,0.6005026884381597,0.6666666666666666,increase,0.05785669558179196,0.7539205979547926,6,2.1914162129629196,2.2264542673073184,0.03503805434439888,4
ECM2,2,4,ECM Glycoproteins,Core matrisome,2.6657996212441675,0.5303788477214119,1.0,decrease,0.0007128799313308454,-0.4048102931742976,4,1.6617926681870874,1.664355994271769,0.002563326084681572,4
MATN4,2,4,ECM Glycoproteins,Core matrisome,2.8399915210172155,0.35993982921338336,0.75,decrease,0.5644332410035863,0.36518562483231987,4,1.6603168161424622,1.9395273438402392,0.279210527697777,1
CXCL14,3,5,Secreted Factors,Matrisome-associated,3.112231513623059,0.45019628757625363,0.6,increase,0.5782334779881826,-0.6813780492810144,5,1.9581381182142743,2.2645019723256685,0.3063638541113942,1
EFEMP2,2,4,ECM Glycoproteins,Core matrisome,2.840798805522004,0.3498218865147793,0.75,decrease,0.5604421050308417,0.4680501893312515,4,1.662287216658117,1.9931362713630798,0.33084905470496273,1
F13A1,4,7,ECM Regulators,Matrisome-associated,3.5011625238543336,0.5368445719689674,0.7142857142857143,increase,0.007763153003516821,0.5922623693259207,7,2.4875298130123005,2.499699179545135,0.012169366532834403,4
F2,8,13,ECM Regulators,Matrisome-associated,4.609488275222401,0.455486610502959,0.7857142857142857,increase,0.07767281336479859,0.5662471442497237,14,3.623278349789781,3.5861331505900864,0.03714519919969472,4
F9,6,8,ECM Regulators,Matrisome-associated,4.022161443351266,0.40460862745556553,0.7777777777777778,increase,0.07706933676521949,1.1089786840702964,9,2.9877045946022607,2.426334464843593,0.5613701297586675,4
F10,7,8,ECM Regulators,Matrisome-associated,3.992643824444162,0.406902657793213,0.6666666666666666,increase,0.03955937245077579,0.5275915325915354,9,3.0049915177977526,2.9782063276148936,0.026785190182859075,4
PLG,5,8,ECM Regulators,Matrisome-associated,3.741490718814388,0.4908270042724051,0.625,increase,0.10839878773038647,0.5820493625810772,8,2.7878397458298716,2.714112090315239,0.07372765551463267,4
F12,6,8,ECM Regulators,Matrisome-associated,4.016682188576646,0.4041935103370648,0.8888888888888888,increase,0.11279832993910682,0.5350765707040291,9,2.9615491057456103,2.6773410254468777,0.28420808029873257,4
SERPINC1,5,8,ECM Regulators,Matrisome-associated,3.704147214033415,0.5383301337407606,0.625,increase,0.09645585877107227,0.5551162080122082,8,2.7473256211648427,2.6747955979352582,0.07253002322958446,4
SERPINA1,5,8,ECM Regulators,Matrisome-associated,3.9467708480883723,0.6204229291327876,0.6,increase,0.021714953554457628,0.15017941651545458,10,2.9543658640082637,2.9385929812759306,0.015772882732333127,4
SERPINA3,5,8,ECM Regulators,Matrisome-associated,3.908196514538799,0.653890103953466,0.6,increase,0.017643626313736394,0.14228121566100677,10,2.9138936361683,2.893511368090132,0.02038226807816823,4
AGT,5,8,ECM Regulators,Matrisome-associated,3.700115787622606,0.5480567904615853,0.625,decrease,0.04913981899494768,-0.663870379565451,8,2.7120791696782804,2.676452254121241,0.03562691555703923,4
A2M,5,8,ECM Regulators,Matrisome-associated,3.6406539103655216,0.5970347168242617,0.75,increase,0.023692793690940128,0.4984654145518097,8,2.6468869095406724,2.632555237781725,0.01433167175894745,4
TIMP1,2,5,ECM Regulators,Matrisome-associated,2.8271269552856038,0.4712206419698662,0.6,increase,0.010254364488253953,0.07937164044784947,5,1.7827761948705865,1.8473439146985893,0.0645677198280028,4
CST3,3,6,ECM Regulators,Matrisome-associated,3.251220882890063,0.37909962569931765,0.5,mixed,0.04814854086482323,0.33699281225593564,6,2.1925291300356116,2.172156697701464,0.02037243233414765,4
KNG1,5,8,ECM Regulators,Matrisome-associated,3.6457661070113434,0.5901915760307259,0.75,increase,0.046224770355300926,1.3095405867343908,8,2.684064347642487,2.640398349370224,0.04366599827226292,4
TGFB1,2,4,Secreted Factors,Matrisome-associated,2.931683400844363,0.02319655072074102,1.0,decrease,0.0023258529197733788,-0.1845529636405338,4,1.9340157819661732,1.9259476498983674,0.008068132067805767,2
COL1A1,5,8,Collagens,Core matrisome,3.759681457793147,0.45102153504325626,0.875,decrease,0.004943005376589982,-0.4707467661261191,8,2.7576007649782746,2.756309069073909,0.0012916959043653975,4
COL2A1,4,7,Collagens,Core matrisome,3.626801987963586,0.42449099577626115,0.8571428571428571,decrease,0.15432563884549683,-0.5055708254375896,7,2.5037062615439654,2.5427203223116286,0.03901406076766323,4
COL3A1,5,8,Collagens,Core matrisome,4.143446609582696,0.38109664736651916,0.9,decrease,0.020172334385434476,-0.4279587874619276,10,3.1380729033931676,3.1480773007081693,0.01000439731500169,4
FGA,5,8,ECM Glycoproteins,Core matrisome,4.049280202658272,0.518423723160617,0.7,increase,0.09265106832717246,0.80257210122337,10,3.0877684647241286,3.02309530578418,0.06467315893994874,4
FGB,5,8,ECM Glycoproteins,Core matrisome,3.71807074725564,0.5075371111839339,0.75,increase,0.05972009011362822,0.9837365784815196,8,2.7465957750568997,2.700654725328099,0.04594104972880064,4
FGG,5,8,ECM Glycoproteins,Core matrisome,3.66736053947776,0.5454848477534601,0.875,increase,0.06896407626140377,0.926093407813948,8,2.7015969651304026,2.649315337422096,0.052281627708306466,4
C1QA,3,5,ECM-affiliated Proteins,Matrisome-associated,3.0326807820269326,0.4918260614998242,0.6,decrease,0.035052152834326444,0.592742248908308,5,2.0510505437514857,2.0279921147812368,0.0230584289702489,4
C1QB,4,7,ECM-affiliated Proteins,Matrisome-associated,3.519879526237208,0.5044146018573276,0.5714285714285714,decrease,0.013997940672472176,-0.05264358672050758,7,2.523257326349599,2.515222403653203,0.008034922696396052,4
C1QC,4,7,ECM-affiliated Proteins,Matrisome-associated,3.5560444932565147,0.4714001742167342,0.7142857142857143,increase,0.0043161949216972695,0.45299281151341625,7,2.557143052716392,2.5583249249891677,0.0011818722727756636,4
LRG1,4,7,ECM Glycoproteins,Core matrisome,3.5219112564288855,0.5663048290377997,1.0,increase,0.1298454179205581,1.8423011520743027,7,2.470302321289084,2.4581450494195174,0.01215727186956661,4
FN1,5,8,ECM Glycoproteins,Core matrisome,3.634189863240654,0.6042655040964611,0.75,increase,0.00010103947339967778,0.38277663004960205,8,2.6278525107580415,2.6328667371117698,0.005014226353728279,4
AMBP,5,8,ECM Regulators,Matrisome-associated,3.719204373040176,0.5115262420753531,0.5,mixed,0.031018067819001405,0.39009818546885505,8,2.7304722703249817,2.696546929733727,0.03392534059125474,4
CXCL10,3,6,Secreted Factors,Matrisome-associated,3.351256066710822,0.259913750175663,0.8571428571428571,increase,0.05297530609080156,0.7458976698400278,7,2.344260406528759,2.2389820700122693,0.10527833651648955,4
HPX,5,8,ECM-affiliated Proteins,Matrisome-associated,3.7223388603548173,0.5118184923219038,0.75,increase,0.059380476238886426,1.2340784764174249,8,2.748767420847936,2.7086901570424997,0.0400772638054363,4
SLPI,4,7,ECM Regulators,Matrisome-associated,4.008669862176082,0.55147019220495,0.7,decrease,0.06522341216666738,-0.0907246744343069,10,2.982602628067203,3.013370962803881,0.03076833473667806,4
VTN,5,8,ECM Glycoproteins,Core matrisome,3.7111526939654977,0.5277864923493003,0.875,increase,0.06598595245825811,1.4384654722535242,8,2.7438674042659326,2.6892713482178436,0.054596056048088926,4
ANXA1,5,8,ECM-affiliated Proteins,Matrisome-associated,3.6564096403780777,0.5883895451052745,0.75,decrease,0.012464853931695163,-0.4160063651639987,8,2.638979268609771,2.6586267881158197,0.019647519506048816,4
HRG,5,8,ECM Regulators,Matrisome-associated,3.7176149062698167,0.519804173322145,0.75,increase,0.06919317706319167,0.44352543505705316,8,2.7472197085865937,2.6958746047104585,0.05134510387613522,4
S100B,2,4,Secreted Factors,Matrisome-associated,2.8438742285545846,0.3417283487056967,0.75,decrease,0.5411365541136682,0.4457936957918332,4,1.6697813228612455,1.9818496831288166,0.3120683602675711,1
VWF,4,7,ECM Glycoproteins,Core matrisome,3.589000901194793,0.43870408103244624,0.5714285714285714,increase,0.04400295330714182,0.2541619664646732,7,2.6014764201859797,2.576582263863393,0.024894156322586625,4
SERPINE1,2,4,ECM Regulators,Matrisome-associated,2.744593795192514,0.1585052555017978,0.75,decrease,0.01623771253211581,-0.2165942135241543,4,1.7457691633115353,1.7296814149562214,0.016087748355313902,2
SERPINA5,4,7,ECM Regulators,Matrisome-associated,3.6646605686101252,0.37289726280108937,0.8571428571428571,decrease,0.2244951538778729,-0.3094081123321229,7,2.5673814411892164,2.4484413802837177,0.11894006090549869,4
SERPING1,5,8,ECM Regulators,Matrisome-associated,3.9225069643988126,0.6534479989125532,0.5,mixed,0.043969005829906704,0.5322760997743038,10,2.884773724481244,2.944056782329369,0.059283057848125154,4
CLEC3B,3,5,ECM-affiliated Proteins,Matrisome-associated,3.0384125962095885,0.39269697135342685,0.8,decrease,0.006438488353361749,-0.23765549176097367,5,2.0317663395685597,2.0386434163735294,0.0068770768049697395,2
SERPINA7,2,4,ECM Regulators,Matrisome-associated,2.783615952604499,0.153304220907865,0.75,increase,0.010028367095749363,0.5552129307653355,4,1.7379254212549713,1.7400682940142853,0.0021428727593140184,2
SERPIND1,5,8,ECM Regulators,Matrisome-associated,3.522630687831671,0.7068484749303595,0.625,increase,0.09254521863320708,0.8441124252097925,8,2.5908464871769317,2.5036753233742144,0.08717116380271728,4
COL5A2,5,8,Collagens,Core matrisome,3.9704030823585468,0.5649531696781935,0.8,decrease,0.05610697636077355,-0.44956063719260975,10,2.944898926852796,2.996644008519339,0.05174508166654279,4
S100A9,5,8,Secreted Factors,Matrisome-associated,4.266860425622106,0.40937015188538795,0.6363636363636364,increase,0.010876981375338268,0.3530033846659532,11,3.2615544097877907,3.2644585259136183,0.0029041161258276382,4
S100A6,4,6,Secreted Factors,Matrisome-associated,3.4281646897553495,0.36446686764445485,0.5,mixed,0.24825047922662358,0.39502465243723894,6,2.3149076696915034,2.3469721777766694,0.03206450808516603,4
SERPINE2,3,5,ECM Regulators,Matrisome-associated,3.176698984157063,0.3558214287986249,0.6,decrease,0.39785631986276293,0.9741587824297063,5,2.032848545506572,2.1089233713852122,0.07607482587864034,1
CTSD,4,6,ECM Regulators,Matrisome-associated,3.3045667080399714,0.49170298843121907,0.8333333333333334,increase,0.006981216161874859,0.4636774759474194,6,2.30440518055055,2.30199644431756,0.002408736232990094,4
ANXA2,5,8,ECM-affiliated Proteins,Matrisome-associated,3.5627741538201647,0.657140666890725,0.875,decrease,0.0269131325625106,-0.24726364279732863,8,2.533392139826798,2.5739449807771497,0.04055284095035194,4
DCN,5,8,Proteoglycans,Core matrisome,3.6620349868261886,0.5682857976211554,0.625,decrease,0.01576070208481739,-0.13294348749982007,8,2.6546743442215237,2.6608732675458535,0.006198923324329808,4
CTSB,4,7,ECM Regulators,Matrisome-associated,3.5814244924021157,0.43947838076379153,0.5714285714285714,decrease,0.027223460397667765,-0.01510032836967504,7,2.587849705047215,2.572002044909226,0.015847660137989106,4
LAMB1,5,8,ECM Glycoproteins,Core matrisome,3.8052947243237543,0.4020490761671754,0.75,decrease,0.009709038059577568,-0.5213995167680017,8,2.8053054625801046,2.800100157334059,0.005205305246045455,4
THBS1,3,5,ECM Glycoproteins,Core matrisome,3.0019839674606454,0.2686001632581722,0.8,decrease,0.006775818309126047,-0.7156356354251373,5,1.9672824632113952,1.9810521490179867,0.013769685806591436,2
COL1A2,5,8,Collagens,Core matrisome,3.7455401913380073,0.47377928515653145,0.875,decrease,0.015330548639215957,-0.5470829760963436,8,2.7402679532940044,2.748509672865287,0.008241719571282502,4
ANXA6,5,8,ECM-affiliated Proteins,Matrisome-associated,3.6824853871563263,0.5563179118792365,0.75,decrease,0.012439974231969408,-0.2005750766243141,8,2.664001944459935,2.6847881434278262,0.020786198967891245,4
SERPINA6,3,5,ECM Regulators,Matrisome-associated,3.048929647599158,0.475473076399559,0.8,increase,0.006263346209746501,1.0290110456528478,5,2.051650001637685,2.0459701933841585,0.0056798082535265415,2
MMP2,2,4,ECM Regulators,Matrisome-associated,2.668316187430561,0.5290326718105475,0.75,increase,0.016226953897180763,0.33497077237624173,4,1.6688685955095925,1.6614951753645253,0.007373420145067255,4
COL4A2,5,8,Collagens,Core matrisome,3.8190517025676898,0.37406220920151034,0.625,decrease,0.00019177013523435926,-0.320466479091151,8,2.8176246747838745,2.814843114948882,0.0027815598349922865,4
SERPINF2,5,8,ECM Regulators,Matrisome-associated,3.703561365365905,0.5386017896688196,0.75,increase,0.08341274862226633,0.4593062462089831,8,2.734512211307708,2.6767199868534974,0.057792224454210395,4
ANXA5,5,8,ECM-affiliated Proteins,Matrisome-associated,3.654436290694953,0.5899411507932362,0.75,decrease,0.004223912672778107,-0.13978099546543435,8,2.6358144349414703,2.6523691518363313,0.016554716894860988,4
LGALS1,5,8,ECM-affiliated Proteins,Matrisome-associated,3.768068053627769,0.45616856573031217,0.625,decrease,0.013441424640510125,0.019889604668231697,8,2.7505929262232773,2.7690364169624,0.01844349073912266,4
SPARC,3,5,ECM Glycoproteins,Core matrisome,2.8849424299107223,0.6362415799258154,1.0,decrease,0.018776328610915494,-0.44391991510610057,5,1.8710445922531456,1.8703773202606362,0.0006672719925093773,4
ANXA4,5,8,ECM-affiliated Proteins,Matrisome-associated,3.6466400374501635,0.5814151007660667,0.875,decrease,0.02768709140100667,-0.2675285685055725,8,2.632554046087217,2.6575970783794753,0.02504303229225835,4
HAPLN1,2,4,Proteoglycans,Core matrisome,2.661093378093412,0.5558385786022515,1.0,decrease,0.016021168930433927,-0.4395086509494988,4,1.6475298636493396,1.6503667240128181,0.0028368603634785217,4
LAMC1,5,8,ECM Glycoproteins,Core matrisome,3.801074300467055,0.3979835792223949,0.75,decrease,0.0021766321777557107,-0.34854093441242706,8,2.8008418712418734,2.8003241532245626,0.0005177180173108198,4
COL11A1,3,6,Collagens,Core matrisome,3.445033634257797,0.35818886874892875,0.8333333333333334,decrease,0.3040087485472671,-0.07710606805211181,6,2.3262229431278514,2.2209496492272467,0.10527329390060469,4
COL6A1,5,8,Collagens,Core matrisome,3.7395674721644516,0.4800080992816072,0.625,decrease,0.029050731052426892,-0.3325875737544515,8,2.7295418668296048,2.747871403144139,0.018329536314534156,4
COL6A2,5,8,Collagens,Core matrisome,3.722502156741778,0.497395636036451,0.75,decrease,0.03583157541029597,-0.25449893269732726,8,2.7098111351588106,2.734732507773677,0.024921372614866488,4
COL6A3,5,8,Collagens,Core matrisome,3.6404121890866294,0.5883432225059791,0.625,decrease,0.04133126845039248,-0.11472250849329,8,2.6224177722991433,2.6576135729001145,0.03519580060097116,4
VCAN,5,8,Proteoglycans,Core matrisome,3.855545401210886,0.6926799813315961,0.8,decrease,0.04340221675745437,-0.11031462658376315,10,2.837216153584494,2.8690086182454935,0.031792464660999276,4
P4HA1,3,5,ECM Regulators,Matrisome-associated,3.056227455133652,0.4709466352311389,1.0,decrease,0.0028448152072712007,-0.32512171211605473,5,2.0477143291121105,2.0535170777763425,0.005802748664232027,4
COL11A2,2,5,Collagens,Core matrisome,2.86213858300907,0.3638075930396365,1.0,decrease,0.043446491539936516,-0.9096397887899711,5,1.8550223789513456,1.8744321366862502,0.01940975773490461,2
NID1,5,8,ECM Glycoproteins,Core matrisome,3.791565366608328,0.4113255219364304,0.5,mixed,0.010916535457873244,-0.10653285550221223,8,2.787865232073237,2.7944821811727056,0.006616949099468528,3
ELN,4,5,ECM Glycoproteins,Core matrisome,3.6028444852862735,0.4243161402764328,0.5714285714285714,increase,0.09011097439872556,1.5489196124768612,7,2.632572808984359,2.554663685596738,0.07790912338762102,4
ACAN,3,6,Proteoglycans,Core matrisome,3.319326757971849,0.5222967254863374,0.6666666666666666,decrease,0.2538834872198054,0.4420378655919843,6,2.1837972419703693,2.1474154875378573,0.036381754432512015,4
LGALS3,5,8,ECM-affiliated Proteins,Matrisome-associated,3.725182966119576,0.5121754170972761,0.625,decrease,0.0421721630738392,0.07208419425343765,8,2.693527556803625,2.739253678131594,0.04572612132796916,4
IGFBP3,2,4,ECM Glycoproteins,Core matrisome,2.7674741537581093,0.14372306763847104,0.75,decrease,0.0073139713077110535,-0.03342631839081684,4,1.7479442012140702,1.7517885456824671,0.0038443444683968764,2
ITIH2,3,5,ECM Regulators,Matrisome-associated,3.036805686208156,0.5001463249658638,0.8,increase,0.05142723321595838,0.8861871609554253,5,2.0472818216355217,2.021632731915483,0.025649089720038543,2
ITIH1,5,8,ECM Regulators,Matrisome-associated,3.6281948318693176,0.6033165695899081,0.625,increase,0.09392869334611809,0.3501528833729096,8,2.6606116285665555,2.5901180901405696,0.07049353842598594,4
ANXA7,5,8,ECM-affiliated Proteins,Matrisome-associated,3.712182181888254,0.5243408361528498,0.75,decrease,0.011553099635824404,-0.18478984621233238,8,2.6887910559913415,2.712548120260231,0.02375706426888957,4
PZP,2,2,ECM Regulators,Matrisome-associated,1.6269705004538517,0.6452497195602476,0.5,mixed,1.1176052978479185,0.3530190347011143,2,0.9999999999971146,0.2539410009163593,0.7460589990807553,1
OGN,5,8,Proteoglycans,Core matrisome,3.635297127084304,0.5940249427459874,0.75,decrease,0.021284890390806832,0.0491746538065205,8,2.6238914782020464,2.639142325120903,0.015250846918856809,4
COL5A1,5,8,Collagens,Core matrisome,3.769393095372821,0.44546770316789697,0.875,decrease,0.023935386267086356,-0.5141098905070722,8,2.760787039695269,2.7768233860798954,0.016036346384626476,4
BGN,5,8,Proteoglycans,Core matrisome,3.6574553763691924,0.578217671063107,0.625,decrease,0.041293197824399,0.23474818322041952,8,2.639176668244859,2.672825370287124,0.03364870204226511,4
TGM2,4,7,ECM Regulators,Matrisome-associated,3.605508144386749,0.4101002348328408,0.7142857142857143,decrease,0.018703720939233115,0.022906709213161673,7,2.599647015140708,2.6093908232118137,0.009743808071105864,4
TNXB,4,6,ECM Glycoproteins,Core matrisome,3.2747484394134703,0.5383684239247981,1.0,decrease,0.03622509020050646,-0.9936116933556377,6,2.254341689563753,2.2884482313075347,0.034106541743781804,4
CPN2,4,7,ECM Regulators,Matrisome-associated,3.558824780458316,0.5156555285680638,0.5714285714285714,increase,0.18923024384766585,0.8461097674551828,7,2.460488224260928,2.405264896686664,0.05522332757426396,4
FBLN1,4,7,ECM Glycoproteins,Core matrisome,3.8135502927567075,0.39397400027127494,0.6666666666666666,increase,0.01062341727649746,0.3182374836388689,9,2.792295497465446,2.7877265759457788,0.004568921519667146,4
S100A1,3,5,Secreted Factors,Matrisome-associated,3.1848117926384614,0.332259418987615,0.8,decrease,0.36021188930467785,-0.7780530735212507,5,2.119878202107797,2.0516637274815497,0.06821447462624741,1
LAMA2,4,7,ECM Glycoproteins,Core matrisome,3.5900672568024414,0.4421181436706829,0.7142857142857143,decrease,0.0012143471913679815,-0.1354227527891395,7,2.587976985814105,2.5881261155741515,0.00014912976004666234,4
TNC,4,7,ECM Glycoproteins,Core matrisome,3.509724401111196,0.5428725781697149,0.5714285714285714,decrease,0.04418667685195343,-0.060672996839893675,7,2.4878481638647494,2.525809564027352,0.03796140016260274,4
S100A4,3,5,Secreted Factors,Matrisome-associated,3.185308908733682,0.3231570997166174,0.6,decrease,0.38534554171169677,0.46752169550426126,5,2.0451344183107976,2.140177196967166,0.09504277865636857,1
COL8A1,4,7,Collagens,Core matrisome,3.664238243315772,0.36467359415415335,0.8571428571428571,decrease,0.1520661479969046,-0.34774113904231035,7,2.258815946036431,2.585711938425064,0.326895992388633,4
LOX,2,4,ECM Regulators,Matrisome-associated,2.663445260135501,0.5162794726225791,1.0,decrease,0.009411623646090161,-0.5517279120040235,4,1.6595387804477228,1.6635526681599284,0.004013887712205566,4
SERPINA4,4,7,ECM Regulators,Matrisome-associated,3.4637759339453154,0.5840691300549026,0.5714285714285714,increase,0.09544882983254777,0.28121267362553476,7,2.511983166946566,2.428632999485048,0.08335016746151824,4
SERPINB1,5,8,ECM Regulators,Matrisome-associated,3.6542025163208693,0.5728202222502058,0.5,mixed,0.017869825711885334,0.14749587825110394,8,2.6341691353934165,2.6619426046964834,0.0277734693030669,4
S100A11,4,7,Secreted Factors,Matrisome-associated,3.5406082645678443,0.48225962089868524,0.5714285714285714,decrease,0.025141548601872066,-0.06843802295023024,7,2.5273253478014905,2.549505579823595,0.022180232022104285,4
GPC1,3,5,ECM-affiliated Proteins,Matrisome-associated,3.0561718633511217,0.21824455667675335,1.0,decrease,0.014204933191434094,-0.5386083139167286,5,2.037456067099794,2.0566599210232077,0.01920385392341384,2
SERPINB6,4,6,ECM Regulators,Matrisome-associated,3.298047826029222,0.5131371554797449,0.6666666666666666,decrease,0.0115904113987787,0.3307439306238617,6,2.280907033241649,2.2965578159259157,0.015650782684266673,4
THBS2,2,4,ECM Glycoproteins,Core matrisome,2.6661277459906856,0.5498338921547103,1.0,decrease,0.00969761790517809,-0.21011348960861068,4,1.6565978327463962,1.6564475879416583,0.00015024480473790902,4
THBS4,3,5,ECM Glycoproteins,Core matrisome,3.1772612176537103,0.35886963820333134,0.6,decrease,0.4068663839730353,0.49600930338377347,5,2.0324281739767334,2.115271076602157,0.0828429026254236,1
FBN1,5,8,ECM Glycoproteins,Core matrisome,4.034976863033084,0.5151756766703496,0.7,decrease,0.04083396464022271,-0.08627298745570872,10,3.0177901297182386,3.042945463799758,0.025155334081519598,4
TIMP3,4,7,ECM Regulators,Matrisome-associated,3.5474781730435523,0.5017348346501627,0.8571428571428571,increase,0.04259332706792979,1.53139276341325,7,2.526467843873277,2.547079465117856,0.020611621244579048,4
IGFALS,4,7,ECM Glycoproteins,Core matrisome,3.7033453444453777,0.2898674868263537,1.0,increase,0.2235018542819683,0.9122507978645151,7,2.6222371202264587,2.585205885210586,0.0370312350158728,4
SERPINF1,5,8,ECM Regulators,Matrisome-associated,3.9913049767170357,0.5884454981186025,0.5,mixed,0.06152027183931197,0.2861487968502382,10,3.0090059216705134,2.9652948651343007,0.043711056536212656,4
COL15A1,4,7,Collagens,Core matrisome,3.5618141902365155,0.4677500417160102,0.8571428571428571,decrease,0.036944077657710295,-0.37438235660577207,7,2.5473653763893025,2.5741943198520634,0.02682894346276088,4
COL18A1,5,8,Collagens,Core matrisome,4.416471513975273,0.4067008079899049,0.6666666666666666,increase,0.004688022279171533,0.29458651067526037,12,3.400582963784016,3.4145355934382895,0.013952629654273352,4
CXCL12,4,7,Secreted Factors,Matrisome-associated,3.4944090643710006,0.5477117717495268,0.5714285714285714,decrease,0.0965604434640478,0.9046020060114154,7,2.444484830979919,2.5184528934017223,0.0739680624218031,4
LMAN1,5,8,ECM-affiliated Proteins,Matrisome-associated,3.7339434697699843,0.5201344077427746,0.5,mixed,0.10686654701649595,0.7243294599170675,8,2.6876535556220134,2.502815485235297,0.1848380703867165,4
THBS3,2,4,ECM Glycoproteins,Core matrisome,2.6767888560295665,0.51643619587091,1.0,decrease,0.026612890697385372,-0.5621883377347277,4,1.6584729438435615,1.66496941944594,0.0064964756023784265,4
SERPINH1,5,8,ECM Regulators,Matrisome-associated,3.725990308874604,0.5157533438547072,0.75,decrease,0.024888822814212008,-0.45205611548333935,8,2.707535476797161,2.707597535165276,6.205836811501442e-05,4
ANXA11,5,8,ECM-affiliated Proteins,Matrisome-associated,3.70320711251292,0.5454007568212546,0.75,decrease,0.006912789915721418,-0.2807610711884825,8,2.6874336452871685,2.6960784427542084,0.008644797467039833,4
LUM,5,8,Proteoglycans,Core matrisome,3.6460749272198925,0.5869282413793855,0.75,decrease,0.023303728898834364,0.25747142799303063,8,2.631479352190823,2.655302451255123,0.023823099064300024,4
PRELP,5,8,Proteoglycans,Core matrisome,3.6341619889719894,0.6019345557132827,0.75,decrease,0.02856833327592523,0.19105145279720215,8,2.61950557071724,2.6426087044338034,0.023103133716563473,4
MFAP2,3,6,ECM Glycoproteins,Core matrisome,3.0572293128068995,0.6992511692601354,0.8333333333333334,decrease,0.02593935586342122,-1.1053053107861415,6,2.0979072908401553,2.10091643684071,0.0030091460005547965,4
