Gene,Baseline,Knockout,Delta,Percent_Change
Col5a1,0.1628475,0.16297472,-0.00012721121,-0.07811629
Serpina3m,0.45810094,0.45822862,-0.00012767315,-0.02787003
Col6a5,0.080541976,0.0806704,-0.00012842566,-0.15944985
Col4a4,0.080541976,0.0806704,-0.00012842566,-0.15944985
Hmcn1,0.080541976,0.0806704,-0.00012842566,-0.15944985
Cilp,0.080541976,0.0806704,-0.00012842566,-0.15944985
Angpt1,0.080541976,0.0806704,-0.00012842566,-0.15944985
Colec11,0.080541976,0.0806704,-0.00012842566,-0.15944985
Egfl7,0.080541976,0.0806704,-0.00012842566,-0.15944985
Gas6,0.080541976,0.0806704,-0.00012842566,-0.15944985
Adamtsl1,0.080541976,0.0806704,-0.00012842566,-0.15944985
Cxcl12,0.080541976,0.0806704,-0.00012842566,-0.15944985
Pcolce2,0.080541976,0.08067041,-0.00012843311,-0.15945911
Srpx2,0.080541976,0.08067041,-0.00012843311,-0.15945911
Rif1,0.080541976,0.08067041,-0.00012843311,-0.15945911
Tgm1,0.080541976,0.08067041,-0.00012843311,-0.15945911
Npnt,0.080541976,0.08067041,-0.00012843311,-0.15945911
Srpx,0.080541976,0.08067041,-0.00012843311,-0.15945911
Megf6,0.080541976,0.08067041,-0.00012843311,-0.15945911
Loxl1,0.080541976,0.08067041,-0.00012843311,-0.15945911
Thbs3,0.080541976,0.08067041,-0.00012843311,-0.15945911
Ltbp2,0.080541976,0.08067041,-0.00012843311,-0.15945911
Kcp,0.080541976,0.08067041,-0.00012843311,-0.15945911
Serpine2,0.45599303,0.4561215,-0.00012847781,-0.028175328
HTRA4,0.06614464,0.066275716,-0.00013107806,-0.19816586
SFTPB,0.06614464,0.06627572,-0.00013108552,-0.19817711
WNT4,0.07603613,0.076170206,-0.0001340732,-0.17632595
SERPINB6B,0.07603613,0.076170206,-0.0001340732,-0.17632595
LGALS9,0.07603613,0.076170206,-0.0001340732,-0.17632595
Fbn2,0.38233006,0.38246655,-0.00013649464,-0.035700638
Fgb,0.2315685,0.23170502,-0.00013652444,-0.058956143
Cst3,0.37778008,0.37791675,-0.00013667345,-0.03617795
Lamb2,0.373479,0.3736225,-0.00014349818,-0.038421918
S100a9,0.12669449,0.1268387,-0.00014421344,-0.11382682
Ccl21c,0.11179686,0.111941285,-0.00014442205,-0.12918141
Cd209d,0.11179686,0.111941285,-0.00014442205,-0.12918141
Angptl1,0.11179686,0.111941285,-0.00014442205,-0.12918141
Igfbp4,0.11179686,0.111941285,-0.00014442205,-0.12918141
Wnt10a,0.11179685,0.11194128,-0.0001444295,-0.12918809
Shh,0.11179685,0.11194128,-0.0001444295,-0.12918809
Sema5b,0.111796856,0.111941285,-0.0001444295,-0.12918809
Comp,0.4391305,0.43928096,-0.00015044212,-0.034259014
Tinagl1,0.23055507,0.23070788,-0.00015281141,-0.0662795
Fmod,0.24868837,0.24884138,-0.00015300512,-0.061524596
FBN2,0.4581491,0.45830223,-0.00015312433,-0.033422306
CRISPLD2,0.07068252,0.07083573,-0.00015321374,-0.2167602
BMPER,0.07068251,0.07083573,-0.00015322119,-0.21677078
Lgals1,0.35728538,0.3574391,-0.00015372038,-0.043024413
Serpinb6a,0.4584432,0.45859745,-0.00015425682,-0.033647895
Col8a2,0.2518442,0.25199878,-0.00015458465,-0.06138082
Efemp2,0.2518442,0.25199878,-0.00015458465,-0.06138082
Fgf2,0.2518442,0.25199878,-0.00015458465,-0.06138082
Serpinb5,0.2518442,0.25199878,-0.00015458465,-0.06138082
Thbs2,0.2518442,0.25199878,-0.00015458465,-0.06138082
Serping1,0.44281343,0.44296804,-0.00015461445,-0.034916308
Lama4,0.3958628,0.39601782,-0.00015503168,-0.03916288
SPARCL1,0.044568628,0.044724967,-0.00015633926,-0.35077533
Thbs4,0.22602442,0.22618133,-0.00015690923,-0.06942105
Sparc,0.43365213,0.43380943,-0.00015729666,-0.03627246
Kng1,0.20572151,0.20587924,-0.00015772879,-0.076670654
Bgn,0.3840246,0.38418254,-0.00015795231,-0.04113067
Gpc1,0.20617867,0.20633739,-0.00015872717,-0.07698488
BMP6,0.04881803,0.048977103,-0.00015907362,-0.32584348
Serpinc1,0.4369422,0.43710208,-0.00015988946,-0.036592733
Col4a2,0.49905694,0.49921694,-0.00016000867,-0.032062143
Ogfod1,0.10510171,0.1052622,-0.0001604855,-0.15269399
Cx3cl1,0.10510171,0.1052622,-0.0001604855,-0.15269399
Igfbp6,0.10510171,0.1052622,-0.0001604855,-0.15269399
Mbp,0.10510171,0.1052622,-0.0001604855,-0.15269399
Col25a1,0.10510171,0.1052622,-0.0001604855,-0.15269399
S100a16,0.10510171,0.1052622,-0.0001604855,-0.15269399
Lgi2,0.10510171,0.1052622,-0.0001604855,-0.15269399
Try4,0.10510171,0.1052622,-0.0001604855,-0.15269399
Sdc4,0.10510171,0.1052622,-0.0001604855,-0.15269399
Serpinb9,0.10510171,0.1052622,-0.0001604855,-0.15269399
Pik3ip1,0.10510171,0.1052622,-0.0001604855,-0.15269399
ANXA8,0.06730972,0.06747034,-0.00016061962,-0.23862413
LAMB3,0.06730972,0.06747035,-0.00016062707,-0.23863518
LAMC2,0.06730972,0.06747035,-0.00016062707,-0.23863518
C1QTNF2,0.067309715,0.06747034,-0.00016062707,-0.23863523
Adipoq,0.4676812,0.46784195,-0.00016075373,-0.034372427
Serpinf1,0.50258315,0.5027442,-0.00016105175,-0.03204473
S100a10,0.070668906,0.0708303,-0.00016139448,-0.22837794
Cilp2,0.20864922,0.20881175,-0.00016252697,-0.077894464
Ctss,0.23137902,0.23154366,-0.00016464293,-0.07115694
Anxa5,0.23480669,0.23497202,-0.00016532838,-0.070410125
COL16A1,0.38045064,0.3806195,-0.00016885996,-0.044384077
LOXL1,0.05584925,0.05601932,-0.00017007068,-0.30451193
Itih4,0.40617317,0.4063445,-0.00017133355,-0.042182285
SFRP1,0.051454626,0.05162919,-0.00017456338,-0.33925033
Vwa5a,0.07175604,0.07193181,-0.00017576665,-0.2449469
AGRN,0.49561718,0.49579415,-0.00017696619,-0.035706155
Col4a1,0.5254114,0.52558905,-0.00017762184,-0.033806175
Sparcl1,0.3584232,0.35860273,-0.00017952919,-0.050088465
ANXA6,0.3582836,0.35846412,-0.00018051267,-0.05038248
Dsp,0.115559846,0.11574042,-0.00018057227,-0.15625732
Ambp,0.4561819,0.45636347,-0.00018155575,-0.039798893
Itih2,0.11611785,0.1162998,-0.00018195063,-0.15669346
Vwf,0.11611785,0.11629981,-0.00018195808,-0.15669987
Serpina3k,0.11611785,0.11629981,-0.00018195808,-0.15669987
CLEC11A,0.07093548,0.07111777,-0.00018229336,-0.2569811
Itih3,0.53008056,0.53026295,-0.00018239021,-0.03440795
Pcolce,0.4816911,0.48187366,-0.00018256903,-0.037901603
Col15a1,0.48679122,0.48697403,-0.00018280745,-0.037553485
Lama2,0.19525701,0.19544369,-0.00018668175,-0.09560773
Plxnb1,0.16290298,0.16309121,-0.00018823147,-0.11554749
Col14a1,0.49079427,0.4909831,-0.00018882751,-0.03847378
Prelp,0.25822353,0.25841698,-0.00019344687,-0.07491421
Cstb,0.26313585,0.26333416,-0.00019830465,-0.07536179
Dcn,0.24866197,0.24886039,-0.00019842386,-0.07979631
NID2,0.41403353,0.41423368,-0.0002001524,-0.048341956
Hpx,0.49916175,0.49936205,-0.00020030141,-0.040127475
VCAN,0.29488066,0.29508108,-0.00020042062,-0.067966454
Tgm2,0.18491438,0.18511511,-0.00020073354,-0.108554274
Serpinb6,0.14371337,0.14391622,-0.00020284951,-0.14114769
Itih1,0.5218701,0.5220738,-0.00020372868,-0.03903812
Lama5,0.19353968,0.19374642,-0.00020673871,-0.10681926
CLC,0.04588259,0.046090126,-0.00020753592,-0.4523097
GREM1,0.04588259,0.046090126,-0.00020753592,-0.4523097
HGF,0.045882586,0.046090126,-0.00020753965,-0.45231786
ADAM12,0.045882586,0.046090126,-0.00020753965,-0.45231786
BMP8A;BMP8B,0.045882586,0.046090126,-0.00020753965,-0.45231786
C17ORF58,0.045882586,0.046090126,-0.00020753965,-0.45231786
TNN,0.04588259,0.04609013,-0.00020753965,-0.4523178
ANGPTL1,0.045882586,0.046090126,-0.00020753965,-0.45231786
ADAMTS1,0.045882586,0.046090126,-0.00020753965,-0.45231786
C1QTNF1,0.045882586,0.046090126,-0.00020753965,-0.45231786
WNT11,0.04588259,0.04609013,-0.00020753965,-0.4523178
CELA3A;CELA3B,0.045882583,0.046090126,-0.00020754337,-0.452326
IHH,0.045882583,0.046090126,-0.00020754337,-0.452326
SLIT2,0.045882583,0.04609013,-0.0002075471,-0.45233417
PCSK6,0.045882583,0.04609013,-0.0002075471,-0.45233417
LGI4,0.045882583,0.04609013,-0.0002075471,-0.45233417
NRP2,0.045882583,0.04609013,-0.0002075471,-0.45233417
NGF,0.045882583,0.04609013,-0.0002075471,-0.45233417
MMP1,0.045882583,0.04609013,-0.0002075471,-0.45233417
ISM1,0.045882583,0.04609013,-0.0002075471,-0.45233417
Serpinh1,0.53695214,0.5371635,-0.00021135807,-0.03936248
Mmrn2,0.36481702,0.36503047,-0.00021344423,-0.05850704
Ltbp4,0.32219434,0.32240954,-0.00021520257,-0.06679258
Itih5,0.18980925,0.19002576,-0.00021651387,-0.11406859
Vwa1,0.16547704,0.16569409,-0.00021705031,-0.13116564
Ctsb,0.4558833,0.4561019,-0.00021860003,-0.04795077
Ogn,0.2728779,0.27309808,-0.00022017956,-0.08068764
Mfge8,0.49317762,0.4933983,-0.0002206862,-0.04474772
Coch,0.09594423,0.09616575,-0.00022151321,-0.23087463
Cbln1,0.09594423,0.09616575,-0.00022151321,-0.23087463
Crp,0.09594423,0.09616575,-0.00022151321,-0.23087463
Col4a5,0.09594423,0.09616575,-0.00022151321,-0.23087463
Slit3,0.095944226,0.096165754,-0.00022152811,-0.23089018
Parm1,0.095944226,0.09616576,-0.00022153556,-0.23089796
COL3A1,0.37678364,0.37700593,-0.00022229552,-0.058998026
EFEMP1,0.32716316,0.3273865,-0.0002233386,-0.068265
Col6a1,0.1845971,0.18482248,-0.00022538006,-0.12209229
Serpina1b,0.32887608,0.32910377,-0.00022768974,-0.06923247
Ctsz,0.18155435,0.18178234,-0.00022798777,-0.1255748
Col1a2,0.23052883,0.23075683,-0.00022800267,-0.09890376
Ctsd,0.5008775,0.50110567,-0.00022816658,-0.04555328
Ctsf,0.34018257,0.3404111,-0.00022852421,-0.06717673
HTRA1,0.5011625,0.5013914,-0.00022888184,-0.04567009
PLXNB1,0.056504227,0.056736294,-0.00023206696,-0.4107
C1qc,0.14955111,0.14978503,-0.00023391843,-0.15641266
Lgi1,0.14671831,0.14695302,-0.00023470819,-0.1599709
LAMA4,0.21131209,0.2115485,-0.00023642182,-0.11188225
MIF,0.05592864,0.056171425,-0.00024278462,-0.43408936
Cspg4,0.11337824,0.11362109,-0.00024285167,-0.21419413
Hcfc1,0.11337824,0.11362111,-0.00024286658,-0.21420726
Emilin1,0.3977977,0.39804158,-0.0002438724,-0.06130548
THBS1,0.2519057,0.2521503,-0.00024458766,-0.097094536
CSTB,0.42894718,0.4291958,-0.00024861097,-0.057958275
F13B,0.062402368,0.062651694,-0.00024932623,-0.3995397
Col4a3,0.25551918,0.25576937,-0.0002501905,-0.09791418
Lum,0.21471366,0.21496512,-0.0002514571,-0.11711222
GAS6,0.0559627,0.05621611,-0.00025340915,-0.45280987
Eln,0.35336497,0.3536194,-0.00025442243,-0.07199969
Col6a6,0.21189985,0.2121551,-0.0002552569,-0.12046053
Plg,0.23023313,0.2304888,-0.00025567412,-0.11104962
Fbln5,0.46114773,0.46140388,-0.00025615096,-0.05554628
Col5a2,0.2718309,0.27208742,-0.0002565384,-0.09437391
C1qtnf4,0.1613457,0.16160412,-0.00025841594,-0.1601619
C1ql3,0.1613457,0.16160412,-0.00025841594,-0.1601619
Elfn2,0.1613457,0.16160412,-0.00025841594,-0.1601619
Elfn1,0.1613457,0.16160412,-0.00025841594,-0.1601619
Hapln2,0.1613457,0.16160412,-0.00025841594,-0.1601619
Adam11,0.1613457,0.16160412,-0.00025841594,-0.1601619
Col6a3,0.1613457,0.16160412,-0.00025841594,-0.1601619
Bdnf,0.1613457,0.16160412,-0.00025841594,-0.1601619
Bcan,0.1613457,0.16160412,-0.00025841594,-0.1601619
Gpc5,0.1613457,0.16160412,-0.00025841594,-0.1601619
Cabp1,0.1613457,0.16160412,-0.00025841594,-0.1601619
Grip1,0.1613457,0.16160412,-0.00025841594,-0.1601619
Fgf12,0.1613457,0.16160412,-0.00025841594,-0.1601619
Brinp2,0.1613457,0.16160412,-0.00025841594,-0.1601619
Chl1,0.1613457,0.16160412,-0.00025841594,-0.1601619
Hapln1,0.1613457,0.16160412,-0.00025841594,-0.1601619
Adam22,0.1613457,0.16160412,-0.00025841594,-0.1601619
Sema4f,0.16134569,0.16160412,-0.00025843084,-0.16017115
Ntng1,0.16207647,0.1623349,-0.00025843084,-0.15944895
Nrg3,0.16207647,0.1623349,-0.00025843084,-0.15944895
Timp2,0.16134569,0.16160412,-0.00025843084,-0.16017115
Sema6d,0.16134569,0.16160412,-0.00025843084,-0.16017115
Tnr,0.16134569,0.16160412,-0.00025843084,-0.16017115
Sema4d,0.16134569,0.16160412,-0.00025843084,-0.16017115
Ncan,0.16134569,0.16160412,-0.00025843084,-0.16017115
Nell2,0.16134569,0.16160412,-0.00025843084,-0.16017115
Ovos,0.16134569,0.16160412,-0.00025843084,-0.16017115
Plxna4,0.16134569,0.16160412,-0.00025843084,-0.16017115
Sema4a,0.16134569,0.16160412,-0.00025843084,-0.16017115
Plxnc1,0.16134569,0.16160412,-0.00025843084,-0.16017115
Vwa5b2,0.16207646,0.16233489,-0.00025843084,-0.15944897
Fstl1,0.16207647,0.1623349,-0.00025843084,-0.15944895
Sdc3,0.16134569,0.16160412,-0.00025843084,-0.16017115
P4htm,0.16207647,0.1623349,-0.00025843084,-0.15944895
Ptn,0.16134569,0.16160412,-0.00025843084,-0.16017115
Gpc6,0.16207647,0.1623349,-0.00025843084,-0.15944895
Plxna2,0.16134569,0.16160412,-0.00025843084,-0.16017115
Plxdc1,0.16134569,0.16160412,-0.00025843084,-0.16017115
Adam23,0.16207647,0.1623349,-0.00025843084,-0.15944895
Hapln4,0.16207647,0.1623349,-0.00025843084,-0.15944895
Acan,0.16207647,0.1623349,-0.00025843084,-0.15944895
Pag1,0.16207647,0.1623349,-0.00025843084,-0.15944895
Mmp17,0.16134569,0.16160412,-0.00025843084,-0.16017115
Cspg5,0.16207647,0.1623349,-0.00025843084,-0.15944895
Megf8,0.16207647,0.1623349,-0.00025843084,-0.15944895
Matn4,0.16134569,0.16160412,-0.00025843084,-0.16017115
Spock1,0.16134569,0.16160412,-0.00025843084,-0.16017115
Spock2,0.16134569,0.16160412,-0.00025843084,-0.16017115
Edil3,0.16207647,0.1623349,-0.00025843084,-0.15944895
Slit1,0.16134569,0.16160412,-0.00025843084,-0.16017115
Cbln4,0.16207647,0.1623349,-0.00025843084,-0.15944895
Chadl,0.16207647,0.1623349,-0.00025843084,-0.15944895
A2m,0.16207647,0.1623349,-0.00025843084,-0.15944895
Lgi3,0.16134569,0.16160412,-0.00025843084,-0.16017115
Clec2l,0.16207647,0.1623349,-0.00025843084,-0.15944895
S100b,0.16134569,0.16160412,-0.00025843084,-0.16017115
Megf10,0.16207647,0.1623349,-0.00025843084,-0.15944895
Serpini1,0.16134569,0.16160412,-0.00025843084,-0.16017115
Megf9,0.16134569,0.16160412,-0.00025843084,-0.16017115
Lama1,0.16134569,0.16160412,-0.00025843084,-0.16017115
S100a5,0.16134569,0.16160412,-0.00025843084,-0.16017115
S100a4,0.16134569,0.16160412,-0.00025843084,-0.16017115
Sdc2,0.16207646,0.1623349,-0.00025844574,-0.15945816
Slit2,0.16207646,0.1623349,-0.00025844574,-0.15945816
Serpinb9b,0.16207646,0.1623349,-0.00025844574,-0.15945816
A2M,0.43818074,0.43843985,-0.0002591014,-0.059131034
Col6a2,0.26369143,0.26395148,-0.00026005507,-0.0986206
LAMA1,0.2515359,0.25179783,-0.0002619326,-0.104132876
Vtn,0.46291074,0.4631728,-0.00026205182,-0.05660945
Matn2,0.116330825,0.116592996,-0.00026217103,-0.22536483
ANXA5,0.29711634,0.29737863,-0.00026229024,-0.08827833
NDNF,0.07803746,0.07830123,-0.00026376545,-0.33799416
Col18a1,0.1194212,0.11968661,-0.00026541203,-0.22224681
C1qa,0.15197258,0.15223989,-0.00026731193,-0.1758937
S100A16,0.26279575,0.26306415,-0.00026839972,-0.102132045
Serpina1d,0.20941782,0.20968872,-0.0002709031,-0.12935948
FAM20C,0.062615134,0.06288838,-0.0002732426,-0.4363773
SEMA3D,0.062615134,0.06288838,-0.0002732426,-0.4363773
HGFAC,0.062615134,0.062888384,-0.00027325004,-0.4363892
MST1;MST1L,0.062615134,0.06288839,-0.0002732575,-0.4364011
SPON2,0.062615134,0.06288839,-0.0002732575,-0.4364011
Pzp,0.252875,0.25314865,-0.00027364492,-0.10821308
FGL1,0.34123293,0.34151027,-0.0002773404,-0.08127574
CAP2,0.056390665,0.056669623,-0.0002789572,-0.49467805
CLEC14A,0.056390665,0.056669623,-0.0002789572,-0.49467805
Col3a1,0.27546933,0.2757485,-0.00027915835,-0.101338804
ADAMTSL4,0.14217758,0.1424601,-0.00028251112,-0.1987016
Ctsl,0.25489262,0.2551776,-0.0002849698,-0.1117995
Serpinb8,0.15012757,0.15041265,-0.00028507411,-0.18988664
Agrn,0.1889998,0.18928744,-0.0002876371,-0.1521883
SERPINB9,0.082504846,0.08279468,-0.00028983504,-0.35129032
COL1A2,0.38805398,0.38834432,-0.00029033422,-0.07481781
FN1,0.52328026,0.5235707,-0.00029045343,-0.05550618
Sema4b,0.11942548,0.11971656,-0.00029107928,-0.24373093
MFAP5,0.16364901,0.16394107,-0.00029206276,-0.17846791
VTN,0.4867564,0.4870488,-0.00029239058,-0.060069054
FGF2,0.11691203,0.11720503,-0.00029300153,-0.25061494
Ecm1,0.27703956,0.2773327,-0.00029313564,-0.105809644
HRNR,0.29168084,0.29197523,-0.00029438734,-0.10092755
Anxa6,0.08015711,0.08045199,-0.00029487908,-0.36787182
MUC1,0.41463754,0.4149341,-0.0002965629,-0.071523234
TINAG,0.41463754,0.41493413,-0.0002965927,-0.071530424
SEMA3G,0.41463754,0.41493413,-0.0002965927,-0.071530424
INHBC,0.14501955,0.14531662,-0.00029706955,-0.20484652
COL22A1,0.14501953,0.14531663,-0.00029709935,-0.2048671
COL8A1,0.329648,0.32994518,-0.00029718876,-0.09015309
SERPINA3G,0.12318023,0.12347755,-0.00029731542,-0.24136421
INHA,0.12318025,0.12347756,-0.00029731542,-0.2413642
PRL7C1,0.12318023,0.12347755,-0.00029731542,-0.24136421
SERPINA3K,0.12318023,0.12347755,-0.00029731542,-0.24136421
PRSS1,0.12318023,0.12347755,-0.00029731542,-0.24136421
ZP3,0.12318025,0.12347757,-0.00029732287,-0.24137025
WNT6,0.12318025,0.12347757,-0.00029732287,-0.24137025
ZP1,0.12318025,0.12347757,-0.00029732287,-0.24137025
ZP2,0.12318025,0.12347757,-0.00029732287,-0.24137025
FCN1,0.12318023,0.12347756,-0.00029733032,-0.24137633
VWA3B,0.12318023,0.12347757,-0.00029733777,-0.24138238
TRY10,0.12318023,0.12347757,-0.00029733777,-0.24138238
CST12,0.12318023,0.12347758,-0.00029734522,-0.24138841
CLEC10A,0.12318023,0.12347758,-0.00029734522,-0.24138841
ASTL,0.12318023,0.12347758,-0.00029734522,-0.24138841
COL1A1,0.38035402,0.3806538,-0.00029978156,-0.07881625
P4ha1,0.12128545,0.12158533,-0.00029987842,-0.24724808
Plxna1,0.11815681,0.118458666,-0.00030185282,-0.2554658
Lman1,0.11815681,0.118458666,-0.00030185282,-0.2554658
Sema7a,0.11815681,0.118458666,-0.00030185282,-0.2554658
