sample_id,metabolite,value,Tissue,Treatment
4T1-17_R4+,L-glutamate,38700000.0,Lung,Tumor
4T1-21_R22+,L-glutamate,57100000.0,Lung,Tumor
4T1-25_R16+,L-glutamate,41900000.0,Lung,Tumor
CTL-4_R20+,L-glutamate,41800000.0,Lung,Control
CTL-8_R13+,L-glutamate,29700000.0,Lung,Control
CTL-12_R14+,L-glutamate,28600000.0,Lung,Control
4T1-1_R7+,L-glutamine,54400000.0,Tibialis_anterior,Tumor
4T1-15_R11+,L-glutamine,62100000.0,Tibialis_anterior,Tumor
4T1-19_R15+,L-glutamine,71300000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,L-glutamine,71700000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,L-glutamine,82500000.0,Tibialis_anterior,Control
CTL-5_R2+,L-glutamine,107000000.0,Tibialis_anterior,Control
CTL-9_R1+,L-glutamine,85300000.0,Tibialis_anterior,Control
CTL-3_R6+,L-glutamine,102000000.0,Upper_Arm_SkM,Control
CTL-7_R3+,L-glutamine,90400000.0,Upper_Arm_SkM,Control
CTL-11_R21+,L-glutamine,90000000.0,Upper_Arm_SkM,Control
4T1-17_R4+,L-glutamine,19400000.0,Lung,Tumor
4T1-21_R22+,L-glutamine,11500000.0,Lung,Tumor
4T1-25_R16+,L-glutamine,10600000.0,Lung,Tumor
CTL-4_R20+,L-glutamine,12400000.0,Lung,Control
CTL-8_R13+,L-glutamine,11200000.0,Lung,Control
CTL-12_R14+,L-glutamine,6650000.0,Lung,Control
4T1-1_R7+,glycine,5990000.0,Tibialis_anterior,Tumor
4T1-15_R11+,glycine,7250000.0,Tibialis_anterior,Tumor
4T1-19_R15+,glycine,6070000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,glycine,6060000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,glycine,5620000.0,Tibialis_anterior,Control
CTL-5_R2+,glycine,6290000.0,Tibialis_anterior,Control
CTL-9_R1+,glycine,5670000.0,Tibialis_anterior,Control
CTL-3_R6+,glycine,8700000.0,Upper_Arm_SkM,Control
CTL-7_R3+,glycine,7450000.0,Upper_Arm_SkM,Control
CTL-11_R21+,glycine,9920000.0,Upper_Arm_SkM,Control
4T1-17_R4+,glycine,10400000.0,Lung,Tumor
4T1-21_R22+,glycine,7580000.0,Lung,Tumor
4T1-25_R16+,glycine,5840000.0,Lung,Tumor
CTL-4_R20+,glycine,6050000.0,Lung,Control
CTL-8_R13+,glycine,7490000.0,Lung,Control
CTL-12_R14+,glycine,7180000.0,Lung,Control
4T1-1_R7+,L-histidine,14600000.0,Tibialis_anterior,Tumor
4T1-15_R11+,L-histidine,11700000.0,Tibialis_anterior,Tumor
4T1-19_R15+,L-histidine,7640000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,L-histidine,10100000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,L-histidine,15800000.0,Tibialis_anterior,Control
CTL-5_R2+,L-histidine,16000000.0,Tibialis_anterior,Control
CTL-9_R1+,L-histidine,15100000.0,Tibialis_anterior,Control
CTL-3_R6+,L-histidine,15900000.0,Upper_Arm_SkM,Control
CTL-7_R3+,L-histidine,14600000.0,Upper_Arm_SkM,Control
CTL-11_R21+,L-histidine,15600000.0,Upper_Arm_SkM,Control
4T1-17_R4+,L-histidine,2860000.0,Lung,Tumor
4T1-21_R22+,L-histidine,2340000.0,Lung,Tumor
4T1-25_R16+,L-histidine,1990000.0,Lung,Tumor
CTL-4_R20+,L-histidine,1570000.0,Lung,Control
CTL-8_R13+,L-histidine,2450000.0,Lung,Control
CTL-12_R14+,L-histidine,1300000.0,Lung,Control
4T1-1_R7+,L-leucine,16300000.0,Tibialis_anterior,Tumor
4T1-15_R11+,L-leucine,17800000.0,Tibialis_anterior,Tumor
4T1-19_R15+,L-leucine,21700000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,L-leucine,15200000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,L-leucine,12700000.0,Tibialis_anterior,Control
CTL-5_R2+,L-leucine,17000000.0,Tibialis_anterior,Control
CTL-9_R1+,L-leucine,14600000.0,Tibialis_anterior,Control
CTL-3_R6+,L-leucine,9600000.0,Upper_Arm_SkM,Control
CTL-7_R3+,L-leucine,12000000.0,Upper_Arm_SkM,Control
CTL-11_R21+,L-leucine,11200000.0,Upper_Arm_SkM,Control
4T1-17_R4+,L-leucine,9670000.0,Lung,Tumor
4T1-21_R22+,L-leucine,13700000.0,Lung,Tumor
4T1-25_R16+,L-leucine,13200000.0,Lung,Tumor
CTL-4_R20+,L-leucine,9960000.0,Lung,Control
CTL-8_R13+,L-leucine,13300000.0,Lung,Control
CTL-12_R14+,L-leucine,9570000.0,Lung,Control
4T1-1_R7+,L-lysine,18900000.0,Tibialis_anterior,Tumor
4T1-15_R11+,L-lysine,12600000.0,Tibialis_anterior,Tumor
4T1-19_R15+,L-lysine,15000000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,L-lysine,14500000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,L-lysine,17300000.0,Tibialis_anterior,Control
CTL-5_R2+,L-lysine,21200000.0,Tibialis_anterior,Control
CTL-9_R1+,L-lysine,28000000.0,Tibialis_anterior,Control
CTL-3_R6+,L-lysine,22500000.0,Upper_Arm_SkM,Control
CTL-7_R3+,L-lysine,24100000.0,Upper_Arm_SkM,Control
CTL-11_R21+,L-lysine,26400000.0,Upper_Arm_SkM,Control
4T1-17_R4+,L-lysine,7400000.0,Lung,Tumor
4T1-21_R22+,L-lysine,5040000.0,Lung,Tumor
4T1-25_R16+,L-lysine,5730000.0,Lung,Tumor
CTL-4_R20+,L-lysine,4640000.0,Lung,Control
CTL-8_R13+,L-lysine,8760000.0,Lung,Control
CTL-12_R14+,L-lysine,5270000.0,Lung,Control
4T1-1_R7+,L-methionine,19400000.0,Tibialis_anterior,Tumor
4T1-15_R11+,L-methionine,16100000.0,Tibialis_anterior,Tumor
4T1-19_R15+,L-methionine,14100000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,L-methionine,17200000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,L-methionine,9570000.0,Tibialis_anterior,Control
CTL-5_R2+,L-methionine,15800000.0,Tibialis_anterior,Control
CTL-9_R1+,L-methionine,22000000.0,Tibialis_anterior,Control
CTL-3_R6+,L-methionine,13200000.0,Upper_Arm_SkM,Control
CTL-7_R3+,L-methionine,12000000.0,Upper_Arm_SkM,Control
CTL-11_R21+,L-methionine,17500000.0,Upper_Arm_SkM,Control
4T1-17_R4+,L-methionine,11000000.0,Lung,Tumor
4T1-21_R22+,L-methionine,10700000.0,Lung,Tumor
4T1-25_R16+,L-methionine,10100000.0,Lung,Tumor
CTL-4_R20+,L-methionine,4760000.0,Lung,Control
CTL-8_R13+,L-methionine,9740000.0,Lung,Control
CTL-12_R14+,L-methionine,6140000.0,Lung,Control
4T1-1_R7+,L-phenylalanine,8800000.0,Tibialis_anterior,Tumor
4T1-15_R11+,L-phenylalanine,8240000.0,Tibialis_anterior,Tumor
4T1-19_R15+,L-phenylalanine,10500000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,L-phenylalanine,9140000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,L-phenylalanine,5150000.0,Tibialis_anterior,Control
CTL-5_R2+,L-phenylalanine,8160000.0,Tibialis_anterior,Control
CTL-9_R1+,L-phenylalanine,10100000.0,Tibialis_anterior,Control
CTL-3_R6+,L-phenylalanine,4580000.0,Upper_Arm_SkM,Control
CTL-7_R3+,L-phenylalanine,6050000.0,Upper_Arm_SkM,Control
CTL-11_R21+,L-phenylalanine,4350000.0,Upper_Arm_SkM,Control
4T1-17_R4+,L-phenylalanine,4810000.0,Lung,Tumor
4T1-21_R22+,L-phenylalanine,6610000.0,Lung,Tumor
4T1-25_R16+,L-phenylalanine,5940000.0,Lung,Tumor
CTL-4_R20+,L-phenylalanine,3090000.0,Lung,Control
CTL-8_R13+,L-phenylalanine,5130000.0,Lung,Control
CTL-12_R14+,L-phenylalanine,3160000.0,Lung,Control
4T1-1_R7+,L-proline,48300000.0,Tibialis_anterior,Tumor
4T1-15_R11+,L-proline,43000000.0,Tibialis_anterior,Tumor
4T1-19_R15+,L-proline,51300000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,L-proline,43500000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,L-proline,16000000.0,Tibialis_anterior,Control
CTL-5_R2+,L-proline,22200000.0,Tibialis_anterior,Control
CTL-9_R1+,L-proline,27600000.0,Tibialis_anterior,Control
CTL-3_R6+,L-proline,20100000.0,Upper_Arm_SkM,Control
CTL-7_R3+,L-proline,21800000.0,Upper_Arm_SkM,Control
CTL-11_R21+,L-proline,21700000.0,Upper_Arm_SkM,Control
4T1-17_R4+,L-proline,14800000.0,Lung,Tumor
4T1-21_R22+,L-proline,20900000.0,Lung,Tumor
4T1-25_R16+,L-proline,24400000.0,Lung,Tumor
CTL-4_R20+,L-proline,8780000.0,Lung,Control
CTL-8_R13+,L-proline,18200000.0,Lung,Control
CTL-12_R14+,L-proline,12800000.0,Lung,Control
4T1-1_R7+,L-serine,2470000.0,Tibialis_anterior,Tumor
4T1-15_R11+,L-serine,2610000.0,Tibialis_anterior,Tumor
4T1-19_R15+,L-serine,3030000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,L-serine,2780000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,L-serine,2780000.0,Tibialis_anterior,Control
CTL-5_R2+,L-serine,3090000.0,Tibialis_anterior,Control
CTL-9_R1+,L-serine,2560000.0,Tibialis_anterior,Control
CTL-3_R6+,L-serine,3440000.0,Upper_Arm_SkM,Control
CTL-7_R3+,L-serine,2640000.0,Upper_Arm_SkM,Control
CTL-11_R21+,L-serine,3180000.0,Upper_Arm_SkM,Control
4T1-17_R4+,L-serine,1350000.0,Lung,Tumor
4T1-21_R22+,L-serine,1830000.0,Lung,Tumor
4T1-25_R16+,L-serine,1250000.0,Lung,Tumor
CTL-4_R20+,L-serine,944000.0,Lung,Control
CTL-8_R13+,L-serine,1550000.0,Lung,Control
CTL-12_R14+,L-serine,1100000.0,Lung,Control
4T1-1_R7+,L-threonine,7400000.0,Tibialis_anterior,Tumor
4T1-15_R11+,L-threonine,9810000.0,Tibialis_anterior,Tumor
4T1-19_R15+,L-threonine,7130000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,L-threonine,10600000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,L-threonine,7210000.0,Tibialis_anterior,Control
CTL-5_R2+,L-threonine,9680000.0,Tibialis_anterior,Control
CTL-9_R1+,L-threonine,7630000.0,Tibialis_anterior,Control
CTL-3_R6+,L-threonine,6360000.0,Upper_Arm_SkM,Control
CTL-7_R3+,L-threonine,8580000.0,Upper_Arm_SkM,Control
CTL-11_R21+,L-threonine,7510000.0,Upper_Arm_SkM,Control
4T1-17_R4+,L-threonine,3630000.0,Lung,Tumor
4T1-21_R22+,L-threonine,3860000.0,Lung,Tumor
4T1-25_R16+,L-threonine,3970000.0,Lung,Tumor
CTL-4_R20+,L-threonine,2100000.0,Lung,Control
CTL-8_R13+,L-threonine,3480000.0,Lung,Control
CTL-12_R14+,L-threonine,2060000.0,Lung,Control
4T1-1_R7+,L-tryptophan,26600000.0,Tibialis_anterior,Tumor
4T1-15_R11+,L-tryptophan,20300000.0,Tibialis_anterior,Tumor
4T1-19_R15+,L-tryptophan,23700000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,L-tryptophan,18800000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,L-tryptophan,8520000.0,Tibialis_anterior,Control
CTL-5_R2+,L-tryptophan,9610000.0,Tibialis_anterior,Control
CTL-9_R1+,L-tryptophan,14000000.0,Tibialis_anterior,Control
CTL-3_R6+,L-tryptophan,5640000.0,Upper_Arm_SkM,Control
CTL-7_R3+,L-tryptophan,9680000.0,Upper_Arm_SkM,Control
CTL-11_R21+,L-tryptophan,8010000.0,Upper_Arm_SkM,Control
4T1-17_R4+,L-tryptophan,23400000.0,Lung,Tumor
4T1-21_R22+,L-tryptophan,12400000.0,Lung,Tumor
4T1-25_R16+,L-tryptophan,12100000.0,Lung,Tumor
CTL-4_R20+,L-tryptophan,10200000.0,Lung,Control
CTL-8_R13+,L-tryptophan,16500000.0,Lung,Control
CTL-12_R14+,L-tryptophan,8190000.0,Lung,Control
4T1-1_R7+,L-tyrosine,13700000.0,Tibialis_anterior,Tumor
4T1-15_R11+,L-tyrosine,10200000.0,Tibialis_anterior,Tumor
4T1-19_R15+,L-tyrosine,11700000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,L-tyrosine,9440000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,L-tyrosine,4680000.0,Tibialis_anterior,Control
CTL-5_R2+,L-tyrosine,9420000.0,Tibialis_anterior,Control
CTL-9_R1+,L-tyrosine,11100000.0,Tibialis_anterior,Control
CTL-3_R6+,L-tyrosine,6490000.0,Upper_Arm_SkM,Control
CTL-7_R3+,L-tyrosine,6360000.0,Upper_Arm_SkM,Control
CTL-11_R21+,L-tyrosine,8560000.0,Upper_Arm_SkM,Control
4T1-17_R4+,L-tyrosine,9080000.0,Lung,Tumor
4T1-21_R22+,L-tyrosine,8780000.0,Lung,Tumor
4T1-25_R16+,L-tyrosine,6190000.0,Lung,Tumor
CTL-4_R20+,L-tyrosine,2940000.0,Lung,Control
CTL-8_R13+,L-tyrosine,5830000.0,Lung,Control
CTL-12_R14+,L-tyrosine,4060000.0,Lung,Control
4T1-1_R7+,L-valine,39100000.0,Tibialis_anterior,Tumor
4T1-15_R11+,L-valine,32500000.0,Tibialis_anterior,Tumor
4T1-19_R15+,L-valine,45500000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,L-valine,36500000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,L-valine,23900000.0,Tibialis_anterior,Control
CTL-5_R2+,L-valine,38900000.0,Tibialis_anterior,Control
CTL-9_R1+,L-valine,32600000.0,Tibialis_anterior,Control
CTL-3_R6+,L-valine,28700000.0,Upper_Arm_SkM,Control
CTL-7_R3+,L-valine,36100000.0,Upper_Arm_SkM,Control
CTL-11_R21+,L-valine,27000000.0,Upper_Arm_SkM,Control
4T1-17_R4+,L-valine,24200000.0,Lung,Tumor
4T1-21_R22+,L-valine,25400000.0,Lung,Tumor
4T1-25_R16+,L-valine,19300000.0,Lung,Tumor
CTL-4_R20+,L-valine,17100000.0,Lung,Control
CTL-8_R13+,L-valine,22200000.0,Lung,Control
CTL-12_R14+,L-valine,16900000.0,Lung,Control
4T1-1_R7+,L-cystine,7990.0,Tibialis_anterior,Tumor
4T1-15_R11+,L-cystine,0.0,Tibialis_anterior,Tumor
4T1-19_R15+,L-cystine,3270.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,L-cystine,0.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,L-cystine,21800.0,Tibialis_anterior,Control
CTL-5_R2+,L-cystine,0.0,Tibialis_anterior,Control
CTL-9_R1+,L-cystine,0.0,Tibialis_anterior,Control
CTL-3_R6+,L-cystine,0.0,Upper_Arm_SkM,Control
CTL-7_R3+,L-cystine,0.0,Upper_Arm_SkM,Control
CTL-11_R21+,L-cystine,0.0,Upper_Arm_SkM,Control
4T1-17_R4+,L-cystine,6310.0,Lung,Tumor
4T1-21_R22+,L-cystine,0.0,Lung,Tumor
4T1-25_R16+,L-cystine,6010.0,Lung,Tumor
CTL-4_R20+,L-cystine,18000.0,Lung,Control
CTL-8_R13+,L-cystine,14300.0,Lung,Control
CTL-12_R14+,L-cystine,13300.0,Lung,Control
4T1-1_R7+,AMP,5120000.0,Tibialis_anterior,Tumor
4T1-15_R11+,AMP,5450000.0,Tibialis_anterior,Tumor
4T1-19_R15+,AMP,1450000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,AMP,4140000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,AMP,3140000.0,Tibialis_anterior,Control
CTL-5_R2+,AMP,1560000.0,Tibialis_anterior,Control
CTL-9_R1+,AMP,4210000.0,Tibialis_anterior,Control
CTL-3_R6+,AMP,2500000.0,Upper_Arm_SkM,Control
CTL-7_R3+,AMP,1350000.0,Upper_Arm_SkM,Control
CTL-11_R21+,AMP,4620000.0,Upper_Arm_SkM,Control
4T1-17_R4+,AMP,25400000.0,Lung,Tumor
4T1-21_R22+,AMP,25100000.0,Lung,Tumor
4T1-25_R16+,AMP,18300000.0,Lung,Tumor
CTL-4_R20+,AMP,32200000.0,Lung,Control
CTL-8_R13+,AMP,11700000.0,Lung,Control
CTL-12_R14+,AMP,18600000.0,Lung,Control
4T1-1_R7+,dAMP,0.0,Tibialis_anterior,Tumor
4T1-15_R11+,dAMP,0.0,Tibialis_anterior,Tumor
4T1-19_R15+,dAMP,14400.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,dAMP,0.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,dAMP,3890.0,Tibialis_anterior,Control
CTL-5_R2+,dAMP,0.0,Tibialis_anterior,Control
CTL-9_R1+,dAMP,0.0,Tibialis_anterior,Control
CTL-3_R6+,dAMP,0.0,Upper_Arm_SkM,Control
CTL-7_R3+,dAMP,6870.0,Upper_Arm_SkM,Control
CTL-11_R21+,dAMP,1980.0,Upper_Arm_SkM,Control
4T1-17_R4+,dAMP,6710.0,Lung,Tumor
4T1-21_R22+,dAMP,70600.0,Lung,Tumor
4T1-25_R16+,dAMP,34500.0,Lung,Tumor
CTL-4_R20+,dAMP,17500.0,Lung,Control
CTL-8_R13+,dAMP,9290.0,Lung,Control
CTL-12_R14+,dAMP,6810.0,Lung,Control
4T1-1_R7+,Adenosine,3150000.0,Tibialis_anterior,Tumor
4T1-15_R11+,Adenosine,1540000.0,Tibialis_anterior,Tumor
4T1-19_R15+,Adenosine,2850000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,Adenosine,2420000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,Adenosine,504000.0,Tibialis_anterior,Control
CTL-5_R2+,Adenosine,618000.0,Tibialis_anterior,Control
CTL-9_R1+,Adenosine,264000.0,Tibialis_anterior,Control
CTL-3_R6+,Adenosine,673000.0,Upper_Arm_SkM,Control
CTL-7_R3+,Adenosine,245000.0,Upper_Arm_SkM,Control
CTL-11_R21+,Adenosine,301000.0,Upper_Arm_SkM,Control
4T1-17_R4+,Adenosine,24400000.0,Lung,Tumor
4T1-21_R22+,Adenosine,8050000.0,Lung,Tumor
4T1-25_R16+,Adenosine,6420000.0,Lung,Tumor
CTL-4_R20+,Adenosine,23600000.0,Lung,Control
CTL-8_R13+,Adenosine,11200000.0,Lung,Control
CTL-12_R14+,Adenosine,6610000.0,Lung,Control
4T1-1_R7+,Adenine,817000.0,Tibialis_anterior,Tumor
4T1-15_R11+,Adenine,365000.0,Tibialis_anterior,Tumor
4T1-19_R15+,Adenine,261000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,Adenine,479000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,Adenine,203000.0,Tibialis_anterior,Control
CTL-5_R2+,Adenine,221000.0,Tibialis_anterior,Control
CTL-9_R1+,Adenine,273000.0,Tibialis_anterior,Control
CTL-3_R6+,Adenine,265000.0,Upper_Arm_SkM,Control
CTL-7_R3+,Adenine,255000.0,Upper_Arm_SkM,Control
CTL-11_R21+,Adenine,221000.0,Upper_Arm_SkM,Control
4T1-17_R4+,Adenine,1660000.0,Lung,Tumor
4T1-21_R22+,Adenine,1080000.0,Lung,Tumor
4T1-25_R16+,Adenine,677000.0,Lung,Tumor
CTL-4_R20+,Adenine,1520000.0,Lung,Control
CTL-8_R13+,Adenine,865000.0,Lung,Control
CTL-12_R14+,Adenine,694000.0,Lung,Control
4T1-1_R7+,GMP,1140000.0,Tibialis_anterior,Tumor
4T1-15_R11+,GMP,485000.0,Tibialis_anterior,Tumor
4T1-19_R15+,GMP,1100000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,GMP,830000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,GMP,832000.0,Tibialis_anterior,Control
CTL-5_R2+,GMP,850000.0,Tibialis_anterior,Control
CTL-9_R1+,GMP,1110000.0,Tibialis_anterior,Control
CTL-3_R6+,GMP,878000.0,Upper_Arm_SkM,Control
CTL-7_R3+,GMP,771000.0,Upper_Arm_SkM,Control
CTL-11_R21+,GMP,866000.0,Upper_Arm_SkM,Control
4T1-17_R4+,GMP,4110000.0,Lung,Tumor
4T1-21_R22+,GMP,4060000.0,Lung,Tumor
4T1-25_R16+,GMP,2690000.0,Lung,Tumor
CTL-4_R20+,GMP,3850000.0,Lung,Control
CTL-8_R13+,GMP,2580000.0,Lung,Control
CTL-12_R14+,GMP,3350000.0,Lung,Control
4T1-1_R7+,Guanosine,622000.0,Tibialis_anterior,Tumor
4T1-15_R11+,Guanosine,293000.0,Tibialis_anterior,Tumor
4T1-19_R15+,Guanosine,886000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,Guanosine,1190000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,Guanosine,57700.0,Tibialis_anterior,Control
CTL-5_R2+,Guanosine,111000.0,Tibialis_anterior,Control
CTL-9_R1+,Guanosine,82100.0,Tibialis_anterior,Control
CTL-3_R6+,Guanosine,69400.0,Upper_Arm_SkM,Control
CTL-7_R3+,Guanosine,58400.0,Upper_Arm_SkM,Control
