sample_id,metabolite,value,Sample type,Species,bleomycin/IPF,saline/HLF,wt B6
S00015471,C14 CER,16.71693126,Tissues,Mus musculus,Y,N,Y
S00015472,C14 CER,17.5211094,Tissues,Mus musculus,Y,N,Y
S00015473,C14 CER,14.99545025,Tissues,Mus musculus,Y,N,Y
S00015474,C14 CER,16.52230241,Tissues,Mus musculus,Y,N,Y
S00015475,C14 CER,4.341071808,Cells,Homo sapiens,N,Y,N
S00015476,C14 CER,4.523389516,Cells,Homo sapiens,N,Y,N
S00015477,C14 CER,3.910946385,Cells,Homo sapiens,N,Y,N
S00015478,C14 CER,3.72642603,Cells,Homo sapiens,N,Y,N
S00015479,C14 CER,3.686349582,Cells,Homo sapiens,N,Y,N
S00015480,C14 CER,2.567389296,Cells,Homo sapiens,Y,N,N
S00015481,C14 CER,2.579638735,Cells,Homo sapiens,Y,N,N
S00015482,C14 CER,3.295066866,Cells,Homo sapiens,Y,N,N
S00015483,C14 CER,3.169451064,Cells,Homo sapiens,Y,N,N
S00015484,C14 CER,2.82618964,Cells,Homo sapiens,Y,N,N
S00015469,N-(OLEOYL)-CERAMIDE,60.09308441,Tissues,Mus musculus,N,Y,Y
S00015470,N-(OLEOYL)-CERAMIDE,56.13348308,Tissues,Mus musculus,N,Y,Y
S00015471,N-(OLEOYL)-CERAMIDE,79.88984208,Tissues,Mus musculus,Y,N,Y
S00015472,N-(OLEOYL)-CERAMIDE,80.01543077,Tissues,Mus musculus,Y,N,Y
S00015473,N-(OLEOYL)-CERAMIDE,47.18888104,Tissues,Mus musculus,Y,N,Y
S00015474,N-(OLEOYL)-CERAMIDE,52.99986529,Tissues,Mus musculus,Y,N,Y
S00015475,N-(OLEOYL)-CERAMIDE,8.563245435,Cells,Homo sapiens,N,Y,N
S00015476,N-(OLEOYL)-CERAMIDE,8.477443107,Cells,Homo sapiens,N,Y,N
S00015477,N-(OLEOYL)-CERAMIDE,8.287113223,Cells,Homo sapiens,N,Y,N
S00015478,N-(OLEOYL)-CERAMIDE,8.085358,Cells,Homo sapiens,N,Y,N
S00015479,N-(OLEOYL)-CERAMIDE,8.100988521,Cells,Homo sapiens,N,Y,N
S00015480,N-(OLEOYL)-CERAMIDE,7.322380042,Cells,Homo sapiens,Y,N,N
S00015481,N-(OLEOYL)-CERAMIDE,7.567238928,Cells,Homo sapiens,Y,N,N
S00015482,N-(OLEOYL)-CERAMIDE,7.561450824,Cells,Homo sapiens,Y,N,N
S00015483,N-(OLEOYL)-CERAMIDE,7.569146526,Cells,Homo sapiens,Y,N,N
S00015484,N-(OLEOYL)-CERAMIDE,7.309183262,Cells,Homo sapiens,Y,N,N
S00015469,N-PALMITOYLSPHINGOSINE,3589.962036,Tissues,Mus musculus,N,Y,Y
S00015470,N-PALMITOYLSPHINGOSINE,3102.803433,Tissues,Mus musculus,N,Y,Y
S00015471,N-PALMITOYLSPHINGOSINE,5239.218675,Tissues,Mus musculus,Y,N,Y
S00015472,N-PALMITOYLSPHINGOSINE,4368.8023,Tissues,Mus musculus,Y,N,Y
S00015473,N-PALMITOYLSPHINGOSINE,2968.105857,Tissues,Mus musculus,Y,N,Y
S00015474,N-PALMITOYLSPHINGOSINE,3291.572604,Tissues,Mus musculus,Y,N,Y
S00015475,N-PALMITOYLSPHINGOSINE,111.2430941,Cells,Homo sapiens,N,Y,N
S00015476,N-PALMITOYLSPHINGOSINE,134.7340545,Cells,Homo sapiens,N,Y,N
S00015477,N-PALMITOYLSPHINGOSINE,102.0941312,Cells,Homo sapiens,N,Y,N
S00015478,N-PALMITOYLSPHINGOSINE,106.2026024,Cells,Homo sapiens,N,Y,N
S00015479,N-PALMITOYLSPHINGOSINE,96.60617206,Cells,Homo sapiens,N,Y,N
S00015480,N-PALMITOYLSPHINGOSINE,129.5525361,Cells,Homo sapiens,Y,N,N
S00015481,N-PALMITOYLSPHINGOSINE,121.4395177,Cells,Homo sapiens,Y,N,N
S00015482,N-PALMITOYLSPHINGOSINE,158.712242,Cells,Homo sapiens,Y,N,N
S00015483,N-PALMITOYLSPHINGOSINE,153.9979781,Cells,Homo sapiens,Y,N,N
S00015484,N-PALMITOYLSPHINGOSINE,138.7477852,Cells,Homo sapiens,Y,N,N
S00015469,N-STEAROYLSPHINGOSINE,541.0739629,Tissues,Mus musculus,N,Y,Y
S00015470,N-STEAROYLSPHINGOSINE,408.8605058,Tissues,Mus musculus,N,Y,Y
S00015471,N-STEAROYLSPHINGOSINE,688.209609,Tissues,Mus musculus,Y,N,Y
S00015472,N-STEAROYLSPHINGOSINE,530.1515236,Tissues,Mus musculus,Y,N,Y
S00015473,N-STEAROYLSPHINGOSINE,523.4719251,Tissues,Mus musculus,Y,N,Y
S00015474,N-STEAROYLSPHINGOSINE,650.0436023,Tissues,Mus musculus,Y,N,Y
S00015475,N-STEAROYLSPHINGOSINE,6.172734398,Cells,Homo sapiens,N,Y,N
S00015476,N-STEAROYLSPHINGOSINE,8.660236358,Cells,Homo sapiens,N,Y,N
S00015477,N-STEAROYLSPHINGOSINE,6.583264455,Cells,Homo sapiens,N,Y,N
S00015478,N-STEAROYLSPHINGOSINE,6.456199665,Cells,Homo sapiens,N,Y,N
S00015479,N-STEAROYLSPHINGOSINE,5.610454373,Cells,Homo sapiens,N,Y,N
S00015480,N-STEAROYLSPHINGOSINE,3.182783523,Cells,Homo sapiens,Y,N,N
S00015481,N-STEAROYLSPHINGOSINE,2.541264579,Cells,Homo sapiens,Y,N,N
S00015482,N-STEAROYLSPHINGOSINE,3.43938129,Cells,Homo sapiens,Y,N,N
S00015483,N-STEAROYLSPHINGOSINE,3.66297448,Cells,Homo sapiens,Y,N,N
S00015484,N-STEAROYLSPHINGOSINE,3.129887079,Cells,Homo sapiens,Y,N,N
S00015469,N-ICOSANOYLSPHINGOSINE,842.957053,Tissues,Mus musculus,N,Y,Y
S00015470,N-ICOSANOYLSPHINGOSINE,842.3758328,Tissues,Mus musculus,N,Y,Y
S00015471,N-ICOSANOYLSPHINGOSINE,982.6844946,Tissues,Mus musculus,Y,N,Y
S00015472,N-ICOSANOYLSPHINGOSINE,833.68724,Tissues,Mus musculus,Y,N,Y
S00015473,N-ICOSANOYLSPHINGOSINE,916.7110151,Tissues,Mus musculus,Y,N,Y
S00015474,N-ICOSANOYLSPHINGOSINE,1578.309097,Tissues,Mus musculus,Y,N,Y
S00015475,N-ICOSANOYLSPHINGOSINE,7.319720471,Cells,Homo sapiens,N,Y,N
S00015476,N-ICOSANOYLSPHINGOSINE,8.581557899,Cells,Homo sapiens,N,Y,N
S00015477,N-ICOSANOYLSPHINGOSINE,7.358170248,Cells,Homo sapiens,N,Y,N
S00015478,N-ICOSANOYLSPHINGOSINE,6.659164131,Cells,Homo sapiens,N,Y,N
S00015479,N-ICOSANOYLSPHINGOSINE,6.719343166,Cells,Homo sapiens,N,Y,N
S00015480,N-ICOSANOYLSPHINGOSINE,6.324317278,Cells,Homo sapiens,Y,N,N
S00015481,N-ICOSANOYLSPHINGOSINE,5.929982975,Cells,Homo sapiens,Y,N,N
S00015482,N-ICOSANOYLSPHINGOSINE,6.889094001,Cells,Homo sapiens,Y,N,N
S00015483,N-ICOSANOYLSPHINGOSINE,7.170088474,Cells,Homo sapiens,Y,N,N
S00015484,N-ICOSANOYLSPHINGOSINE,6.964446368,Cells,Homo sapiens,Y,N,N
S00015469,C24 CER,1279.74824,Tissues,Mus musculus,N,Y,Y
S00015470,C24 CER,1379.284799,Tissues,Mus musculus,N,Y,Y
S00015471,C24 CER,542.9248375,Tissues,Mus musculus,Y,N,Y
S00015472,C24 CER,1478.376646,Tissues,Mus musculus,Y,N,Y
S00015473,C24 CER,1147.90664,Tissues,Mus musculus,Y,N,Y
S00015474,C24 CER,1505.891429,Tissues,Mus musculus,Y,N,Y
S00015475,C24 CER,130.060554,Cells,Homo sapiens,N,Y,N
S00015476,C24 CER,159.1229516,Cells,Homo sapiens,N,Y,N
S00015477,C24 CER,308.3833215,Cells,Homo sapiens,N,Y,N
S00015478,C24 CER,112.5124306,Cells,Homo sapiens,N,Y,N
S00015479,C24 CER,292.9832778,Cells,Homo sapiens,N,Y,N
S00015480,C24 CER,32.53552938,Cells,Homo sapiens,Y,N,N
S00015481,C24 CER,30.83932337,Cells,Homo sapiens,Y,N,N
S00015482,C24 CER,37.78045285,Cells,Homo sapiens,Y,N,N
S00015483,C24 CER,41.90340042,Cells,Homo sapiens,Y,N,N
S00015484,C24 CER,35.88320168,Cells,Homo sapiens,Y,N,N
S00015469,PHOSPHOENOLPYRUVATE,,Tissues,Mus musculus,N,Y,Y
S00015470,PHOSPHOENOLPYRUVATE,,Tissues,Mus musculus,N,Y,Y
S00015471,PHOSPHOENOLPYRUVATE,,Tissues,Mus musculus,Y,N,Y
S00015472,PHOSPHOENOLPYRUVATE,,Tissues,Mus musculus,Y,N,Y
S00015473,PHOSPHOENOLPYRUVATE,,Tissues,Mus musculus,Y,N,Y
S00015474,PHOSPHOENOLPYRUVATE,,Tissues,Mus musculus,Y,N,Y
S00015475,PHOSPHOENOLPYRUVATE,0.0957662,Cells,Homo sapiens,N,Y,N
S00015476,PHOSPHOENOLPYRUVATE,0.1273109,Cells,Homo sapiens,N,Y,N
S00015477,PHOSPHOENOLPYRUVATE,0.262627,Cells,Homo sapiens,N,Y,N
S00015478,PHOSPHOENOLPYRUVATE,0.1784907,Cells,Homo sapiens,N,Y,N
S00015479,PHOSPHOENOLPYRUVATE,0.0631907,Cells,Homo sapiens,N,Y,N
S00015480,PHOSPHOENOLPYRUVATE,0.1120064,Cells,Homo sapiens,Y,N,N
S00015481,PHOSPHOENOLPYRUVATE,0.0970568,Cells,Homo sapiens,Y,N,N
S00015482,PHOSPHOENOLPYRUVATE,0.2332775,Cells,Homo sapiens,Y,N,N
S00015483,PHOSPHOENOLPYRUVATE,0.1411019,Cells,Homo sapiens,Y,N,N
S00015484,PHOSPHOENOLPYRUVATE,0.139734,Cells,Homo sapiens,Y,N,N
S00015469,D-ERYTHROSE 4-PHOSPHATE,20.038248,Tissues,Mus musculus,N,Y,Y
S00015470,D-ERYTHROSE 4-PHOSPHATE,18.463215,Tissues,Mus musculus,N,Y,Y
S00015471,D-ERYTHROSE 4-PHOSPHATE,24.897075,Tissues,Mus musculus,Y,N,Y
S00015472,D-ERYTHROSE 4-PHOSPHATE,41.339513,Tissues,Mus musculus,Y,N,Y
S00015473,D-ERYTHROSE 4-PHOSPHATE,26.906668,Tissues,Mus musculus,Y,N,Y
S00015474,D-ERYTHROSE 4-PHOSPHATE,18.936015,Tissues,Mus musculus,Y,N,Y
S00015475,D-ERYTHROSE 4-PHOSPHATE,7.1859221,Cells,Homo sapiens,N,Y,N
S00015476,D-ERYTHROSE 4-PHOSPHATE,7.6633347,Cells,Homo sapiens,N,Y,N
S00015477,D-ERYTHROSE 4-PHOSPHATE,7.3595467,Cells,Homo sapiens,N,Y,N
S00015478,D-ERYTHROSE 4-PHOSPHATE,7.6626101,Cells,Homo sapiens,N,Y,N
S00015479,D-ERYTHROSE 4-PHOSPHATE,5.3614791,Cells,Homo sapiens,N,Y,N
S00015480,D-ERYTHROSE 4-PHOSPHATE,4.9663587,Cells,Homo sapiens,Y,N,N
S00015481,D-ERYTHROSE 4-PHOSPHATE,6.1584988,Cells,Homo sapiens,Y,N,N
S00015482,D-ERYTHROSE 4-PHOSPHATE,8.5746897,Cells,Homo sapiens,Y,N,N
S00015483,D-ERYTHROSE 4-PHOSPHATE,5.041,Cells,Homo sapiens,Y,N,N
S00015484,D-ERYTHROSE 4-PHOSPHATE,5.2846295,Cells,Homo sapiens,Y,N,N
S00015469,BETA-NAD+,0.0429542,Tissues,Mus musculus,N,Y,Y
S00015470,BETA-NAD+,0.0213538,Tissues,Mus musculus,N,Y,Y
S00015471,BETA-NAD+,0.0553099,Tissues,Mus musculus,Y,N,Y
S00015472,BETA-NAD+,0.0122934,Tissues,Mus musculus,Y,N,Y
S00015473,BETA-NAD+,,Tissues,Mus musculus,Y,N,Y
S00015474,BETA-NAD+,0.0523494,Tissues,Mus musculus,Y,N,Y
S00015475,BETA-NAD+,2.0001918,Cells,Homo sapiens,N,Y,N
S00015476,BETA-NAD+,1.884432,Cells,Homo sapiens,N,Y,N
S00015477,BETA-NAD+,1.7880502,Cells,Homo sapiens,N,Y,N
S00015478,BETA-NAD+,1.4416016,Cells,Homo sapiens,N,Y,N
S00015479,BETA-NAD+,1.9292067,Cells,Homo sapiens,N,Y,N
S00015480,BETA-NAD+,1.3798333,Cells,Homo sapiens,Y,N,N
S00015481,BETA-NAD+,1.4030294,Cells,Homo sapiens,Y,N,N
S00015482,BETA-NAD+,1.1507029,Cells,Homo sapiens,Y,N,N
S00015483,BETA-NAD+,1.3779033,Cells,Homo sapiens,Y,N,N
S00015484,BETA-NAD+,1.5333966,Cells,Homo sapiens,Y,N,N
S00015469,COENZYME II,0.306565,Tissues,Mus musculus,N,Y,Y
S00015470,COENZYME II,0.37369,Tissues,Mus musculus,N,Y,Y
S00015471,COENZYME II,0.4093067,Tissues,Mus musculus,Y,N,Y
S00015472,COENZYME II,0.2941398,Tissues,Mus musculus,Y,N,Y
S00015473,COENZYME II,0.2866139,Tissues,Mus musculus,Y,N,Y
S00015474,COENZYME II,0.3482391,Tissues,Mus musculus,Y,N,Y
S00015475,COENZYME II,0.1601165,Cells,Homo sapiens,N,Y,N
S00015476,COENZYME II,0.1517684,Cells,Homo sapiens,N,Y,N
S00015477,COENZYME II,0.1488863,Cells,Homo sapiens,N,Y,N
S00015478,COENZYME II,0.157594,Cells,Homo sapiens,N,Y,N
S00015479,COENZYME II,0.145193,Cells,Homo sapiens,N,Y,N
S00015480,COENZYME II,0.2324267,Cells,Homo sapiens,Y,N,N
S00015481,COENZYME II,0.2723429,Cells,Homo sapiens,Y,N,N
S00015482,COENZYME II,0.2253776,Cells,Homo sapiens,Y,N,N
S00015483,COENZYME II,0.3245565,Cells,Homo sapiens,Y,N,N
S00015484,COENZYME II,0.2858331,Cells,Homo sapiens,Y,N,N
S00015469,SEDOHEPTULOSE 7-PHOSPHATE,5.9628209,Tissues,Mus musculus,N,Y,Y
S00015470,SEDOHEPTULOSE 7-PHOSPHATE,6.2185794,Tissues,Mus musculus,N,Y,Y
S00015471,SEDOHEPTULOSE 7-PHOSPHATE,9.420146,Tissues,Mus musculus,Y,N,Y
S00015472,SEDOHEPTULOSE 7-PHOSPHATE,13.688768,Tissues,Mus musculus,Y,N,Y
S00015473,SEDOHEPTULOSE 7-PHOSPHATE,9.2061606,Tissues,Mus musculus,Y,N,Y
S00015474,SEDOHEPTULOSE 7-PHOSPHATE,6.6865866,Tissues,Mus musculus,Y,N,Y
S00015475,SEDOHEPTULOSE 7-PHOSPHATE,0.8841395,Cells,Homo sapiens,N,Y,N
S00015476,SEDOHEPTULOSE 7-PHOSPHATE,0.7139528,Cells,Homo sapiens,N,Y,N
S00015477,SEDOHEPTULOSE 7-PHOSPHATE,0.8641375,Cells,Homo sapiens,N,Y,N
S00015478,SEDOHEPTULOSE 7-PHOSPHATE,0.7320475,Cells,Homo sapiens,N,Y,N
S00015479,SEDOHEPTULOSE 7-PHOSPHATE,0.7306849,Cells,Homo sapiens,N,Y,N
S00015480,SEDOHEPTULOSE 7-PHOSPHATE,1.154272,Cells,Homo sapiens,Y,N,N
S00015481,SEDOHEPTULOSE 7-PHOSPHATE,1.2961419,Cells,Homo sapiens,Y,N,N
S00015482,SEDOHEPTULOSE 7-PHOSPHATE,1.5113028,Cells,Homo sapiens,Y,N,N
S00015483,SEDOHEPTULOSE 7-PHOSPHATE,1.5292353,Cells,Homo sapiens,Y,N,N
S00015484,SEDOHEPTULOSE 7-PHOSPHATE,1.4073574,Cells,Homo sapiens,Y,N,N
S00015469,"D-FRUCTOSE, 1,6-BIS(DIHYDROGEN PHOSPHATE)",6.3723916,Tissues,Mus musculus,N,Y,Y
S00015470,"D-FRUCTOSE, 1,6-BIS(DIHYDROGEN PHOSPHATE)",5.439822,Tissues,Mus musculus,N,Y,Y
S00015471,"D-FRUCTOSE, 1,6-BIS(DIHYDROGEN PHOSPHATE)",9.3443261,Tissues,Mus musculus,Y,N,Y
S00015472,"D-FRUCTOSE, 1,6-BIS(DIHYDROGEN PHOSPHATE)",15.561284,Tissues,Mus musculus,Y,N,Y
S00015473,"D-FRUCTOSE, 1,6-BIS(DIHYDROGEN PHOSPHATE)",10.959178,Tissues,Mus musculus,Y,N,Y
S00015474,"D-FRUCTOSE, 1,6-BIS(DIHYDROGEN PHOSPHATE)",7.0867371,Tissues,Mus musculus,Y,N,Y
S00015475,"D-FRUCTOSE, 1,6-BIS(DIHYDROGEN PHOSPHATE)",11.364279,Cells,Homo sapiens,N,Y,N
S00015476,"D-FRUCTOSE, 1,6-BIS(DIHYDROGEN PHOSPHATE)",10.741573,Cells,Homo sapiens,N,Y,N
S00015477,"D-FRUCTOSE, 1,6-BIS(DIHYDROGEN PHOSPHATE)",11.156786,Cells,Homo sapiens,N,Y,N
S00015478,"D-FRUCTOSE, 1,6-BIS(DIHYDROGEN PHOSPHATE)",10.313154,Cells,Homo sapiens,N,Y,N
S00015479,"D-FRUCTOSE, 1,6-BIS(DIHYDROGEN PHOSPHATE)",11.226625,Cells,Homo sapiens,N,Y,N
S00015480,"D-FRUCTOSE, 1,6-BIS(DIHYDROGEN PHOSPHATE)",11.72122,Cells,Homo sapiens,Y,N,N
S00015481,"D-FRUCTOSE, 1,6-BIS(DIHYDROGEN PHOSPHATE)",12.380766,Cells,Homo sapiens,Y,N,N
S00015482,"D-FRUCTOSE, 1,6-BIS(DIHYDROGEN PHOSPHATE)",10.183232,Cells,Homo sapiens,Y,N,N
S00015483,"D-FRUCTOSE, 1,6-BIS(DIHYDROGEN PHOSPHATE)",9.9282018,Cells,Homo sapiens,Y,N,N
S00015484,"D-FRUCTOSE, 1,6-BIS(DIHYDROGEN PHOSPHATE)",10.864181,Cells,Homo sapiens,Y,N,N
S00015469,NADP-REDUCED,,Tissues,Mus musculus,N,Y,Y
S00015470,NADP-REDUCED,0.0755421,Tissues,Mus musculus,N,Y,Y
S00015471,NADP-REDUCED,,Tissues,Mus musculus,Y,N,Y
S00015472,NADP-REDUCED,,Tissues,Mus musculus,Y,N,Y
S00015473,NADP-REDUCED,,Tissues,Mus musculus,Y,N,Y
S00015474,NADP-REDUCED,,Tissues,Mus musculus,Y,N,Y
S00015475,NADP-REDUCED,0.4728172,Cells,Homo sapiens,N,Y,N
S00015476,NADP-REDUCED,0.4615219,Cells,Homo sapiens,N,Y,N
S00015477,NADP-REDUCED,0.5132325,Cells,Homo sapiens,N,Y,N
S00015478,NADP-REDUCED,0.4266329,Cells,Homo sapiens,N,Y,N
S00015479,NADP-REDUCED,0.4589753,Cells,Homo sapiens,N,Y,N
S00015480,NADP-REDUCED,0.8275916,Cells,Homo sapiens,Y,N,N
S00015481,NADP-REDUCED,0.8698826,Cells,Homo sapiens,Y,N,N
S00015482,NADP-REDUCED,0.954375,Cells,Homo sapiens,Y,N,N
S00015483,NADP-REDUCED,0.6208281,Cells,Homo sapiens,Y,N,N
S00015484,NADP-REDUCED,0.8070651,Cells,Homo sapiens,Y,N,N
S00015469,CITRIC ACID,15.595332,Tissues,Mus musculus,N,Y,Y
S00015470,CITRIC ACID,16.849292,Tissues,Mus musculus,N,Y,Y
S00015471,CITRIC ACID,23.983276,Tissues,Mus musculus,Y,N,Y
S00015472,CITRIC ACID,30.592716,Tissues,Mus musculus,Y,N,Y
S00015473,CITRIC ACID,21.22123,Tissues,Mus musculus,Y,N,Y
S00015474,CITRIC ACID,18.118261,Tissues,Mus musculus,Y,N,Y
S00015475,CITRIC ACID,5.8991654,Cells,Homo sapiens,N,Y,N
S00015476,CITRIC ACID,5.7512861,Cells,Homo sapiens,N,Y,N
S00015477,CITRIC ACID,5.9812548,Cells,Homo sapiens,N,Y,N
S00015478,CITRIC ACID,5.7826572,Cells,Homo sapiens,N,Y,N
S00015479,CITRIC ACID,5.754673,Cells,Homo sapiens,N,Y,N
S00015480,CITRIC ACID,4.2949692,Cells,Homo sapiens,Y,N,N
S00015481,CITRIC ACID,4.575296,Cells,Homo sapiens,Y,N,N
S00015482,CITRIC ACID,3.8840375,Cells,Homo sapiens,Y,N,N
S00015483,CITRIC ACID,3.3337491,Cells,Homo sapiens,Y,N,N
S00015484,CITRIC ACID,3.8567326,Cells,Homo sapiens,Y,N,N
S00015469,NADH,0.1592711,Tissues,Mus musculus,N,Y,Y
S00015470,NADH,0.116138,Tissues,Mus musculus,N,Y,Y
S00015471,NADH,0.1871239,Tissues,Mus musculus,Y,N,Y
S00015472,NADH,0.2157112,Tissues,Mus musculus,Y,N,Y
S00015473,NADH,0.1964078,Tissues,Mus musculus,Y,N,Y
S00015474,NADH,0.1747716,Tissues,Mus musculus,Y,N,Y
S00015475,NADH,0.7820604,Cells,Homo sapiens,N,Y,N
S00015476,NADH,1.5548812,Cells,Homo sapiens,N,Y,N
S00015477,NADH,1.6838621,Cells,Homo sapiens,N,Y,N
S00015478,NADH,1.6165801,Cells,Homo sapiens,N,Y,N
S00015479,NADH,0.8676868,Cells,Homo sapiens,N,Y,N
S00015480,NADH,0.3096472,Cells,Homo sapiens,Y,N,N
S00015481,NADH,0.3762415,Cells,Homo sapiens,Y,N,N
S00015482,NADH,0.5646147,Cells,Homo sapiens,Y,N,N
S00015483,NADH,0.4539162,Cells,Homo sapiens,Y,N,N
S00015484,NADH,0.3929547,Cells,Homo sapiens,Y,N,N
S00015469,ACETYL-COA,0.1490353,Tissues,Mus musculus,N,Y,Y
S00015470,ACETYL-COA,0.1692829,Tissues,Mus musculus,N,Y,Y
S00015471,ACETYL-COA,0.1256338,Tissues,Mus musculus,Y,N,Y
S00015472,ACETYL-COA,0.0944061,Tissues,Mus musculus,Y,N,Y
S00015473,ACETYL-COA,0.1456283,Tissues,Mus musculus,Y,N,Y
S00015474,ACETYL-COA,0.1520306,Tissues,Mus musculus,Y,N,Y
S00015475,ACETYL-COA,0.0325782,Cells,Homo sapiens,N,Y,N
S00015476,ACETYL-COA,0.0110472,Cells,Homo sapiens,N,Y,N
S00015477,ACETYL-COA,0.0198041,Cells,Homo sapiens,N,Y,N
S00015478,ACETYL-COA,0.0312529,Cells,Homo sapiens,N,Y,N
S00015479,ACETYL-COA,0.0276192,Cells,Homo sapiens,N,Y,N
S00015480,ACETYL-COA,0.0257642,Cells,Homo sapiens,Y,N,N
S00015481,ACETYL-COA,0.0128234,Cells,Homo sapiens,Y,N,N
S00015482,ACETYL-COA,0.0107122,Cells,Homo sapiens,Y,N,N
S00015483,ACETYL-COA,0.0165798,Cells,Homo sapiens,Y,N,N
S00015484,ACETYL-COA,0.0128476,Cells,Homo sapiens,Y,N,N
S00015469,FAD,0.563794,Tissues,Mus musculus,N,Y,Y
S00015470,FAD,0.5387095,Tissues,Mus musculus,N,Y,Y
S00015471,FAD,0.5867344,Tissues,Mus musculus,Y,N,Y
S00015472,FAD,0.6589072,Tissues,Mus musculus,Y,N,Y
S00015473,FAD,0.5708251,Tissues,Mus musculus,Y,N,Y
S00015474,FAD,0.488485,Tissues,Mus musculus,Y,N,Y
S00015475,FAD,0.0958641,Cells,Homo sapiens,N,Y,N
S00015476,FAD,0.1210101,Cells,Homo sapiens,N,Y,N
S00015477,FAD,0.1205986,Cells,Homo sapiens,N,Y,N
S00015478,FAD,0.108877,Cells,Homo sapiens,N,Y,N
S00015479,FAD,0.108084,Cells,Homo sapiens,N,Y,N
S00015480,FAD,0.1980292,Cells,Homo sapiens,Y,N,N
S00015481,FAD,0.1795314,Cells,Homo sapiens,Y,N,N
S00015482,FAD,0.2030527,Cells,Homo sapiens,Y,N,N
S00015483,FAD,0.1894987,Cells,Homo sapiens,Y,N,N
S00015484,FAD,0.1953024,Cells,Homo sapiens,Y,N,N
S00015469,MALIC ACID,58.547583,Tissues,Mus musculus,N,Y,Y
S00015470,MALIC ACID,61.338201,Tissues,Mus musculus,N,Y,Y
S00015471,MALIC ACID,107.90417,Tissues,Mus musculus,Y,N,Y
S00015472,MALIC ACID,158.99348,Tissues,Mus musculus,Y,N,Y
S00015473,MALIC ACID,112.05654,Tissues,Mus musculus,Y,N,Y
S00015474,MALIC ACID,77.08009,Tissues,Mus musculus,Y,N,Y
S00015475,MALIC ACID,5.8923572,Cells,Homo sapiens,N,Y,N
S00015476,MALIC ACID,4.9490797,Cells,Homo sapiens,N,Y,N
S00015477,MALIC ACID,5.7228991,Cells,Homo sapiens,N,Y,N
S00015478,MALIC ACID,5.8795718,Cells,Homo sapiens,N,Y,N
S00015479,MALIC ACID,6.0309487,Cells,Homo sapiens,N,Y,N
S00015480,MALIC ACID,5.9355426,Cells,Homo sapiens,Y,N,N
S00015481,MALIC ACID,7.1125568,Cells,Homo sapiens,Y,N,N
S00015482,MALIC ACID,8.3023407,Cells,Homo sapiens,Y,N,N
S00015483,MALIC ACID,6.9307845,Cells,Homo sapiens,Y,N,N
S00015484,MALIC ACID,7.2478374,Cells,Homo sapiens,Y,N,N
S00015469,ADENOSINE TRIPHOSPHATE,1.1035712,Tissues,Mus musculus,N,Y,Y
