Protein_A,Protein_B,Correlation,P_value,N_Observations,Interaction_Type,Mean_Delta_A,Mean_Delta_B
EPYC,TIMP1,-0.9999988531318194,0.0009641662254142143,3,Antagonistic (opposite changes),0.8760482804297104,0.3423992856016427
FLG,LRG1,-0.9999988263637126,0.0009753532326362391,3,Antagonistic (opposite changes),-0.4568935454846488,0.5485856351562662
MMP2,TIMP2,0.999998804457751,0.0009844136524756952,3,Synergistic (both change together),0.9233250915128103,-0.04418391496097246
CTSD,PODN,0.9999987935138585,0.0009889090087832212,3,Synergistic (both change together),0.10312092593257786,0.14723286543760902
P4ha1,Vwa1,-0.9999987914613472,0.000989749832864051,3,Antagonistic (opposite changes),-0.138722833095119,0.08830529066521613
PODN,SERPIND1,0.9999986815055593,0.0010337947444945463,3,Synergistic (both change together),0.14723286543760902,0.31239094108632104
CLEC3B,CTHRC1,0.9999986552199343,0.0010440488055221714,3,Synergistic (both change together),-0.01636543574789423,-0.0761741375722965
Cfh,Rbmx,0.9999984295013041,0.0011282724082111047,3,Synergistic (both change together),0.04429751136383264,0.007144697528488131
Creld2,Ctsl,-0.9999984130612986,0.0011341624226352705,3,Antagonistic (opposite changes),-0.06926867178344308,0.027669956241326194
Clu,Tbc1d15,0.9999982337640438,0.0011965188518352984,3,Synergistic (both change together),0.29992172092312924,-0.07195823782992947
ADAMTSL4,CST3,0.9999982305108335,0.0011976202726790989,3,Synergistic (both change together),0.28436006551304005,0.16577503898972262
Anxa6,Il16,-0.9999982014956322,0.0012073993406802922,3,Antagonistic (opposite changes),-0.005369932571229363,-0.2432674387134417
ANXA11,PLOD3,0.999998108687243,0.0012381602726304025,3,Synergistic (both change together),-0.1656674529909037,-0.15883915898019094
Col1a2,Il16,0.9999980747551613,0.0012492178303866103,3,Synergistic (both change together),0.029153514108195593,-0.2432674387134417
COL5A3,SERPINB12,0.9999979306292163,0.0012951329492473706,3,Synergistic (both change together),-0.3006739920509436,-0.045254296250454774
Apoh,Gpx7,-0.999997865257844,0.001315430511866252,3,Antagonistic (opposite changes),0.08703796001706676,-0.042931573186577365
LOXL3,MATN2,-0.999997641343895,0.0013826985855767118,3,Antagonistic (opposite changes),-0.16475832088285222,-0.4822887521581096
Anxa3,Vwf,-0.9999975938166065,0.0013965599084960064,3,Antagonistic (opposite changes),-0.0243098275771141,-0.06112134285317907
HRNR,SERPING1,0.9999974575781221,0.0014355523067832012,3,Synergistic (both change together),-0.2587873722891926,0.16919218902877028
Hsd17b12,Hspb6,0.9999973635864434,0.0014618472136264204,3,Synergistic (both change together),-0.2501854416605138,0.2866856984617802
FRZB,TIMP3,0.9999972703067161,0.0014874834596150233,3,Synergistic (both change together),-0.5243683442964379,0.8620131942224992
HAPLN3,SERPINF2,-0.9999972615422514,0.001489869543486833,3,Antagonistic (opposite changes),-0.42901151081988337,1.5707563532394133
CD109,FBLN7,0.9999970865418233,0.001536737256187284,3,Synergistic (both change together),-0.2777729728323964,-0.008508612556035225
P4ha1,Plxnd1,0.9999970389134106,0.001549247420281,3,Synergistic (both change together),-0.138722833095119,-0.1122482417334521
CTHRC1,PTN,0.9999970345120209,0.0015503984020443214,3,Synergistic (both change together),-0.0761741375722965,-0.17059357445175224
COL15A1,FLG,0.9999969887047507,0.0015623268597051037,3,Synergistic (both change together),-0.12215702672855393,-0.4568935454846488
Aga,Tnc,0.9999969715545943,0.0015667694864667425,3,Synergistic (both change together),-0.14854123313318296,-0.45850876277301583
Col1a1,Nenf,-0.9999969528258837,3.047174116366236e-06,4,Antagonistic (opposite changes),-0.04894098938936353,0.060090179704844704
Egln1,Sema4b,0.9999968192145301,0.001605692671899938,3,Synergistic (both change together),-0.02201358363154547,-0.0251513861525811
COL3A1,TNFAIP6,-0.9999967881668398,0.0016135102395048305,3,Antagonistic (opposite changes),-0.3916543426418669,0.9239561415399553
LRG1,S100A16,-0.9999967871646223,0.0016137619591745896,3,Antagonistic (opposite changes),0.5485856351562662,-0.1983896919283367
LAMA2,VIT,-0.999996730515146,0.0016279269168289234,3,Antagonistic (opposite changes),-0.0634395752363715,-0.9542613408632254
FRAS1,LGALS8,0.99999668181692,0.001640005910046791,3,Synergistic (both change together),-0.34493980627855625,0.04140260740931064
C1qc,Ctsb,-0.999996666538541,0.001643777231341927,3,Antagonistic (opposite changes),-0.08157330872994208,0.11850125640211816
COL15A1,NGLY1,0.999996510152855,0.0016818933358154534,3,Synergistic (both change together),-0.21904074733746048,-0.238777699689852
Igf2r,Sema3c,0.9999963912157336,0.0017103134527164607,3,Synergistic (both change together),-0.0038307026801807638,0.5983137241437463
Stx4a,Tbc1d15,0.9999963199077955,0.001727128314291765,3,Synergistic (both change together),-0.16538063960297844,-0.07195823782992947
Man2b1,Tpt1,-0.9999961748882287,0.0017608295756607081,3,Antagonistic (opposite changes),-0.1066175653431942,0.12033629201961006
Chad,Nampt,0.999996166243775,0.001762818122725394,3,Synergistic (both change together),-0.5445727916974589,-0.053439817065210504
ADAM17,ANXA5,-0.9999961313207447,0.001770828990065223,3,Antagonistic (opposite changes),-0.12262168445587351,0.0040654561506994575
LMAN1,SERPINB12,0.9999958313781547,0.0018381947513637763,3,Synergistic (both change together),0.07924158913417728,-0.045254296250454774
Creld1,Serpine2,-0.999995565089098,0.0018959973714854743,3,Antagonistic (opposite changes),-0.09534902397215812,0.13104797569770255
EMILIN1,MUC1,0.9999953191396378,0.0019478617658138535,3,Synergistic (both change together),-0.08191753558298888,0.08233706576316775
LAMA3,TGM1,-0.9999951927996886,0.0019739738920638928,3,Antagonistic (opposite changes),-0.12026853615239452,-0.013790919120151263
IL17B,SERPINA3,-0.9999950391537947,0.002005271502735883,3,Antagonistic (opposite changes),-1.4218260127551459,0.6280472226106414
COL4A5,COL7A1,0.9999949222363563,0.002028764073124123,3,Synergistic (both change together),0.23566724893794788,0.15542474683650007
Aga,Ecm1,-0.999994729564286,0.0020668957476110673,3,Antagonistic (opposite changes),-0.14854123313318296,-0.0841273566271452
Col5a1,Vldlr,0.9999947223826924,0.002068303464724504,3,Synergistic (both change together),0.015384897963750829,-0.03646139585897323
Asah1,Kera,0.9999940241215053,0.002200879252366097,3,Synergistic (both change together),0.16210733241592556,-0.9627835621162864
Ctsc,Gpx3,-0.9999939310189789,0.002217957551563007,3,Antagonistic (opposite changes),0.21962887352964824,0.29983479539662167
Lgalsl,Serpina1c,0.9999938510576928,0.0022325209987126074,3,Synergistic (both change together),-0.0418522326100109,0.039059848002066966
C1qa,Nid2,0.9999938257686994,0.00223710718060707,3,Synergistic (both change together),-0.045138229914773544,-0.05868920962006907
ANXA2;ANXA2P2,LOXL3,-0.9999937097875192,0.002258021155016089,3,Antagonistic (opposite changes),-0.25347078178707405,-0.16475832088285222
COL16A1,SPON2,-0.9999935518140719,0.0022861995236158126,3,Antagonistic (opposite changes),0.008302784044258967,0.14520812386599793
Dnajc9,Mug1,-0.9999935039090982,0.002294676154608186,3,Antagonistic (opposite changes),0.010159996819656666,-0.21197153410590475
BCAN,CSPG4,0.9999934547935202,0.002303334610751506,3,Synergistic (both change together),-0.08641446358761873,-0.05819078722770382
COL14A1,MMP3,-0.9999934537488261,0.0023035184236473508,3,Antagonistic (opposite changes),-0.6001549921748652,0.2791378212647263
LOX,S100B,0.9999934174242541,0.0023099005999709255,3,Synergistic (both change together),-0.4182257214281586,0.04538053732019429
Lama3,Serpinb6,-0.9999933733833696,0.0023176149500126987,3,Antagonistic (opposite changes),-0.08086066783368356,0.0568187692425266
MPI,THSD4,-0.9999932850737505,0.002333006707371966,3,Antagonistic (opposite changes),-0.0294132405597255,-0.0372592380748602
Dnpep,Npc2,0.9999930450869171,0.0023743307984056506,3,Synergistic (both change together),-0.03957269169702197,0.08044381425414254
Cd34,Tinagl1,-0.999992841480194,0.002408834681307815,3,Antagonistic (opposite changes),-0.31532062772497876,-0.07104983479281125
COL6A5,TINAGL1,-0.9999927690575163,0.002420989110677632,3,Antagonistic (opposite changes),-0.49628358511244414,0.15323095477556742
Dnajc9,Serpinb6a,-0.999992451541922,0.0024735717807785234,3,Antagonistic (opposite changes),0.010159996819656666,0.6304161873689019
ELN,TNXB,-0.9999924294738166,0.0024771849209033374,3,Antagonistic (opposite changes),1.2845291588009855,-0.5139949495011141
Agt,Lum,-0.9999923832664603,0.002484733285347059,3,Antagonistic (opposite changes),0.05938670335507807,0.06153885917721177
COL6A5,FGA,0.9999922900070022,0.002499898590287496,3,Synergistic (both change together),-0.49628358511244414,-0.1291029585171933
Pcolce,Pcyox1,0.999992272636896,0.0025027130630063616,3,Synergistic (both change together),-1.4100021144273764,-0.056526681409984826
Egln1,Il16,0.9999920269494368,0.0025421880241811405,3,Synergistic (both change together),-0.0955651893837504,-0.2432674387134417
SCUBE1,THBS4,0.9999918860476001,0.002564552784365565,3,Synergistic (both change together),-0.6981558880442552,-0.2153150041575154
ITIH1,PLOD3,-0.9999918433029894,0.0025712990012850667,3,Antagonistic (opposite changes),0.026474466601195002,-0.15883915898019094
C1qa,Serpinh1,0.9999917423432051,0.0025871632528043313,3,Synergistic (both change together),-0.045138229914773544,-0.2948243991937494
CCL14,EFEMP1,0.9999917381141319,0.002587825663334,3,Synergistic (both change together),0.16469924360879287,0.45677624516115034
C1QTNF5,SERPINA3,-0.9999917065408264,0.0025927657224948434,3,Antagonistic (opposite changes),0.0958173793117354,0.13609497724230038
CLEC3B,PTN,0.999991695780247,0.002594447207548562,3,Synergistic (both change together),-0.01636543574789423,-0.17059357445175224
EFEMP2,LEPRE1,0.9999914413439734,0.002633893537706683,3,Synergistic (both change together),0.054247319259626225,-0.3156782553182649
Crlf3,Gpc1,-0.9999914089001224,0.0026388810579814326,3,Antagonistic (opposite changes),0.0002779362239905316,-0.0752988066510695
SLPI,TIMP2,0.9999909666365426,0.0027059526319320204,3,Synergistic (both change together),-0.34699592289438885,-0.04418391496097246
COL14A1,GDF5,0.9999905948981253,0.0027610687031832514,3,Synergistic (both change together),-0.6001549921748652,0.1518947261098848
Cpe,Cst3,-0.9999902960839524,0.0028045874564090797,3,Antagonistic (opposite changes),-0.08816908806102171,-0.20040618356235207
ITIH4,MFAP1,0.9999900318453613,0.002842515652992734,3,Synergistic (both change together),-0.1029904248014411,-0.16313030526852945
ARG1,CSTB,0.9999899709553302,0.002851184140307765,3,Synergistic (both change together),-0.2832014495466593,0.08995917605060844
S100a6,Serpine2,0.9999899374938416,0.002855936615842716,3,Synergistic (both change together),0.17388756848252127,0.13104797569770255
ITIH4,MPI,0.999989841966211,0.0028694609242720967,3,Synergistic (both change together),0.024043090081696878,-0.0294132405597255
CCL18,COL1A1,-0.9999898247035316,0.0028718980908014205,3,Antagonistic (opposite changes),-0.14343041251542296,0.08867595106472881
Ambp,Gstm5,0.9999897994177056,0.0028754642463141816,3,Synergistic (both change together),0.5720646880992682,0.18261462964056416
Fbln2,Selenop,0.9999893569356386,0.0029371684208280425,3,Synergistic (both change together),0.04951814768045001,0.025255838577884063
Aebp1,Fga,-0.9999892631269587,0.002950084245342138,3,Antagonistic (opposite changes),0.11216602353347993,-0.2603739561468486
Anxa11,Cstb,0.9999889572424682,0.0029918119232620844,3,Synergistic (both change together),-0.1054649989630574,-0.05858587921438336
Aebp1,Prkacb,-0.9999889076571803,0.0029985214778455636,3,Antagonistic (opposite changes),0.11216602353347993,0.06576066857821623
Ctsh,Prkaca,0.9999887389531374,0.003021237810749521,3,Synergistic (both change together),-0.27588194886710055,0.018181536241860825
COL4A4,TINAGL1,-0.9999886571875075,0.0030321864853810653,3,Antagonistic (opposite changes),-0.01524363183622259,0.20865287947749875
F9,WISP2,0.9999884695604833,0.0030571621152765127,3,Synergistic (both change together),-0.0757585764622483,0.09160036888108562
Anxa3,Cspg4,0.9999883842151488,0.0030684554401415845,3,Synergistic (both change together),-0.0243098275771141,-0.0788862755545438
F9,FNDC1,-0.999988155066057,0.0030985739901417037,3,Antagonistic (opposite changes),-0.0757585764622483,0.4418446799167383
MMP9,MUC1,0.999988068288955,0.003109903522741648,3,Synergistic (both change together),0.1332357127510694,0.08233706576316775
CHADL,LOX,0.9999879095696363,0.003130519680415911,3,Synergistic (both change together),-0.130614334346791,-0.47817695865345505
COL5A3,LMAN1,0.9999878878701528,0.0031333277005888747,3,Synergistic (both change together),-0.3006739920509436,0.07924158913417728
COMP,S100A10,-0.9999878852832234,0.003133662294163833,3,Antagonistic (opposite changes),0.2967765920416349,-0.3352025800272363
Ppia,Smoc2,-0.9999877277297333,0.003153973357799986,3,Antagonistic (opposite changes),0.2150193852200589,1.4258204970986965
ANXA5,TGM3,-0.9999874268317965,0.003192404678668863,3,Antagonistic (opposite changes),-0.17656311616207776,-0.34837058902498236
COL5A1,HTRA3,-0.9999871105115611,0.0032323131416851724,3,Antagonistic (opposite changes),-0.45171158275443485,0.4403139319156351
ANXA2;ANXA2P2,P4HA1,0.9999868145108489,0.003269216791359993,3,Synergistic (both change together),-0.25347078178707405,-0.27701374066976564
COL4A4,S100A9,0.9999864175271498,0.003318066113092322,3,Synergistic (both change together),-0.01524363183622259,-0.10509262399223
Fgg,M6pr,0.99998629345631,0.003333186346825888,3,Synergistic (both change together),0.25968200780121736,-0.06561966040390814
C1qc,Col6a1,-0.9999862439572424,0.0033391995806701102,3,Antagonistic (opposite changes),-0.08157330872994208,0.22478698170041833
FBLN1,FRZB,0.9999861993710834,0.0033446067309286587,3,Synergistic (both change together),0.29492152936495186,-0.5243683442964379
Ist1,Man2b1,-0.99998604020727,0.003363838300080971,3,Antagonistic (opposite changes),-0.0309764999049484,-0.1066175653431942
C1qtnf9,Emilin1,0.999985951107025,0.0033745563241485573,3,Synergistic (both change together),-0.07838202399534737,-0.15860060522395003
Spon1,Tgm2,0.9999859012368504,0.0033805404620128234,3,Synergistic (both change together),-0.10154879009648456,0.0781828868263958
Aga,Lpl,0.9999848412359402,0.0035053191552357897,3,Synergistic (both change together),-0.14854123313318296,-0.05339603759708609
Ctsh,Hsd17b12,0.9999845347754572,0.0035405749757817305,3,Synergistic (both change together),-0.27588194886710055,-0.2501854416605138
Hyou1,Il1rap,0.9999843296023867,0.0035639835926716905,3,Synergistic (both change together),-0.024611062276051098,0.12837701973057383
ADAMTSL5,COL5A2,-0.9999839561124279,0.0036062057909416376,3,Antagonistic (opposite changes),0.09373349068148686,-0.20788462374014452
MIF,SERPINA7,-0.9999836970175457,0.003635207798734552,3,Antagonistic (opposite changes),0.0238630220714882,0.3637666045159409
COL3A1,FRAS1,0.9999836586472906,0.0036394831592414458,3,Synergistic (both change together),-0.14144173564622822,-0.34493980627855625
ANXA2;ANXA2P2,MATN2,0.9999836475408843,0.0036407197405796165,3,Synergistic (both change together),-0.25347078178707405,-0.4822887521581096
Gba,Pebp1,0.9999835560194507,0.0036508937418895434,3,Synergistic (both change together),-0.2171792140123786,0.4366682620007076
Pebp1,Pon2,0.9999835242510429,0.0036544186620532104,3,Synergistic (both change together),0.3382552426150744,-0.07961975271916313
Clic1,Gpx7,0.9999834981129355,0.0036573163146434075,3,Synergistic (both change together),-0.34664061908611066,-0.042931573186577365
Ctsh,Gstm2,-0.9999825202491889,0.0037641192347504107,3,Antagonistic (opposite changes),-0.27588194886710055,0.619715567090219
EDIL3,SEMA3E,0.999982332546055,0.003784275483333507,3,Synergistic (both change together),-0.050960107988062164,0.057630819638656905
Cstb,Plxnb2,0.9999823220493017,0.0037853994943422013,3,Synergistic (both change together),-0.05858587921438336,-0.12224824879026751
BGN,COL4A5,-0.9999821652939394,0.003802145604073876,3,Antagonistic (opposite changes),-0.0025131339763993696,0.23566724893794788
Agrn,Col2a1,-0.9999821161627025,0.003807379113279184,3,Antagonistic (opposite changes),-0.05735708684466486,-0.21872723784036988
Fbn2,Papln,0.9999819714824809,0.0038227489826783735,3,Synergistic (both change together),-1.5434421564683005,0.1797897795486781
SCUBE1,TGFB1,0.9999816421005515,0.0038575119363733388,3,Synergistic (both change together),-0.6981558880442552,0.06569377084860824
ANGPTL5,ITIH4,-0.9999813734849993,0.0038856313833341635,3,Antagonistic (opposite changes),-0.08083664715925713,2.0931429441747924
AEBP1,MDK,-0.9999812299066982,0.003900578439125425,3,Antagonistic (opposite changes),0.11761206024576713,0.06616368229536186
Cd34,Serpina1d,0.9999809689714819,0.003927597180453061,3,Synergistic (both change together),-0.31532062772497876,-0.19677037639015493
ITIH2,PLXNA1,-0.9999804052056365,0.003985347404668472,3,Antagonistic (opposite changes),0.06577220401769039,-0.14361304983300685
CHRDL2,TIMP1,0.9999797556303635,0.004050866983265137,3,Synergistic (both change together),-0.5723148487450705,0.3423992856016427
Dpp4,Postn,0.999979567133189,0.004069682347144539,3,Synergistic (both change together),-0.5007142914609696,-0.34532665986789174
S100a1,Serpinf1,-0.999979354510793,0.004090801976309051,3,Antagonistic (opposite changes),0.06435540658889642,-0.09670976150921891
Ambp,Bag6,0.9999789873311958,0.004127019196275257,3,Synergistic (both change together),0.5720646880992682,-0.004565583826814795
Cst3,Npc2,-0.9999788440339525,0.004141067571708769,3,Antagonistic (opposite changes),-0.2352143493129627,0.08044381425414254
EPYC,LGALS1,-0.9999779502070405,0.004227641737001436,3,Antagonistic (opposite changes),0.8760482804297104,-0.16083298640867014
LOX,SERPINA5,0.9999776288347321,0.004258339014944069,3,Synergistic (both change together),-0.47817695865345505,-0.19758037611001467
Dnajc8,Gpc4,-0.9999774652392193,0.004273880869526246,3,Antagonistic (opposite changes),-0.04546826253328864,0.04377264909569897
PLG,TIMP2,-0.9999773357470344,0.00428614289181565,3,Antagonistic (opposite changes),2.3685571401092713,-0.04418391496097246
Il1rap,Serpina6,0.9999773150096718,0.004288103320723207,3,Synergistic (both change together),0.12837701973057383,0.17206927517462497
Kng1,M6pr,0.9999768366603203,0.0043330784013353675,3,Synergistic (both change together),0.13723716634025,-0.06561966040390814
Aebp1,Hsp90b1,-0.9999764681901259,0.004367406718661048,3,Antagonistic (opposite changes),0.11216602353347993,-0.08219396951306236
Hspb6,Pla2g7,-0.9999763256503391,0.00438061419830865,3,Antagonistic (opposite changes),0.22691367516712038,0.4151469795374391
Cfd,Dag1,-0.9999762409864813,0.004388440182494002,3,Antagonistic (opposite changes),-0.37757207274141363,-0.008068478217874172
Cpa3,Serpina6,0.9999760008064977,0.004410565876012568,3,Synergistic (both change together),0.2120383791703515,0.17206927517462497
SEMA3G,VTN,0.9999758280371591,0.004426413223169275,3,Synergistic (both change together),-0.7082004131811113,0.11264902471591327
Apoh,Igfbp5,-0.9999755763486304,0.004449398466295054,3,Antagonistic (opposite changes),0.08703796001706676,0.3077467085708498
Adck1,Il1rap,-0.9999741519286391,0.004577307914248356,3,Antagonistic (opposite changes),-0.0653460089062905,0.12837701973057383
C3,Cd151,-0.9999739725203882,0.004593165776441974,3,Antagonistic (opposite changes),-0.4277167002780278,0.05384245169299986
EPYC,PLOD1,-0.9999735462488691,0.004630626043134338,3,Antagonistic (opposite changes),0.8760482804297104,0.194728249064843
HTRA1,SERPINE1,0.9999734767671644,0.004636703332870949,3,Synergistic (both change together),0.6257332947626288,0.2473450690500223
EPYC,LGALS3,-0.9999731005603076,0.004669471308874783,3,Antagonistic (opposite changes),0.8760482804297104,-0.22985593290726805
Fbn2,Gpc4,-0.9999724435831604,0.004726149887067867,3,Antagonistic (opposite changes),-0.7506349615569321,0.04377264909569897
Cpe,Sod3,0.9999724149301035,0.004728606376252182,3,Synergistic (both change together),-0.08816908806102171,0.038148599984778875
COMP,MATN3,-0.9999723255136485,0.004736264052757798,3,Antagonistic (opposite changes),0.2967765920416349,-1.000424115967756
Fgg,Pltp,-0.9999723199315609,0.004736741695429246,3,Antagonistic (opposite changes),-0.21476797839045222,0.1040030880932255
ELN,FRAS1,0.9999714768634074,0.004808335844737671,3,Synergistic (both change together),0.2049816968020536,-0.34493980627855625
ANXA2;ANXA2P2,S100A10,0.9999712050874602,0.004831189189608133,3,Synergistic (both change together),-0.25347078178707405,-0.3352025800272363
COL6A5,TGFBI,0.9999710725906229,0.004842291596967694,3,Synergistic (both change together),-0.49628358511244414,-0.16703717350415662
MBL2,NID1,0.9999710472737274,0.004844410099335874,3,Synergistic (both change together),0.09022232668334913,-0.08984877975937466
ITIH3,P4HA2,0.9999701187379798,0.0049214793831554825,3,Synergistic (both change together),0.7807039179390486,-0.01992675454196824
PRG4,SMOC2,-0.999969400580817,0.00498026921530776,3,Antagonistic (opposite changes),0.9799352703394154,-0.019664111322500538
CCL18,EDIL3,0.9999693870136822,0.004981373171542961,3,Synergistic (both change together),-0.14343041251542296,-0.050960107988062164
ABI3BP,CILP,0.9999692984963666,3.070150363337909e-05,4,Synergistic (both change together),0.023361932761374188,0.6316081753940073
Ctsh,Hspb6,0.9999691277552951,0.005002422189414656,3,Synergistic (both change together),-0.27588194886710055,0.2866856984617802
CHRDL2,EPYC,-0.9999689719031138,0.005015033208667052,3,Antagonistic (opposite changes),-0.5723148487450705,0.8760482804297104
C1qa,Col6a1,0.9999687203383191,0.005035322327709506,3,Synergistic (both change together),-0.045138229914773544,-0.1891723641926358
Cd81,Col4a1,-0.9999681972208451,0.005077253042271555,3,Antagonistic (opposite changes),-0.09434831414397722,0.46804196446313334
S100a10,Serpinb8,-0.9999676933903361,0.005117313010459986,3,Antagonistic (opposite changes),-0.0002534868263912397,-0.010096244401889968
Crlf3,Cst3,0.9999674116190098,0.005139580736973973,3,Synergistic (both change together),0.0002779362239905316,-0.08783468634074597
Agrn,C1qa,-0.9999673614794699,0.0051435330439030145,3,Antagonistic (opposite changes),0.03783031950130577,-0.045138229914773544
ADAM10,NID1,0.999966830861448,0.005185174988338101,3,Synergistic (both change together),-0.1941579721970166,-0.24520315636244064
Cfd,Smc3,-0.9999663656617862,0.005221409819264713,3,Antagonistic (opposite changes),-0.37757207274141363,-0.0882290667492439
Itgb1,Rbmx,0.999966328625701,0.005224283793735124,3,Synergistic (both change together),-0.10863505748415782,0.007144697528488131
Apoc1,Ckm,0.9999661465179593,0.005238392290974174,3,Synergistic (both change together),-0.13334100329292395,0.007557000661633562
Cdh13,Tbc1d15,0.9999661125511707,0.00524101960947338,3,Synergistic (both change together),-0.007382565134124663,-0.07195823782992947
M6pr,Nid1,0.9999657963872974,0.005265411877354257,3,Synergistic (both change together),-0.06561966040390814,-0.047546398112782134
Col12a1,Serpina3k,-0.9999657451472604,0.005269354450174163,3,Antagonistic (opposite changes),-0.1946029993434615,0.17868876878656959
Col1a2,Lman1,-0.9999655418426237,0.0052849683765010405,3,Antagonistic (opposite changes),0.29243468371131287,-0.09428589716223201
Creld1,Ctsf,-0.9999653469802409,0.005299890759052162,3,Antagonistic (opposite changes),-0.09534902397215812,0.2470920518190534
CCL18,S100A13,0.9999642426228351,0.005383680057272356,3,Synergistic (both change together),-0.14343041251542296,-0.06582165252415338
Asah1,Col15a1,-0.9999638521763279,0.00541299351283026,3,Antagonistic (opposite changes),0.16210733241592556,-0.32494235744206107
EPYC,OGN,0.999962962380463,0.005479210611884886,3,Synergistic (both change together),0.8760482804297104,0.21625026501423908
LAMC3,OGN,0.9999619782291591,0.005551529690890268,3,Synergistic (both change together),-0.04230468732448303,0.32413136645542184
EMILIN1,IGFBP6,-0.999961896396913,0.005557500649635242,3,Antagonistic (opposite changes),-0.03424638365054357,-0.05180696570174726
MATN4,SERPINA4,-0.9999618784055805,0.005558812542327639,3,Antagonistic (opposite changes),-0.1368106349372141,1.603979380541625
Serping1,Sord,0.9999614312040416,0.005591322690402215,3,Synergistic (both change together),-0.13844136358345777,0.1670600105933476
