Source,Target,Correlation,Evidence
A2M,SERPINA3,0.8447027338274383,Co-regulation
SERPINA4,A2M,0.8470156214876003,Co-regulation
A2M,SERPINA5,-0.7494142085797548,Co-regulation
SERPINA6,A2M,0.7298408570136901,Co-regulation
A2M,SERPINA7,-0.9999999999999998,Co-regulation
A2M,SERPINB12,-1.0,Co-regulation
A2M,SERPINB8,1.0000000000000002,Co-regulation
SERPINC1,A2M,0.7728822838629703,Co-regulation
SERPIND1,A2M,0.8561291487104896,Co-regulation
A2M,SERPINE1,1.0,Co-regulation
A2M,SERPINE2,-1.0,Co-regulation
A2M,SERPINF1,0.9705180460895572,Co-regulation
SERPINF2,A2M,0.760859075450409,Co-regulation
A2M,SERPING1,0.7019849946793871,Co-regulation
A2M,SERPINH1,0.7292294146200669,Co-regulation
A2M,SFRP2,0.9999999999999999,Co-regulation
A2M,SLPI,-0.8941516498849074,Co-regulation
A2M,SMOC2,1.0,Co-regulation
A2M,SPARC,-0.9263209239932341,Co-regulation
A2M,SPON1,1.0,Co-regulation
A2M,SRPX2,-0.9999999999999999,Co-regulation
A2M,TGM2,-0.8500544130806468,Co-regulation
A2M,THBS1,0.9426971238626556,Co-regulation
A2M,THBS2,1.0000000000000002,Co-regulation
A2M,THBS3,-0.9999999999999999,Co-regulation
A2M,THBS4,-1.0,Co-regulation
A2M,THSD4,-1.0000000000000002,Co-regulation
A2M,TIMP1,0.9999999999999998,Co-regulation
VIT,A2M,-0.9999999999999999,Co-regulation
VTN,A2M,0.7666699170220851,Co-regulation
A2M,VWA1,0.7963748422035398,Co-regulation
A2m,Adam10,-1.0,Co-regulation
A2m,Agrn,-1.0,Co-regulation
A2m,Anxa1,-1.0,Co-regulation
A2m,Anxa11,1.0,Co-regulation
Anxa2,A2m,-1.0000000000000002,Co-regulation
A2m,Anxa3,-1.0000000000000002,Co-regulation
A2m,Anxa4,-1.0000000000000002,Co-regulation
A2m,Anxa5,-1.0,Co-regulation
A2m,Anxa6,-1.0000000000000002,Co-regulation
A2m,Anxa7,-1.0000000000000002,Co-regulation
A2m,Bgn,-1.0000000000000002,Co-regulation
A2m,Ccl21c,-0.9999999999999999,Co-regulation
A2m,Chrdl1,1.0000000000000002,Co-regulation
A2m,Col12a1,-1.0,Co-regulation
A2m,Col18a1,1.0000000000000002,Co-regulation
A2m,Col1a1,-1.0,Co-regulation
A2m,Col1a2,-1.0,Co-regulation
Col3a1,A2m,-1.0,Co-regulation
Col4a1,A2m,1.0000000000000002,Co-regulation
Col4a2,A2m,1.0000000000000002,Co-regulation
A2m,Col4a5,1.0,Co-regulation
A2m,Col6a1,-1.0,Co-regulation
A2m,Col6a2,-1.0,Co-regulation
A2m,Col6a3,-1.0,Co-regulation
A2m,Colec12,-1.0,Co-regulation
A2m,Creld1,1.0,Co-regulation
A2m,Crlf3,-1.0000000000000002,Co-regulation
Cspg4,A2m,-1.0,Co-regulation
A2m,Cst3,-1.0000000000000002,Co-regulation
Cstb,A2m,-1.0,Co-regulation
A2m,Ctsa,-1.0000000000000002,Co-regulation
Ctsb,A2m,-1.0000000000000002,Co-regulation
A2m,Ctsc,-1.0,Co-regulation
Ctsd,A2m,-1.0000000000000002,Co-regulation
A2m,Ctsh,-1.0000000000000002,Co-regulation
A2m,Ctsl,-1.0000000000000002,Co-regulation
Ctss,A2m,1.0000000000000002,Co-regulation
A2m,Ctsz,-1.0,Co-regulation
A2m,Dcn,-1.0,Co-regulation
A2m,F13a1,1.0000000000000002,Co-regulation
Fbln5,A2m,0.9999999999999996,Co-regulation
A2m,Fga,-1.0,Co-regulation
A2m,Fgb,0.9999999999999982,Co-regulation
A2m,Fgf1,1.000000000000001,Co-regulation
A2m,Fgg,-1.0,Co-regulation
Fn1,A2m,-1.0000000000000002,Co-regulation
A2m,Fstl1,1.0,Co-regulation
A2m,Gpc4,-1.0,Co-regulation
A2m,Hapln1,-1.0,Co-regulation
A2m,Hcfc1,1.0000000000000004,Co-regulation
A2m,Hspg2,-1.0000000000000002,Co-regulation
Htra1,A2m,-1.0,Co-regulation
A2m,Igfbp6,1.0,Co-regulation
A2m,Igfbp7,-1.0,Co-regulation
Il16,A2m,1.0,Co-regulation
Itih1,A2m,-1.0,Co-regulation
A2m,Itih2,-0.9999999999999999,Co-regulation
A2m,Itih5,-1.0,Co-regulation
A2m,Kng1,1.0,Co-regulation
A2m,Lama1,-1.0000000000000002,Co-regulation
A2m,Lama2,-1.0000000000000002,Co-regulation
A2m,Lama3,-1.0000000000000002,Co-regulation
Lama4,A2m,-1.0000000000000002,Co-regulation
A2m,Lama5,-1.0000000000000002,Co-regulation
Lamb1,A2m,-1.0,Co-regulation
A2m,Lamb2,-1.0000000000000002,Co-regulation
A2m,Lamc1,-1.0,Co-regulation
A2m,Lgals1,-0.9999999999999998,Co-regulation
A2m,Lgalsl,1.0000000000000002,Co-regulation
A2m,Lman1,-1.0,Co-regulation
A2m,Lum,-1.0,Co-regulation
Matn4,A2m,-1.0000000000000002,Co-regulation
Mfge8,A2m,1.0000000000000002,Co-regulation
A2m,Mmrn2,-1.0000000000000002,Co-regulation
A2m,Ngly1,-1.0000000000000002,Co-regulation
A2m,Nid1,1.0,Co-regulation
A2m,Nid2,-1.0,Co-regulation
A2m,P4ha1,-1.0000000000000002,Co-regulation
A2m,Plxdc2,1.0000000000000002,Co-regulation
A2m,Plxna1,-1.0,Co-regulation
A2m,Plxnb1,1.0,Co-regulation
A2m,Plxnb2,-0.9999999999999998,Co-regulation
A2m,Prelp,-1.0000000000000002,Co-regulation
A2m,Prg2,1.0,Co-regulation
A2m,S100a1,1.0,Co-regulation
A2m,S100a10,-1.0,Co-regulation
A2m,S100a11,-1.0000000000000002,Co-regulation
A2m,S100a13,-1.0,Co-regulation
A2m,S100a16,-1.0,Co-regulation
A2m,S100a4,-1.0,Co-regulation
S100a6,A2m,-1.0000000000000007,Co-regulation
A2m,S100a9,1.0000000000000002,Co-regulation
A2m,S100b,-1.0000000000000002,Co-regulation
A2m,S100g,-0.9999999999999998,Co-regulation
A2m,Sema7a,1.0000000000000002,Co-regulation
A2m,Serpina1b,1.0,Co-regulation
A2m,Serpina1c,1.0,Co-regulation
A2m,Serpina1d,1.0,Co-regulation
A2m,Serpina1e,1.0,Co-regulation
Serpina3n,A2m,1.0000000000000002,Co-regulation
A2m,Serpinb1a,1.0000000000000049,Co-regulation
Serpinb6a,A2m,0.9999999999999996,Co-regulation
A2m,Serpinb8,-1.0,Co-regulation
A2m,Serpinb9,-1.0000000000000002,Co-regulation
A2m,Serpinc1,1.0000000000000002,Co-regulation
Serpine2,A2m,0.9999999999999999,Co-regulation
Serpinf1,A2m,1.0,Co-regulation
Serpinh1,A2m,-1.0,Co-regulation
A2m,Slit3,-1.0,Co-regulation
Sparc,A2m,-1.0,Co-regulation
A2m,Sparcl1,1.0,Co-regulation
A2m,Spon1,1.0000000000000002,Co-regulation
A2m,Tgfbi,1.0,Co-regulation
A2m,Tgm2,-1.0000000000000002,Co-regulation
A2m,Tinagl1,-1.0,Co-regulation
Tnc,A2m,0.9999999999999999,Co-regulation
A2m,Vcan,-1.0000000000000002,Co-regulation
A2m,Vwa1,-1.0,Co-regulation
A2m,Vwa5a,-1.0000000000000002,Co-regulation
A2m,Vwf,1.0,Co-regulation
ADIPOQ,ABI3BP,1.0000000000000002,Co-regulation
ANGPTL2,ABI3BP,0.9999999999999997,Co-regulation
ANXA1,ABI3BP,0.7463030164657957,Co-regulation
ANXA3,ABI3BP,-1.0,Co-regulation
ASPN,ABI3BP,0.9637932885867497,Co-regulation
BGN,ABI3BP,0.9419353436878352,Co-regulation
ABI3BP,CCN1,-1.0,Co-regulation
CCN5,ABI3BP,-0.9999999999999998,Co-regulation
CILP,ABI3BP,1.0,Co-regulation
ABI3BP,CLEC3B,0.8183653312206473,Co-regulation
COL12A1,ABI3BP,0.9196702623074053,Co-regulation
COL14A1,ABI3BP,0.9269815278699289,Co-regulation
COL15A1,ABI3BP,-0.803977350434531,Co-regulation
COL1A1,ABI3BP,-0.7577763972414494,Co-regulation
COL21A1,ABI3BP,-0.9999999999999998,Co-regulation
COL2A1,ABI3BP,1.0,Co-regulation
COL4A1,ABI3BP,-0.7299930806448346,Co-regulation
COL5A1,ABI3BP,0.8537962773811963,Co-regulation
COL5A3,ABI3BP,-1.0,Co-regulation
COL6A3,ABI3BP,0.8499004590869914,Co-regulation
ABI3BP,COL6A6,0.7725638192029182,Co-regulation
ABI3BP,COL7A1,1.0000000000000002,Co-regulation
COL8A1,ABI3BP,1.0,Co-regulation
CPN2,ABI3BP,1.0,Co-regulation
CST3,ABI3BP,-1.0,Co-regulation
ABI3BP,CTHRC1,-1.0,Co-regulation
CTSG,ABI3BP,-0.8664861378610965,Co-regulation
CTSZ,ABI3BP,0.8786434489086641,Co-regulation
CXCL10,ABI3BP,-0.9999999999999999,Co-regulation
CXCL12,ABI3BP,0.7720034933080698,Co-regulation
ABI3BP,DPT,-0.7505413211115257,Co-regulation
DSPP,ABI3BP,-0.9999999999999999,Co-regulation
ECM2,ABI3BP,1.0,Co-regulation
EFEMP1,ABI3BP,-0.7557704562953292,Co-regulation
ELN,ABI3BP,-0.9999999999999999,Co-regulation
EMILIN2,ABI3BP,-1.0000000000000004,Co-regulation
F10,ABI3BP,0.8488019633966439,Co-regulation
F12,ABI3BP,-1.0000000000000002,Co-regulation
ABI3BP,F9,-1.0,Co-regulation
FBLN1,ABI3BP,-0.9867172381854641,Co-regulation
FBLN5,ABI3BP,-0.9670011621001481,Co-regulation
FBN2,ABI3BP,-1.0,Co-regulation
FLG,ABI3BP,-0.9999999999999999,Co-regulation
FSTL1,ABI3BP,-1.0000000000000004,Co-regulation
GPC1,ABI3BP,-0.983939262806862,Co-regulation
HAPLN1,ABI3BP,-1.0000000000000002,Co-regulation
HCFC1,ABI3BP,1.0000000000000007,Co-regulation
HMCN1,ABI3BP,1.0,Co-regulation
HSPG2,ABI3BP,-0.7271711806958647,Co-regulation
HTRA1,ABI3BP,-1.0,Co-regulation
IGFALS,ABI3BP,-1.0,Co-regulation
IGFBP3,ABI3BP,-0.9999999999999999,Co-regulation
IGFBP7,ABI3BP,1.0,Co-regulation
ITIH3,ABI3BP,-1.0000000000000002,Co-regulation
ITIH5,ABI3BP,1.0,Co-regulation
LAMA2,ABI3BP,-0.8567853818933265,Co-regulation
LAMB2,ABI3BP,-0.7772359882646687,Co-regulation
ABI3BP,LAMC1,-0.8128855057662132,Co-regulation
LGALS1,ABI3BP,0.7214406706138221,Co-regulation
LOX,ABI3BP,-1.0000000000000002,Co-regulation
LOXL1,ABI3BP,1.0,Co-regulation
LRG1,ABI3BP,1.0000000000000004,Co-regulation
LTBP1,ABI3BP,-1.0,Co-regulation
LTBP2,ABI3BP,-1.0000000000000002,Co-regulation
LTBP4,ABI3BP,-1.0000000000000007,Co-regulation
MATN2,ABI3BP,0.7674400741962386,Co-regulation
MFAP2,ABI3BP,1.0,Co-regulation
MFAP4,ABI3BP,-0.9569190865714949,Co-regulation
ABI3BP,MFGE8,0.752703703771631,Co-regulation
MMP2,ABI3BP,1.0,Co-regulation
ABI3BP,MMP9,-1.0,Co-regulation
MMRN2,ABI3BP,-0.9753767547868817,Co-regulation
MXRA5,ABI3BP,1.0000000000000002,Co-regulation
NELL1,ABI3BP,-1.0,Co-regulation
NID1,ABI3BP,-0.828603996323545,Co-regulation
OGN,ABI3BP,-0.9917975531072948,Co-regulation
OMD,ABI3BP,1.0000000000000002,Co-regulation
P3H1,ABI3BP,0.7226251848989695,Co-regulation
P4HA1,ABI3BP,0.9000423127248668,Co-regulation
PCOLCE,ABI3BP,1.0,Co-regulation
PLOD1,ABI3BP,-1.0,Co-regulation
ABI3BP,PLXNB2,-1.0,Co-regulation
PODN,ABI3BP,1.0,Co-regulation
PRELP,ABI3BP,-0.9710130152539178,Co-regulation
ABI3BP,PRG2,1.0,Co-regulation
PXDN,ABI3BP,-0.9902780301742021,Co-regulation
S100A1,ABI3BP,1.0,Co-regulation
S100A10,ABI3BP,0.7945655565647106,Co-regulation
S100A11,ABI3BP,0.8812849979401683,Co-regulation
S100A16,ABI3BP,-1.0,Co-regulation
ABI3BP,S100A4,1.0,Co-regulation
SBSPON,ABI3BP,-1.0,Co-regulation
SDC2,ABI3BP,1.0000000000000002,Co-regulation
SEMA3C,ABI3BP,-1.0,Co-regulation
SERPINA1,ABI3BP,0.8094421311493576,Co-regulation
SERPINA10,ABI3BP,-1.0,Co-regulation
SERPINA5,ABI3BP,-0.9999999999999999,Co-regulation
SERPINA6,ABI3BP,0.9296326542988155,Co-regulation
SERPINA7,ABI3BP,0.9999999999999998,Co-regulation
SERPINB8,ABI3BP,1.0000000000000002,Co-regulation
SERPINE1,ABI3BP,-0.9999999999999999,Co-regulation
SERPINE2,ABI3BP,1.0,Co-regulation
SERPING1,ABI3BP,0.868136394095469,Co-regulation
SFRP2,ABI3BP,1.0000000000000002,Co-regulation
SPON1,ABI3BP,-1.0,Co-regulation
SRPX,ABI3BP,0.9877946072648596,Co-regulation
ABI3BP,SRPX2,-1.0,Co-regulation
TGM2,ABI3BP,-0.8482871867222725,Co-regulation
TGM3,ABI3BP,-0.9999999999999998,Co-regulation
ABI3BP,THBS2,1.0000000000000002,Co-regulation
ABI3BP,THBS3,-1.0,Co-regulation
THBS4,ABI3BP,1.0,Co-regulation
TIMP3,ABI3BP,0.9726270302068941,Co-regulation
TINAGL1,ABI3BP,-0.9999783603522491,Co-regulation
TNC,ABI3BP,0.9800587813262854,Co-regulation
VIT,ABI3BP,-1.0000000000000002,Co-regulation
ADAMTSL4,ACAN,-1.0,Co-regulation
AEBP1,ACAN,-1.0,Co-regulation
AGRN,ACAN,1.0,Co-regulation
AGT,ACAN,-0.9999999999999999,Co-regulation
AMBP,ACAN,-1.0,Co-regulation
ANXA1,ACAN,0.9999999999999989,Co-regulation
ANXA11,ACAN,-1.0000000000000002,Co-regulation
ANXA2,ACAN,1.0,Co-regulation
ANXA4,ACAN,1.0,Co-regulation
ANXA5,ACAN,1.0,Co-regulation
ANXA6,ACAN,1.0,Co-regulation
ANXA7,ACAN,-1.0,Co-regulation
ASPN,ACAN,-1.0000000000000002,Co-regulation
BGN,ACAN,1.0000000000000002,Co-regulation
C1QB,ACAN,1.0000000000000002,Co-regulation
C1QC,ACAN,-0.9999999999999999,Co-regulation
C1QTNF5,ACAN,1.0000000000000002,Co-regulation
CCN5,ACAN,-1.0,Co-regulation
COL11A1,ACAN,0.9999999999999999,Co-regulation
COL11A2,ACAN,1.0,Co-regulation
COL12A1,ACAN,1.0,Co-regulation
COL14A1,ACAN,1.0000000000000002,Co-regulation
COL15A1,ACAN,1.0,Co-regulation
COL16A1,ACAN,-1.0,Co-regulation
COL18A1,ACAN,1.0000000000000007,Co-regulation
COL1A1,ACAN,1.0000000000000002,Co-regulation
COL1A2,ACAN,1.0,Co-regulation
COL2A1,ACAN,1.0,Co-regulation
COL3A1,ACAN,1.0,Co-regulation
COL4A1,ACAN,-1.0,Co-regulation
ACAN,COL4A2,-1.0,Co-regulation
COL5A1,ACAN,-1.0000000000000002,Co-regulation
COL5A2,ACAN,1.0,Co-regulation
COL6A1,ACAN,0.9999999999999992,Co-regulation
COL6A2,ACAN,1.0,Co-regulation
COL6A3,ACAN,-1.0,Co-regulation
ACAN,COL7A1,-1.0000000000000016,Co-regulation
COL8A1,ACAN,1.0000000000000002,Co-regulation
COL9A2,ACAN,-1.0000000000000002,Co-regulation
CPN2,ACAN,0.9999999999999998,Co-regulation
CST3,ACAN,1.0000000000000002,Co-regulation
CSTB,ACAN,-1.0,Co-regulation
CTSB,ACAN,-1.0000000000000002,Co-regulation
ACAN,CTSC,1.0,Co-regulation
CTSG,ACAN,-1.0,Co-regulation
CXCL10,ACAN,-1.0,Co-regulation
CXCL12,ACAN,1.0,Co-regulation
ACAN,DCN,-1.0,Co-regulation
ACAN,DPT,1.0,Co-regulation
DSPP,ACAN,0.9999999999999998,Co-regulation
ECM1,ACAN,-1.0,Co-regulation
EFEMP1,ACAN,-0.9999999999999999,Co-regulation
EMILIN1,ACAN,1.0,Co-regulation
F13A1,ACAN,-1.0,Co-regulation
F2,ACAN,-1.0,Co-regulation
ACAN,F9,-1.0,Co-regulation
FBLN1,ACAN,-0.9999999999999999,Co-regulation
FBLN5,ACAN,-0.9999999999999996,Co-regulation
FBN1,ACAN,1.0,Co-regulation
FBN2,ACAN,-1.0000000000000002,Co-regulation
FGA,ACAN,-1.0,Co-regulation
FGB,ACAN,-1.0,Co-regulation
FGG,ACAN,-1.0000000000000002,Co-regulation
FN1,ACAN,-1.0,Co-regulation
ACAN,FNDC1,1.0,Co-regulation
HPX,ACAN,-1.0000000000000002,Co-regulation
HRG,ACAN,-1.0,Co-regulation
HSPG2,ACAN,1.0000000000000002,Co-regulation
HTRA1,ACAN,-1.0,Co-regulation
IGFALS,ACAN,-1.0,Co-regulation
IGFBP7,ACAN,1.0,Co-regulation
ITIH1,ACAN,-1.0,Co-regulation
ITIH3,ACAN,-1.0,Co-regulation
ITIH4,ACAN,-1.0,Co-regulation
ITIH5,ACAN,1.0,Co-regulation
KNG1,ACAN,-1.0,Co-regulation
LAMA2,ACAN,-0.9999999999999999,Co-regulation
LAMA4,ACAN,-1.0,Co-regulation
LAMA5,ACAN,1.0,Co-regulation
LAMB1,ACAN,-1.0,Co-regulation
LAMB2,ACAN,-0.9999999999999999,Co-regulation
ACAN,LAMC1,-1.0000000000000002,Co-regulation
LGALS1,ACAN,1.0,Co-regulation
LGALS3,ACAN,1.0000000000000002,Co-regulation
ACAN,LMAN1,1.0,Co-regulation
LRG1,ACAN,-1.0000000000000002,Co-regulation
LTBP1,ACAN,-1.0,Co-regulation
LTBP4,ACAN,1.0000000000000002,Co-regulation
LUM,ACAN,-1.0,Co-regulation
MATN2,ACAN,1.0,Co-regulation
MFAP2,ACAN,-0.9999999999999999,Co-regulation
ACAN,MFAP4,1.0,Co-regulation
ACAN,MFGE8,-1.0,Co-regulation
MGP,ACAN,1.0,Co-regulation
ACAN,MMP9,1.0,Co-regulation
MMRN2,ACAN,1.0000000000000002,Co-regulation
NID1,ACAN,-1.0,Co-regulation
NID2,ACAN,1.0,Co-regulation
OGN,ACAN,1.0000000000000002,Co-regulation
PLG,ACAN,-1.0,Co-regulation
POSTN,ACAN,-1.0,Co-regulation
PRELP,ACAN,-1.0000000000000002,Co-regulation
ACAN,PRG2,-1.0,Co-regulation
ACAN,PRSS2,-0.9999999999999999,Co-regulation
PXDN,ACAN,-1.0,Co-regulation
S100A11,ACAN,1.0,Co-regulation
ACAN,S100A8,-1.0,Co-regulation
S100A9,ACAN,-1.0000000000000002,Co-regulation
SBSPON,ACAN,1.0,Co-regulation
SDC2,ACAN,-1.0,Co-regulation
ACAN,SEMA3B,-1.0,Co-regulation
SERPINA1,ACAN,-1.0,Co-regulation
SERPINA3,ACAN,-0.9999999999999999,Co-regulation
SERPINA4,ACAN,-1.0,Co-regulation
SERPINA5,ACAN,1.0,Co-regulation
ACAN,SERPINB1,1.0,Co-regulation
SERPINC1,ACAN,-0.9999999999999997,Co-regulation
SERPIND1,ACAN,-0.9999999999999999,Co-regulation
SERPINF1,ACAN,-1.0,Co-regulation
SERPINF2,ACAN,-1.0,Co-regulation
SERPING1,ACAN,-1.0,Co-regulation
SERPINH1,ACAN,0.9999999999999994,Co-regulation
ACAN,SLPI,1.0,Co-regulation
SMOC2,ACAN,-1.0,Co-regulation
TGFBI,ACAN,-0.9999999999999999,Co-regulation
TGM2,ACAN,1.0,Co-regulation
TIMP1,ACAN,-0.9999999999999999,Co-regulation
TIMP3,ACAN,-1.0,Co-regulation
TINAGL1,ACAN,-1.0,Co-regulation
TNC,ACAN,0.9999999999999998,Co-regulation
VCAN,ACAN,1.0000000000000002,Co-regulation
VTN,ACAN,-1.0,Co-regulation
VWA1,ACAN,-0.9999999999999998,Co-regulation
VWF,ACAN,-1.0,Co-regulation
ADAMTSL4,AEBP1,1.0,Co-regulation
ADAMTSL4,AGRN,-1.0000000000000002,Co-regulation
ADAMTSL4,AGT,1.0,Co-regulation
AMBP,ADAMTSL4,1.0000000000000002,Co-regulation
ADAMTSL4,ANXA1,-0.999999999999999,Co-regulation
ADAMTSL4,ANXA11,1.0,Co-regulation
ADAMTSL4,ANXA2,-1.0,Co-regulation
ADAMTSL4,ANXA4,-1.0000000000000002,Co-regulation
ADAMTSL4,ANXA5,-1.0,Co-regulation
ADAMTSL4,ANXA6,-1.0,Co-regulation
ADAMTSL4,ANXA7,1.0,Co-regulation
ADAMTSL4,ASPN,1.0000000000000002,Co-regulation
ADAMTSL4,BGN,-1.0000000000000002,Co-regulation
ADAMTSL4,C1QB,-1.0000000000000002,Co-regulation
ADAMTSL4,C1QC,1.0,Co-regulation
ADAMTSL4,C1QTNF5,-1.0,Co-regulation
CCN5,ADAMTSL4,1.0,Co-regulation
COL11A1,ADAMTSL4,-1.0,Co-regulation
COL11A2,ADAMTSL4,-1.0000000000000002,Co-regulation
ADAMTSL4,COL12A1,-1.0,Co-regulation
COL14A1,ADAMTSL4,-1.0000000000000002,Co-regulation
COL15A1,ADAMTSL4,-1.0,Co-regulation
ADAMTSL4,COL16A1,1.0000000000000002,Co-regulation
ADAMTSL4,COL18A1,-1.0000000000000007,Co-regulation
ADAMTSL4,COL1A1,-1.0000000000000002,Co-regulation
ADAMTSL4,COL1A2,-1.0,Co-regulation
ADAMTSL4,COL2A1,-1.0,Co-regulation
ADAMTSL4,COL3A1,-1.0000000000000002,Co-regulation
ADAMTSL4,COL4A1,1.0,Co-regulation
ADAMTSL4,COL4A2,1.0000000000000002,Co-regulation
COL5A1,ADAMTSL4,1.0000000000000004,Co-regulation
COL5A2,ADAMTSL4,-1.0,Co-regulation
ADAMTSL4,COL6A1,-0.9999999999999993,Co-regulation
ADAMTSL4,COL6A2,-1.0,Co-regulation
ADAMTSL4,COL6A3,1.0000000000000002,Co-regulation
ADAMTSL4,COL7A1,1.0000000000000016,Co-regulation
ADAMTSL4,COL8A1,-1.0000000000000002,Co-regulation
ADAMTSL4,COL9A2,1.0000000000000002,Co-regulation
ADAMTSL4,CPN2,-1.0,Co-regulation
ADAMTSL4,CST3,-1.0000000000000002,Co-regulation
CSTB,ADAMTSL4,1.0,Co-regulation
ADAMTSL4,CTSB,1.0000000000000002,Co-regulation
ADAMTSL4,CTSC,-1.0,Co-regulation
ADAMTSL4,CTSG,1.0,Co-regulation
CXCL10,ADAMTSL4,1.0000000000000002,Co-regulation
CXCL12,ADAMTSL4,-1.0000000000000002,Co-regulation
ADAMTSL4,DCN,1.0000000000000002,Co-regulation
ADAMTSL4,DPT,-1.0,Co-regulation
ADAMTSL4,DSPP,-0.9999999999999998,Co-regulation
ECM1,ADAMTSL4,1.0,Co-regulation
EFEMP1,ADAMTSL4,0.9999999999999999,Co-regulation
ADAMTSL4,EMILIN1,-1.0,Co-regulation
ADAMTSL4,F13A1,1.0,Co-regulation
F2,ADAMTSL4,1.0,Co-regulation
ADAMTSL4,F9,1.0,Co-regulation
ADAMTSL4,FBLN1,0.9999999999999998,Co-regulation
