Gene_Symbol,Protein_Name,Matrisome_Category,Matrisome_Division,N_Tissues,N_Measurements,Direction_Consistency,Predominant_Direction,N_Upregulated,N_Downregulated,Mean_Zscore_Delta,Abs_Mean_Zscore_Delta,Median_Zscore_Delta,Std_Zscore_Delta,N_Strong_Effects,Strong_Effect_Rate,T_Statistic,P_Value,Universality_Score,CV_Zscore,Consistency_Bin
ITIH5,Inter-alpha-trypsin inhibitor heavy chain H5,ECM Regulators,Matrisome-associated,8,8,0.875,DOWN,1,7,-0.2143284085934179,0.2435599420548017,-0.1992938862631663,0.2091314424056388,0,0.0,-2.898714212918193,0.0230281242949442,0.6234268399347267,0.9757523217782436,0.8-0.9
Ctsb,,ECM Regulators,Matrisome-associated,8,8,0.875,UP,7,1,0.3644068190981256,0.3673302889528658,0.3081784467338727,0.3576204115906891,2,0.25,2.8821009600517207,0.0235807126573782,0.6356933569520462,0.981376836958293,0.8-0.9
Serpinc1,,ECM Regulators,Matrisome-associated,8,8,0.75,UP,6,2,0.165677739699343,0.1908267825052341,0.1944758669125997,0.1632392386673631,0,0.0,2.870678745856896,0.0239687390252173,0.5804654010337152,0.9852816610430994,0.6-0.8
Fn1,,ECM Glycoproteins,Core matrisome,8,8,0.75,DOWN,2,6,-0.2131751789967538,0.2231766730591572,-0.2266441404504648,0.2123549512057934,0,0.0,-2.8393520149794997,0.0250678745796874,0.5834805629782135,0.9961523292982053,0.6-0.8
COL6A3,Collagen alpha-3(VI) chain,Collagens,Core matrisome,10,10,1.0,DOWN,0,10,-0.2369376130297511,0.2369376130297511,-0.1386287803371073,0.2935659573892598,1,0.1,-2.5522799959536937,0.0310782725350285,0.6939486950312634,1.2390010750572473,0.9-1.0
HTRA1,Serine protease HTRA1,ECM Regulators,Matrisome-associated,8,8,0.75,UP,6,2,0.3492371470255061,0.4154690203794188,0.3644838691814859,0.3855932324036314,3,0.375,2.5617457377517288,0.0374560957140186,0.6002321534833734,1.1041014267163851,0.6-0.8
Lamb1,,ECM Glycoproteins,Core matrisome,8,8,0.875,DOWN,1,7,-0.2447180264408533,0.305528869579534,-0.2243975655104563,0.270819798521567,1,0.125,-2.555821648484623,0.0377812397501527,0.6266731095961582,1.1066606017941072,0.8-0.9
SERPINA1,Alpha-1-antitrypsin;Short peptide from AAT,ECM Regulators,Matrisome-associated,8,10,0.6,UP,6,4,0.3900365751958458,0.4660553590292752,0.3435952554633599,0.5150919468443278,5,0.5,2.3945316092529967,0.0402571997324805,0.5597305665446668,1.3206247297541942,<0.6
COL3A1,Collagen alpha-1(III) chain,Collagens,Core matrisome,10,12,0.6666666666666666,DOWN,4,8,-0.2258044572521528,0.3038993936325184,-0.1825298438396085,0.3389460940757451,2,0.1666666666666666,-2.307769874750893,0.0414611447402367,0.5985682986504987,1.5010602450027923,0.6-0.8
HRG,Histidine-rich glycoprotein,ECM Regulators,Matrisome-associated,10,10,0.7,UP,7,3,0.5635942842590463,0.6223542884615182,0.2850547255674667,0.7812678197248087,4,0.4,2.2812172337249734,0.0484659096011389,0.6390128351612182,1.3862238163279352,0.6-0.8
CTSD,Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain,ECM Regulators,Matrisome-associated,8,8,0.75,UP,6,2,0.2831770773049767,0.3793490723290717,0.3903407566639469,0.3357717025267903,2,0.25,2.385387811207348,0.0484964633555224,0.594412085150038,1.1857305174690995,0.6-0.8
