Gene_Symbol,gradient_magnitude,transition_index
Fbn1,0.31026108847667533,0.17759800208786516
Fbn2,0.7382514702780245,0.16686230165941035
Fgb,0.28680321444650325,0.3946301382792153
Fgf12,0.18246928605470927,0.3448539716081181
Fgf13,0.15410774306910643,0.4075461957699111
Fgf2,0.10670096553844693,0.3924292286603669
Fgfbp1,0.22833864904083914,0.18280820231197065
Fgg,0.42622474476575967,0.345085576587153
Fmod,0.2368203726826599,0.3016361870734811
Fstl1,0.11159636572563289,0.4031547846643984
Gpc1,0.2220300924205827,0.23707727514272514
Gpc4,0.1749142686600722,0.2837970953273232
Gpc5,0.11456288557524998,0.38453237486030634
Grip1,0.12246064593699571,0.3882741979230478
Hapln1,0.13932640950108768,0.3770895028857244
Hapln2,0.33039637759919893,0.3259030846863965
Hcfc1,0.11462047250277788,0.39020337669864574
Hmcn1,0.10418017160295155,0.404487378016805
Hmcn2,0.2831166943429518,0.2682303770977341
Hpx,0.18514376133263838,0.3259441078096827
Hrg,0.21045371398514676,0.3836764744320952
Hspg2,0.14390058936752617,0.40442537757147096
Htra1,0.32492829397078277,0.41264051576933053
Igfbp5,0.1589568470739966,0.2830823621855568
Igfbp6,0.17545295392813798,0.35674413214001693
Il16,0.202117813071653,0.3375896147015035
Itih1,0.21301485264306513,0.31432038182037203
Itih2,0.26811389476260883,0.3762832035415853
Itih3,0.30152584461952614,0.38800279546841354
Itih5,0.28559584239569985,0.34161814304740457
Kera,0.20741964606917904,0.3081802177823618
Kng1,0.19799772410100885,0.3448608843012249
LAMA3,0.08066361558635261,0.3842553315353785
Lama1,0.11806095281545703,0.4028047025385323
Lama2,0.24173445662805668,0.32575461213278184
Lama3,0.10443977312754192,0.3946776449941001
Lama4,0.1776243033627976,0.3839783383329644
Lama5,0.29233747279234296,0.2920085784691956
Lamb1,0.2887199158971549,0.3567230107473166
Lamb2,0.1940148500652581,0.34356807609006124
Lamc1,0.21246840790678348,0.3931518388481162
Lgals1,0.19408039273534317,0.36435954552648986
Lgi1,0.13653696741018012,0.349693914818113
Lgi2,0.17084779237525766,0.34896455094652795
Lgi3,0.12552307021745843,0.40243980317356537
Loxl1,0.11978648128131841,0.4005042386846265
Loxl2,0.12659406727016173,0.3870639945447524
Ltbp1,0.17356584069183867,0.3542981337826182
Ltbp4,0.35215190246027056,0.41274934665116914
Lum,0.22059196898915157,0.3397099459427494
MBL1,0.07985496992549006,0.4033022004040049
Matn4,0.1891425044149833,0.34113168465275945
Mbl2,0.37433841129419426,0.1964377573027283
Megf6,0.095966384281905,0.41236060112793055
Megf9,0.1372011046661088,0.3616401518194391
Mfap5,0.1502874040444711,0.33008540155971416
Mmp17,0.11859526707371393,0.3741579635485405
Mmrn1,0.1560917222862976,0.3800169092373317
Mmrn2,0.17463673728184242,0.36443034035243815
Ncan,0.10356130699672116,0.4096022920662183
Nell2,0.10285648272160597,0.39480282368476455
Nid1,0.2027830096873645,0.3749557169751049
Nid2,0.18530462854669505,0.3352507418124437
Npnt,0.11983755431072177,0.400466732553316
Nrg3,0.12160257352776019,0.40678867960671694
Ogfod1,0.12385397565090187,0.3876737171547264
Ogn,0.18847400557380092,0.41314372748718986
Ovos,0.10278796143891794,0.40128778080572447
P4htm,0.11308417255045278,0.4114487842063564
Pag1,0.097638504780636,0.40995407531068384
Papln,0.16970727665227522,0.3792148350555105
Parm1,0.18346530649097523,0.3382811626866592
Pcolce,0.31992905139206956,0.2842653757370389
Pcolce2,0.1295685233846013,0.39386017775312393
Plxdc1,0.12609858818529776,0.3697853423547173
Plxdc2,0.17588355467864247,0.40297234518075925
Plxna2,0.12153157330845511,0.3717679912218125
Plxna4,0.1033561043047268,0.3930738808781658
Plxnc1,0.09008920763457044,0.41287824698230957
Podn,0.10310213235896563,0.38964906457573056
Postn,0.468501112369323,0.15544856396987844
Ptn,0.13520961481267335,0.3658475843616498
Pxdn,0.3601589707494594,0.41150313239369285
Rif1,0.12337751776473505,0.39017428790219155
S100a1,0.11248175663626032,0.4108083164115107
S100a10,0.19428669767986806,0.37982989803746775
S100a4,0.18591443956543652,0.3636176648887995
S100a5,0.30031613729558054,0.3062654607359596
S100a6,0.24984000714318821,0.4100644964825526
S100a9,0.1932044552136732,0.3396165145449519
S100b,0.1365578780085317,0.3824763338846045
Sdc2,0.10237075103439768,0.41169133599518176
Sdc3,0.10041495789045468,0.4036513736192532
Sema3c,0.15833752826153452,0.32605779298635423
Sema4a,0.10622878249243968,0.39507487193941937
Sema4d,0.1165771583997662,0.3848202582852741
Sema4f,0.10164463720576086,0.40217443714217294
Sema6d,0.10853223724837079,0.3969720142265384
Serpina1a,0.2104834072921894,0.3424473282392978
Serpina1b,0.23351919022389964,0.38478923698912854
Serpina1c,0.1335116740254947,0.4088058547700741
Serpina1d,0.3745619506466584,0.35681877290904357
Serpina1e,0.2124802099478853,0.37027703732067646
Serpina3k,0.21830431563157468,0.34351879211177594
Serpina3m,0.1686230827211154,0.36479792811649253
Serpina3n,0.3179431630498866,0.3488868904376024
Serpinb1a,0.30283483055895577,0.28193167346987624
Serpinb5,0.19114360664016256,0.30456412737708793
Serpinb6,0.181717249764852,0.3716191037455537
Serpinb6a,0.18573372290488308,0.31555407100149785
Serpinb8,0.21127004685881767,0.3260258329876147
Serpinb9,0.11413465766646726,0.3979842837191476
Serpinb9b,0.12260050117767861,0.40878701804824447
Serpind1,0.11253751206109548,0.3933116141513421
Serpine2,0.2669021650991786,0.33880981731275495
Serpinf1,0.3531117283129633,0.31401833213618596
Serpinf2,0.25080932735496364,0.20501469460606045
Serping1,0.10692268165818376,0.39587879997365794
Serpinh1,0.34471825339675255,0.33291460549788493
Serpini1,0.12049803565473403,0.3773300425109781
Shh,0.13576252885878748,0.4107779021451905
Slit1,0.1398830515362503,0.37384153636052875
Slit2,0.1555008321145228,0.39165050235581067
Slit3,0.12028436597809442,0.38465200078753575
Smoc2,0.6586184368297597,0.1272628893874305
Sparc,0.4051127051818328,0.34941326325333466
Sparcl1,0.22876825919082794,0.3193258349106788
Spock1,0.12280093186684558,0.3698477647396391
Spock2,0.11256315567631496,0.3853626952681798
Srpx,0.1813926239997332,0.3706154728070411
Srpx2,0.10871640773100714,0.40946529074695376
Tgfbi,0.2642886505746142,0.33713002084798455
Tgm2,0.21842591605674247,0.3241373462622257
Thbs2,0.21127423325785338,0.2909965139269478
Thbs3,0.12190944630365239,0.39110966582602263
Thbs4,0.20659232973016706,0.31607380306370897
Timp2,0.10041965589359586,0.3981337700355793
Tinagl1,0.29687508611604113,0.32440858050710514
Tnc,0.46230094384145964,0.20385869468917597
Tnr,0.10190416199482903,0.39996174444249416
Vwa1,0.21419175230218726,0.38628695781161143
Vwa5b2,0.11389873946094463,0.4096807985563466
Vwf,0.1754043198582541,0.3686393699232908
