Gene_Symbol,Tissue,TSI,Zscore_Delta,Zscore_Young,Zscore_Old,Matrisome_Category_Simplified,Function_Category,Direction,Rank_within_Tissue
Egln1,Brain_Cortex,1.9426245449458304,-0.5821672232362214,0.4237913383041576,0.3945369085025975,ECM Regulators,Regulatory,Downregulated,17
Bgn,Brain_Cortex,1.8478680549892523,1.7231871832440395,0.2679298388036114,0.3452871172779556,Proteoglycans,Structural,Upregulated,18
Prelp,Brain_Cortex,1.54637603111999,1.1544713686338532,0.2429601624149806,0.2944017341853695,Proteoglycans,Structural,Upregulated,19
Anxa4,Brain_Cortex,1.5102350038899435,0.9282008736087668,0.8114870518194957,0.849108809106258,ECM-affiliated Proteins,Signaling,Upregulated,20
C1qb,Brain_Cortex,1.4872630471527273,1.1808600116338224,0.3981006639202529,0.4498106836443974,ECM-affiliated Proteins,Signaling,Upregulated,21
Lamb2,Brain_Cortex,1.4670789853331743,1.11595772330618,0.5571975458451806,0.604967681045603,ECM Glycoproteins,Structural,Upregulated,22
Ctsz,Brain_Cortex,1.3947342014014483,0.7294314802420359,0.148764057309757,0.1812952556105215,ECM Regulators,Regulatory,Upregulated,23
S100a6,Brain_Cortex,1.3663788500534988,1.47529368749568,1.0183197020967445,1.0797628953387537,Secreted Factors,Signaling,Upregulated,24
S100a1,Brain_Cortex,1.3011464818953347,0.5427560559145127,1.443688631634849,1.4598085466819666,Secreted Factors,Signaling,Upregulated,25
Sema4b,Brain_Cortex,1.2091229526537437,-0.3345253410163447,0.722773736930495,0.7030563873381754,ECM-affiliated Proteins,Signaling,Downregulated,26
A2m,Brain_Cortex,1.1805744912679603,1.9607266222254025,0.1460481952500456,0.2350324602893016,ECM Regulators,Regulatory,Upregulated,27
Clec2l,Brain_Cortex,0.9560384415049761,-1.5780373462729438,0.801886965166753,0.7246931621491195,ECM-affiliated Proteins,Signaling,Downregulated,28
Chadl,Brain_Cortex,0.7994167306433841,-1.237317892421263,0.5222442474955438,0.4623636777591093,Proteoglycans,Structural,Downregulated,29
Slit2,Brain_Cortex,0.769623966894252,-1.4802470294782315,0.2396125201476648,0.1703116967011859,ECM Glycoproteins,Structural,Downregulated,30
Acan,Brain_Cortex,0.7193732985943762,1.2542075501302543,0.9517546362295416,1.003468096558091,Proteoglycans,Structural,Upregulated,31
Nrg3,Brain_Cortex,0.5405393448956046,-0.9039766335032672,0.367783029535195,0.3241181638312891,Secreted Factors,Signaling,Downregulated,32
Megf10,Brain_Cortex,0.47114834540943396,0.6139618743289679,0.2915332332550587,0.3179058302126955,Secreted Factors,Signaling,Upregulated,33
P4htm,Brain_Cortex,0.465411665102731,-0.7591638168890413,0.5006339437658844,0.4628007234955844,ECM Regulators,Regulatory,Downregulated,34
Vwa5b2,Brain_Cortex,0.43256197145912323,-0.773011454367403,0.8637217939672334,0.823051381186457,ECM Glycoproteins,Structural,Downregulated,35
Gpc6,Brain_Cortex,0.3469284255717831,-0.4022715072137213,0.6262886135454906,0.604051385479669,ECM-affiliated Proteins,Signaling,Downregulated,36
Col25a1,Brain_Cortex,0.34678661034790925,-0.4693946157399135,0.5573908847792858,0.5324949915655329,Collagens,Structural,Downregulated,37
Edil3,Brain_Cortex,0.27152862390921856,0.5680392277740574,0.6621064979168217,0.6841263332635842,ECM Glycoproteins,Structural,Upregulated,38
Adam23,Brain_Cortex,0.21868954601774687,-0.2835223072963335,1.1829943441200192,1.1628230365220682,ECM Regulators,Regulatory,Downregulated,39
Sdc2,Brain_Cortex,0.18382371276409104,-0.5770356511161046,0.8670842819640214,0.835376051912378,ECM-affiliated Proteins,Signaling,Downregulated,40
Mbp,Brain_Cortex,0.18310033608148685,0.24475214721416982,1.330490598762864,1.3336381183271109,Proteoglycans,Structural,Upregulated,41
Cspg5,Brain_Cortex,0.1820567879484325,-0.1971084134967977,1.3812567875991395,1.36384361719387,ECM-affiliated Proteins,Signaling,Downregulated,42
Fstl1,Brain_Cortex,0.173610911691513,-0.733871100867103,0.3280254632341429,0.2923985780668027,Secreted Factors,Signaling,Downregulated,43
Ntng1,Brain_Cortex,0.12336712341783379,-0.3102421349541617,0.6344131554987856,0.6163448238117611,ECM Glycoproteins,Structural,Downregulated,44
Pik3ip1,Brain_Cortex,0.1186945831103608,-0.1966603334677754,0.3486239311176825,0.3374952298896303,Secreted Factors,Signaling,Downregulated,45
Serpinb9b,Brain_Cortex,0.11663854288199993,0.6938613726325392,0.6637880933428748,0.6915648045195987,ECM Regulators,Regulatory,Upregulated,46
Try4,Brain_Cortex,0.10180738082573061,-0.1542333016899989,1.1242686788227048,1.1103795804228809,ECM Regulators,Regulatory,Downregulated,47
Hapln4,Brain_Cortex,0.06516724408915048,0.3478412894299185,0.8033501665106658,0.8144204158253779,Proteoglycans,Structural,Upregulated,48
Cbln4,Brain_Cortex,0.05525117295319282,1.1614495776087423,0.2226201823286936,0.2745049832592023,Secreted Factors,Signaling,Upregulated,49
Megf8,Brain_Cortex,0.016094556501406815,-0.2260981602420709,0.3843949723869618,0.3716999976169813,Secreted Factors,Signaling,Downregulated,50
S100a16,Brain_Cortex,0.013855529615244208,0.0959466568715841,0.8483995385227252,0.847650891986802,Secreted Factors,Signaling,Upregulated,51
Pag1,Brain_Cortex,0.0100099015278039,-0.4965874648021565,0.9117064518346109,0.8834148988950791,ECM Regulators,Regulatory,Downregulated,52
Sdc4,Brain_Cortex,0.008166542092637286,0.2126901748802573,1.1468082672458844,1.1496004351797806,ECM-affiliated Proteins,Signaling,Upregulated,53
Agt,Brain_Hippocampus,64.92156986400587,-0.4855916732384283,-0.9885604320217372,-1.031309986057532,ECM Regulators,Regulatory,Downregulated,1
Fgf13,Brain_Hippocampus,14.939808328456124,-1.32666833594959,-1.7151914142744007,-1.8428201243364244,Secreted Factors,Signaling,Downregulated,2
Lgi1,Brain_Hippocampus,14.730432000860489,-0.7393131216532225,1.0903200090726142,0.9967046889467198,ECM Glycoproteins,Structural,Downregulated,3
Ctsa,Brain_Hippocampus,8.695212558171173,0.4798694933144932,-0.2484151332656688,-0.1927003253715064,ECM Regulators,Regulatory,Upregulated,4
Dsp,Brain_Hippocampus,5.585089956091078,-1.3468039834065657,-0.0973271588352039,-0.2449629800562926,ECM Glycoproteins,Structural,Downregulated,5
Hspg2,Brain_Hippocampus,5.297613910924015,0.7611319287203755,1.3331088029819878,1.402494447408621,Proteoglycans,Structural,Upregulated,6
Plxdc2,Brain_Hippocampus,4.789788699372986,-1.1707351530374634,-0.6082785074244298,-0.7308574408828443,ECM-affiliated Proteins,Signaling,Downregulated,7
S100a10,Brain_Hippocampus,4.46108330660379,1.4144352754517786,-0.4394828331255963,-0.2784788749157418,Secreted Factors,Signaling,Upregulated,8
S100a5,Brain_Hippocampus,3.603551555547439,3.715027186636873,0.6359210050788956,1.0391208753883756,Secreted Factors,Signaling,Upregulated,9
Plxna1,Brain_Hippocampus,3.303830670720167,-0.8165392044032863,1.032458041189252,0.9309519300796334,ECM-affiliated Proteins,Signaling,Downregulated,10
Itih2,Brain_Hippocampus,3.2543611935101584,2.7731000781012596,-0.991965406107612,-0.6748732021745072,ECM Regulators,Regulatory,Upregulated,11
Serpina3n,Brain_Hippocampus,3.1986086429314904,2.364542673269531,-0.4678547832923656,-0.2016340482873502,ECM Regulators,Regulatory,Upregulated,12
Col1a2,Brain_Hippocampus,2.7055866612010817,2.5201316291764586,1.243726140778327,1.508312023820385,Collagens,Structural,Upregulated,13
Tnc,Brain_Hippocampus,2.5626535511680224,-3.449350941121905,0.6909129584305104,0.302462593854522,ECM Glycoproteins,Structural,Downregulated,14
Serpina1e,Brain_Hippocampus,2.554097265004126,-2.240111896616236,-0.1321521025952956,-0.3780385855388118,ECM Regulators,Regulatory,Downregulated,15
Fmod,Brain_Hippocampus,2.402314768993732,1.4527235922205133,-1.1655473680483432,-0.9923348198987018,Proteoglycans,Structural,Upregulated,16
Hapln2,Brain_Hippocampus,1.8897711134167086,4.226391271798384,-0.1403914099327542,0.3278034470566998,Proteoglycans,Structural,Upregulated,17
Serpinb8,Brain_Hippocampus,1.7954153756243159,-0.9893905292717888,-1.6558026098888154,-1.7468440299094985,ECM Regulators,Regulatory,Downregulated,18
Plxnb1,Brain_Hippocampus,1.7035970516255883,-0.2687416464154117,0.7768164328485284,0.7386047557474856,ECM-affiliated Proteins,Signaling,Downregulated,19
Sema7a,Brain_Hippocampus,1.653825307138203,-0.7677671966555458,0.2860827035581885,0.1981659859230464,ECM-affiliated Proteins,Signaling,Downregulated,20
Anxa7,Brain_Hippocampus,1.6461862023220262,-0.5392037906359065,1.7733881157233844,1.6943592051250425,ECM-affiliated Proteins,Signaling,Downregulated,21
Htra1,Brain_Hippocampus,1.6270661347559365,3.0684256799509892,-0.1009402144125097,0.238965680989437,ECM Regulators,Regulatory,Upregulated,22
Chl1,Brain_Hippocampus,1.5689685377879747,-1.7200688268509006,0.01908967498254116,-0.17103938710107475,Secreted Factors,Signaling,Downregulated,23
Gpc1,Brain_Hippocampus,1.5388194837457476,-0.7563127838941258,1.1126800189530492,1.0169419173043532,ECM-affiliated Proteins,Signaling,Downregulated,24
Vwf,Brain_Hippocampus,1.4794046069305895,-0.8751914735417738,-1.7054672304656784,-1.7833535835543504,ECM Glycoproteins,Structural,Downregulated,25
Igfbp7,Brain_Hippocampus,1.4574794546447973,-0.6207761310870022,-1.0824268653563702,-1.1390708434337633,ECM Glycoproteins,Structural,Downregulated,26
Lamc1,Brain_Hippocampus,1.4453473398632801,0.94936893076647,1.58247790678846,1.6699063911238934,ECM Glycoproteins,Structural,Upregulated,27
Lgi2,Brain_Hippocampus,1.3687608084570912,-1.4336663936155425,-0.7730820346239562,-0.9228806381537804,ECM Glycoproteins,Structural,Downregulated,28
Serpinb6,Brain_Hippocampus,1.1829496648171984,-0.600394324727031,1.15581977618694,1.0768230140017645,ECM Regulators,Regulatory,Downregulated,29
Il16,Brain_Hippocampus,1.156727736894246,-1.2578778296435362,-0.4890728459031849,-0.6225838582100632,Secreted Factors,Signaling,Downregulated,30
Lman1,Brain_Hippocampus,1.154529333306032,-0.7078100450504912,0.6178280794753692,0.5328848492284197,ECM-affiliated Proteins,Signaling,Downregulated,31
Matn4,Brain_Hippocampus,1.1051361602616814,-2.05215545858606,0.1131993705693637,-0.1146310880573645,ECM Glycoproteins,Structural,Downregulated,32
C1ql3,Brain_Hippocampus,0.9802445418158379,-1.4477614208829674,-0.23372242581922,-0.3910060531999924,ECM-affiliated Proteins,Signaling,Downregulated,33
Fgf12,Brain_Hippocampus,0.9723627434754015,-1.938710746461402,0.5765057163374042,0.3561083642850825,Secreted Factors,Signaling,Downregulated,34
Igfbp6,Brain_Hippocampus,0.9518186307432632,-1.264339177958111,-0.814877509525831,-0.9455206391270076,ECM Glycoproteins,Structural,Downregulated,35
Megf9,Brain_Hippocampus,0.7442969933298594,-1.1691516628551943,-0.0617893577637377,-0.1902005606046932,Secreted Factors,Signaling,Downregulated,36
Plxdc1,Brain_Hippocampus,0.7378355075446749,-0.918153220231043,-1.2239355012183808,-1.311858505884015,ECM-affiliated Proteins,Signaling,Downregulated,37
C1qtnf4,Brain_Hippocampus,0.711743325657404,-1.0866362116687198,-0.2542288248825352,-0.3714138587658415,ECM-affiliated Proteins,Signaling,Downregulated,38
Spock1,Brain_Hippocampus,0.6626219642381331,-0.9243487252677188,-0.0978991618076471,-0.1988838322359196,Proteoglycans,Structural,Downregulated,39
Hapln1,Brain_Hippocampus,0.6465426365663078,0.9782018141304938,1.3348138291261809,1.428148228557907,Proteoglycans,Structural,Upregulated,40
Serpini1,Brain_Hippocampus,0.6426261145250919,-0.7905408139268282,-0.5418319258400823,-0.6231625749612553,ECM Regulators,Regulatory,Downregulated,41
Plxna2,Brain_Hippocampus,0.6189460346241036,-0.902769629775081,0.38305621140333,0.2791674203015638,ECM-affiliated Proteins,Signaling,Downregulated,42
Ptn,Brain_Hippocampus,0.6161786769151496,-1.1352963353467909,0.7414932227778757,0.6079902844241158,Secreted Factors,Signaling,Downregulated,43
Mmp17,Brain_Hippocampus,0.5891863961279128,-0.8528524237844809,-1.465234833160965,-1.5432953266587284,ECM Regulators,Regulatory,Downregulated,44
Sema4d,Brain_Hippocampus,0.5759712011906387,-0.6730297059561686,0.1876002499922219,0.1112263897186572,ECM-affiliated Proteins,Signaling,Downregulated,45
Col6a3,Brain_Hippocampus,0.5427372696066735,0.9805330915749918,0.551173961096334,0.6533796779971937,Collagens,Structural,Upregulated,46
Ogfod1,Brain_Hippocampus,0.5308170105308625,-0.6152470524954038,0.1235562770089046,0.054266398401508,ECM Regulators,Regulatory,Downregulated,47
S100a4,Brain_Hippocampus,0.5093217691244263,1.7701983252244236,-0.0669137750075063,0.1292759634957996,Secreted Factors,Signaling,Upregulated,48
S100b,Brain_Hippocampus,0.4950940862853821,0.9311367787570418,1.707110319803375,1.7911557418998616,Secreted Factors,Signaling,Upregulated,49
Sema6d,Brain_Hippocampus,0.4392075416169167,-0.5044095534754388,-0.7474424229206772,-0.7949201425640557,ECM-affiliated Proteins,Signaling,Downregulated,50
Serpinb9,Brain_Hippocampus,0.40946265193173637,-0.4719556703281464,0.0586882164158844,0.0059327161704176,ECM Regulators,Regulatory,Downregulated,51
Ncan,Brain_Hippocampus,0.3590340753025763,0.3701950715562629,1.7225766563821123,1.7445164002635385,Proteoglycans,Structural,Upregulated,52
Spock2,Brain_Hippocampus,0.3472934606467042,-0.7503065300286985,0.0143782473945003,-0.0686239478508296,Proteoglycans,Structural,Downregulated,53
Ovos,Brain_Hippocampus,0.3415548528562183,-0.4612437598378333,-0.3838967183973425,-0.4306045022283042,ECM Regulators,Regulatory,Downregulated,54
Gpc5,Brain_Hippocampus,0.3335352089037956,-0.7843019383105939,0.3440861452272485,0.2537061805820539,ECM-affiliated Proteins,Signaling,Downregulated,55
Plxna4,Brain_Hippocampus,0.31298133239196363,-0.5937866567116997,1.2992118828883097,1.2193685058120742,ECM-affiliated Proteins,Signaling,Downregulated,56
Nell2,Brain_Hippocampus,0.2755605170457733,-0.5852930897986456,-0.0653734871105483,-0.1292792863559808,ECM Glycoproteins,Structural,Downregulated,57
Bcan,Brain_Hippocampus,0.263569996985194,-0.5114037347206094,2.2855919214206786,2.2040022811572815,Proteoglycans,Structural,Downregulated,58
Slit1,Brain_Hippocampus,0.2442091667045203,-1.214744759647599,-0.4996161460157177,-0.6282487810520125,ECM Glycoproteins,Structural,Downregulated,59
Timp2,Brain_Hippocampus,0.23913026245300978,-0.5438670337224736,-0.3608735320057876,-0.4169571352307407,ECM Regulators,Regulatory,Downregulated,60
Adam22,Brain_Hippocampus,0.23434260159068454,-0.5361679016415589,1.1920712255484447,1.1197674601229384,ECM Regulators,Regulatory,Downregulated,61
Elfn2,Brain_Hippocampus,0.2111533114199236,-0.6130018836455975,0.8485514603499865,0.7715401998799912,ECM-affiliated Proteins,Signaling,Downregulated,62
Brinp2,Brain_Hippocampus,0.19786823849058988,-0.7222791717159976,-0.4786632708922915,-0.5531512584709513,Secreted Factors,Signaling,Downregulated,63
Lama1,Brain_Hippocampus,0.19436012289849813,0.6166890504747726,0.049205124204192,0.1167551943501015,ECM Glycoproteins,Structural,Upregulated,64
Sema4a,Brain_Hippocampus,0.19220634865858593,-0.6426221859028186,-0.2377415661029451,-0.3060825836398242,ECM-affiliated Proteins,Signaling,Downregulated,65
Adam11,Brain_Hippocampus,0.1897793983144011,-0.2364947512212827,0.3948867436713411,0.3644338075673506,ECM Regulators,Regulatory,Downregulated,66
Cabp1,Brain_Hippocampus,0.1555959031500775,-0.3163770182735136,-0.7862692690736243,-0.8125588222882245,Secreted Factors,Signaling,Downregulated,67
Tnr,Brain_Hippocampus,0.15388490342518962,-0.5691036374434375,2.335104431694811,2.246599679072961,ECM Glycoproteins,Structural,Downregulated,68
Plxnc1,Brain_Hippocampus,0.11844848013920908,-0.3682494133190416,-0.1229690584681876,-0.1622771535463387,ECM-affiliated Proteins,Signaling,Downregulated,69
Sema4f,Brain_Hippocampus,0.09888382225855002,-0.5646917160292789,-0.9150757152666926,-0.967366757938855,ECM-affiliated Proteins,Signaling,Downregulated,70
Elfn1,Brain_Hippocampus,0.09497308039314961,-0.4161499206545901,0.0839439301892604,0.0370725358265925,ECM-affiliated Proteins,Signaling,Downregulated,71
Sdc3,Brain_Hippocampus,0.08853810789925615,-0.5437871676690735,0.8120486727032794,0.7430809128944017,ECM-affiliated Proteins,Signaling,Downregulated,72
Bdnf,Brain_Hippocampus,0.06672965611715731,-0.9203196369119008,-1.243216433781129,-1.331166701076799,Secreted Factors,Signaling,Downregulated,73
Grip1,Brain_Hippocampus,0.05415843116830277,-0.918563864460271,0.0978584883214607,-0.0046392578238012,ECM-affiliated Proteins,Signaling,Downregulated,74
Lgi3,Brain_Hippocampus,0.023527529954754933,0.743545046308796,-0.3812228197733037,-0.2949347627281399,ECM Glycoproteins,Structural,Upregulated,75
Cx3cl1,Brain_Hippocampus,0.012680188836963785,-0.2507753847451228,-0.6544069055685999,-0.6749025925151669,Secreted Factors,Signaling,Downregulated,76
Lama3,Heart_Decellularized_Tissue,9.928000430198134,-0.3861111923754009,0.2859208778048807,0.0554371955511301,ECM Glycoproteins,Structural,Downregulated,1
Anxa5,Heart_Decellularized_Tissue,7.749047324837366,1.9167199163841289,0.5131939073661393,1.556736771921135,ECM-affiliated Proteins,Signaling,Upregulated,2
Nid1,Heart_Decellularized_Tissue,5.190733674566745,0.9283012518958332,0.7240481712753836,1.20469800937695,ECM Glycoproteins,Structural,Upregulated,3
Cspg4,Heart_Decellularized_Tissue,3.9040896395541105,-0.7604038442841142,0.357120512816394,-0.0860683567016449,ECM-affiliated Proteins,Signaling,Downregulated,4
Ctsh,Heart_Decellularized_Tissue,3.888893952669678,1.210248511266396,-0.3348352288274118,0.3583785139776531,ECM Regulators,Regulatory,Upregulated,5
Mfge8,Heart_Decellularized_Tissue,3.6290283302012463,2.4969574865484474,-2.002980881796414,-0.5044418505376481,ECM Glycoproteins,Structural,Upregulated,6
Hcfc1,Heart_Decellularized_Tissue,3.3968661119200787,-0.6063052868145158,-0.8341943206800637,-1.129312787127876,Secreted Factors,Signaling,Downregulated,7
Serpina1a,Heart_Decellularized_Tissue,2.9975572706474547,1.2281035197740715,1.4533716997395925,2.06345424460558,ECM Regulators,Regulatory,Upregulated,8
Ctsb,Heart_Decellularized_Tissue,2.8884524167879126,1.8245274855662936,-1.3800878216011394,-0.2894518234996766,ECM Regulators,Regulatory,Upregulated,9
Ctsd,Heart_Decellularized_Tissue,2.481326099558657,2.0561243307224832,0.3306826194870804,1.461568648058655,ECM Regulators,Regulatory,Upregulated,10
Serpina1b,Heart_Decellularized_Tissue,2.40654951771119,1.1387754877708824,2.1576832521720077,2.681217398320564,ECM Regulators,Regulatory,Upregulated,11
Vtn,Heart_Decellularized_Tissue,2.264974335620779,1.1010112852734228,-0.7752387574761915,-0.1200919614084827,ECM Glycoproteins,Structural,Upregulated,12
Col3a1,Heart_Decellularized_Tissue,2.2565905301352336,-1.8892767218293791,-0.3120274270818167,-1.3507200288208765,Collagens,Structural,Downregulated,13
Vwa5a,Heart_Decellularized_Tissue,2.143172639857728,-0.7519829360601773,0.8118312075326855,0.349670387159791,ECM Glycoproteins,Structural,Downregulated,14
Ctsf,Heart_Decellularized_Tissue,2.116600346300591,3.7339208265828105,-1.2384074705362054,0.911022827202086,ECM Regulators,Regulatory,Upregulated,15
Ecm1,Heart_Decellularized_Tissue,2.072407507183594,-0.710731466428536,-0.5390811812641926,-0.907874094442546,ECM Glycoproteins,Structural,Downregulated,16
Lama2,Heart_Decellularized_Tissue,2.051085185515997,0.9881320218569988,0.5506019109253066,1.0736904668354028,ECM Glycoproteins,Structural,Upregulated,17
Col5a1,Heart_Decellularized_Tissue,2.0204499448541604,-1.7262603198408415,-0.0037959102280169,-0.9675108484555208,Collagens,Structural,Downregulated,18
Lum,Heart_Decellularized_Tissue,1.9982469451927045,-1.1958219096637217,3.196114607842127,2.361986918675033,Proteoglycans,Structural,Downregulated,19
Matn2,Heart_Decellularized_Tissue,1.8622229929968734,-1.0243489025515893,-0.5015878448699553,-1.0474511182772586,ECM Glycoproteins,Structural,Downregulated,20
Col6a6,Heart_Decellularized_Tissue,1.7965931480940835,1.5229167460752455,-0.0316308414888681,0.8203851762069901,Collagens,Structural,Upregulated,21
Thbs1,Heart_Decellularized_Tissue,1.6980870197248517,2.4376198198147536,-1.237001273785522,0.1885247543612757,ECM Glycoproteins,Structural,Upregulated,22
Hrg,Heart_Decellularized_Tissue,1.6354999685298686,1.8203541306665865,-0.9357800398769422,0.1293932151435759,ECM Regulators,Regulatory,Upregulated,23
Fgb,Heart_Decellularized_Tissue,1.6308758318361016,1.091960151056076,0.1138450392698074,0.717648633235992,ECM Glycoproteins,Structural,Upregulated,24
Ltbp4,Heart_Decellularized_Tissue,1.6026354799287823,-1.9841740556106755,0.3015601488658664,-0.8220672006950674,ECM Glycoproteins,Structural,Downregulated,25
Serpina3k,Heart_Decellularized_Tissue,1.5752006972179657,1.3006298555566451,-0.3236171906208443,0.4194798062496671,ECM Regulators,Regulatory,Upregulated,26
Pzp,Heart_Decellularized_Tissue,1.5637307376284666,0.6800502581838798,-1.1344373541536057,-0.6956462916991428,ECM Regulators,Regulatory,Upregulated,27
Mmrn1,Heart_Decellularized_Tissue,1.031345402196497,1.0409644162677638,-1.315578965151411,-0.6658290113390462,ECM Glycoproteins,Structural,Upregulated,28
Loxl2,Heart_Decellularized_Tissue,0.9349751101063684,-0.9829499431647204,0.2285878864986259,-0.3321747871893558,ECM Regulators,Regulatory,Downregulated,29
Mbl1,Heart_Decellularized_Tissue,0.6279373679371245,1.0141634835657147,1.3660905177103253,1.8612570152483152,ECM-affiliated Proteins,Signaling,Upregulated,30
Fgl2,Heart_Decellularized_Tissue,0.3149813182911778,-0.9855189841465032,-0.1491273279756264,-0.6916591625446153,ECM Glycoproteins,Structural,Downregulated,31
Lgals8,Heart_Decellularized_Tissue,0.03370480943778903,-0.4396715232891028,0.8568537288780482,0.5667379075913492,ECM-affiliated Proteins,Signaling,Downregulated,32
Sema3b,Heart_Decellularized_Tissue,0.006169238654813891,-0.3508005093217415,0.115860010257816,-0.0860527845414717,ECM-affiliated Proteins,Signaling,Downregulated,33
SERPINA10,Heart_Native_Tissue,66.88050313046854,2.2189785050027058,0.5549555050226003,1.1100420276677732,ECM Regulators,Regulatory,Upregulated,1
Angptl2,Heart_Native_Tissue,59.61358792199501,2.1681607480845,-0.0214569426807579,0.5198693278273351,Secreted Factors,Signaling,Upregulated,2
COL21A1,Heart_Native_Tissue,29.63880727385305,-1.4840580375241672,0.0549132857394964,-0.3155377783639837,Collagens,Structural,Downregulated,3
SERPINA7,Heart_Native_Tissue,17.43051091747962,1.7904756221652582,0.9239742530381748,1.3727543099148825,ECM Regulators,Regulatory,Upregulated,4
Lgals9,Heart_Native_Tissue,12.78430209962031,-1.2967205379789335,-0.4472437984348878,-0.771852288483809,ECM-affiliated Proteins,Signaling,Downregulated,5
SERPINA6,Heart_Native_Tissue,12.708398641314966,3.7528276660353583,0.6743703980224959,1.6126643811230956,ECM Regulators,Regulatory,Upregulated,6
Crlf3,Heart_Native_Tissue,12.704409411505873,-0.3980215374540039,0.1875841818156322,0.0885512707417752,Secreted Factors,Signaling,Downregulated,7
Anxa3,Heart_Native_Tissue,10.105876392444243,-0.3618567738100457,2.549432612839487,2.4638205725104045,ECM-affiliated Proteins,Signaling,Downregulated,8
LGALS8,Heart_Native_Tissue,9.8302247029677,-0.7656308171413363,-0.1192199053217385,-0.3106112367708316,ECM-affiliated Proteins,Signaling,Downregulated,9
A2M,Heart_Native_Tissue,8.617582811691625,2.082167866979455,-1.1813307386594505,-0.6636322817790518,ECM Regulators,Regulatory,Upregulated,10
LOXL1,Heart_Native_Tissue,8.604854067021055,0.8776208303928769,-2.4287742731248287,-2.2141572400904934,ECM Regulators,Regulatory,Upregulated,11
PLXNA1,Heart_Native_Tissue,8.263548242579285,-0.5937562649026552,-1.2153808900211585,-1.365894892402783,ECM-affiliated Proteins,Signaling,Downregulated,12
CYR61,Heart_Native_Tissue,8.133953081427146,-0.9940522329054956,1.0279856367809337,0.7816927365144399,ECM Glycoproteins,Structural,Downregulated,13
SERPINA1,Heart_Native_Tissue,7.873020229889603,2.4932825705524273,-1.0280383699060582,-0.4074040556977543,ECM Regulators,Regulatory,Upregulated,14
Fbln1,Heart_Native_Tissue,6.465194341023964,-0.9463157652378824,-0.8132718206952414,-1.05106853372031,ECM Glycoproteins,Structural,Downregulated,15
TIMP3,Heart_Native_Tissue,6.013098537725929,5.471262026125018,-0.9647103144414636,0.3996108193403753,ECM Regulators,Regulatory,Upregulated,16
Fga,Heart_Native_Tissue,5.917115630077567,-0.8458383663082054,0.3081495554512913,0.0975257955848763,ECM Glycoproteins,Structural,Downregulated,17
Plxnd1,Heart_Native_Tissue,5.584616656459772,-0.7315185014972508,0.8014757848558709,0.6203135969713672,ECM-affiliated Proteins,Signaling,Downregulated,18
SERPINE1,Heart_Native_Tissue,5.144718307033251,-0.8096146628763583,1.3262457355400334,1.1265593874766162,ECM Regulators,Regulatory,Downregulated,19
