Protein_ID,Protein_Name,Gene_Symbol,Tissue,Tissue_Compartment,Species,Abundance_Young,Abundance_Old,Abundance_Young_transformed,Abundance_Old_transformed,Zscore_Young,Zscore_Old,Zscore_Delta,Method,Study_ID,Canonical_Gene_Symbol,Matrisome_Category,Matrisome_Division,Match_Level,Match_Confidence
A0A087WT59,Transthyretin OS=Homo sapiens GN=TTR PE=1 SV=1,TTR,Kidney_Glomerular,Glomerular,Homo sapiens,57224.40830983797,37874.26258130534,15.804368231161375,15.208968270073886,0.8645443098415284,0.6588160716597754,-0.205728238181753,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WTA8,Collagen alpha-2(I) chain OS=Homo sapiens GN=COL1A2 PE=1 SV=1,COL1A2,Kidney_Glomerular,Glomerular,Homo sapiens,5897188.0502754375,8683829.352821417,22.491596013699887,23.04990011108401,2.9064271114005154,3.2211824955404675,0.3147553841399522,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,COL1A2,Collagens,Core matrisome,exact_gene,100
A0A087WTI1,Ras-related protein Rab-1B OS=Homo sapiens GN=RAB1B PE=1 SV=1,RAB1B,Kidney_Glomerular,Glomerular,Homo sapiens,9374.467194218052,5368.936762381613,13.194674868703304,12.390689383462043,0.06769871590798734,-0.2621794603273674,-0.32987817623535476,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WTZ4,Uncharacterized protein (Fragment) OS=Homo sapiens PE=1 SV=1,1,Kidney_Glomerular,Glomerular,Homo sapiens,3873.415612265053,2045.967758850182,11.919763006180085,10.999272663763387,-0.321583762608319,-0.7168855534902354,-0.3953017908819164,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WU02,Endoplasmic reticulum-Golgi intermediate compartment protein 2 OS=Homo sapiens GN=ERGIC2 PE=1 SV=1,ERGIC2,Kidney_Glomerular,Glomerular,Homo sapiens,3014.2310967366266,1261.5879247272048,11.558052863682665,10.3021681431412,-0.43202859014110684,-0.9446948564910915,-0.5126662663499847,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WU08,Haptoglobin OS=Homo sapiens GN=HP PE=1 SV=1,HP,Kidney_Glomerular,Glomerular,Homo sapiens,2191.7626144954497,2720.86981915275,11.09853392092008,11.410382352329135,-0.5723384250576787,-0.5825375341638471,-0.010199109106168391,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WU70,Carbohydrate sulfotransferase 13 OS=Homo sapiens GN=CHST13 PE=1 SV=1,CHST13,Kidney_Glomerular,Glomerular,Homo sapiens,3351.1555391223733,6841.482918591671,11.710873375917277,12.74030421274792,-0.385366268203744,-0.1479275680755524,0.23743870012819157,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUA0,Fibrinogen alpha chain OS=Homo sapiens GN=FGA PE=1 SV=1,FGA,Kidney_Glomerular,Glomerular,Homo sapiens,10928.73399122053,13389.331638065769,13.415970668554047,13.708904071852292,0.13526932999000743,0.1686046767481537,0.033335346758146256,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,FGA,ECM Glycoproteins,Core matrisome,exact_gene,100
A0A087WUA5,EH domain-containing protein 4 OS=Homo sapiens GN=EHD4 PE=1 SV=1,EHD4,Kidney_Glomerular,Glomerular,Homo sapiens,5271.064953511251,8706.26941474805,12.364152429577723,13.088004647638686,-0.1858935857012748,-0.03430128767951801,0.15159229802175678,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUB9,Beta-catenin-like protein 1 OS=Homo sapiens GN=CTNNBL1 PE=1 SV=1,CTNNBL1,Kidney_Glomerular,Glomerular,Homo sapiens,515661.5003652617,424403.23068250035,18.97606760916503,18.69507951229703,1.8329932130733821,1.798054950164658,-0.03493826290872404,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUC6,Signal peptidase complex subunit 2 OS=Homo sapiens GN=SPCS2 PE=1 SV=1,SPCS2,Kidney_Glomerular,Glomerular,Homo sapiens,1357.7889105756267,1618.19260194575,10.408105633836088,10.661058888181108,-0.7831542804391555,-0.8274116542418402,-0.044257373802684685,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUD3,Oligosaccharyltransferase complex subunit OSTC OS=Homo sapiens GN=OSTC PE=1 SV=1,OSTC,Kidney_Glomerular,Glomerular,Homo sapiens,894.7081067305144,1578.8812964279675,9.806884853328775,10.62560045098342,-0.9667314534589357,-0.8389992449467395,0.12773220851219624,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUF0,Docosahexaenoic acid omega-hydroxylase CYP4F3 OS=Homo sapiens GN=CYP4F3 PE=1 SV=1,CYP4F3,Kidney_Glomerular,Glomerular,Homo sapiens,494.83959630152464,228.05593377015495,8.953729675210761,7.839556126609656,-1.227234451399119,-1.7494607279659593,-0.5222262765668404,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUF6,Fibroblast growth factor OS=Homo sapiens GN=FGF2 PE=1 SV=1,FGF2,Kidney_Glomerular,Glomerular,Homo sapiens,6755.423979781157,9685.149335194534,12.722044147782945,13.241707530373024,-0.07661467850869935,0.01592783227179144,0.09254251078049079,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,FGF2,Secreted Factors,Matrisome-associated,exact_gene,100
A0A087WUK2,Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens GN=HNRNPDL PE=1 SV=1,HNRNPDL,Kidney_Glomerular,Glomerular,Homo sapiens,16657.248010482832,11558.562327610663,14.023949056393382,13.496799154573235,0.32090987555213973,0.09929014508327579,-0.22161973046886396,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUL0,Triokinase/FMN cyclase OS=Homo sapiens GN=TKFC PE=1 SV=1,TKFC,Kidney_Glomerular,Glomerular,Homo sapiens,3068.0189857601395,4953.592602044253,11.583561855385767,12.27455071943529,-0.4242396567987013,-0.3001328336318055,0.12410682316689581,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUM3,BTB/POZ domain-containing protein KCTD14 OS=Homo sapiens GN=KCTD14 PE=1 SV=1,KCTD14,Kidney_Glomerular,Glomerular,Homo sapiens,2864.258429270407,5272.09155293926,11.484449552025628,12.364433330085467,-0.45450267672788647,-0.27075977080065555,0.18374290592723092,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUQ6,Glutathione peroxidase OS=Homo sapiens GN=GPX1 PE=1 SV=1,GPX1,Kidney_Glomerular,Glomerular,Homo sapiens,5821.222963720983,11031.670130662373,12.507354373606669,13.429494374293254,-0.14216820409755163,0.07729537294993284,0.21946357704748448,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUS0,40S ribosomal protein S24 OS=Homo sapiens GN=RPS24 PE=1 SV=1,RPS24,Kidney_Glomerular,Glomerular,Homo sapiens,2017.5398689074616,1627.3715860460277,10.979096366950928,10.669214237445148,-0.6088075712032143,-0.8247465382131687,-0.2159389670099544,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUT0,Myelin expression factor 2 OS=Homo sapiens GN=MYEF2 PE=1 SV=1,MYEF2,Kidney_Glomerular,Glomerular,Homo sapiens,3479.5208351147835,2131.1047509019268,11.765087495912276,11.058062604510726,-0.36881249094069085,-0.6976733765082825,-0.3288608855675917,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUY4,Cytochrome P450 4A22 OS=Homo sapiens GN=CYP4A22 PE=1 SV=1,CYP4A22,Kidney_Glomerular,Glomerular,Homo sapiens,4347.917209988437,2425.210319226733,12.086440529247927,11.24448890245504,-0.2706903313052383,-0.6367504535614932,-0.3660601222562549,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUZ3,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=1",SPTBN1,Kidney_Glomerular,Glomerular,Homo sapiens,12390.4278240394,13089.364431228663,13.597054813676689,13.676217641523797,0.19056168933305534,0.15792296017561677,-0.03263872915743857,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUZ8,"28S ribosomal protein S34, mitochondrial OS=Homo sapiens GN=MRPS34 PE=1 SV=1",MRPS34,Kidney_Glomerular,Glomerular,Homo sapiens,10744.154431894533,4498.195045746973,13.391398597217643,12.135451195573818,0.12776647656672557,-0.3455896692155858,-0.4733561457823114,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WV24,Aromatic-L-amino-acid decarboxylase OS=Homo sapiens GN=DDC PE=1 SV=1,DDC,Kidney_Glomerular,Glomerular,Homo sapiens,24078.8728422806,13632.976458267867,14.555540153279308,13.734918776611705,0.48322627234477394,0.17710611603551557,-0.3061201563092584,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WV68,TAR DNA-binding protein 43 (Fragment) OS=Homo sapiens GN=TARDBP PE=1 SV=1,TARDBP,Kidney_Glomerular,Glomerular,Homo sapiens,39913.31251705147,32138.04318392955,15.28461854190765,14.972039358520526,0.7058435767254889,0.5813892172857018,-0.12445435943978711,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WV90,Dystrophin OS=Homo sapiens GN=DMD PE=1 SV=1,DMD,Kidney_Glomerular,Glomerular,Homo sapiens,276864.68563076935,210477.45705649068,18.07882673349378,17.6833130522023,1.559029057452323,1.4674161359620117,-0.0916129214903112,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WVA8,Testis-expressed sequence 2 protein OS=Homo sapiens GN=TEX2 PE=1 SV=1,TEX2,Kidney_Glomerular,Glomerular,Homo sapiens,26649.505017894164,29547.132839706133,14.701875251367229,14.850779348260069,0.5279083333970964,0.5417622207563206,0.013853887359224215,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WVD1,Leukocyte receptor cluster member 9 OS=Homo sapiens GN=LENG9 PE=1 SV=1,LENG9,Kidney_Glomerular,Glomerular,Homo sapiens,7806.242364045152,5534.232350907713,12.930597341319443,12.434428162548167,-0.012934900738257581,-0.24788590680281808,-0.23495100606456049,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WVQ6,Clathrin heavy chain OS=Homo sapiens GN=CLTC PE=1 SV=1,CLTC,Kidney_Glomerular,Glomerular,Homo sapiens,324645.471565662,278589.40370111336,18.308510003893126,18.08778603829394,1.6291607076495611,1.5995953233268727,-0.029565384322688404,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WVT8,Kielin/chordin-like protein OS=Homo sapiens GN=KCP PE=1 SV=1,KCP,Kidney_Glomerular,Glomerular,Homo sapiens,5755.344276571047,12462.172447268938,12.49093716430953,13.605383726513379,-0.14718104625031228,0.13477488936273094,0.2819559356130432,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,KCP,ECM Glycoproteins,Core matrisome,exact_gene,100
A0A087WVZ9,"DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens GN=POLR2E PE=1 SV=1",POLR2E,Kidney_Glomerular,Glomerular,Homo sapiens,55899.18082667814,32827.9985052915,15.770565329475337,15.002683118693124,0.8542229082323689,0.591403402303487,-0.2628195059288819,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WW63,Voltage-dependent P/Q-type calcium channel subunit alpha-1A OS=Homo sapiens GN=CACNA1A PE=1 SV=1,CACNA1A,Kidney_Glomerular,Glomerular,Homo sapiens,387848.9587668153,475538.1976410667,18.565139122706025,18.859204738575567,1.7075200220206923,1.8516900253898194,0.1441700033691271,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WW83,Probable G-protein-coupled receptor 179 OS=Homo sapiens GN=GPR179 PE=1 SV=1,GPR179,Kidney_Glomerular,Glomerular,Homo sapiens,349356.02508413297,579494.4878418917,18.414342625590212,19.144437902375255,1.6614757142732994,1.9449024007448674,0.283426686471568,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WW88,Charged multivesicular body protein 2b (Fragment) OS=Homo sapiens GN=CHMP2B PE=1 SV=1,CHMP2B,Kidney_Glomerular,Glomerular,Homo sapiens,3391.8054021927,3564.7660469905836,11.728262969841357,11.799996334254601,-0.3800565174498683,-0.4552141744148533,-0.075157656964985,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WWA3,Kinesin-like protein OS=Homo sapiens GN=KIF1B PE=1 SV=1,KIF1B,Kidney_Glomerular,Glomerular,Homo sapiens,1736.7140094457127,3838.6467096554534,10.762974949607909,11.906757857672075,-0.6747982357164763,-0.4203251907437436,0.25447304497273276,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WWE2,DNA-directed RNA polymerase OS=Homo sapiens GN=POLR2A PE=1 SV=1,POLR2A,Kidney_Glomerular,Glomerular,Homo sapiens,85426.26990000274,73669.18606236503,16.382409056766118,16.168793265867734,1.0410436992422043,0.9724807472229726,-0.06856295201923168,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WWI6,DDB1- and CUL4-associated factor 7 (Fragment) OS=Homo sapiens GN=DCAF7 PE=1 SV=4,DCAF7,Kidney_Glomerular,Glomerular,Homo sapiens,11799.164029715968,19095.5175396319,13.526519293646144,14.221021950460846,0.16902432438409062,0.33596152716129507,0.16693720277720445,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WWM1,Mucin-1 OS=Homo sapiens GN=MUC1 PE=1 SV=1,MUC1,Kidney_Glomerular,Glomerular,Homo sapiens,2055.46078783966,4956.51159396822,11.00594784775805,12.275400431103279,-0.6006087213001774,-0.29985515328816986,0.30075356801200753,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,MUC1,ECM-affiliated Proteins,Matrisome-associated,exact_gene,100
A0A087WWS1,THO complex subunit 1 OS=Homo sapiens GN=THOC1 PE=1 SV=1,THOC1,Kidney_Glomerular,Glomerular,Homo sapiens,13749.102744112868,10066.824224639053,13.747154778395352,13.29746431319363,0.23639331739183592,0.03414879262447397,-0.20224452476736193,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WWT4,Tetraspanin OS=Homo sapiens GN=TSPAN10 PE=1 SV=1,TSPAN10,Kidney_Glomerular,Glomerular,Homo sapiens,782.8537114876548,753.0473392522636,9.61444062293677,9.558511288813245,-1.0254925091721483,-1.187717164688226,-0.1622246555160778,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WWY8,Cilia- and flagella-associated protein 99 OS=Homo sapiens GN=CFAP99 PE=4 SV=1,CFAP99,Kidney_Glomerular,Glomerular,Homo sapiens,1293.5928190005714,2263.77360425579,10.33828269116023,11.145151124628068,-0.8044740665209676,-0.6692134046096633,0.13526066191130437,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WX08,Gamma-adducin OS=Homo sapiens GN=ADD3 PE=1 SV=1,ADD3,Kidney_Glomerular,Glomerular,Homo sapiens,281767.2100521367,288174.1002512795,18.104149326016056,18.136586159373813,1.5667610755386714,1.6155428910741605,0.048781815535489104,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WX99,Cadherin-4 OS=Homo sapiens GN=CDH4 PE=1 SV=1,CDH4,Kidney_Glomerular,Glomerular,Homo sapiens,1578.7000288735746,1833.0579501538652,10.625434913986483,10.840823508697985,-0.7167948062527039,-0.7686657249117416,-0.0518709186590377,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WXF0,Methyl-CpG-binding protein 2 OS=Homo sapiens GN=MECP2 PE=1 SV=1,MECP2,Kidney_Glomerular,Glomerular,Homo sapiens,95358.8147076671,88213.12948355342,16.54109381207153,16.42872213400848,1.0894966132544617,1.0574238404453413,-0.03207277280912035,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WXF6,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens GN=NDUFS7 PE=1 SV=1",NDUFS7,Kidney_Glomerular,Glomerular,Homo sapiens,2846.33732963811,5314.137171402103,11.475397706778761,12.375891209522496,-0.4572665734774804,-0.2670154090138636,0.19025116446361678,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WXM2,Glutathione S-transferase OS=Homo sapiens GN=GSTA3 PE=1 SV=1,GSTA3,Kidney_Glomerular,Glomerular,Homo sapiens,11926.708530674863,5940.565286274904,13.54202928855376,12.536627339132309,0.17376015706154518,-0.21448786892448826,-0.3882480259860335,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WXV4,Hepatocyte nuclear factor 4-alpha OS=Homo sapiens GN=HNF4A PE=1 SV=1,HNF4A,Kidney_Glomerular,Glomerular,Homo sapiens,379.02431758074744,1955.085222745104,8.569947928674788,10.933753511676846,-1.344418637924107,-0.7382967937397179,0.6061218441843891,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WY00,Unconventional myosin-Va OS=Homo sapiens GN=MYO5A PE=1 SV=1,MYO5A,Kidney_Glomerular,Glomerular,Homo sapiens,2525.502217202003,1849.4728763731937,11.302925730695502,10.85367827390267,-0.5099292871112029,-0.7644648697818607,-0.2545355826706578,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WY71,AP-2 complex subunit mu OS=Homo sapiens GN=AP2M1 PE=1 SV=1,AP2M1,Kidney_Glomerular,Glomerular,Homo sapiens,40635.58988380143,30791.817413769797,15.310491719549555,14.910306253522569,0.7137437108568004,0.5612152330327934,-0.15252847782400702,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WYA1,Unconventional myosin-XV OS=Homo sapiens GN=MYO15A PE=4 SV=1,MYO15A,Kidney_Glomerular,Glomerular,Homo sapiens,247693.0660631083,231070.50232356705,17.918199781196822,17.81797981995594,1.5099831116542135,1.5114243751740504,0.0014412635198368662,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WYC5,Ig gamma-1 chain C region OS=Homo sapiens GN=IGHG1 PE=1 SV=1,IGHG1,Kidney_Glomerular,Glomerular,Homo sapiens,631885.8106349233,503311.5444564507,19.269306627205488,18.94109503014879,1.9225310196434404,1.8784512494157122,-0.04407977022772824,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WYD8,Amine oxidase OS=Homo sapiens GN=AOC1 PE=1 SV=1,AOC1,Kidney_Glomerular,Glomerular,Homo sapiens,14147.33924733509,11640.568082414817,13.788345096899969,13.506997777345196,0.24897039801183937,0.10262298983828534,-0.14634740817355402,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WYG8,Alpha-internexin OS=Homo sapiens GN=INA PE=1 SV=1,INA,Kidney_Glomerular,Glomerular,Homo sapiens,10506.46003472342,21637.847629952685,13.359126348738268,14.401336050487735,0.1179124456767147,0.3948870228842171,0.2769745772075024,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WYS1,UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens GN=UGP2 PE=1 SV=1,UGP2,Kidney_Glomerular,Glomerular,Homo sapiens,3430.536993499183,6578.696564193033,11.74463919232337,12.683805337402545,-0.3750561902398633,-0.1663910395235279,0.2086651507163354,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WYT3,Prostaglandin E synthase 3 OS=Homo sapiens GN=PTGES3 PE=1 SV=1,PTGES3,Kidney_Glomerular,Glomerular,Homo sapiens,63996.77138054153,80216.26245705776,15.96573404600236,16.29162511225614,0.9138158604448615,1.0126214097552937,0.09880554931043217,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WYU1,Sorting nexin OS=Homo sapiens GN=SNX9 PE=1 SV=1,SNX9,Kidney_Glomerular,Glomerular,Homo sapiens,1029.215119653063,6116.3138401700235,10.008729903286158,12.57868257807341,-0.9050999449339873,-0.20074448556189617,0.7043554593720911,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WYV8,Fibrillin-2 OS=Homo sapiens GN=FBN2 PE=1 SV=1,FBN2,Kidney_Glomerular,Glomerular,Homo sapiens,124031.13900176452,111786.5962209536,16.920354472232063,16.770400592284503,1.2053003281079926,1.1690821773627311,-0.03621815074526147,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,FBN2,ECM Glycoproteins,Core matrisome,exact_gene,100
A0A087WYX9,Collagen alpha-2(V) chain OS=Homo sapiens GN=COL5A2 PE=1 SV=1,COL5A2,Kidney_Glomerular,Glomerular,Homo sapiens,0.0,15.365068455657434,0.0,4.032547732126803,-3.961172523818278,-2.9935667453698938,0.9676057784483842,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,COL5A2,Collagens,Core matrisome,exact_gene,100
