Protein,Mean_Delta,Std_Delta,Consistency_Score,Direction_Consistency,N_Observations,N_Tissues,N_Studies,Matrisome_Category
Plxna1,-0.059791710300014886,0.04557206972799565,1.2838534050392991,0.8,5,5,4,ECM-affiliated Proteins
Emilin1,-0.1479362523957137,0.11554717258898267,1.269325107674884,1.0,6,6,5,ECM Glycoproteins
COL5A1,-0.39481216312967704,0.3199822795517659,1.230012334889672,0.875,8,8,5,Collagens
Col4a1,0.27143571270801725,0.2239842247560327,1.206465533316193,0.8,10,10,6,Collagens
Serpinh1,-0.5734625551659357,0.4779511084128335,1.197330051216079,1.0,10,10,6,ECM Regulators
HTRA1,0.449299675319099,0.3799134044547692,1.1795323295650788,0.8333333333333334,6,6,3,ECM Regulators
Itih4,0.18521850792353833,0.15618094624387968,1.1783776109615474,0.75,8,8,5,ECM Regulators
CILP,0.8710693426945131,0.7458977980459552,1.1662497131112413,1.0,5,5,3,ECM Glycoproteins
Pxdn,-0.3760570618204606,0.32160776114930717,1.165678905184232,1.0,7,7,5,ECM Glycoproteins
VTN,1.318911080793891,1.138613718396862,1.1573316988928963,0.875,8,8,5,ECM Glycoproteins
CXCL10,0.8861453129831608,0.7778992069938816,1.137689324916878,0.8333333333333334,6,6,3,Secreted Factors
Vtn,0.2537413164355531,0.2227112217068564,1.1342359784170644,0.875,8,8,5,ECM Glycoproteins
Col15a1,-0.25581050475262623,0.22468010956865858,1.1335093076725093,0.875,8,8,5,Collagens
CD109,-0.5215845234201113,0.4741715967316599,1.0976761384891065,1.0,5,5,3,ECM Regulators
EFEMP1,0.29506366333491474,0.2694660387998126,1.0909453351121403,0.875,8,8,5,ECM Glycoproteins
Mmrn2,-0.11093507459275198,0.10205037238497147,1.0765130879714355,0.7142857142857143,7,7,5,ECM Glycoproteins
COL14A1,-0.3807757585407655,0.3548943049428799,1.0699124803412605,0.875,8,8,5,Collagens
Eln,-0.6035438442270636,0.5636569597758507,1.0688681575210721,0.8333333333333334,6,6,4,ECM Glycoproteins
COL5A2,-0.37021545536941874,0.34761513642688174,1.0619603588184057,0.9,10,8,5,Collagens
Anxa11,-0.10934395283625888,0.1040058762965999,1.0413127026091915,1.0,6,6,5,ECM-affiliated Proteins
Igfbp7,-0.1411200709965112,0.13836782813927767,1.0125727930228088,1.0,5,5,4,ECM Glycoproteins
P4HA1,-0.27815130749453176,0.2751135107571704,1.007380286215525,0.8,5,5,3,ECM Regulators
Ngly1,-0.06922043427862576,0.06772880571427524,1.0071531661177753,0.8333333333333334,6,6,5,ECM Regulators
CTSD,0.35673722730632784,0.35568701156527865,1.0001407837667786,0.8333333333333334,6,6,4,ECM Regulators
Cspg4,-0.16006273955020517,0.15952158377053005,0.9971415419064092,1.0,5,5,4,ECM-affiliated Proteins
Htra1,0.21231720904722895,0.2121604585391295,0.9960440623102443,0.8333333333333334,6,6,5,ECM Regulators
Serpinc1,0.14856839188312582,0.148572734241834,0.9932852577456774,0.8,10,10,6,ECM Regulators
Ctsf,0.7774724633378417,0.7859450480119888,0.9879628384496768,0.8571428571428571,7,7,5,ECM Regulators
Ctsd,0.3406239855236033,0.3439748072344729,0.987388001617427,0.9,10,10,6,ECM Regulators
Pcolce,-0.8249345752651844,0.8354528957259116,0.9862295647255414,0.875,8,8,5,ECM Glycoproteins
Lamb1,-0.24690420130987328,0.24961572095223375,0.9851903957650453,0.9,10,10,6,ECM Glycoproteins
Col4a2,0.18556267998988407,0.1882322958765552,0.9806078773727662,0.9,10,10,6,Collagens
Mfge8,0.4329152409585449,0.44427483223387576,0.9722427804569042,0.9,10,10,6,ECM Glycoproteins
Serpina1a,0.23883278804817995,0.24555314327745714,0.9686868513349711,0.8333333333333334,6,6,3,ECM Regulators
ECM1,0.5230263321353391,0.5445438594564033,0.9587246251043843,0.8571428571428571,7,7,4,ECM Glycoproteins
COL9A2,-0.20120650622796296,0.21029461689599235,0.9522557137695791,1.0,5,5,2,Collagens
Lamb2,0.140951961234512,0.14808765636899626,0.9454301225693147,0.9,10,10,6,ECM Glycoproteins
Serpinf1,-0.610669676941451,0.6476871528842686,0.9413932035284192,0.875,8,8,4,ECM Regulators
Kng1,0.11256351849967099,0.11974633685224552,0.9322313325116632,0.8,10,10,6,ECM Regulators
Serpina3n,0.2602453639514771,0.2785573086152893,0.9309195500576657,0.8333333333333334,6,6,5,ECM Regulators
Fbn2,-0.9096908665526114,0.9932705984193125,0.9149328844671002,0.8333333333333334,6,6,3,ECM Glycoproteins
Anxa2,-0.19745574963717077,0.21526735485042942,0.9130168987997807,0.8,10,10,6,ECM-affiliated Proteins
FGB,0.8946244408992193,1.0006800159487974,0.8931239783713022,0.875,8,8,5,ECM Glycoproteins
HPX,1.0050720136416453,1.127020241380975,0.8910053000566635,0.75,8,8,5,ECM-affiliated Proteins
Ctss,0.2634879546289103,0.29499915115770603,0.8901645616156715,1.0,5,5,4,ECM Regulators
COL6A3,-0.28103339061754185,0.3155262862447244,0.887867462610227,1.0,8,8,5,Collagens
AMBP,0.6179412953407062,0.696355053324007,0.8861214848809543,0.75,8,8,5,ECM Regulators
Lama4,-0.15405418915463637,0.17324827078274788,0.8841074201919087,0.7,10,10,6,ECM Glycoproteins
ITIH3,0.4564250217936337,0.5207544407867413,0.8747889545614621,0.8,5,5,3,ECM Regulators
Sparc,-0.38159562049404555,0.4367544733222217,0.8717115272358649,1.0,9,9,5,ECM Glycoproteins
SERPINA5,-0.1561965206973348,0.1783734572617557,0.8707894862582745,0.8333333333333334,6,6,3,ECM Regulators
Igfbp5,0.18557086252393934,0.21496748707686145,0.8592537008031021,0.8,5,5,2,ECM Glycoproteins
Ctsb,0.29944733092727577,0.34875397375641204,0.8561656289738895,0.8,10,10,6,ECM Regulators
COL15A1,-0.3339225021624553,0.4008857094446027,0.8308892162996512,0.7142857142857143,7,7,4,Collagens
Fn1,-0.15823022522173855,0.19035764638184915,0.8268821665270396,0.75,12,10,6,ECM Glycoproteins
Itih1,0.29094298646440936,0.35213431097199344,0.8238876184633434,0.7777777777777778,9,9,6,ECM Regulators
TIMP3,0.9380965928302631,1.1440862706526882,0.8192366085182011,0.8571428571428571,7,7,4,ECM Regulators
GDF15,-0.2718203172343402,0.336677874960551,0.8049692840139302,0.8,5,3,2,Secreted Factors
CSPG4,-0.2667594842421436,0.33121681734960867,0.8029680326550687,0.8,5,5,3,ECM-affiliated Proteins
Plxnb2,-0.10543440114765527,0.13058652123306896,0.8012553273667561,0.8333333333333334,6,6,5,ECM-affiliated Proteins
Serpinb6a,0.2667496967034667,0.33252318370871287,0.79979356678376,0.7,10,10,6,ECM Regulators
Lman1,-0.07955798722231665,0.09973823804089135,0.7897496399532292,0.8,5,5,4,ECM-affiliated Proteins
CCN5,0.2974546749132226,0.37630868543394175,0.7883589389709402,0.8,5,5,3,ECM Glycoproteins
SERPINA4,0.7310964947436301,0.9406220176703922,0.7764224721002064,0.7142857142857143,7,7,4,ECM Regulators
F12,0.34510577740472914,0.44620947621480817,0.7716870857158771,0.8571428571428571,7,6,5,ECM Regulators
Fbln1,-0.09746959695703306,0.12716167546084528,0.7605206205876345,0.75,8,8,5,ECM Glycoproteins
A2M,0.4526963934658959,0.5945053046259258,0.7601886833741354,0.75,8,8,5,ECM Regulators
TNC,-0.2598270242198434,0.3420216532582729,0.7574653720889468,0.7142857142857143,7,7,4,ECM Glycoproteins
Col18a1,0.08143449363388573,0.10696465242178081,0.7542699560199494,0.7777777777777778,9,9,6,Collagens
S100A13,-0.1836507250872749,0.24323198419692527,0.751951984057897,0.8,5,5,3,Secreted Factors
FGG,0.8766169966808384,1.1690294582159122,0.7492264323135284,0.75,8,8,5,ECM Glycoproteins
COL11A2,-0.5354841120873555,0.7162884479644803,0.7465394341801421,0.8,5,5,2,Collagens
SERPIND1,0.6416155630658318,0.8597446669079687,0.7454191559161106,0.8571428571428571,7,7,5,ECM Regulators
Bgn,0.13789025893583065,0.18662157024653228,0.7349381990282069,0.7272727272727273,11,10,6,Proteoglycans
F10,0.15318295554184885,0.22284353009773836,0.684330502985561,0.7142857142857143,7,6,7,ECM Regulators
Aspn,0.4126795693589933,0.6040202114096187,0.6820922038248993,0.75,8,8,5,Proteoglycans
ANXA1,-0.24313303845827233,0.3585635159412128,0.676189400979224,0.75,8,8,5,ECM-affiliated Proteins
Efemp1,-0.21666865866730342,0.32242421368863533,0.6699209567404039,0.8571428571428571,7,7,5,ECM Glycoproteins
Papln,0.14999218593013172,0.2230588532404778,0.6694320878682181,0.8,5,5,4,ECM Glycoproteins
COL3A1,-0.24409723861614108,0.36410564840176274,0.6685660429650109,0.7,10,8,5,Collagens
Serpina1b,0.1382530395832279,0.20887008436079008,0.658755343832404,0.7777777777777778,9,9,5,ECM Regulators
Anxa3,-0.07594432923141455,0.1148513106855236,0.6555327581710675,0.8,5,5,4,ECM-affiliated Proteins
Aebp1,0.14787392529900728,0.22462979102459363,0.6553829821297359,0.8333333333333334,6,6,4,ECM Glycoproteins
COL1A2,-0.19006324886830506,0.2896711896935735,0.6538771491893308,0.75,8,8,5,Collagens
CSTB,0.5237034207287398,0.8035793723714344,0.6509033648043513,0.8,5,5,4,ECM Regulators
ITIH1,0.6863276009367996,1.0573837488130424,0.6484676297292955,0.875,8,8,5,ECM Regulators
Sparcl1,-0.12686607175354941,0.19625259434922648,0.6431655419899774,0.7142857142857143,7,7,5,ECM Glycoproteins
VCAN,-0.17802976312669835,0.27691884696859,0.6405818283594816,0.8,10,8,5,Proteoglycans
Nid2,-0.11713774042993925,0.18304756099555963,0.6364536416364971,0.7,10,10,6,ECM Glycoproteins
TGM2,-0.10744887936230975,0.16782762376942584,0.6364413415488017,0.7142857142857143,7,7,4,ECM Regulators
OGN,0.1754071308006204,0.27844221656427537,0.6277044784329302,0.875,8,8,5,Proteoglycans
ITIH2,0.9440918080613498,1.5170691115600161,0.621903048334322,0.8,5,5,3,ECM Regulators
FGA,0.7075108772488362,1.1404350224337512,0.6198433229605063,0.8,10,8,5,ECM Glycoproteins
ASPN,-0.16071872356593267,0.2689199054856895,0.5954311642067969,0.7142857142857143,7,7,4,Proteoglycans
LAMA4,-0.1450781770162956,0.24400060064641005,0.5921543728199893,0.75,8,8,5,ECM Glycoproteins
SERPINA3,0.2750957077975833,0.4664704073186903,0.588477267203871,0.8,10,8,5,ECM Regulators
C1qb,0.05284605950847114,0.09219415475476225,0.5670533698978657,0.8,5,5,4,ECM-affiliated Proteins
COL12A1,-0.21271594336702204,0.37469635783638955,0.5661911246412903,0.8,10,8,5,Collagens
Hcfc1,-0.06855385798189242,0.12533511552885251,0.5426350203181319,0.8333333333333334,6,6,5,Secreted Factors
F2,0.4784004036981658,0.8856013941787313,0.5395890496442467,0.7857142857142857,14,13,8,ECM Regulators
AGRN,-0.18206901919041227,0.3459531956057314,0.5247653617155634,0.7,10,8,5,ECM Glycoproteins
Anxa6,-0.06515602512342758,0.12634346994686954,0.5116558010443102,0.8888888888888888,9,6,5,ECM-affiliated Proteins
ANXA7,-0.2543352587880978,0.4989956504011005,0.508674942640137,0.75,8,8,5,ECM-affiliated Proteins
S100A11,-0.17955150035647158,0.35228395445090965,0.5082356503723439,0.7142857142857143,7,7,4,Secreted Factors
LAMB1,-0.390870314170709,0.7730790805112097,0.5049488146774026,0.75,8,8,5,ECM Glycoproteins
Lama5,0.07651863119575038,0.15352046956748613,0.4952006126433055,0.8,10,10,6,ECM Glycoproteins
COL6A2,-0.15430161122764258,0.3110320686536461,0.49450561890456374,0.75,8,8,5,Collagens
Matn2,-0.12204752564099544,0.2705394520999892,0.4494651686785233,0.8,5,5,4,ECM Glycoproteins
Lgals1,0.07305267456999591,0.1668695674741643,0.4351752117383573,0.7,10,10,6,ECM-affiliated Proteins
TGFBI,-0.09712594604797922,0.2305004251822381,0.41954975232344077,0.7,10,8,5,ECM Glycoproteins
Serpind1,0.035837727153276995,0.0849440716706616,0.4169889377664984,0.8333333333333334,6,6,3,ECM Regulators
LGALS3,-0.23868391246755374,0.5999059624766984,0.3972067634073598,0.75,8,8,5,ECM-affiliated Proteins
S100a11,-0.03729843049084935,0.09407372606087225,0.392310599744124,0.8333333333333334,6,6,5,Secreted Factors
LAMA5,-0.10840926181449184,0.27919863244961396,0.3869014665301276,0.75,8,8,5,ECM Glycoproteins
ANXA4,-0.17400350633305817,0.4730437191932771,0.36706214909708246,0.75,8,8,5,ECM-affiliated Proteins
Cst3,-0.07728091958508464,0.2200810619153844,0.34955920202094376,0.7777777777777778,9,9,5,ECM Regulators
COL6A1,-0.10579852024084985,0.4147379952638206,0.25448364461783635,0.7777777777777778,9,9,6,Collagens
PRELP,0.051389483790773995,0.252587124150244,0.20265020932343167,0.75,8,8,5,Proteoglycans
Serping1,-0.03648639708044182,0.18277454255667633,0.19853890845185676,0.8,5,5,3,ECM Regulators
Hmcn2,-0.08012854947900963,0.4167766126814563,0.1917975948072171,0.8,5,5,3,ECM Glycoproteins
Col6a1,0.07080876804640195,0.4171033118151956,0.1693571087466054,0.7,10,10,6,Collagens
Gpc4,-0.02322387131941654,0.15476343370098025,0.1490970683401825,0.7142857142857143,7,7,4,ECM-affiliated Proteins
PXDN,0.04964033702233864,0.3936821777293873,0.12577293788110797,0.75,8,7,4,ECM Glycoproteins
Serpina1e,-0.06527371063945211,0.7290181843387105,0.08941381466898737,0.875,8,8,4,ECM Regulators
COL8A1,-0.04241899405885193,0.8181496195641883,0.05178418331124915,0.8333333333333334,6,6,3,Collagens
Adam10,0.0043083407159129105,0.09649186597202569,0.04419179664844188,0.8571428571428571,7,7,5,ECM Regulators
Prelp,0.003439948658107339,0.2614270992646981,0.013108206689575233,0.7,10,10,6,Proteoglycans
