Gene_Symbol,Tissue_Compartment,Organ,Species,Study_ID,Zscore_Delta,Zscore_Young,Zscore_Old,Matrisome_Category,Protein_Name
FGB,Ovary,Ovary,Mus musculus,Dipali_2023,0.1803570771894951,0.9046114599160424,1.0849685371055375,ECM Glycoproteins,Fibrinogen beta chain
F12,Skeletal_muscle_Soleus,Skeletal muscle,Mus musculus,Schuler_2021,-0.0090780486118839,-2.218754933725458,-2.227832982337342,ECM Regulators,
F10,Skeletal_muscle_Soleus,Skeletal muscle,Mus musculus,Schuler_2021,-0.0872861416451153,-0.5178999939680624,-0.6051861356131778,ECM Regulators,
F2,Skeletal_muscle_Soleus,Skeletal muscle,Mus musculus,Schuler_2021,-0.1151071413615128,0.1879753887145674,0.0728682473530545,ECM Regulators,
F2,Skeletal_muscle_Gastrocnemius,Skeletal muscle,Mus musculus,Schuler_2021,0.070950279694108,-0.4469296207455805,-0.3759793410514725,ECM Regulators,
F2,Skeletal_muscle_TA,Skeletal muscle,Mus musculus,Schuler_2021,0.3352042861426409,0.079627760233706,0.4148320463763469,ECM Regulators,
F12,Skeletal_muscle_TA,Skeletal muscle,Mus musculus,Schuler_2021,0.1120230543586575,-1.4296155950135974,-1.3175925406549398,ECM Regulators,
F2,Skeletal_muscle_EDL,Skeletal muscle,Mus musculus,Schuler_2021,0.1874263329035564,-0.2680148325850444,-0.0805884996814879,ECM Regulators,
F12,Native_Tissue,Heart,Mus musculus,Santinha_2024_Mouse_NT,0.1170466823190659,-1.6408182139601977,-1.5237715316411318,ECM Regulators,Coagulation factor XII (EC 3.4.21.38) (Hageman factor) (HAF) [Cleaved into: Coagulation factor XIIa heavy chain; Coagulation factor XIIa light chain]
F10,Native_Tissue,Heart,Mus musculus,Santinha_2024_Mouse_NT,0.1740141543473663,-0.2320438523270716,-0.0580296979797053,ECM Regulators,Coagulation factor X (EC 3.4.21.6) (Stuart factor) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain]
F9,Native_Tissue,Heart,Mus musculus,Santinha_2024_Mouse_NT,0.0572346483328197,-0.4214172402758636,-0.3641825919430438,ECM Regulators,Coagulation factor IX (EC 3.4.21.22) (Christmas factor) [Cleaved into: Coagulation factor IXa light chain; Coagulation factor IXa heavy chain]
F2,Native_Tissue,Heart,Mus musculus,Santinha_2024_Mouse_NT,0.0702868957779327,0.0722687401837403,0.1425556359616731,ECM Regulators,Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain]
F10,Decellularized_Tissue,Heart,Mus musculus,Santinha_2024_Mouse_DT,0.0975274331124691,0.2517125318756913,0.3492399649881604,ECM Regulators,Coagulation factor X (EC 3.4.21.6) (Stuart factor) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain]
HPX,Native_Tissue,Heart,Homo sapiens,Santinha_2024_Human,1.5096337114795673,-0.2880279540200658,1.2216057574595014,ECM-affiliated Proteins,Hemopexin (Beta-1B-glycoprotein)
SERPINA1,Native_Tissue,Heart,Homo sapiens,Santinha_2024_Human,1.297053814821043,0.5414676396461306,1.838521454467174,ECM Regulators,Alpha-1-antitrypsin (Alpha-1 protease inhibitor) (Alpha-1-antiproteinase) (Serpin A1) [Cleaved into: Short peptide from AAT (SPAAT)]
VTN,Native_Tissue,Heart,Homo sapiens,Santinha_2024_Human,1.18184154195977,-0.1357261451353865,1.0461153968243837,ECM Glycoproteins,Vitronectin (VN) (S-protein) (Serum-spreading factor) (V75) [Cleaved into: Vitronectin V65 subunit; Vitronectin V10 subunit; Somatomedin-B]
SERPINC1,Native_Tissue,Heart,Homo sapiens,Santinha_2024_Human,0.8594336702945197,-0.4683128102361191,0.3911208600584006,ECM Regulators,Antithrombin-III (ATIII) (Serpin C1)
FGB,Native_Tissue,Heart,Homo sapiens,Santinha_2024_Human,0.7531559820111289,-0.0889649190801332,0.6641910629309957,ECM Glycoproteins,Fibrinogen beta chain [Cleaved into: Fibrinopeptide B; Fibrinogen beta chain]
A2M,Native_Tissue,Heart,Homo sapiens,Santinha_2024_Human,0.7689343006693377,-0.683977302555473,0.0849569981138647,ECM Regulators,Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5)
SERPINA3,Native_Tissue,Heart,Homo sapiens,Santinha_2024_Human,0.6273658534528908,0.1339212625956295,0.7612871160485203,ECM Regulators,Alpha-1-antichymotrypsin (ACT) (Cell growth-inhibiting gene 24/25 protein) (Serpin A3) [Cleaved into: Alpha-1-antichymotrypsin His-Pro-less]
FGG,Native_Tissue,Heart,Homo sapiens,Santinha_2024_Human,0.55213664417412,1.068829304883024,1.620965949057144,ECM Glycoproteins,Fibrinogen gamma chain
F10,Native_Tissue,Heart,Homo sapiens,Santinha_2024_Human,0.5860133182310887,-0.8809598975585301,-0.2949465793274414,ECM Regulators,Coagulation factor X (EC 3.4.21.6) (Stuart factor) (Stuart-Prower factor) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain]
F2,Native_Tissue,Heart,Homo sapiens,Santinha_2024_Human,0.5312870067890659,-0.3028980324554866,0.2283889743335793,ECM Regulators,Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain]
FGA,Native_Tissue,Heart,Homo sapiens,Santinha_2024_Human,0.4907371115520871,-0.2723632624182303,0.2183738491338567,ECM Glycoproteins,Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain]
F12,Native_Tissue,Heart,Homo sapiens,Santinha_2024_Human,0.1643719176165987,-0.9028982485048052,-0.7385263308882065,ECM Regulators,Coagulation factor XII (EC 3.4.21.38) (Hageman factor) (HAF) [Cleaved into: Coagulation factor XIIa heavy chain; Beta-factor XIIa part 1; Coagulation factor XIIa light chain (Beta-factor XIIa part 2)]
SERPINF2,Native_Tissue,Heart,Homo sapiens,Santinha_2024_Human,-0.0001394121127209,1.0713457906234338,1.0712063785107129,ECM Regulators,Alpha-2-antiplasmin (Alpha-2-AP) (Alpha-2-plasmin inhibitor) (Alpha-2-PI) (Serpin F2)
PLG,Native_Tissue,Heart,Homo sapiens,Santinha_2024_Human,-0.1936952123649446,0.0831737047803955,-0.110521507584549,ECM Regulators,"Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B]"
F13A1,Native_Tissue,Heart,Homo sapiens,Santinha_2024_Human,-0.3664448675169733,0.6954556480716382,0.3290107805546649,ECM Regulators,Coagulation factor XIII A chain (Coagulation factor XIIIa) (EC 2.3.2.13) (Protein-glutamine gamma-glutamyltransferase A chain) (Transglutaminase A chain)
F9,Native_Tissue,Heart,Homo sapiens,Santinha_2024_Human,-0.3736457190927874,0.4166706378098289,0.0430249187170415,ECM Regulators,Coagulation factor IX (EC 3.4.21.22) (Christmas factor) (Plasma thromboplastin component) (PTC) [Cleaved into: Coagulation factor IXa light chain; Coagulation factor IXa heavy chain]
THBS1,Native_Tissue,Heart,Homo sapiens,Santinha_2024_Human,-0.3625201192571007,-0.5496763458744043,-0.912196465131505,ECM Glycoproteins,Thrombospondin-1 (Glycoprotein G)
VWF,Native_Tissue,Heart,Homo sapiens,Santinha_2024_Human,-0.6071110908193149,0.5782121368520836,-0.0288989539672312,ECM Glycoproteins,von Willebrand factor (vWF) [Cleaved into: von Willebrand antigen 2 (von Willebrand antigen II)]
F13A1,Skin dermis,Skin dermis,Homo sapiens,LiDermis_2021,-1.1585126738020426,1.2847568980485635,0.1262442242465211,ECM Regulators,Coagulation factor XIII A chain
F2,Skin dermis,Skin dermis,Homo sapiens,LiDermis_2021,-1.0411413062513342,0.0574979118560469,-0.9836433943952874,ECM Regulators,Prothrombin
F10,Skin dermis,Skin dermis,Homo sapiens,LiDermis_2021,0.2597386241508963,-1.3376014075589566,-1.0778627834080603,ECM Regulators,Coagulation factor X
PLG,Skin dermis,Skin dermis,Homo sapiens,LiDermis_2021,-0.2370964608840878,0.3722079083859959,0.135111447501908,ECM Regulators,Plasminogen {ECO:0000303|PubMed:2318848}
SERPINC1,Skin dermis,Skin dermis,Homo sapiens,LiDermis_2021,-0.3818156854818711,0.4087196177264262,0.0269039322445551,ECM Regulators,Antithrombin-III
SERPINA1,Skin dermis,Skin dermis,Homo sapiens,LiDermis_2021,-0.2961388359578816,1.5041475504452144,1.2080087144873328,ECM Regulators,Alpha-1-antitrypsin {ECO:0000305}
SERPINA3,Skin dermis,Skin dermis,Homo sapiens,LiDermis_2021,0.1872741802030443,0.3211341098352908,0.5084082900383352,ECM Regulators,Alpha-1-antichymotrypsin
A2M,Skin dermis,Skin dermis,Homo sapiens,LiDermis_2021,-0.4351895415972805,1.0938415835159514,0.6586520419186709,ECM Regulators,Alpha-2-macroglobulin
FGA,Skin dermis,Skin dermis,Homo sapiens,LiDermis_2021,-0.5987056467640957,1.3526784136705583,0.7539727669064626,ECM Glycoproteins,Fibrinogen alpha chain
FGB,Skin dermis,Skin dermis,Homo sapiens,LiDermis_2021,0.1262066609658161,1.6158952044745474,1.7421018654403635,ECM Glycoproteins,Fibrinogen beta chain
FGG,Skin dermis,Skin dermis,Homo sapiens,LiDermis_2021,-0.1616484052814364,1.5625175072891706,1.4008691020077342,ECM Glycoproteins,Fibrinogen gamma chain
HPX,Skin dermis,Skin dermis,Homo sapiens,LiDermis_2021,-0.4467961688780865,0.9046673505451992,0.4578711816671126,ECM-affiliated Proteins,Hemopexin
VTN,Skin dermis,Skin dermis,Homo sapiens,LiDermis_2021,0.5977770670716107,0.6519246558914713,1.249701722963082,ECM Glycoproteins,Vitronectin
VWF,Skin dermis,Skin dermis,Homo sapiens,LiDermis_2021,-0.4827861944284496,-0.2980240887586476,-0.7808102831870972,ECM Glycoproteins,von Willebrand factor
SERPINF2,Skin dermis,Skin dermis,Homo sapiens,LiDermis_2021,-0.4293993144286291,0.0680487388536338,-0.3613505755749952,ECM Regulators,Alpha-2-antiplasmin
THBS2,Skin dermis,Skin dermis,Homo sapiens,LiDermis_2021,-0.4905307434181514,-1.0912048854241247,-1.581735628842276,ECM Glycoproteins,Thrombospondin-2
SERPINA1,Glomerular,,Homo sapiens,Randles_2021,-0.034454166045038,-0.9207551839812086,-0.9552093500262466,ECM Regulators,Alpha-1-antitrypsin OS=Homo sapiens GN=SERPINA1 PE=1 SV=1
SERPINA1,Tubulointerstitial,,Homo sapiens,Randles_2021,0.1030654322931132,0.5665857392344206,0.6696511715275338,ECM Regulators,Alpha-1-antitrypsin OS=Homo sapiens GN=SERPINA1 PE=1 SV=1
HP,Glomerular,,Homo sapiens,Randles_2021,-0.1188836939391959,1.6094325289892968,1.4905488350501008,,Haptoglobin OS=Homo sapiens GN=HP PE=1 SV=1
HP,Tubulointerstitial,,Homo sapiens,Randles_2021,0.015039566958554,0.5277209749464845,0.5427605419050385,,Haptoglobin OS=Homo sapiens GN=HP PE=1 SV=1
FGA,Glomerular,,Homo sapiens,Randles_2021,0.3065322066893199,-0.1804909394685772,0.1260412672207427,ECM Glycoproteins,Fibrinogen alpha chain OS=Homo sapiens GN=FGA PE=1 SV=1
FGA,Tubulointerstitial,,Homo sapiens,Randles_2021,-0.2764570726700072,0.87004582364478,0.5935887509747728,ECM Glycoproteins,Fibrinogen alpha chain OS=Homo sapiens GN=FGA PE=1 SV=1
TF,Glomerular,,Homo sapiens,Randles_2021,0.0285889660153164,1.077290661682529,1.1058796276978455,,Serotransferrin (Fragment) OS=Homo sapiens GN=TF PE=1 SV=6
TF,Tubulointerstitial,,Homo sapiens,Randles_2021,0.2109252030245163,-0.9090964969298212,-0.698171293905305,,Serotransferrin (Fragment) OS=Homo sapiens GN=TF PE=1 SV=6
F2,Glomerular,,Homo sapiens,Randles_2021,0.1423668649914931,-0.5990323953289274,-0.4566655303374342,ECM Regulators,Prothrombin OS=Homo sapiens GN=F2 PE=1 SV=1
F2,Tubulointerstitial,,Homo sapiens,Randles_2021,-0.0498626485175967,0.5765179746118104,0.5266553260942137,ECM Regulators,Prothrombin OS=Homo sapiens GN=F2 PE=1 SV=1
SERPINA3,Glomerular,,Homo sapiens,Randles_2021,0.2269824720027329,0.2021450451624075,0.4291275171651405,ECM Regulators,Alpha-1-antichymotrypsin OS=Homo sapiens GN=SERPINA3 PE=1 SV=1
SERPINA3,Tubulointerstitial,,Homo sapiens,Randles_2021,-0.1423376875621788,0.1310892944850026,-0.0112483930771761,ECM Regulators,Alpha-1-antichymotrypsin OS=Homo sapiens GN=SERPINA3 PE=1 SV=1
F13A1,Glomerular,,Homo sapiens,Randles_2021,-0.1634606965921707,0.914731645761636,0.7512709491694652,ECM Regulators,Coagulation factor XIII A chain OS=Homo sapiens GN=F13A1 PE=1 SV=4
