Gene_Symbol,Protein_Name,Matrisome_Category,Matrisome_Division,N_Tissues,N_Measurements,Direction_Consistency,Predominant_Direction,N_Upregulated,N_Downregulated,Mean_Zscore_Delta,Abs_Mean_Zscore_Delta,Median_Zscore_Delta,Std_Zscore_Delta,N_Strong_Effects,Strong_Effect_Rate,T_Statistic,P_Value,Universality_Score
SERPINE1,Plasminogen activator inhibitor 1,ECM Regulators,Matrisome-associated,4,4,0.5,DOWN,2,2,0.082487569071835,0.2912621479329408,0.0669381391741421,0.4210701093193686,1,0.25,0.3917996896296942,0.7213794846219302,0.3054385531630257
SERPINA5,Plasma serine protease inhibitor,ECM Regulators,Matrisome-associated,6,6,0.8333333333333334,DOWN,1,5,-0.1561965206973348,0.1995489013346603,-0.1743631639890645,0.1783734572617557,0,0.0,-2.1449479153453286,0.0847849731909114,0.5588802484364602
SERPING1,Plasma protease C1 inhibitor,ECM Regulators,Matrisome-associated,9,11,0.6363636363636364,UP,7,4,0.1312701030486123,0.3689692991668984,0.197432878053725,0.4411791936890656,2,0.1818181818181818,0.9868409123354496,0.3469957600659639,0.5172303982243527
CLEC3B,Tetranectin,ECM-affiliated Proteins,Matrisome-associated,5,5,0.6,UP,3,2,0.0272719928883743,0.3325466855200863,0.0016763413513338,0.422984350510916,1,0.2,0.1441708893169137,0.8923375154888133,0.3230224595718931
COL5A2,Collagen alpha-2(V) chain,Collagens,Core matrisome,10,12,0.8333333333333334,DOWN,2,10,-0.3188882451115848,0.3319290810702744,-0.2693769929539945,0.3401615959074762,3,0.25,-3.247460319535755,0.0077702254404654,0.6581094512542285
S100A9,Protein S100-A9,Secreted Factors,Matrisome-associated,10,10,0.6,UP,6,4,0.2239860681215156,0.4071070412676897,0.2161125970668396,0.4435582989056633,4,0.4,1.596872702319262,0.1447585169365037,0.5682295889747624
S100A6,Protein S100-A6,Secreted Factors,Matrisome-associated,6,6,0.6666666666666666,UP,4,2,0.0375331886952646,0.1474476974445374,0.0669050168944973,0.1840244393291386,0,0.0,0.499592125144646,0.6385664022559705,0.3929138422344361
SERPINE2,Glia-derived nexin,ECM Regulators,Matrisome-associated,6,6,0.8333333333333334,UP,5,1,0.2301296672494309,0.3798875662849645,0.2387989047612434,0.4128232747969157,1,0.1666666666666666,1.3654759647815249,0.2303262097711627,0.5478058676154404
CTSD,Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain,ECM Regulators,Matrisome-associated,8,8,0.75,UP,6,2,0.2831770773049767,0.3793490723290717,0.3903407566639469,0.3357717025267903,2,0.25,2.385387811207348,0.0484964633555224,0.594412085150038
ANXA2;ANXA2P2,Annexin A2;Putative annexin A2-like protein,ECM-affiliated Proteins,Matrisome-associated,3,3,0.6666666666666666,DOWN,1,2,-0.253470781787074,0.3171527265215269,-0.3182372869541592,0.3215403549373753,1,0.3333333333333333,-1.365378452651527,0.3054236853548284,0.4235717120517752
DCN,Decorin,Proteoglycans,Core matrisome,10,10,0.6,UP,6,4,0.0186294374682447,0.2582169207668651,0.0783195075198708,0.313938612217254,1,0.1,0.1876527818966273,0.8553113634096566,0.4112300076300492
CTSB,Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain,ECM Regulators,Matrisome-associated,9,9,0.5555555555555556,DOWN,4,5,0.1435097671118264,0.3145532802101764,-0.0290912286613251,0.4018572411649842,2,0.2222222222222222,1.071348870278845,0.3152660626676399,0.4938923115659209
LAMB1,Laminin subunit beta-1,ECM Glycoproteins,Core matrisome,10,10,0.8,DOWN,2,8,-0.3638260314937579,0.4476186854881511,-0.2532663884700132,0.6879915970163697,1,0.1,-1.6722863136263757,0.1287990442490192,0.6354726479343055
THBS1,Thrombospondin-1,ECM Glycoproteins,Core matrisome,7,7,0.5714285714285714,DOWN,3,4,-0.1209513487768365,0.3129362108550315,-0.0466852714828034,0.3809662767558938,1,0.1428571428571428,-0.8399882328860101,0.4331046844434024,0.4396306673900999
COL1A2,Collagen alpha-2(I) chain,Collagens,Core matrisome,10,10,0.7,DOWN,3,7,-0.1482311613822332,0.2250787330100348,-0.0804944618797349,0.2751848150296896,1,0.1,-1.7033937360579905,0.1226947893977688,0.5844395036567439
ANXA6,Annexin A6,ECM-affiliated Proteins,Matrisome-associated,10,12,0.75,DOWN,3,9,-0.0887985613162815,0.3273154445561062,-0.1146336935408738,0.4687934222710144,2,0.1666666666666666,-0.6561679943960665,0.525203944635916,0.5291613437637215
SERPINA6,Corticosteroid-binding globulin,ECM Regulators,Matrisome-associated,6,6,0.8333333333333334,UP,5,1,0.805316833496875,0.8420350611976183,0.7782757129025198,0.7560848697067174,4,0.6666666666666666,2.6089866394316212,0.0477281820113675,0.6305402226586648
MMP2,72 kDa type IV collagenase;PEX,ECM Regulators,Matrisome-associated,5,5,0.6,UP,3,2,0.436261963271017,0.6717281465443553,0.6075158494174555,0.7501062748871885,3,0.6,1.3004975941818666,0.2632970061014283,0.4827487075517969
MMP3,Stromelysin-1,ECM Regulators,Matrisome-associated,3,3,1.0,UP,3,0,0.2791378212647263,0.2791378212647263,0.4107152999992891,0.2325787024913839,0,0.0,2.0787840140371285,0.173191959886914,0.546216566619678
INHBA,Inhibin beta A chain,Secreted Factors,Matrisome-associated,3,3,1.0,UP,3,0,0.3049677593393265,0.3049677593393265,0.1376485029455975,0.3759973898377219,1,0.3333333333333333,1.4048492572624718,0.2952459598248412,0.5243887604395526
SERPINF2,Alpha-2-antiplasmin,ECM Regulators,Matrisome-associated,10,10,0.6,UP,6,4,0.521004156470529,0.6283144136521013,0.1971549088601702,0.787460544615956,4,0.4,2.09224426052373,0.0659428600764335,0.6061134575852175
ANXA5,Annexin A5,ECM-affiliated Proteins,Matrisome-associated,9,9,0.6666666666666666,DOWN,3,6,0.0610471681042979,0.425226711367379,-0.0549799424304322,0.7072464739628022,2,0.2222222222222222,0.2589500422486747,0.8022121468119245,0.4409037711861177
LGALS1,Galectin-1,ECM-affiliated Proteins,Matrisome-associated,10,10,0.5,DOWN,5,5,-0.0559083525359721,0.4311183227549121,0.0180107721561027,0.5822243820451228,4,0.4,-0.3036591041074279,0.7682904446307797,0.4159243315846294
SPARC,SPARC,ECM Glycoproteins,Core matrisome,7,7,0.7142857142857143,DOWN,2,5,-0.057609352805623,0.30103748161326,-0.1299093396576097,0.4293104831334036,2,0.2857142857142857,-0.3550344720273155,0.7347103940356645,0.4209767954046132
ANXA4,Annexin A4,ECM-affiliated Proteins,Matrisome-associated,10,10,0.8,DOWN,2,8,-0.1605981245102132,0.3469699537916441,-0.2015016770776712,0.4184913725786039,2,0.2,-1.2135396203614643,0.2558091815525518,0.6000057473039482
SPP1,Osteopontin,ECM Glycoproteins,Core matrisome,3,3,1.0,DOWN,0,3,-0.4515091280463336,0.4515091280463336,-0.3050124798584225,0.3383566888139162,1,0.3333333333333333,-2.311279119673214,0.1470081622594021,0.5686904568233411
C7,Complement component C7,Secreted Factors,Matrisome-associated,6,6,0.8333333333333334,UP,5,1,0.8861453129831608,0.9135383547470932,0.7510671406860893,0.7778992069938816,5,0.8333333333333334,2.7903407475574324,0.0384294064375506,0.6395503071283757
HAPLN1,Hyaluronan and proteoglycan link protein 1,Proteoglycans,Core matrisome,5,5,0.6,DOWN,2,3,-0.0123407683569022,0.2904638454722166,-0.1281761240055716,0.416876519054626,1,0.2,-0.0661941742441866,0.9503996361498476,0.3072017514348992
LAMC1,Laminin subunit gamma-1,ECM Glycoproteins,Core matrisome,11,13,0.6923076923076923,DOWN,4,9,-0.0276757723218035,0.2646394323857154,-0.1013805746549781,0.3320649213990187,2,0.1538461538461538,-0.3005027323389678,0.7689362675436906,0.4744866444809646
COL11A1,Collagen alpha-1(XI) chain,Collagens,Core matrisome,6,6,1.0,DOWN,0,6,-0.3848630089900379,0.3848630089900379,-0.3935559913695547,0.1623558898940146,1,0.1666666666666666,-5.8064908733103024,0.0021367796762476,0.6439412979049308
COL6A1,Collagen alpha-1(VI) chain,Collagens,Core matrisome,10,10,0.8,DOWN,2,8,-0.1882185947915142,0.2067208018697774,-0.2165626701448132,0.1762720747899682,0,0.0,-3.3765952902448233,0.0081709983212934,0.6355084687580133
COL6A2,Collagen alpha-2(VI) chain,Collagens,Core matrisome,10,10,0.7,DOWN,3,7,-0.1168920337988713,0.2468509982705623,-0.1714726685805418,0.2864051697139843,1,0.1,-1.290636853737523,0.2289975037458253,0.5653561873131853
COL6A3,Collagen alpha-3(VI) chain,Collagens,Core matrisome,10,10,1.0,DOWN,0,10,-0.2369376130297511,0.2369376130297511,-0.1386287803371073,0.2935659573892598,1,0.1,-2.5522799959536937,0.0310782725350285,0.6939486950312634
VCAN,Versican core protein,Proteoglycans,Core matrisome,10,12,0.75,DOWN,3,9,-0.1628016036964313,0.2417885390396027,-0.1782966961976562,0.2585222728781935,1,0.0833333333333333,-2.1814805046896004,0.0517314282110785,0.6153031564970387
P4HA1,Prolyl 4-hydroxylase subunit alpha-1,ECM Regulators,Matrisome-associated,6,6,0.8333333333333334,DOWN,1,5,-0.2589751682382858,0.2820061786622898,-0.2512967835536085,0.2505120774365144,2,0.3333333333333333,-2.532241258491778,0.0523866529695873,0.5736056402134879
COL11A2,Collagen alpha-2(XI) chain,Collagens,Core matrisome,5,5,0.8,DOWN,1,4,-0.5354841120873555,0.7913010413229076,-0.7750364855677185,0.7162884479644803,4,0.8,-1.6716434264731015,0.1699130676789006,0.5733827847141577
NID1,Nidogen-1,ECM Glycoproteins,Core matrisome,10,10,0.5,DOWN,5,5,-0.1104290606170093,0.2000382640531593,-0.0299879051610444,0.2899229371042425,1,0.1,-1.204483353095274,0.2591208770677285,0.4946502392270644
TIMP2,Metalloproteinase inhibitor 2,ECM Regulators,Matrisome-associated,3,3,0.6666666666666666,DOWN,1,2,-0.0441839149609724,0.0777658177065171,-0.0824415603284977,0.0823839223953738,0,0.0,-0.9289286472964088,0.4509920574026232,0.3705193467607153
ACAN,Aggrecan core protein;Aggrecan core protein 2,Proteoglycans,Core matrisome,5,5,0.6,UP,3,2,0.041743985528788,0.1065232684153354,0.0681423338839402,0.1233435305481458,0,0.0,0.7567676138287803,0.4913166815096752,0.3806242846572455
LGALS3,Galectin-3,ECM-affiliated Proteins,Matrisome-associated,10,10,0.6,DOWN,4,6,-0.1779895227943936,0.4057232854677137,-0.0964836969728122,0.5443299047881727,4,0.4,-1.0340278693594411,0.3281073940026857,0.5314214379815283
IGFBP3,Insulin-like growth factor-binding protein 3,ECM Glycoproteins,Core matrisome,4,4,1.0,UP,4,0,0.0936559833816963,0.0936559833816963,0.0859093538905558,0.0601749945846862,0,0.0,3.112787430330091,0.0527668323091478,0.5694004671704578
ITIH2,Inter-alpha-trypsin inhibitor heavy chain H2,ECM Regulators,Matrisome-associated,7,7,0.7142857142857143,UP,5,2,0.6666541582062119,1.062881068915255,0.2511965449163372,1.3263388423375575,4,0.5714285714285714,1.329826931700348,0.2318939246761481,0.5977244480067161
ITIH1,Inter-alpha-trypsin inhibitor heavy chain H1,ECM Regulators,Matrisome-associated,10,10,0.7,UP,7,3,0.5338200839586703,0.7448794250647542,0.2892304122761128,0.9865262258814256,4,0.4,1.711142878683703,0.1212158807719201,0.6367153545873856
ANXA7,Annexin A7,ECM-affiliated Proteins,Matrisome-associated,10,10,0.8,DOWN,2,8,-0.225399630774767,0.3716523928060614,-0.2037227328523244,0.4446962800085605,2,0.2,-1.6028382719898755,0.1434339805906877,0.6249490313977628
OGN,Mimecan,Proteoglycans,Core matrisome,10,10,0.8,UP,8,2,0.1544387370502403,0.2503835740313492,0.1813763347399908,0.2562913497593241,1,0.1,1.9055585313246644,0.0890925164228187,0.6236904423538654
COL9A1,Collagen alpha-1(IX) chain,Collagens,Core matrisome,3,3,1.0,DOWN,0,3,-0.8655147365797496,0.8655147365797496,-0.8291253669870793,0.1731134525465237,3,1.0,-8.659728498297017,0.0130740133032091,0.6368778474679214
COL5A1,Collagen alpha-1(V) chain,Collagens,Core matrisome,10,10,0.8,DOWN,2,8,-0.3305389299163704,0.373521457335352,-0.2906142534134652,0.3207521365672764,4,0.4,-3.258765117130441,0.0098581844510401,0.6518510970786213
PTN,Pleiotrophin,Secreted Factors,Matrisome-associated,3,3,0.6666666666666666,DOWN,1,2,-0.1705935744517522,0.3694134008373315,-0.1443373224528046,0.4824875476355575,1,0.3333333333333333,-0.6124028274785746,0.6026236860923043,0.3693577793358605
BGN,Biglycan,Proteoglycans,Core matrisome,10,11,0.5454545454545454,DOWN,5,6,0.0661844688257841,0.1651034663540924,-0.0024775106625811,0.2806252478424249,1,0.0909090909090909,0.7822141868266871,0.4522126767275807,0.4661747631615508
TGM2,Protein-glutamine gamma-glutamyltransferase 2,ECM Regulators,Matrisome-associated,9,9,0.6666666666666666,DOWN,3,6,-0.0932173588157061,0.1441589640178889,-0.0760084037021099,0.1584514074151093,0,0.0,-1.7649074944123972,0.1155796063378309,0.5501235045459874
TNXB,Tenascin-X,ECM Glycoproteins,Core matrisome,8,8,0.875,DOWN,1,7,-0.6400983568310905,0.7047557533071689,-0.5040375891732015,0.6529983223478175,4,0.5,-2.772551617678093,0.0275925278042938,0.6686335403580934
FBLN1,Fibulin-1,ECM Glycoproteins,Core matrisome,9,11,0.5454545454545454,DOWN,5,6,0.031476290506239,0.2274787755982344,-0.1152935877260124,0.2694426512623576,1,0.0909090909090909,0.3874481078341628,0.7065430062213072,0.4038991693636903
S100A1,Protein S100-A1,Secreted Factors,Matrisome-associated,4,4,0.75,DOWN,1,3,-0.1940873824627725,0.2412572439532571,-0.2550139538475461,0.2090306857926465,0,0.0,-1.8570228741946784,0.1603028033941915,0.487653399010605
IGFBP5,Insulin-like growth factor-binding protein 5,ECM Glycoproteins,Core matrisome,3,3,1.0,DOWN,0,3,-0.2148671460561012,0.2148671460561012,-0.116846889546705,0.1948904698639782,0,0.0,-1.9095895972041927,0.1963829790194228,0.5351512952723138
TNC,Tenascin,ECM Glycoproteins,Core matrisome,9,10,0.6,DOWN,4,6,-0.1542580040757731,0.2662055230364394,-0.0836305260789128,0.3410931081666324,2,0.2,-1.4301275180050677,0.186465008921272,0.5281510799311543
