Protein_ID,Protein_Name,Gene_Symbol,Canonical_Gene_Symbol,Matrisome Category,Matrisome Division,Tissue,Tissue_Compartment,Species,Abundance_Young,Abundance_Old,Method,Study_ID,Match_Level,Match_Confidence,Zscore_Young,Zscore_Old,Zscore_Delta
F8VQJ3,Laminin subunit gamma-1,Lamc1,Lamc1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,37.377152499999994,37.61648,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,2.5895331868772655,2.593927888820271,0.004394701943005508
F8WIT2,Annexin,Anxa6,Anxa6,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,29.434402499999997,29.3791825,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,0.05032856488582738,-0.031047098622821734,-0.08137566350864911
F8WJ05,Inter-alpha-trypsin inhibitor heavy chain H1,Itih1,Itih1,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,29.131612500000003,28.9842625,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.04646986984934295,-0.1568960341555038,-0.11042616430616084
G3UXC7,,Adamtsl3,Adamtsl3,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,25.252455,25.96857,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-1.2865913206608077,-1.1179050765410343,0.1686862441197734
G3X8T9,,Serpina3n,Serpina3n,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,29.6726775,30.730575,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,0.12650230588296493,0.3996003935574953,0.27309808767453037
G5E837,,Hcfc2,Hcfc2,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,25.551035,25.54593,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-1.1911387738685508,-1.252587528970724,-0.06144875510217318
G5E874,,Lamc2,Lamc2,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,35.9102725,35.61667,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,2.120588743717555,1.9566495545560807,-0.1639391891614741
H3BJ97,Tubulointerstitial nephritis antigen-like,Tinagl1,Tinagl1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,33.096707499999994,33.3959975,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,1.2211247983241642,1.2489890909388912,0.027864292614727004
H7BX38,Stromal cell-derived factor 1,Cxcl12,Cxcl12,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,26.624575,28.124632499999997,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.8479405453088337,-0.4308338454893438,0.4171066998194899
M0QWP1,,Agrn,Agrn,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,34.0038675,34.2448425,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,1.5111332796292243,1.5194900523544674,0.008356772725243156
O08538,Angiopoietin-1,Angpt1,Angpt1,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,24.92710333333333,25.742425,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-1.3906024573291689,-1.1899705772146856,0.2006318801144833
O08573,Galectin-9;Galectin,Lgals9,Lgals9,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,30.1750125,29.97123,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,0.2870929519171565,0.1576203470871593,-0.1294726048299972
O08665,Semaphorin-3A,Sema3a,Sema3a,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,26.207955,25.28767666666667,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.9811291046382948,-1.3348849742704465,-0.35375586963215166
O08677,Kininogen-1;Kininogen-1 heavy chain;Bradykinin;Kininogen-1 light chain,Kng1,Kng1,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,29.4394325,30.27481,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,0.051936597273680524,0.2543620159036582,0.20242541862997768
O08717,Inhibin beta E chain,Inhbe,Inhbe,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,24.66272,25.280533333333334,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-1.4751227282652424,-1.3371613363087211,0.13796139195652124
O08797,,Serpinb9,Serpinb9,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,31.09974,31.1124,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,0.5827175582666686,0.5212763527638317,-0.06144120550283694
O08800,Serpin B8,Serpinb8,Serpinb8,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,25.3466725,25.2951175,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-1.2564710837815811,-1.3325138080735568,-0.07604272429197567
O08804,,Serpinb6b,Serpinb6b,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,31.060145,30.9071225,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,0.5700594981479747,0.45586068664459145,-0.11419881150338329
O08999,Latent-transforming growth factor beta-binding protein 2,Ltbp2,Ltbp2,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,28.011705,26.40065,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.40449124786110047,-0.980214384590864,-0.5757231367297635
O09118,Netrin-1,Ntn1,Ntn1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,28.35846,28.3653075,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.2936377149287224,-0.3541380778418995,-0.060500362913177064
O35206,Collagen alpha-1(XV) chain;Restin,Col15a1,Col15a1,Collagens,Core matrisome,Lung,Lung,Mus musculus,28.281355,28.35791,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.3182872849616013,-0.3564954350296919,-0.038208150068090585
O35452,,Tnxb,Tnxb,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,32.1990275,32.1152575,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,0.9341469625532711,0.8408563914196776,-0.09329057113359351
O35598,Disintegrin and metalloproteinase domain-containing protein 10,Adam10,Adam10,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,27.8755625,28.13113,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.4480144187086615,-0.4287632907982068,0.01925112791045469
O35608,Angiopoietin-2,Angpt2,Angpt2,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,25.8904525,26.8247525,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-1.0826309541858492,-0.8450658781041086,0.2375650760817406
O35632,Hyaluronidase-2;Hyaluronidase,Hyal2,Hyal2,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,28.130832499999997,28.348695,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.36640757424600756,-0.3594319739260096,0.006975600319997943
O35639,Annexin A3;Annexin,Anxa3,Anxa3,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,33.8348575,33.9483975,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,1.457102752020679,1.4250220899975703,-0.032080662023108664
O35640,Annexin A8;Annexin,Anxa8,Anxa8,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,26.8718775,26.728119999999997,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.7688808177547701,-0.8758597028353509,-0.10697888508058073
O35988,Syndecan-4;Syndecan,Sdc4,Sdc4,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,26.2474425,,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.9685054110169563,,
O54824,Pro-interleukin-16;Interleukin-16,Il16,Il16,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,28.68091,28.572337500000003,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.190554207281983,-0.2881639435277811,-0.09760973624579808
O88207,Collagen alpha-1(V) chain,Col5a1,Col5a1,Collagens,Core matrisome,Lung,Lung,Mus musculus,30.615365,30.123490000000004,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,0.42786851495331957,0.20614095613255304,-0.22172755882076653
O88322,Nidogen-2,Nid2;NID-2,Nid2,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,34.69604749999999,34.0290125,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,1.7324151599918212,1.4507116269619362,-0.28170353302988493
O88632,Semaphorin-3F,Sema3f,Sema3f,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,27.5790825,27.8479825,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.5427956199712001,-0.5189937462670106,0.023801873704189513
P02463,Collagen alpha-1(IV) chain;Arresten,Col4a1,Col4a1,Collagens,Core matrisome,Lung,Lung,Mus musculus,33.097265,33.8211325,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,1.2213030245778893,1.3844666236231984,0.16316359904530908
P02469,Laminin subunit beta-1,Lamb1,Lamb1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,35.340244999999996,34.27507,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,1.9383575942211928,1.529122632874103,-0.4092349613470898
P06797,Cathepsin L1;Cathepsin L1 heavy chain;Cathepsin L1 light chain,Ctsl,Ctsl,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,26.2849225,26.25424,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.9565234917531945,-1.0268707774079915,-0.07034728565479698
P07091,Protein S100-A4;Protein S100,S100a4,S100a4,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,30.0436725,30.421225,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,0.24510508435839418,0.30102000206798973,0.05591491770959556
P07356,Annexin A2;Annexin,Anxa2,Anxa2,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,35.50565,35.582265,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,1.9912356453370545,1.9456857324478007,-0.04554991288925381
P07758,Alpha-1-antitrypsin 1-1,Serpina1a,Serpina1a,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,26.77691,27.6647125,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.7992408208946109,-0.5773962946694078,0.22184452622520312
P08121,Collagen alpha-1(III) chain,Col3a1,Col3a1,Collagens,Core matrisome,Lung,Lung,Mus musculus,31.166602500000003,30.452095,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,0.604092720400427,0.31085732770329294,-0.2932353926971341
P08122,Collagen alpha-2(IV) chain;Canstatin,Col4a2,Col4a2,Collagens,Core matrisome,Lung,Lung,Mus musculus,34.87765,35.560297500000004,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,1.7904713631160827,1.9386853615085888,0.14821399839250615
P08207,Protein S100-A10,S100a10,S100a10,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,32.4475825,32.32058000000001,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,1.0136070997625615,0.906286397663753,-0.10732070209880851
P10107,Annexin A1;Annexin,Anxa1,Anxa1,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,34.1546575,34.219522500000004,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,1.5593390855465816,1.5114213421152123,-0.04791774343136934
P10493,Nidogen-1,Nid1,Nid1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,36.0811825,36.362367500000005,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,2.1752266791863226,2.194280559834069,0.01905388064774627
P10605,Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain,Ctsb,Ctsb,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,30.293345,30.232194999999997,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,0.3249224732959983,0.24078191768699295,-0.08414055560900538
P11087,Collagen alpha-1(I) chain,Col1a1,Col1a1,Collagens,Core matrisome,Lung,Lung,Mus musculus,34.808572500000004,34.72928,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,1.768388091292645,1.6738654795476067,-0.0945226117450384
P11214,Tissue-type plasminogen activator;Tissue-type plasminogen activator chain A;Tissue-type plasminogen activator chain B,Plat,Plat,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,27.3690425,28.3853325,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.6099429604770803,-0.34775672229130183,0.26218623818577846
P14069,Protein S100-A6;Protein S100,S100a6,S100a6,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,32.595915,33.217725,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,1.0610272715659712,1.1921790930665375,0.13115182150056626
P14824,Annexin A6;Annexin,Anxa6,Anxa6,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,34.247060000000005,34.12661,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,1.5888790880751238,1.481812967703481,-0.10706612037164276
P15655,Fibroblast growth factor 2;Fibroblast growth factor,Fgf2,Fgf2,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,31.2505675,30.448085,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,0.630935352497056,0.30957946324596947,-0.32135588925108655
P16045,Galectin-1,Lgals1,Lgals1,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,31.6624125,31.6854225,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,0.7625973999672727,0.7038811123639445,-0.058716287603328254
P16110,Galectin-3;Galectin,Lgals3,Lgals3,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,31.9548325,32.3449525,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,0.8560806665390188,0.9140531686079169,0.057972502068898035
P18242,Cathepsin D,Ctsd,Ctsd,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,31.1806875,31.219505,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,0.6085955307747614,0.5554074432131075,-0.05318808756165383
P18828,Syndecan-1;Syndecan,Sdc1,Sdc1,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,25.7462625,26.17859,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-1.1287268170098006,-1.0509781205991373,0.07774869641066329
P19137,Laminin subunit alpha-1,Lama1,Lama1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,29.1343825,28.8444275,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.04558433312680836,-0.20145717539983893,-0.15587284227303055
P19221,Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain;Prothrombin,F2,F2,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,26.232155,26.9028475,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,-0.9733926466291426,-0.8201793881303798,0.15321325849876277
P19324,Serpin H1,Serpinh1,Serpinh1,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,34.426615,33.924234999999996,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1,1.646280729307903,1.417322239635956,-0.22895848967194699
