Protein,Variance,Range,CV,N_Observations,N_Tissues,N_Studies,Matrisome_Category
SERPINB1,0.14588915428249713,0.9780563612931202,16.241765665679655,8,8,5,ECM Regulators
SPARC,0.27390501894776637,1.3801104148756598,15.025516288819539,5,5,3,ECM Glycoproteins
CLEC3B,0.1789157607771414,0.9486430032648343,14.961249890694832,5,5,3,ECM-affiliated Proteins
Adam9,0.011822907312266859,0.3036946791284064,14.2992256272514,5,5,4,ECM Regulators
SLPI,0.17307315908520052,1.3974707936510287,14.110889298198904,9,7,4,ECM Regulators
COL4A2,0.18407715295404845,1.377312493227938,13.893468501853494,7,7,5,Collagens
LAMC1,0.17153402961100062,1.0324580511262669,13.81596366073961,8,8,5,ECM Glycoproteins
Ogn,0.03576908868329045,0.5944704249014268,13.68038729692753,8,8,5,Proteoglycans
F9,0.08880438588492916,0.7909771280441715,13.509112614118417,6,5,5,ECM Regulators
S100A10,0.404368958070269,1.4312414062128875,12.74188723273154,6,6,4,Secreted Factors
Fgg,0.090597621898682,0.9256238636453655,12.388921829933732,10,10,6,ECM Glycoproteins
SEMA3B,0.19342051868724097,1.0811939280295582,11.643107063200022,5,5,2,ECM-affiliated Proteins
Anxa5,0.13222444959740606,1.2545937571721373,11.596780069651281,10,10,6,ECM-affiliated Proteins
Lama2,0.07430869859950545,0.955451307569047,11.516158840475919,10,10,6,ECM Glycoproteins
Serpina1e,0.5314675130965101,2.1964335095625387,11.000111164814316,8,8,4,ECM Regulators
ABI3BP,0.18254503524960233,1.128907528742836,10.567493732490076,6,6,4,ECM Glycoproteins
DCN,0.10933363223004065,0.9706668096223536,10.135027845874921,8,8,5,Proteoglycans
Thbs4,0.09377589261712786,0.9953977361236579,10.119707729594028,8,8,4,ECM Glycoproteins
PAPLN,0.21928520038857638,1.5871358271127787,9.845524248746287,7,3,2,ECM Glycoproteins
PRSS2,0.0646078820795725,0.5578258604306671,9.745214969842458,5,5,2,ECM Regulators
LGALS1,0.4342879794271916,1.8897626823426708,9.56912670613297,8,8,5,ECM-affiliated Proteins
Vwa1,0.024255765984923894,0.5443077748314353,9.099316859025413,10,10,6,ECM Glycoproteins
Serpinb1a,0.033294432817893134,0.6224252738267617,8.827231151960236,10,10,6,ECM Regulators
VWF,0.42587282387790293,1.617884038470992,8.161490408902463,6,6,4,ECM Glycoproteins
Serpina6,0.06554043396197103,0.5611547882765231,7.911217470480238,5,5,3,ECM Regulators
ANXA6,0.34396667017596305,1.9657694168219202,7.885700918788983,8,8,5,ECM-affiliated Proteins
IGFBP7,0.23584321342833,1.3275135900184476,7.873583600643993,6,6,3,ECM Glycoproteins
TINAGL1,0.17897282064303696,1.2549099622337452,7.872304461715341,8,5,4,ECM Glycoproteins
PXDN,0.1549856570617529,1.0189373790562346,7.774082892768365,8,7,4,ECM Glycoproteins
Prg2,0.0324533394500652,0.660464915323554,7.6430095832523035,9,3,2,Proteoglycans
Ctsz,0.020570860748298073,0.4506783672998813,7.311832546466906,9,9,5,ECM Regulators
Col1a1,0.19337516063990762,1.4479188443927642,7.2464560947764385,10,10,6,Collagens
Ctsc,0.0993829967405698,0.9339646196761895,7.1635973373145685,6,6,4,ECM Regulators
Spon1,0.015222067591475133,0.2774455743338424,7.151415266206442,5,5,4,ECM Glycoproteins
Dpt,0.08936771683388708,0.804847261782865,7.025831034216983,8,8,5,ECM Glycoproteins
COL2A1,0.6443243703519267,2.265520243971946,7.007081480588055,6,6,3,Collagens
ANXA5,0.6483898374591036,2.7179218061087793,6.82538304163741,7,7,5,ECM-affiliated Proteins
S100a13,0.020400198566597534,0.3556281773527755,6.524510861560275,5,5,4,Secreted Factors
Mbl2,0.21035364524923753,1.2349931963019212,6.489628785104322,6,6,4,ECM-affiliated Proteins
COL1A1,0.1516984845773727,0.9588752086478529,6.448220541356548,8,8,5,Collagens
Gpc4,0.023951720410917712,0.49426254390942603,6.388881102457405,7,7,4,ECM-affiliated Proteins
Agrn,0.037281451625660544,0.6151623974760752,6.172178285942089,8,8,6,ECM Glycoproteins
SERPINB6,0.47984559086780415,1.8709968559189691,6.14176628145847,5,5,4,ECM Regulators
Col12a1,0.2774968635212376,2.005544290260927,6.131198991793849,9,9,5,Collagens
COL18A1,0.5709923322784056,3.2707892201601587,5.84119711077233,12,8,5,Collagens
Col6a1,0.1739751727272043,1.5054397512928688,5.80852900227544,10,10,6,Collagens
MATN2,0.33052060912250364,1.7249654228373879,5.557358790111664,9,7,4,ECM Glycoproteins
Hmcn2,0.17370274487822868,1.130956419965412,5.1372373271543434,5,5,3,ECM Glycoproteins
BGN,0.11138451754422583,1.092189656981936,5.060614885100474,8,8,5,Proteoglycans
AGT,0.9018201984276494,3.0381480702791404,4.99165675290344,8,8,5,ECM Regulators
S100a10,0.04450175531697326,0.5781900467978942,4.970901128274605,6,6,5,Secreted Factors
S100a9,0.02635813675602213,0.4640197467070234,4.914935836618772,6,6,4,Secreted Factors
Serping1,0.03340653340680228,0.49136511943495953,4.875756455454004,5,5,3,ECM Regulators
PRELP,0.06380025528649076,0.7568066834467513,4.8213325628286805,8,8,5,Proteoglycans
COL4A1,0.04674822648005857,0.5018525168154052,4.467184120622925,6,6,5,Collagens
F13A1,0.6897764326378265,2.286306084055976,4.303479301926608,7,7,4,ECM Regulators
Pzp,0.06196188406917504,0.7115598949119352,4.168559383699696,6,6,3,ECM Regulators
Gpc1,0.032651729491424655,0.4041079796134801,4.087435723375847,9,9,5,ECM-affiliated Proteins
CPN2,0.4858209264162322,1.4429696545855841,4.008840264562531,5,5,3,ECM Regulators
COL6A1,0.1720076047154529,1.3874033511468566,3.8833683681057747,9,9,6,Collagens
Col6a2,0.13863635732383991,1.2580337538690611,3.8787233890824826,10,10,6,Collagens
Serpina3k,0.13670901142729766,0.8756756506872925,3.872221283334256,5,5,4,ECM Regulators
SERPING1,0.2147792137003831,1.5731523517034351,3.8224579979923363,10,8,5,ECM Regulators
Ctsl,0.0677086850306854,0.8827695430104212,3.819280405558866,9,9,5,ECM Regulators
FBN1,0.1539945476010438,1.071252078140982,3.811422853588106,10,8,5,ECM Glycoproteins
Tinagl1,0.04886706588461277,0.8252581744973249,3.8113276573712516,10,10,6,ECM Glycoproteins
SMOC2,0.029651972722520646,0.40100124555939776,3.7862043360534594,5,5,2,ECM Glycoproteins
Col5a1,0.23180383734063273,1.5015229561286167,3.7426777277979335,7,7,5,Collagens
Itih5,0.017883440282633476,0.39397469056824147,3.6944197574174584,9,9,6,ECM Regulators
Itih2,0.05270610489973644,0.6257483565640946,3.692025529298665,6,6,5,ECM Regulators
Plxdc2,0.007583380339162926,0.228996595959905,3.6547155507653413,5,5,4,ECM-affiliated Proteins
LUM,0.21988806415687703,1.3350409552580966,3.5680328354023993,8,8,5,Proteoglycans
THBS1,0.16111107709244285,1.0449827859066962,3.527970588256843,5,5,3,ECM Glycoproteins
Anxa4,0.028212346652802412,0.4704041535538086,3.5172143036349657,6,6,5,ECM-affiliated Proteins
Hspg2,0.010014103397121056,0.2959011373878334,3.4099524867443454,7,6,5,Proteoglycans
FBLN5,0.2115540930936747,1.3575277061398565,3.4022981194869426,7,7,5,ECM Glycoproteins
Serpinf2,0.10314955191134505,1.0325105345447616,3.3195918860799303,8,8,5,ECM Regulators
LTBP4,0.139801586114272,1.0278595989133097,3.300267683694295,6,6,3,ECM Glycoproteins
CST3,0.033873222119856654,0.43024257536824906,3.2657065563484378,6,6,3,ECM Regulators
Lamc1,0.043853712471742114,0.6195077427246308,3.249199149791628,7,6,5,ECM Glycoproteins
FBLN1,0.07233768424553907,0.7464299124084559,3.17265361186753,9,7,4,ECM Glycoproteins
Ltbp1,0.05104692433262169,0.6894361340756399,3.1611614985522705,6,6,5,ECM Glycoproteins
Vwf,0.04924493238345801,0.5291049747635137,3.1091753285819896,5,5,4,ECM Glycoproteins
SERPINF1,0.7974156669008693,2.532992851580646,3.0270206923558103,10,8,5,ECM Regulators
ACAN,0.015213626528081375,0.3097116484623304,2.885634762932297,5,5,2,Proteoglycans
TIMP1,0.10225025758049025,0.6367140954539772,2.880406653148594,5,5,2,ECM Regulators
POSTN,0.7530099241357997,2.7754955907009418,2.860859245624914,8,8,5,ECM Glycoproteins
Fgf1,0.02375581001656802,0.43682173709164607,2.8428772145264944,6,6,4,Secreted Factors
Cst3,0.04843567381380326,0.8477156186711838,2.8114266296549464,9,9,5,ECM Regulators
Tgfbi,0.03953434806751934,0.6309253975464715,2.7827592145719007,9,9,6,ECM Glycoproteins
Chrdl1,0.02526308897789719,0.36347199741359193,2.7648999936172567,5,3,2,Secreted Factors
COL4A6,0.2483353856508339,1.100818548924014,2.751096693831374,5,3,2,Collagens
CTSG,0.08134723264495398,0.6788005026237054,2.743326079994021,5,5,4,ECM Regulators
Ecm1,0.03371798640341182,0.5694634378723481,2.729784765327221,8,8,5,ECM Glycoproteins
ANXA4,0.22377036026820799,1.614700410394231,2.7030528079420493,8,8,5,ECM-affiliated Proteins
AEBP1,0.2385592530110278,1.5100126007977877,2.695939131959414,8,8,5,ECM Glycoproteins
Dcn,0.03463586045790678,0.5067861899691806,2.6616281007013054,10,10,6,Proteoglycans
Fga,0.03809542235664329,0.48954953649820687,2.620492812674823,10,10,6,ECM Glycoproteins
CTSB,0.20558775445648358,1.0485866117195723,2.6029238285573824,7,7,4,ECM Regulators
LAMA5,0.07795187636173462,0.8150371079808054,2.5518738342555256,8,8,5,ECM Glycoproteins
FN1,0.33864952743383664,1.5818080783098556,2.5314849505584185,8,8,5,ECM Glycoproteins
Tgm2,0.043299806643281605,0.6052661394108658,2.5196240130511605,10,10,6,ECM Regulators
LGALS3,0.35988716381509384,1.7722735149688789,2.502904580873396,8,8,5,ECM-affiliated Proteins
S100a11,0.008849865934976034,0.2820032228013143,2.456333715381608,6,6,5,Secreted Factors
Plxnb1,0.006596787200849798,0.1761574637423019,2.422091813458079,5,5,4,ECM-affiliated Proteins
Anxa1,0.05895343125301736,0.7487824345504784,2.4086844084378853,10,10,6,ECM-affiliated Proteins
TGFBI,0.05313044600919254,0.857185268352486,2.349026271497384,10,8,5,ECM Glycoproteins
Plg,0.004748332763685159,0.154494904538451,2.332741393275135,8,8,5,ECM Regulators
Serpind1,0.0072154953119904965,0.2514091524883748,2.30589882261792,6,6,3,ECM Regulators
C1QB,0.31997621730936304,1.4841739237092608,2.299753197278771,6,6,4,ECM-affiliated Proteins
SERPINH1,0.5798021961803114,2.416449683793111,2.2617008852107734,8,8,5,ECM Regulators
NID1,0.10265935420533993,0.9504558771710018,2.2536946452115387,8,8,5,ECM Glycoproteins
Lgals1,0.027845452549014667,0.5502216709181823,2.2533901502292966,10,10,6,ECM-affiliated Proteins
Fbn1,0.088967318134369,0.8410583818769698,2.2369742581137855,8,8,5,ECM Glycoproteins
Fmod,0.08553801458604013,0.6571058526563358,2.2093202859559162,6,6,2,Proteoglycans
Matn2,0.07319159514256235,0.7495099599641868,2.1986582069867664,5,5,4,ECM Glycoproteins
Tnc,0.17166306561165143,1.453808119531269,2.197805138361952,9,8,4,ECM Glycoproteins
Postn,0.40655041627151983,1.973766340683675,2.1677413088809643,9,8,5,ECM Glycoproteins
Fbln2,0.04317732527276782,0.532092311350555,2.147592866518286,7,7,4,ECM Glycoproteins
FBLN2,0.2795221239351895,1.3059156717749825,2.107407939883314,5,5,3,ECM Glycoproteins
CXCL12,0.8348798189936764,2.4667340086098166,2.09449719387053,7,7,4,Secreted Factors
SERPINC1,2.0397383437648458,3.9936273649848686,2.0615164691720125,8,8,5,ECM Regulators
S100A9,0.19827688036737645,1.194642056868901,2.0552281472246023,11,8,5,Secreted Factors
NID2,0.27466189779735994,1.7508035545967207,2.0283895725454264,8,8,5,ECM Glycoproteins
COL6A2,0.09674094773096642,0.8655164758765839,2.002761376362878,8,8,5,Collagens
