Canonical_Gene_Symbol,Protein_Name,Outlier_Type,Extremity_Metric,Zscore_Delta,Log2_Fold_Change,Zscore_Old,Zscore_Young,Abundance_Old,Abundance_Young,Tissue,Compartment,Matrisome_Category,Matrisome_Division,Species,Study_ID,Direction
SDC1,Syndecan-1,Disappearance,1.9991298536621416,,,,-1.9991298536621416,,22.2438,Intervertebral_disc_OAF,OAF,ECM-affiliated Proteins,Matrisome-associated,Homo sapiens,Tam_2020,Decrease
PCSK5,Proprotein convertase subtilisin/kexin type 5,Disappearance,1.9132020907430949,,,,-1.9132020907430949,,21.6628,Intervertebral_disc_IAF,IAF,ECM Regulators,Matrisome-associated,Homo sapiens,Tam_2020,Decrease
C17orf58,UPF0450 protein C17orf58,New_Arrival,1.8440231800553737,,,-1.8440231800553737,,22.3331,,Intervertebral_disc_OAF,OAF,ECM Regulators,Matrisome-associated,Homo sapiens,Tam_2020,Increase
CRELD2,Cysteine-rich with EGF-like domain protein 2,Disappearance,1.7728664902066862,,,,-1.7728664902066862,,22.8708,Intervertebral_disc_OAF,OAF,ECM Glycoproteins,Core matrisome,Homo sapiens,Tam_2020,Decrease
CXCL10,C-X-C motif chemokine 10;CXCL10(1-73),Disappearance,1.7662353308407852,,,,-1.7662353308407852,,22.4705,Intervertebral_disc_NP,NP,Secreted Factors,Matrisome-associated,Homo sapiens,Tam_2020,Decrease
FREM1,FRAS1-related extracellular matrix protein 1 {ECO:0000305},Disappearance,1.7586164272402676,,,,-1.7586164272402676,,3.6069699504007926,Skin dermis,Skin dermis,ECM-affiliated Proteins,Matrisome-associated,Homo sapiens,LiDermis_2021,Decrease
VCAN,Versican core protein (Fragment) OS=Homo sapiens GN=VCAN PE=1 SV=1,New_Arrival,1.755949850720179,-0.1676103814011758,,1.755949850720179,1.9235602321213547,50.973686832707,,Kidney_Tubulointerstitial,,Proteoglycans,Core matrisome,Homo sapiens,Randles_2021,Increase
FGF2,Fibroblast growth factor 2,Disappearance,1.7404160076730806,,,,-1.7404160076730806,,22.9621,Intervertebral_disc_OAF,OAF,Secreted Factors,Matrisome-associated,Homo sapiens,Tam_2020,Decrease
CLEC14A,C-type lectin domain family 14 member A,New_Arrival,1.7311559577327844,,,-1.7311559577327844,,22.6335,,Intervertebral_disc_OAF,OAF,ECM-affiliated Proteins,Matrisome-associated,Homo sapiens,Tam_2020,Increase
PLXNB2,Plexin-B2 {ECO:0000303|PubMed:29100074},Disappearance,1.723398872190038,,,,-1.723398872190038,,3.728206443235573,Skin dermis,Skin dermis,ECM-affiliated Proteins,Matrisome-associated,Homo sapiens,LiDermis_2021,Decrease
THBS4,Thrombospondin-4,Disappearance,1.7134205102659197,,,,-1.7134205102659197,,3.7625569710388462,Skin dermis,Skin dermis,ECM Glycoproteins,Core matrisome,Homo sapiens,LiDermis_2021,Decrease
COL8A2,Collagen alpha-2(VIII) chain,Disappearance,1.7039904472941187,,,,-1.7039904472941187,,23.065,Intervertebral_disc_OAF,OAF,Collagens,Core matrisome,Homo sapiens,Tam_2020,Decrease
COL6A6,Collagen alpha-6(VI) chain,New_Arrival,1.7013178529436568,,,-1.7013178529436568,,22.878,,Intervertebral_disc_IAF,IAF,Collagens,Core matrisome,Homo sapiens,Tam_2020,Increase
LPA,Apolipoprotein(a),Disappearance,1.69557629443981,,,,-1.69557629443981,,3.82398571420568,Skin dermis,Skin dermis,ECM Regulators,Matrisome-associated,Homo sapiens,LiDermis_2021,Decrease
HMCN2,Hemicentin-2 {ECO:0000305},Disappearance,1.6886485195322012,,,,-1.6886485195322012,,3.847834591044216,Skin dermis,Skin dermis,ECM Glycoproteins,Core matrisome,Homo sapiens,LiDermis_2021,Decrease
CTSH,Pro-cathepsin H;Cathepsin H mini chain;Cathepsin H;Cathepsin H heavy chain;Cathepsin H light chain,New_Arrival,1.6868782895973171,,,-1.6868782895973171,,22.7524,,Intervertebral_disc_OAF,OAF,ECM Regulators,Matrisome-associated,Homo sapiens,Tam_2020,Increase
PDGFD,"Platelet-derived growth factor D;Platelet-derived growth factor D, latent form;Platelet-derived growth factor D, receptor-binding form",New_Arrival,1.6580300112206423,,,-1.6580300112206423,,23.0238,,Intervertebral_disc_IAF,IAF,Secreted Factors,Matrisome-associated,Homo sapiens,Tam_2020,Increase
TNFSF13,Tumor necrosis factor ligand superfamily member 13,Disappearance,1.6436259070080976,,,,-1.6436259070080976,,23.2365,Intervertebral_disc_OAF,OAF,Secreted Factors,Matrisome-associated,Homo sapiens,Tam_2020,Decrease
