Gene_Symbol,Attention_Score,Gradient_Importance,PageRank_Score,Combined_Score,Delta_Z_Mean,Matrisome_Category
LUM,1.0000000428408384,0.17122313,0.0018194888966340732,0.7572980011899672,0.19970520797640415,Proteoglycans
COL5A2,1.0000000735744834,0.14849873,0.0018210745352335764,0.7568982106151646,-0.257614078845431,Collagens
Col12a1,1.0000000409781933,0.16016757,0.0018233979168681752,0.756504393739711,0.19650120521567335,Collagens
COL6A3,1.0000000521540642,0.1575422,0.0018218862188331983,0.7549643591285369,-0.07913991677622154,Collagens
Lgi1,1.0000000530853868,0.20255078,0.0018067433236631692,0.7549081368132343,-0.04657136188506207,ECM Glycoproteins
PTN,0.9999999916180968,0.1889662,0.001822936375682116,0.7540778763503857,-0.060202044382851407,Secreted Factors
Fmod,1.0000000204890966,0.17297211,0.0018222936661064458,0.7514079065965941,-0.030146897156973843,Proteoglycans
PDF,1.0000000316649675,0.20847976,0.0018081082242475566,0.7498483627256801,0.08913132524841914,Secreted Factors
LOX,0.9999999767169356,0.18987337,0.0018246718875652534,0.7487211999243009,-0.17544875504740426,ECM Regulators
CLEC3A,0.9999999860301614,0.18970942,0.0018228949883491987,0.7484459337180841,-0.17191159211474838,ECM-affiliated Proteins
COL4A1,1.0000000139698386,0.17227897,0.001823234122153934,0.7478895682750157,-0.08685344178926636,Collagens
Bgn,0.9999999841675162,0.18917999,0.0018233243943394212,0.7477690104806758,0.33425360492579087,Proteoglycans
COL4A5,1.0000000540167093,0.17689414,0.0018138978839354054,0.7471744049309693,0.07164924030845175,Collagens
COL4A3,1.0000000391155481,0.20999774,0.001805573954154889,0.7459628126291946,-0.20460573522456207,Collagens
FRZB,0.9999999850988388,0.18896618,0.0018229364005266043,0.745950976955911,-0.11544385812687115,Secreted Factors
KNG1,1.000000019557774,0.17110634,0.0018221390444775254,0.7452200184678541,0.6799234875065981,ECM Regulators
Mfge8,1.0000000298023224,0.19168523,0.0018132249362576589,0.7445168075271932,0.5683318345582393,ECM Glycoproteins
CST3,0.9999999678693712,0.19754012,0.0018231389645529555,0.7442760398828868,0.22956218428296207,ECM Regulators
CLEC3B,1.000000030733645,0.16222,0.0018225850713136967,0.7428839962515145,-0.06989867404734519,ECM-affiliated Proteins
CSPG4,1.0000000116415322,0.17026895,0.0018234805551307159,0.7422518943674423,-0.1432467454270942,ECM-affiliated Proteins
S100A13,1.0000000298023224,0.15530705,0.0018249412625681585,0.7421070310450588,0.02833713473491545,Secreted Factors
GPC1,1.0000000167638063,0.16888194,0.001822916207799199,0.7419839222606521,-0.08616628148969185,ECM-affiliated Proteins
SDC2,0.9999999916180968,0.17858483,0.0018243885532718959,0.7411156046608025,-0.08568778095152062,ECM-affiliated Proteins
CTGF,0.9999999795109034,0.19007911,0.0018228425662782587,0.740775914158799,-0.047150010594334386,ECM Glycoproteins
TNC,1.0000000013969839,0.18239453,0.0018211612690384746,0.7405769792595606,0.02612700855887266,ECM Glycoproteins
F2,1.0000000037252903,0.16612726,0.001826026031799509,0.7399718385967041,0.42209598558004974,ECM Regulators
Sparc,1.0000000651925802,0.18677975,0.0018069833994327727,0.7375501864147812,-0.5081894365982463,ECM Glycoproteins
POSTN,1.000000013038516,0.16771145,0.001823273055798354,0.7371317070551163,0.26606668727733,ECM Glycoproteins
C1qc,1.0000000335276127,0.20437972,0.0018070995098893854,0.7367825854446544,0.056376127467895255,ECM-affiliated Proteins
SULF2,0.9999999776482582,0.1889662,0.001822936339616884,0.7366625549435947,-0.023440496315867265,ECM Regulators
FBLN7,0.9999999790452421,0.1792747,0.0018257201593452855,0.735571587228617,0.10059511365195453,ECM Glycoproteins
SNED1,0.9999999888241291,0.17102747,0.0018265609238330342,0.7354340384572353,0.09670989515010069,ECM Glycoproteins
SCUBE1,0.9999999711290002,0.19138299,0.0018230484917003567,0.7344750144452918,-0.13549224272073962,Secreted Factors
LGALS3,1.0000000190921128,0.16330576,0.0018231144973768077,0.734148683038533,0.06554773469651826,ECM-affiliated Proteins
SERPINA10,0.999999969266355,0.19101909,0.0018234350064601512,0.7338766665188903,0.22391685155115776,ECM Regulators
ELANE,1.00000006146729,0.16312796,0.0018149344837243508,0.7335040614457405,0.013733100288106807,ECM Regulators
PDGFC,0.9999999701976776,0.19138299,0.0018230484917003567,0.7333140086220085,-0.010073866713715782,Secreted Factors
THSD4,1.000000026077032,0.16755122,0.001820206345581349,0.7331378055927523,0.3030947728042103,ECM Glycoproteins
COL4A6,1.0000000447034836,0.19657665,0.00180690328592281,0.7326144048337851,-0.10976606996688539,Collagens
Anxa11,1.0000000596046448,0.18218791,0.0018088048769239536,0.7325032860251491,-0.09200263372652676,ECM-affiliated Proteins
LTBP3,0.999999966006726,0.19068989,0.0018239138664986822,0.7322109792615691,-0.02456198377839632,ECM Glycoproteins
Col4a2,0.9999999990686774,0.21481432,0.0018093128901077408,0.7306912796589463,0.31911657045299746,Collagens
EFEMP2,1.0000000186264515,0.15244088,0.0018261304899873018,0.7297121517367374,0.10076309867245155,ECM Glycoproteins
BMP3,1.0000000093132257,0.16565523,0.0018234941795557723,0.7294886524299207,-0.01885090723476781,Secreted Factors
Serpina3n,1.0000000689178705,0.17390828,0.0018092747611446983,0.7293083848262016,0.28626467236215936,ECM Regulators
PLOD1,1.0000000325962901,0.15277606,0.0018230442611066756,0.7278209169024894,0.05912443544432629,ECM Regulators
HRG,1.0000000027939677,0.16159993,0.0018256139988205387,0.7263739418538705,0.32847156647313946,ECM Regulators
SERPINC1,1.0000000083819032,0.16314779,0.0018239938549896094,0.7261633646541078,0.3017301689478799,ECM Regulators
Col5a2,1.0,0.16741586,0.0018240339152726446,0.7251780489044538,0.010395519674649285,Collagens
TNXB,1.0000000018626451,0.1688105,0.0018230159804908186,0.7239012796318471,-0.27754163780296964,ECM Glycoproteins
C1qtnf9,1.000000063329935,0.13158584,0.0018233926684802786,0.7227000608927939,-0.012951996306230484,ECM-affiliated Proteins
Col2a1,0.9999999739229679,0.17676345,0.001825434079337909,0.7219141216809518,0.039402453536628086,Collagens
ITIH5,1.0000000512227416,0.18911561,0.0018064706886224365,0.721844797627941,-0.07809039066674181,ECM Regulators
ANXA3,0.9999999972060323,0.16372673,0.001825187193492695,0.7212243084107607,0.09019614217538399,ECM-affiliated Proteins
SLIT3,0.999999946448952,0.1922764,0.001825346783937325,0.7205504872573312,-0.01204199551250824,ECM Glycoproteins
Matn2,1.0000000605359674,0.17747067,0.0018082603261011009,0.7199578379736895,-0.18455916067814715,ECM Glycoproteins
F13a1,1.000000087544322,0.1775031,0.0018030541102007976,0.7199094411708457,-0.19268760784360933,ECM Regulators
LAMA5,1.000000017695129,0.15776232,0.0018230289154640867,0.7198977320872798,-0.07465910423285764,ECM Glycoproteins
PAMR1,0.9999999590218067,0.19138299,0.0018230484917003567,0.7193819387426094,-0.037054130081631664,ECM Regulators
FCN3,0.9999999636784196,0.18896618,0.0018229363782367332,0.7192476983627261,0.05676392298165228,ECM-affiliated Proteins
Fga,0.9999999981373549,0.17595221,0.0018205748504579247,0.7188152846529198,-0.09154848738562335,ECM Glycoproteins
Fbn1,1.000000037252903,0.14275661,0.0018240383688215465,0.718471337914475,-0.12239781759292476,ECM Glycoproteins
Serpina1a,1.000000026077032,0.1480654,0.0018242635038746425,0.7174483839345669,0.18533702178025924,ECM Regulators
Anxa7,1.0000000540167093,0.176731,0.0018093272477614853,0.7171599264725949,-0.08489058008667529,ECM-affiliated Proteins
Anxa2,1.000000019557774,0.19197364,0.001810880264644768,0.7171511772031343,-0.21546967788814003,ECM-affiliated Proteins
IL17B,0.9999999608844519,0.18970942,0.0018228949672521118,0.7170986395727431,-0.24060346423629866,Secreted Factors
MATN3,0.9999999618157744,0.1889662,0.0018229363503332791,0.7169255254954564,-0.1839081698374203,ECM Glycoproteins
FMOD,0.9999999944120646,0.18731794,0.001817051064434279,0.7158118285334666,-0.6613219882432311,Proteoglycans
COL4A4,1.0000000149011612,0.20999774,0.001805573954154889,0.7157766612238298,-0.025827976741087114,Collagens
MMP14,0.9999999729916453,0.17102747,0.001826560941017273,0.7156970509843593,0.11315100652127515,ECM Regulators
COL6A1,0.9999999944120646,0.17721623,0.001820246999922976,0.7147693442575461,-0.1437507189916076,Collagens
SERPING1,1.0000000344589353,0.15156992,0.001820816567504748,0.7130846082278145,0.2659410564791986,ECM Regulators
Dcn,0.999999986961484,0.17345703,0.0018225436572724004,0.7122797833390816,-0.03311546873002878,Proteoglycans
FCN2,0.9999999171122909,0.21442041,0.0018221506335717019,0.7109881869321709,0.6392119794164514,ECM-affiliated Proteins
Sema3c,1.00000006146729,0.18240893,0.0018050181859281733,0.7107268823770482,0.24131524038073807,ECM-affiliated Proteins
Lama5,1.0000000707805157,0.16957967,0.0018074858855098113,0.7106865562324276,0.22633509846281782,ECM Glycoproteins
Serpinb1a,1.0000000335276127,0.14336167,0.0018232149828597685,0.7097884380262985,0.035371980176587936,ECM Regulators
VWF,0.9999999767169356,0.1668957,0.00182625350352468,0.709436013140191,0.12128397823609399,ECM Glycoproteins
MFAP5,1.0000000316649675,0.17178953,0.0018140015369976087,0.7089752306414089,-0.003743544057143454,ECM Glycoproteins
SERPINF1,0.9999999478459358,0.1860297,0.001825331547188188,0.7087225417005992,0.19781967634536854,ECM Regulators
COL14A1,0.9999999455176294,0.20002186,0.001821042598586121,0.708158485632294,-0.14967564025046862,Collagens
SERPINF2,0.9999999450519681,0.19050375,0.001824268045135553,0.7079854930724062,0.23604381034868122,ECM Regulators
Dpt,1.0,0.15721992,0.001824735378944473,0.707743652486796,0.07628566429068519,ECM Glycoproteins
CYR61,0.9999999720603228,0.17921713,0.0018227626076907971,0.7075458735556683,-0.03254957266315938,ECM Glycoproteins
ITIH1,0.9999999487772584,0.18341768,0.001825805089390779,0.7073241211381985,0.15180310649575895,ECM Regulators
SPP1,0.9999999492429197,0.19138299,0.0018230485088883142,0.7071914891452077,-0.09777415214241346,ECM Glycoproteins
Col6a2,1.0000000409781933,0.17274582,0.0018116121507402196,0.7071407389363408,0.18683624995616538,Collagens
DPT,1.0000000456348062,0.14010347,0.0018215618791439776,0.7071270806948503,-0.013044793982418049,ECM Glycoproteins
PAPLN,0.999999986961484,0.17856668,0.0018199832117990298,0.7066814991436589,0.04027522073114059,ECM Glycoproteins
Lgals1,1.000000013038516,0.16516411,0.0018189953986385943,0.7038772575808051,0.17042282819955207,ECM-affiliated Proteins
ANXA2;ANXA2P2,0.9999999511055648,0.1889662,0.0018229363731328816,0.703574106493443,-0.08906832380256315,ECM-affiliated Proteins
S100B,0.9999999906867743,0.15784399,0.0018256164605129266,0.7031974451143679,0.10560210929061663,Secreted Factors
MASP2,0.9999999450519681,0.18352973,0.0018257871216423558,0.7028051272846589,0.6067154664389169,ECM Regulators
M6pr,1.0000000484287739,0.18220353,0.0018062758623227744,0.7021919957615083,-0.051547366349159296,Secreted Factors
FGFBP2,0.9999999520368874,0.18837756,0.0018227137456179212,0.7020209352555239,-0.08133935226369617,Secreted Factors
FREM2,1.0000000149011612,0.17917366,0.0018135966137196801,0.7013726000178787,-0.03513474330319187,ECM-affiliated Proteins
ANGPTL7,0.9999999492429197,0.1889662,0.0018229363731328816,0.7012520948468765,-0.05369516193480296,Secreted Factors
HPX,1.000000024214387,0.16113423,0.001817662237276771,0.700467166641522,0.6320533815081971,ECM-affiliated Proteins
Tgm2,1.000000050291419,0.15970041,0.0018131015590636913,0.7002853519340118,0.030480997859588275,ECM Regulators
MPI,1.0000000298023224,0.16318366,0.001815537000157305,0.6980602013194596,0.07355142586947773,ECM Regulators
CHRD,0.9999999413266778,0.19138299,0.0018230484336874285,0.6973224516056765,-0.05791584556436107,Secreted Factors
F7,0.9999999459832907,0.18896618,0.0018229363782367332,0.6971885877203441,-0.02532871030492897,ECM Regulators
CILP,0.9999999608844519,0.17512737,0.0018245520421467643,0.6964076825982293,-0.387063811736189,ECM Glycoproteins
C1QC,1.0000000763684511,0.13122043,0.0018167370126176735,0.6949720355581518,0.11726195422637467,ECM-affiliated Proteins
MMP19,1.0000000335276127,0.12958784,0.0018253996206308173,0.6942641387420627,-0.02554528887715022,ECM Regulators
ABI3BP,0.9999999399296939,0.18783216,0.001823914243666764,0.6935427993509945,-0.10575939301089869,ECM Glycoproteins
ADAM17,1.0000000763684511,0.10232352,0.0018260444123086878,0.6930614906427769,-0.11646425089734655,ECM Regulators
Egln1,1.0000000344589353,0.18054946,0.00180796164642802,0.6921504745671933,-0.09500099649369627,ECM Regulators
Hpx,1.0000000586733222,0.21175204,0.0017928660148877225,0.6916545250431935,0.18413396270434942,ECM-affiliated Proteins
SERPINA4,0.9999999203719199,0.19423413,0.0018250834229805986,0.690554811969878,0.11579345384580841,ECM Regulators
Prelp,1.0000000223517418,0.14675784,0.001820958453711713,0.6885354606316314,0.11786792206542686,Proteoglycans
SDC1,1.000000017695129,0.16019326,0.001817272207744551,0.6877797761768175,0.07888382315210887,ECM-affiliated Proteins
COL8A1,1.0000000353902578,0.14540568,0.0018186850568870608,0.6871197239512572,-0.14181432030892127,Collagens
CXCL14,0.999999909196049,0.19291346,0.0018270970172586808,0.6868427542442025,-0.20040530861206307,Secreted Factors
PRG4,0.9999999413266778,0.1779977,0.0018258234647412208,0.6864675322924945,-0.13057687746824087,Proteoglycans
COL16A1,1.0000000316649675,0.18816236,0.0018050758688393134,0.6863558947125673,-0.1390548070729195,Collagens
FGL2,1.000000026077032,0.17417854,0.001810759698019589,0.6861219122051866,0.2425788681620028,ECM Glycoproteins
NOV,0.9999999352730811,0.19007911,0.001822842645738409,0.6856286532364076,-0.07532961669244356,ECM Glycoproteins
FGF2,1.0000000298023224,0.15988196,0.0018146422611475094,0.685133635113408,0.02980680020623297,Secreted Factors
AEBP1,1.0000000931322575,0.12948345,0.001812521486170016,0.6847663783144563,-0.1600062466062229,ECM Glycoproteins
FBN1,0.9999999362044036,0.19427204,0.0018209588625885972,0.6836059367290392,-0.09765154310018617,ECM Glycoproteins
SERPINH1,1.00000006146729,0.16302562,0.00180680368975279,0.6805158233671226,-0.30003662124117847,ECM Regulators
ANXA4,1.000000026077032,0.1317378,0.0018239970013000744,0.6805095469282038,-0.17435762391048548,ECM-affiliated Proteins
Lamb1,0.9999999366700649,0.19255546,0.0018209257677660753,0.6802699727192617,-0.4027067081626341,ECM Glycoproteins
IL11,0.999999932013452,0.1889662,0.0018229364037580238,0.6797736858683713,-0.026274132040978643,Secreted Factors
COMP,0.9999999296851456,0.19007911,0.0018228425662782587,0.6786621026131443,-0.03381789084500601,ECM Glycoproteins
F13A1,0.9999999944120646,0.20243928,0.0018062750639368614,0.67848535494673,0.30568817118714964,ECM Regulators
Pzp,1.0000000149011612,0.1375619,0.0018237934762889603,0.6778158775711042,0.06125854914223865,ECM Regulators
THBS4,0.9999999897554517,0.14585285,0.001825864509598377,0.6777882131065808,0.036525848297810776,ECM Glycoproteins
ITIH3,0.9999999441206455,0.19087094,0.0018196117945613423,0.677397999587566,0.4435193742880945,ECM Regulators
CSTA,1.0000000158324838,0.19198427,0.0018054331557584833,0.677179183659165,-0.07822818918764544,ECM Regulators
HAPLN3,0.999999932013452,0.1792747,0.0018257201593452855,0.6769407931528123,0.04869799927786618,Proteoglycans
SMOC2,0.9999999296851456,0.18896618,0.001822936339616884,0.6768707351762918,-0.046294033849743045,ECM Glycoproteins
Plxnb2,1.0000000149011612,0.18218791,0.001808804916581943,0.6767752638815092,-0.10581371256775504,ECM-affiliated Proteins
S100A4,1.000000006519258,0.14125818,0.001823965975837662,0.6764570697523998,0.0844650212265678,Secreted Factors
Ltbp4,1.0000000149011612,0.14967829,0.001819289736950315,0.6747154387370472,-0.3432766930099457,ECM Glycoproteins
Plxnd1,1.0000000279396772,0.17797147,0.0018073475416036378,0.6744787467607717,-0.0953102026592665,ECM-affiliated Proteins
COL9A1,0.999999922234565,0.19138299,0.0018230484336874285,0.6735218322283697,-0.1648814833256498,Collagens
Cst3,1.0000000447034836,0.13084987,0.001819558119526952,0.6730072768903897,-0.1609450837445251,ECM Regulators
SERPINA1,0.9999999646097422,0.1576174,0.0018259818319706462,0.6725718649045301,0.14406898739954185,ECM Regulators
CTSL,1.0000000074505806,0.13136141,0.0018264078684233165,0.672123913072067,0.0668626558523043,ECM Regulators
Angptl2,1.0,0.14630722,0.001822853922040191,0.6720008503262417,0.274929538677401,Secreted Factors
CTSC,1.0000000298023224,0.12124618,0.0018254257475445212,0.6718014997526925,0.05358553969825038,ECM Regulators
Anxa4,1.0000000521540642,0.14987504,0.0018114098898887425,0.6704410204365184,0.12371657011774127,ECM-affiliated Proteins
LAMB2,1.0000000521540642,0.13976988,0.0018147635528247914,0.670414711282913,-0.16878340762898075,ECM Glycoproteins
Col14a1,1.0000000270083547,0.21667972,0.0017939944132370326,0.670129587663502,-1.0458898465919166,Collagens
Serpina3m,1.0000000279396772,0.21128845,0.0017955372446716768,0.6696774347834195,0.1632799709461544,ECM Regulators
SRPX,0.999999986961484,0.15521796,0.001821974175571008,0.6692527213077367,-0.02161684798512707,ECM Glycoproteins
BGN,0.999999962747097,0.17305723,0.0018206040291413085,0.6686436166389962,0.1495164201223576,Proteoglycans
TGFBI,0.999999993480742,0.1597568,0.0018190521184283934,0.6682037610570949,0.09643388080832575,ECM Glycoproteins
Vtn,1.0000000223517418,0.20098671,0.0017997396234610578,0.6677692313743248,0.22265260955836289,ECM Glycoproteins
PLOD2,0.9999999781139195,0.15342575,0.0018239619546585955,0.6672587666080604,-0.12497660840056918,ECM Regulators
FBLN2,0.9999999823048711,0.15443884,0.0018227847662822742,0.6670281793571561,-0.13963817470302203,ECM Glycoproteins
IGFBP2,0.999999972525984,0.16265476,0.0018218902127436433,0.6667491336664074,-0.027023899301462505,ECM Glycoproteins
Comp,1.0000000484287739,0.20183775,0.0017942337736028711,0.666380503831196,0.3983827267897505,ECM Glycoproteins
Hcfc1,1.0000000316649675,0.17419456,0.0018065868349263696,0.6660412892865103,-0.0736689774606148,Secreted Factors
Ctsb,1.000000013038516,0.1785032,0.0018086325384645374,0.6653887303233631,0.3844912286159707,ECM Regulators
HHIP,0.9999999194405973,0.18955672,0.0018229323322980573,0.6653470777662878,-0.060157623935794304,Secreted Factors
Efemp1,1.0000000353902578,0.17864804,0.0018041749579127558,0.6646362193355916,-0.2915910523836838,ECM Glycoproteins
COL12A1,0.9999999646097422,0.16971694,0.0018207150535347418,0.6644830764548768,-0.06808189770706127,Collagens
MFAP2,0.9999999883584678,0.14762227,0.0018234086702219575,0.6639243338454895,-0.4204151950645521,ECM Glycoproteins
Adam10,0.9999999906867743,0.13936017,0.0018257017651306048,0.6638920614612994,0.05603422991645435,ECM Regulators
COL8A2,1.000000013038516,0.12699415,0.0018254586003793758,0.6635116685709884,-0.14768988902076194,Collagens
IGFBP5,0.9999999678693712,0.16231756,0.0018222997213930047,0.6628746127294224,-0.06691648757546709,ECM Glycoproteins
ECM2,0.9999999739229679,0.16338581,0.001820775481832955,0.6628326819005187,-0.09427680425731882,ECM Glycoproteins
SERPINA3,0.9999999180436134,0.18867967,0.001822905673739548,0.6615412840378595,0.131928296065032,ECM Regulators
Nid2,0.9999999683350325,0.16288163,0.0018217991013535766,0.661422544154309,-0.03532998129285834,ECM Glycoproteins
WISP3,0.999999912455678,0.19138299,0.0018230484933997955,0.6613316586075298,-0.026458889614916787,ECM Glycoproteins
Ctsd,0.9999999776482582,0.19514726,0.001809149820835194,0.660519299934589,0.5315833962370116,ECM Regulators
Ctsf,1.0000000316649675,0.1371133,0.0018180095569573507,0.6602099050189775,0.6860110146333838,ECM Regulators
Tinagl1,1.000000011175871,0.13886206,0.0018213552581617782,0.6601519049616063,0.1664185701474682,ECM Glycoproteins
P4HA1,0.9999999441206455,0.17349368,0.0018226291888870766,0.6595076376160073,-0.10487046548210911,ECM Regulators
COL5A1,0.9999999166466296,0.19964588,0.0018192009785611269,0.6594047059580984,-0.23556463296890293,Collagens
Cilp2,0.9999999701976776,0.1534176,0.0018240459276284106,0.6579176246432937,-0.11275368670878291,ECM Glycoproteins
COL4A2,0.999999986961484,0.15416503,0.0018205533945625384,0.657761522165483,-0.1302727602903161,Collagens
SERPINB12,1.0000000223517418,0.17019194,0.001808217534910559,0.6563828624233264,-0.10275080207763333,ECM Regulators
S100A10,0.9999999729916453,0.15939134,0.0018212490336838346,0.656131185998947,0.07532281225666294,Secreted Factors
Serpind1,1.000000013038516,0.1562908,0.001814551119620655,0.6558999626119774,0.019892977186613106,ECM Regulators
Col1a1,1.0000000167638063,0.15850508,0.0018130686203056072,0.6556977324668237,0.0010186035833450457,Collagens
S100A16,1.0000000204890966,0.11619487,0.0018261865751477153,0.6542363014271961,0.2040936365256123,Secreted Factors
Tnc,0.9999999981373549,0.17688209,0.0018100156795023174,0.6522931870660678,-0.48671961679015086,ECM Glycoproteins
FBLN1,1.0000000223517418,0.14359725,0.001816294199571424,0.6514496108310986,0.04174038253502893,ECM Glycoproteins
