Gene,Tissue_Compartment,N_Studies,Shape,Sign_Changes,Poly_Coef_a,Poly_Coef_b,Poly_Coef_c,R2_Polynomial,R2_Linear,Nonlinearity_Gain,Threshold_Score,Vertex_X,Deltas,Matrisome_Category
GLS,Glomerular,3,Inverted-U (increase then decrease),1,-0.3742687910156987,0.9027246889767815,-0.2703690801191065,1.0,0.33737760733716693,0.6626223926628331,1.4082063593158631,1.2059844564209425,"[-0.2703690801191065, 0.2580868178419765, 0.0380051337716615]",
GPX4,Tubulointerstitial,3,U-shaped (decrease then increase),0,0.08588232424463799,-0.13408627423506017,-0.22085835395632297,1.0,0.36605672315782056,0.6339432768421794,1.4221615221864814,0.7806395286480138,"[-0.220858353956323, -0.2690623039467452, -0.1455016054478914]",
TNS1,Tubulointerstitial,3,Inverted-U (increase then decrease),1,-0.3368799424434981,0.5157649546986146,0.18221948614708983,1.0,0.3975425550131052,0.6024574449868948,1.4646470845621002,0.7655026163885066,"[0.1822194861470899, 0.3611044984022065, -0.1337703742296733]",
1,Tubulointerstitial,7,Inverted-U (increase then decrease),2,-0.07392028016007438,0.5087464747547666,-0.5034903580058911,0.6795667171691822,0.14002408226536922,0.5395426349038129,2.1396637675969075,3.441183350854976,"[-0.4737564301410097, -0.1474493654820385, 0.3658919691432287, 0.2514724826414367, 0.1231733580367611, 0.5866530491708104, -0.2734870941270949]",
PAPLN,Glomerular,3,Inverted-U (increase then decrease),1,-0.11151053046908573,0.2890639777443452,-0.10377110141396992,1.0,0.5127431895707648,0.4872568104292352,1.5781051474470231,1.2961286101337441,"[-0.1037711014139699, 0.0737823458612896, 0.0283147321983774]",ECM Glycoproteins
1,Glomerular,7,Inverted-U (increase then decrease),2,-0.050958810884849395,0.31309445964187727,-0.17771017279556386,0.388388383835751,0.002668657209201619,0.3857197266265494,1.7508335053094206,3.0720345923040724,"[-0.0240799221590295, -0.2526588736361261, 0.4490000870076877, 0.320281120740525, 0.0475652859665742, 0.4315169347990136, -0.2778639803294623]",
RUVBL1,Tubulointerstitial,3,Inverted-U (increase then decrease),0,-0.1569459254163873,0.18294814682347607,-0.2434282122219022,1.0,0.6761960099294311,0.3238039900705689,1.8227100741391877,0.5828381537720819,"[-0.2434282122219022, -0.2174259908148135, -0.5053156202404996]",
SYNE2,Tubulointerstitial,3,U-shaped (decrease then increase),1,0.4009591468563848,-0.45735199379380603,-0.2898037180698156,1.0,0.6890038336508613,0.31099616634913874,1.854729398760804,0.5703224348160587,"[-0.2898037180698158, -0.3461965650072371, 0.3993288817681117]",
Mbp,Hippocampus,3,Inverted-U (increase then decrease),0,-0.02475874228293252,0.026749936868816614,-0.01879058712439089,1.0,0.7172633846157792,0.2827366153842208,1.8450547568648714,0.5402119494425354,"[-0.0187905871243909, -0.0167993925385068, -0.0643256825184878]",Proteoglycans
KRT5,Glomerular,3,U-shaped (decrease then increase),0,0.1916777463971706,-0.2029487617452133,0.04190633240569512,1.0,0.7265938050085261,0.2734061949914739,1.9311232584136266,0.5294009491448431,"[0.0419063324056951, 0.0306353170576524, 0.4027197945039511]",
SPTAN1,Glomerular,3,U-shaped (decrease then increase),1,0.4138563117132288,-0.40534028686445106,-0.1339735973542545,1.0,0.7575601103888753,0.24243988961112473,1.9751612849007258,0.48971137492923067,"[-0.1339735973542545, -0.1254575725054768, 0.710771075769759]",
DAP3,Glomerular,3,Inverted-U (increase then decrease),1,-0.3206961328448161,0.30499372323144636,0.24729437662977544,1.0,0.7674944911454433,0.23250550885455668,1.9475326434892242,0.4755182429640209,"[0.2472943766297755, 0.2315919670164057, -0.4255027082865966]",
CALM1,Glomerular,21,Linear/monotonic,11,0.005037420251280624,-0.12420062753938993,0.5402362878575231,0.3954269590089635,0.16868876303199853,0.22673819597696498,2.4041909701899598,,"[0.8134361005043163, 0.2180874525095392, -0.1945247762833007, 0.2416132647577104, 0.5374369788254297, 0.5372388894971286, -0.3030576856625957, -0.2900872042633539, 0.0886008869961301, -0.4694031557850959, -0.1921662144575095, -0.4603293338846361, -0.1426452813849564, 0.01492551993814, -0.1240237756797759, -0.4786952004236686, 0.2147112811929381, -0.389227213316478, 0.0912056278966759, 0.0640560265237233, -0.0569258045888836]",
4,Tubulointerstitial,6,Inverted-U (increase then decrease),1,-0.05938731751990057,0.2139815472765388,0.1500254922247755,0.41903185285429223,0.2001725283673591,0.21885932448693313,2.094645179271327,1.80157612948955,"[0.1706148782412789, 0.0720003901879879, 0.8054642150122288, 0.0522317120288721, -0.1012845681453989, -0.1554529284227658]",
Mbp,Cortex,5,Inverted-U (increase then decrease),1,-0.041017505377284005,0.11983947147691848,0.03166990825908187,0.19164744746299,0.08695488519953398,0.10469256226345602,2.1019031448208634,1.460833251249929,"[0.0238625671751444, 0.0328395269022285, 0.3870799185768715, -0.2733849967466825, -0.0441779211614877]",Proteoglycans
COL18A1,Tubulointerstitial,3,U-shaped (decrease then increase),1,0.5733801427746306,-0.06256936304625586,-0.1554529284227655,1.0,0.9147211689894231,0.08527883101057687,1.5274464897424955,0.0545618503140673,"[-0.1554529284227658, 0.3553578513056091, 2.012928916583246]",Collagens
SPTAN1,Tubulointerstitial,3,U-shaped (decrease then increase),1,0.3440885023456513,-0.023273533371417583,-0.3475157460007323,1.0,0.9180466662974109,0.08195333370258906,1.5152225767281504,0.03381910934652264,"[-0.3475157460007321, -0.0267007770264983, 0.9822911966390382]",
TENA,Nucleus_pulposus,3,U-shaped (decrease then increase),0,0.5644908925507596,-0.010963707377580642,-3.670667900763282,1.0,0.9216795915795996,0.07832040842040044,1.503558346167999,0.009711146381865474,"[-3.670667900763284, -3.1171407155901054, -1.434631745315407]",ECM Glycoproteins
PGS2,Nucleus_pulposus,3,Inverted-U (increase then decrease),0,-0.15910121850980838,-0.19349364022037102,2.2519956366033878,1.0,0.9687804284813075,0.03121957151869248,1.308372202418477,-0.6080834642018861,"[2.251995636603388, 1.8994007778732092, 1.228603482123413]",Proteoglycans
CALM1,Tubulointerstitial,21,Linear/monotonic,10,0.0009554734824780484,-0.014025442035432979,0.07854545663905618,0.016719225970463825,0.008240166894057044,0.00847905907640678,2.812132059336571,,"[0.104824589657444, 0.1493450012497339, -0.294429874159682, 0.4200140654897169, -0.3999224905666577, -0.3188965322854715, 0.7455442525229516, 0.0868780402029142, 0.0193897607898353, -0.0924929537570944, -0.1241791201628362, 0.251865978978473, 0.7204229290495379, -0.127298724674399, -0.0260445703507066, -0.1128820875304815, -0.1303376526229035, -0.1759834276533774, 0.1117368068214787, -0.17691358335933, 0.8156802490521061]",
4,Glomerular,6,Linear/monotonic,3,-0.0032131318319065516,-0.08730103309825837,0.3579151428388018,0.3801321855664813,0.37935020691675225,0.0007819786497290648,1.9697081157412866,,"[0.5811516071761983, -0.1360593852827301, 0.1377819415823063, 0.3535272160281659, -0.019870862531788, -0.2552774071680774]",
