Protein_ID,Gene_Symbol,Protein_Name,N_Studies,N_Obs,Mean_Zscore_Delta,Std_Zscore_Delta,N_Upregulated,N_Downregulated,N_Neutral,Direction_Consistency,Replication_Score,Replication_Quality
P05546,SERPIND1,Heparin cofactor 2,5.0,8.0,0.6416155630658317,0.8597446669079687,4.0,1.0,2.0,0.75,0.2406058361496869,MEDIUM (partial validation)
Q9NT22,EMILIN3,EMILIN-3,3.0,5.0,-0.7878585169964121,0.4552671193104349,0.0,3.0,2.0,1.0,0.23635755509892362,MEDIUM (partial validation)
P02760,AMBP,Protein AMBP;Alpha-1-microglobulin;Inter-alpha-trypsin inhibitor light chain;Trypstatin,5.0,8.0,0.6179412953407062,0.696355053324007,4.0,0.0,4.0,0.75,0.23172798575276482,MEDIUM (partial validation)
P24821,TNC,Tenascin,5.0,8.0,-0.6169912356411261,1.0586773559032172,0.0,3.0,5.0,0.75,0.23137171336542228,MEDIUM (partial validation)
Q61555,FBN2,Fibrillin-2,3.0,6.0,-0.9096908665526114,0.9932705984193125,0.0,3.0,3.0,0.8333333333333334,0.22742271663815286,MEDIUM (partial validation)
P19823,ITIH2,Inter-alpha-trypsin inhibitor heavy chain H2,3.0,5.0,0.9440918080613498,1.5170691115600161,3.0,1.0,1.0,0.8,0.22658203393472395,MEDIUM (partial validation)
P21956,MFGE8,Lactadherin,5.0,8.0,0.5127794993988867,0.4657204766323944,4.0,0.0,4.0,0.875,0.2243410309870129,HIGH (multi-study validation)
P10643,C7,Complement component C7,3.0,6.0,0.8861453129831608,0.7778992069938816,5.0,0.0,1.0,0.8333333333333334,0.2215363282457902,MEDIUM (partial validation)
Q08188,TGM3,Protein-glutamine gamma-glutamyltransferase E;Protein-glutamine gamma-glutamyltransferase E 50 kDa catalytic chain;Protein-glutamine gamma-glutamyltransferase E 27 kDa non-catalytic chain,4.0,5.0,-0.6682555768113927,0.6532621026762889,0.0,1.0,3.0,0.8,0.2138417845796457,MEDIUM (partial validation)
P97298,SERPINF1,Pigment epithelium-derived factor,4.0,8.0,-0.610669676941451,0.6476871528842686,0.0,4.0,4.0,0.875,0.21373438692950789,MEDIUM (partial validation)
P29622,SERPINA4,Kallistatin,4.0,7.0,0.7310964947436301,0.9406220176703922,3.0,0.0,4.0,0.7142857142857143,0.20888471278389437,MEDIUM (partial validation)
Q16610,ECM1,Extracellular matrix protein 1,4.0,7.0,0.5230263321353391,0.5445438594564033,4.0,0.0,3.0,0.8571428571428571,0.1793233138749734,MEDIUM (partial validation)
Q9BXX0,EMILIN2,EMILIN-2,4.0,5.0,-0.5549444325649479,0.14730093291841895,0.0,3.0,1.0,0.8,0.17758221842078334,MEDIUM (partial validation)
P54320,Eln,,3.0,5.0,-0.716013863031008,0.5497864784682295,0.0,4.0,1.0,0.8,0.1718433271274419,MEDIUM (partial validation)
Q8K4G1,Ltbp4,,3.0,4.0,-0.5698498169609629,0.37544025394353064,0.0,1.0,3.0,1.0,0.17095494508828887,MEDIUM (partial validation)
Q9QZS0,COL4A3,Collagen alpha-3(IV) chain;Tumstatin,3.0,3.0,0.5503172926340834,0.1198475830500809,2.0,0.0,1.0,1.0,0.165095187790225,MEDIUM (partial validation)
P07214,SPARC,SPARC,3.0,6.0,-0.5444726541696309,0.45599102751078663,0.0,2.0,4.0,1.0,0.16334179625088927,MEDIUM (partial validation)
P39059,COL15A1,Collagen alpha-1(XV) chain;Restin;Restin-2;Restin-3;Restin-4,3.0,5.0,-0.5327815148646833,0.2603861420895387,0.0,3.0,2.0,1.0,0.15983445445940497,MEDIUM (partial validation)
Q6YHK3,CD109,CD109 antigen,3.0,5.0,-0.5215845234201113,0.4741715967316599,0.0,3.0,2.0,1.0,0.15647535702603338,MEDIUM (partial validation)
Q96P44,COL21A1,Collagen alpha-1(XXI) chain,3.0,4.0,-0.5664816898463472,0.5382320446616597,0.0,2.0,2.0,0.75,0.1274583802154281,MEDIUM (partial validation)
