Protein_ID,Protein_Name,Gene_Symbol,Canonical_Gene_Symbol,Matrisome Category,Matrisome Division,Tissue,Tissue_Compartment,Species,Abundance_Young,Abundance_Old,Method,Study_ID,Match_Level,Match_Confidence
A2RT60,Serine protease HTRA4,Htra4,Htra4,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,25.2872325,24.97577,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
A6H584,Collagen alpha-5(VI) chain,Col6a5,Col6a5,Collagens,Core matrisome,Lung,Lung,Mus musculus,26.118355,25.77648,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
A6H6E2,Multimerin-2,Mmrn2,Mmrn2,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,30.571945,30.4966225,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
A6H6K1,Asporin,Aspn,Aspn,Proteoglycans,Core matrisome,Lung,Lung,Mus musculus,32.334920000000004,32.124849999999995,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
A8C1T7,Cysteine-rich with EGF-like domain protein 1,Creld1,Creld1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,25.056334999999997,25.4190125,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
B2CQD6,Fibulin-1,Fbln1,Fbln1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,28.4405975,28.239994999999997,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
B2RPV6,Multimerin-1,Mmrn1,Mmrn1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,28.923292500000002,29.3569975,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
B2RXS4,Plexin-B2,Plxnb2;mKIAA0315,Plxnb2,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,28.196692499999997,28.1187425,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
B7ZNH7,Collagen alpha-1(XIV) chain,Col14a1,Col14a1,Collagens,Core matrisome,Lung,Lung,Mus musculus,30.781225,29.3273775,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
D3YXG0,,Hmcn1,Hmcn1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,30.36735,29.770020000000002,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
D3Z3L7,Microfibrillar-associated protein 5,Mfap5,Mfap5,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,28.450544999999998,26.136612500000002,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
D3Z689,,Adamtsl5,Adamtsl5,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,26.703337500000004,26.776065,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
D3Z7H8,,Cilp2,Cilp2,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,28.113433333333333,,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
E9PV24,Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain,Fga,Fga,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,34.0489575,34.375519999999995,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
E9PVD2,"Inter alpha-trypsin inhibitor, heavy chain 4",Itih4,Itih4,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,28.992655000000003,29.780320000000003,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
E9PVR3,Acetylcholinesterase collagenic tail peptide,Colq,Colq,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,27.4617725,28.366306666666663,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
E9PVS1,Inter-alpha-trypsin inhibitor heavy chain H3,Itih3,Itih3,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,,26.2753575,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
E9PWQ3,,Col6a3,Col6a3,Collagens,Core matrisome,Lung,Lung,Mus musculus,36.541345,36.642700000000005,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
E9PZ16,Basement membrane-specific heparan sulfate proteoglycan core protein;Endorepellin;LG3 peptide,Hspg2,Hspg2,Proteoglycans,Core matrisome,Lung,Lung,Mus musculus,37.7188975,37.7612425,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
E9QPS5,Latent-transforming growth factor beta-binding protein 4,Ltbp4,Ltbp4,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,27.490845,26.6004125,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
E9QPX1,Collagen alpha-1(XVIII) chain;Endostatin,Col18a1,Col18a1,Collagens,Core matrisome,Lung,Lung,Mus musculus,30.0965225,31.192147499999997,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
F2Z469,Matrilin-4,Matn4,Matn4,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,27.49566,26.512680000000003,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
F8VQJ3,Laminin subunit gamma-1,Lamc1,Lamc1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,37.377152499999994,37.616479999999996,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
F8WIT2,Annexin,Anxa6,Anxa6,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,29.434402499999997,29.3791825,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
F8WJ05,Inter-alpha-trypsin inhibitor heavy chain H1,Itih1,Itih1,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,29.131612500000003,28.9842625,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
G3UXC7,,Adamtsl3,Adamtsl3,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,25.252455,25.96857,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
G3X8T9,,Serpina3n,Serpina3n,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,29.672677500000002,30.730575,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
G5E837,,Hcfc2,Hcfc2,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,25.551035,25.54593,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
G5E874,,Lamc2,Lamc2,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,35.9102725,35.61667,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
H3BJ97,Tubulointerstitial nephritis antigen-like,Tinagl1,Tinagl1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,33.096707499999994,33.3959975,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
H7BX38,Stromal cell-derived factor 1,Cxcl12,Cxcl12,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,26.624575,28.124632499999997,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
M0QWP1,,Agrn,Agrn,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,34.0038675,34.2448425,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
O08538,Angiopoietin-1,Angpt1,Angpt1,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,24.92710333333333,25.742425,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
O08573,Galectin-9;Galectin,Lgals9,Lgals9,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,30.1750125,29.97123,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
O08665,Semaphorin-3A,Sema3a,Sema3a,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,26.207955,25.28767666666667,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
O08677,Kininogen-1;Kininogen-1 heavy chain;Bradykinin;Kininogen-1 light chain,Kng1,Kng1,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,29.4394325,30.274810000000002,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
O08717,Inhibin beta E chain,Inhbe,Inhbe,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,24.66272,25.280533333333334,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
O08797,,Serpinb9,Serpinb9,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,31.09974,31.1124,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
O08800,Serpin B8,Serpinb8,Serpinb8,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,25.3466725,25.2951175,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
O08804,,Serpinb6b,Serpinb6b,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,31.060145000000002,30.9071225,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
O08999,Latent-transforming growth factor beta-binding protein 2,Ltbp2,Ltbp2,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,28.011705,26.40065,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
O09118,Netrin-1,Ntn1,Ntn1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,28.35846,28.3653075,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
O35206,Collagen alpha-1(XV) chain;Restin,Col15a1,Col15a1,Collagens,Core matrisome,Lung,Lung,Mus musculus,28.281354999999998,28.35791,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
O35452,,Tnxb,Tnxb,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,32.1990275,32.1152575,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
O35598,Disintegrin and metalloproteinase domain-containing protein 10,Adam10,Adam10,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,27.8755625,28.131130000000002,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
O35608,Angiopoietin-2,Angpt2,Angpt2,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,25.890452500000002,26.8247525,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
O35632,Hyaluronidase-2;Hyaluronidase,Hyal2,Hyal2,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,28.130832499999997,28.348695,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
O35639,Annexin A3;Annexin,Anxa3,Anxa3,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,33.8348575,33.9483975,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
O35640,Annexin A8;Annexin,Anxa8,Anxa8,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,26.8718775,26.728119999999997,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
O35988,Syndecan-4;Syndecan,Sdc4,Sdc4,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,26.2474425,,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
O54824,Pro-interleukin-16;Interleukin-16,Il16,Il16,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,28.68091,28.572337500000003,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
O88207,Collagen alpha-1(V) chain,Col5a1,Col5a1,Collagens,Core matrisome,Lung,Lung,Mus musculus,30.615365,30.123490000000004,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
O88322,Nidogen-2,Nid2;NID-2,Nid2,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,34.69604749999999,34.0290125,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
O88632,Semaphorin-3F,Sema3f,Sema3f,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,27.5790825,27.8479825,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P02463,Collagen alpha-1(IV) chain;Arresten,Col4a1,Col4a1,Collagens,Core matrisome,Lung,Lung,Mus musculus,33.097265,33.8211325,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P02469,Laminin subunit beta-1,Lamb1,Lamb1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,35.340244999999996,34.27507,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P06797,Cathepsin L1;Cathepsin L1 heavy chain;Cathepsin L1 light chain,Ctsl,Ctsl,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,26.2849225,26.25424,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P07091,Protein S100-A4;Protein S100,S100a4,S100a4,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,30.0436725,30.421225,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P07356,Annexin A2;Annexin,Anxa2,Anxa2,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,35.50565,35.582265,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P07758,Alpha-1-antitrypsin 1-1,Serpina1a,Serpina1a,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,26.77691,27.6647125,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P08121,Collagen alpha-1(III) chain,Col3a1,Col3a1,Collagens,Core matrisome,Lung,Lung,Mus musculus,31.166602500000003,30.452095,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P08122,Collagen alpha-2(IV) chain;Canstatin,Col4a2,Col4a2,Collagens,Core matrisome,Lung,Lung,Mus musculus,34.87765,35.560297500000004,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P08207,Protein S100-A10,S100a10,S100a10,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,32.4475825,32.32058000000001,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P10107,Annexin A1;Annexin,Anxa1,Anxa1,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,34.1546575,34.219522500000004,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P10493,Nidogen-1,Nid1,Nid1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,36.0811825,36.362367500000005,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P10605,Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain,Ctsb,Ctsb,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,30.293345000000002,30.232194999999997,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P11087,Collagen alpha-1(I) chain,Col1a1,Col1a1,Collagens,Core matrisome,Lung,Lung,Mus musculus,34.808572500000004,34.72928,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P11214,Tissue-type plasminogen activator;Tissue-type plasminogen activator chain A;Tissue-type plasminogen activator chain B,Plat,Plat,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,27.3690425,28.3853325,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P14069,Protein S100-A6;Protein S100,S100a6,S100a6,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,32.595915,33.217725,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P14824,Annexin A6;Annexin,Anxa6,Anxa6,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,34.247060000000005,34.12661,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P15655,Fibroblast growth factor 2;Fibroblast growth factor,Fgf2,Fgf2,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,31.250567500000002,30.448085,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P16045,Galectin-1,Lgals1,Lgals1,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,31.662412500000002,31.685422499999998,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P16110,Galectin-3;Galectin,Lgals3,Lgals3,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,31.954832500000002,32.3449525,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P18242,Cathepsin D,Ctsd,Ctsd,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,31.180687499999998,31.219505,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P18828,Syndecan-1;Syndecan,Sdc1,Sdc1,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,25.7462625,26.17859,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P19137,Laminin subunit alpha-1,Lama1,Lama1,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,29.1343825,28.8444275,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P19221,Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain;Prothrombin,F2,F2,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,26.232155,26.9028475,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P19324,Serpin H1,Serpinh1,Serpinh1,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,34.426615,33.924234999999996,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P21460,Cystatin-C,Cst3,Cst3,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,27.8304575,27.7053125,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P21956,Lactadherin,Mfge8,Mfge8,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,30.3267825,32.1373525,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P21981,Protein-glutamine gamma-glutamyltransferase 2,Tgm2,Tgm2,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,36.5814625,36.3140575,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P27005,Protein S100-A8;Protein S100,S100a8,S100a8,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,32.918502499999995,33.12035,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P27467,Protein Wnt-3a,Wnt3a,Wnt3a,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,27.009895,26.986765000000002,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P28301,Protein-lysine 6-oxidase,Lox,Lox,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,28.3856675,26.941723333333332,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P28654,Decorin,Dcn,Dcn,Proteoglycans,Core matrisome,Lung,Lung,Mus musculus,34.2466725,33.6053,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P29788,Vitronectin,Vtn,Vtn,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,31.200525,32.508455,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P31725,Protein S100-A9,S100a9,S100a9,Secreted Factors,Matrisome-associated,Lung,Lung,Mus musculus,32.6869125,33.19679,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P32261,Antithrombin-III,Serpinc1,Serpinc1,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,31.8915,32.39676,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P35242,Pulmonary surfactant-associated protein A,Sftpa1,Sftpa1,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,32.6924575,33.4390925,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P37889,Fibulin-2,Fbln2,Fbln2,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,27.8146475,28.034032500000002,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P39039,Mannose-binding protein A,Mbl1,Mbl1,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,26.88747,26.652196666666665,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P47877,Insulin-like growth factor-binding protein 2,Igfbp2,Igfbp2,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,,24.426270000000002,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P47880,Insulin-like growth factor-binding protein 6,Igfbp6,Igfbp6,ECM Glycoproteins,Core matrisome,Lung,Lung,Mus musculus,25.65543,25.979153333333333,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P48036,Annexin A5,Anxa5,Anxa5,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,35.210685,35.256765,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P49182,Heparin cofactor 2,Serpind1,Serpind1,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,25.550212499999997,25.77878,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P49935,Pro-cathepsin H;Cathepsin H mini chain;Cathepsin H;Cathepsin H heavy chain;Cathepsin H light chain,Ctsh,Ctsh,ECM Regulators,Matrisome-associated,Lung,Lung,Mus musculus,29.646395,29.748437499999998,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
P50404,Pulmonary surfactant-associated protein D,Sftpd,Sftpd,ECM-affiliated Proteins,Matrisome-associated,Lung,Lung,Mus musculus,27.0370575,27.594317500000002,Label-free LC-MS/MS (MaxQuant LFQ),Angelidis_2019,Gene_Symbol_or_UniProt,1
