Protein,N_Studies,N_Tissues,Matrisome_Category,Matrisome_Division,Shannon_Entropy,Variance_Entropy_CV,Predictability_Score,Aging_Direction,Entropy_Transition,Mean_Zscore_Delta,N_Observations
SERPINC1,5,8,ECM Regulators,Matrisome-associated,1.9939109104609185,1.8138158627954928,0.625,increase,0.15036690082131243,0.6917881033815407,8
SERPINA1,5,8,ECM Regulators,Matrisome-associated,2.4559964218937256,1.919588341602964,0.6,increase,0.37819220961579547,0.3900365751958458,10
SERPINA3,5,8,ECM Regulators,Matrisome-associated,2.7680047010877464,1.5754044778711103,0.8,increase,0.14156172089704988,0.2750957077975833,10
AGT,5,8,ECM Regulators,Matrisome-associated,1.8547983427062351,2.1279859860377286,0.5,mixed,0.1476627705390996,-0.18924588214028773,8
A2M,5,8,ECM Regulators,Matrisome-associated,1.9817026949439107,1.820642855374709,0.75,increase,0.08031455007639976,0.4526963934658959,8
TIMP1,2,5,ECM Regulators,Matrisome-associated,1.7935225068465015,1.4770345195892949,0.6,increase,0.317635109317552,0.11001416583704082,5
CST3,3,6,ECM Regulators,Matrisome-associated,1.695104293954948,1.8176387850561468,0.5,mixed,0.185542754032904,0.05535741917194828,6
KNG1,5,8,ECM Regulators,Matrisome-associated,1.7497845478163636,2.0889175418780304,0.5714285714285714,increase,0.18129250121826734,0.6527320983499096,8
TGFB1,2,4,Secreted Factors,Matrisome-associated,2.494790038589034,0.02438866966596933,0.6666666666666666,increase,0.002468340531976681,0.06569377084860824,4
COL1A1,5,8,Collagens,Core matrisome,1.9398058343295284,1.8175219807086764,0.625,increase,0.11120906306551559,-0.05940191925367057,8
COL2A1,4,7,Collagens,Core matrisome,1.9102378363511812,1.6376800649730483,0.5,mixed,0.11712900417143968,0.11355528005198055,7
COL3A1,5,8,Collagens,Core matrisome,2.6455556186435634,1.6499737062285031,0.7,decrease,0.025922838040501883,-0.24409723861614108,10
FGA,5,8,ECM Glycoproteins,Core matrisome,2.523511108475405,1.8865043719204448,0.8,increase,0.39413816273927216,0.7075108772488362,10
FGB,5,8,ECM Glycoproteins,Core matrisome,1.7126814492083353,2.1351150816502527,0.875,increase,0.0783433679631953,0.8946244408992193,8
FGG,5,8,ECM Glycoproteins,Core matrisome,1.915571888218208,1.8633621196070174,0.75,increase,0.04032992260729329,0.8766169966808384,8
C1QA,3,5,ECM-affiliated Proteins,Matrisome-associated,2.5698514312013714,0.3988219419187353,0.6666666666666666,decrease,0.031910232580938225,-0.1174171882929,5
C1QB,4,7,ECM-affiliated Proteins,Matrisome-associated,2.0607611095489524,1.491031194234742,0.6666666666666666,increase,0.1315333663544902,0.24496743863676307,7
C1QC,4,7,ECM-affiliated Proteins,Matrisome-associated,1.9854248255386537,1.5272016386302498,0.6666666666666666,increase,0.14886979265979772,0.12993291100059914,7
LRG1,4,7,ECM Glycoproteins,Core matrisome,1.4527767402352987,2.1156358643911934,1.0,increase,0.27205435295817826,0.6621244494612865,7
FN1,5,8,ECM Glycoproteins,Core matrisome,1.574798373489744,2.351425500695978,0.625,increase,0.028459704503996264,0.2288793111476802,8
AMBP,5,8,ECM Regulators,Matrisome-associated,1.9900860515959895,1.7601225113124206,0.75,increase,0.033693055105509684,0.6179412953407062,8
CXCL10,3,6,Secreted Factors,Matrisome-associated,1.9371536707719617,1.5946554099562122,0.8333333333333334,increase,0.16553599397178487,0.8861453129831608,7
HPX,5,8,ECM-affiliated Proteins,Matrisome-associated,1.6883094904552842,2.218304768473862,0.75,increase,0.020650655564067755,1.0050720136416453,8
SLPI,4,7,ECM Regulators,Matrisome-associated,2.0005391273462374,1.945616807133455,0.6666666666666666,decrease,0.11427417664721551,0.028482239892731267,10
VTN,5,8,ECM Glycoproteins,Core matrisome,1.7403878156421502,2.1148146166333963,0.875,increase,0.1900672303490858,1.318911080793891,8
ANXA1,5,8,ECM-affiliated Proteins,Matrisome-associated,1.9477062778698686,1.985157668288817,0.75,decrease,0.2585771074088796,-0.24313303845827233,8
HRG,5,8,ECM Regulators,Matrisome-associated,1.9473707238237932,1.8510810164496478,0.625,increase,0.19050723121888247,0.6332291739319413,8
S100B,2,4,Secreted Factors,Matrisome-associated,2.38889314000741,0.24081038334987578,0.5,mixed,0.28763681771580163,0.09911267055447555,4
VWF,4,7,ECM Glycoproteins,Core matrisome,1.8627521403021354,1.694544608024207,0.5,mixed,0.22351712477575725,0.07895957721354792,7
SERPINE1,2,4,ECM Regulators,Matrisome-associated,2.699680737791671,0.26310435746906674,0.5,mixed,0.010275872726312585,0.08248756907183502,4
SERPINA5,4,7,ECM Regulators,Matrisome-associated,1.9287984485622063,1.6089448070580508,0.8333333333333334,decrease,0.2016703062828522,-0.1561965206973348,7
SERPING1,5,8,ECM Regulators,Matrisome-associated,2.8849414473256143,1.4918224143967178,0.6,increase,0.021300567663555148,0.12024208660375194,10
CLEC3B,3,5,ECM-affiliated Proteins,Matrisome-associated,2.0579505143386765,1.2426272053031857,0.6,increase,0.056442857452643214,0.027271992888374362,5
SERPINA7,2,4,ECM Regulators,Matrisome-associated,2.498253887655389,0.2541770865597118,0.6666666666666666,increase,0.04235460482014261,0.3637666045159409,4
SERPIND1,5,8,ECM Regulators,Matrisome-associated,2.5684388169984955,1.5419086147721186,0.8571428571428571,increase,0.48738935356480506,0.6416155630658318,8
COL5A2,5,8,Collagens,Core matrisome,1.9513843526771844,2.028916850707035,0.9,decrease,0.24422511563526528,-0.37021545536941874,10
S100A9,5,8,Secreted Factors,Matrisome-associated,1.802030777380818,2.4951417447410194,0.5454545454545454,increase,0.04398305931906865,0.2156586334038839,11
S100A6,4,6,Secreted Factors,Matrisome-associated,2.0658472629463605,1.1897044150860183,0.5,mixed,0.051716093148026054,-0.035487781433808825,6
SERPINE2,3,5,ECM Regulators,Matrisome-associated,2.9528032758838245,0.39773161756634695,1.0,increase,0.23771126180712304,0.4082565941477477,5
CTSD,4,6,ECM Regulators,Matrisome-associated,2.541567047469009,1.0936058164754803,0.8333333333333334,increase,0.1104103655305213,0.35673722730632784,6
ANXA2,5,8,ECM-affiliated Proteins,Matrisome-associated,2.071661406098385,1.8154049069673577,0.625,decrease,0.15499530816267204,-0.22327288469154202,8
DCN,5,8,Proteoglycans,Core matrisome,1.8475398408553385,1.9783240488305602,0.625,increase,0.039109685837506625,0.03162510678876691,8
CTSB,4,7,ECM Regulators,Matrisome-associated,1.9449208779326193,1.6726584574098264,0.5714285714285714,decrease,0.01219885453851921,0.17319559250266922,7
LAMB1,5,8,ECM Glycoproteins,Core matrisome,1.9763422614753987,1.7729664169064865,0.75,decrease,0.02956242747180582,-0.390870314170709,8
THBS1,3,5,ECM Glycoproteins,Core matrisome,2.60359212697632,0.762234480089894,0.6,decrease,0.19713631089692585,-0.11277261616617247,5
COL1A2,5,8,Collagens,Core matrisome,1.9767985663306258,1.7682169608308584,0.75,decrease,0.06358944017899004,-0.19006324886830506,8
ANXA6,5,8,ECM-affiliated Proteins,Matrisome-associated,2.0754620608006324,1.830660190837484,0.625,decrease,0.1464117920367456,-0.07337344173423747,8
SERPINA6,3,5,ECM Regulators,Matrisome-associated,3.0206640511769036,0.38309164103587773,1.0,increase,0.00038881907889948275,0.9884111368166959,5
MMP2,2,4,ECM Regulators,Matrisome-associated,2.7091982510060992,0.3759825872015616,0.75,increase,0.04945747848641907,0.5809673122778218,4
COL4A2,5,8,Collagens,Core matrisome,1.8954582748554545,1.8302080682490327,0.5714285714285714,decrease,0.024773909391799798,-0.029880851256382433,8
SERPINF2,5,8,ECM Regulators,Matrisome-associated,2.163726736840866,1.7010535606021535,0.625,increase,0.09121159986435567,0.6314849186405268,8
ANXA5,5,8,ECM-affiliated Proteins,Matrisome-associated,1.9798877555505192,2.005500208363898,0.5714285714285714,decrease,0.3458412778406894,0.11697529462000113,8
LGALS1,5,8,ECM-affiliated Proteins,Matrisome-associated,1.6830985492556627,2.1682232783029236,0.5,mixed,0.2776926959247077,-0.06786786178979513,8
SPARC,3,5,ECM Glycoproteins,Core matrisome,2.508340881055084,0.9885723966940414,0.6,decrease,0.03070473826330511,-0.033831372794234364,5
ANXA4,5,8,ECM-affiliated Proteins,Matrisome-associated,2.499551777867639,1.4759420360449556,0.75,decrease,0.018084444936372623,-0.17400350633305817,8
HAPLN1,2,4,Proteoglycans,Core matrisome,2.702902662635896,0.45876766807737746,0.5,mixed,0.056370325005037414,0.07003082493605253,4
LAMC1,5,8,ECM Glycoproteins,Core matrisome,1.641273137363118,2.2191789761583482,0.625,decrease,0.16682525438251083,0.028977399988155537,8
COL11A1,3,6,Collagens,Core matrisome,1.9799324220318069,1.353521461078197,1.0,decrease,0.2071845663505174,-0.3995032134135438,6
COL6A1,6,9,Collagens,Core matrisome,1.598464137197341,2.4800494817420473,0.7777777777777778,decrease,0.19461429452018564,-0.10579852024084985,9
COL6A2,5,8,Collagens,Core matrisome,1.542063798412294,2.3961962405808976,0.75,decrease,0.20526505249923277,-0.15430161122764258,8
COL6A3,5,8,Collagens,Core matrisome,1.4414305329715336,2.5352929071846035,1.0,decrease,0.142697434647177,-0.28103339061754185,8
VCAN,5,8,Proteoglycans,Core matrisome,1.8050191756301857,2.374482667337813,0.8,decrease,0.2349220831571417,-0.17802976312669835,10
P4HA1,3,5,ECM Regulators,Matrisome-associated,3.0488001578155632,0.3881044459332413,0.8,decrease,0.014261787898364964,-0.27815130749453176,5
COL11A2,2,5,Collagens,Core matrisome,1.7538165840805777,1.5322156938525224,0.8,decrease,0.09440984391766238,-0.5354841120873555,5
NID1,5,8,ECM Glycoproteins,Core matrisome,1.7024163736218902,2.1238078826746642,0.625,decrease,0.1795310054352668,-0.1411687651239464,8
ELN,4,5,ECM Glycoproteins,Core matrisome,1.7816640613235164,2.1663356971607213,0.5,mixed,0.6450970441167909,0.8678431513062174,7
ACAN,3,6,Proteoglycans,Core matrisome,1.9820393850605884,1.3977103284116001,0.6,increase,0.11955462776326886,0.04174398552878804,6
LGALS3,5,8,ECM-affiliated Proteins,Matrisome-associated,1.8721605409379687,1.9839009930759857,0.75,decrease,0.3651602799311764,-0.23868391246755374,8
IGFBP3,2,4,ECM Glycoproteins,Core matrisome,2.7161746797416066,0.24050784429194116,1.0,increase,0.005933133515533068,0.09365598338169633,4
ITIH2,3,5,ECM Regulators,Matrisome-associated,3.0319352383764717,0.3846970043859148,0.8,increase,0.13177898768431084,0.9440918080613498,5
ITIH1,5,8,ECM Regulators,Matrisome-associated,1.7819596150540022,2.103299924274654,0.875,increase,0.32125759866026526,0.6863276009367996,8
ANXA7,5,8,ECM-affiliated Proteins,Matrisome-associated,2.0784294016741085,1.7601853095535414,0.75,decrease,0.13382082902824788,-0.2543352587880978,8
PZP,2,2,ECM Regulators,Matrisome-associated,0.2850831194892885,0.5929916655917988,,insufficient_data,,,2
OGN,5,8,Proteoglycans,Core matrisome,1.3315467777863037,2.7510257264628484,0.875,increase,0.6147922193682513,0.1754071308006204,8
COL5A1,5,8,Collagens,Core matrisome,1.9926692458455804,1.74573976268494,0.875,decrease,0.0074079806429361295,-0.39481216312967704,8
BGN,5,8,Proteoglycans,Core matrisome,1.6110980211757595,2.3547088278672907,0.625,decrease,0.285118769292674,0.06494913831333936,8
TGM2,4,7,ECM Regulators,Matrisome-associated,1.6649213411508264,2.07893635137765,0.7142857142857143,decrease,0.1490703290969999,-0.10744887936230975,7
TNXB,4,6,ECM Glycoproteins,Core matrisome,2.7640728472584426,0.9496386288171698,1.0,decrease,0.03727287392390444,-0.8810209782365742,6
CPN2,4,7,ECM Regulators,Matrisome-associated,1.9453937746356316,1.7040804778854581,0.6,increase,0.24279039938033398,0.17286787935759046,7
FBLN1,4,7,ECM Glycoproteins,Core matrisome,2.7785572677147927,1.4243166123006552,0.5555555555555556,increase,0.0028193574194650406,0.0837734078718199,9
S100A1,3,5,Secreted Factors,Matrisome-associated,2.968261542742696,0.3215699368447218,0.75,decrease,0.15819740862651505,-0.19408738246277257,5
LAMA2,4,7,ECM Glycoproteins,Core matrisome,1.9876918769654754,1.5267173926053323,0.6666666666666666,decrease,0.15318554748212643,-0.1478338002284711,7
TNC,4,7,ECM Glycoproteins,Core matrisome,1.6660933995081615,2.104041722116086,0.7142857142857143,decrease,0.2741596332481333,-0.2598270242198434,7
S100A4,3,5,Secreted Factors,Matrisome-associated,2.9247875754181507,0.27171942020055595,0.75,decrease,0.12314536602164852,-0.038305191757887005,5
COL8A1,4,7,Collagens,Core matrisome,1.9826585179261276,1.5345052070285718,0.8333333333333334,decrease,0.17530816821227657,-0.04241899405885193,7
LOX,2,4,ECM Regulators,Matrisome-associated,2.7210174907528812,0.2766335324372187,0.75,decrease,0.03902534612926445,-0.3298183974804678,4
SERPINA4,4,7,ECM Regulators,Matrisome-associated,2.1896926699403902,1.579922317242243,0.7142857142857143,increase,0.09065212920006904,0.7310964947436301,7
SERPINB1,5,8,ECM Regulators,Matrisome-associated,2.5479015429617164,1.5146386401951206,0.5,mixed,0.3009390283795088,-0.022516802025168814,8
S100A11,4,7,Secreted Factors,Matrisome-associated,1.976593710186807,1.6438635650272222,0.7142857142857143,decrease,0.10974227946515613,-0.17955150035647158,7
GPC1,3,5,ECM-affiliated Proteins,Matrisome-associated,2.1215993661209205,1.0581383851399548,1.0,decrease,0.05468811465811485,-0.30287485203922204,5
SERPINB6,4,6,ECM Regulators,Matrisome-associated,2.1530388018807263,1.3830837561191822,0.6,decrease,0.19159674576440788,-0.11178659055506883,6
THBS2,2,4,ECM Glycoproteins,Core matrisome,2.697898855556901,0.4562227611070662,0.75,increase,0.03576424415068963,-0.02916411866017604,4
THBS4,3,5,ECM Glycoproteins,Core matrisome,2.9578075953181178,0.4078534153521521,0.75,decrease,0.25896612479791875,-0.06547726530266973,5
FBN1,5,8,ECM Glycoproteins,Core matrisome,1.5555076401417258,2.6456594077948328,0.6,decrease,0.14359086354802963,-0.10195928985589076,10
TIMP3,4,7,ECM Regulators,Matrisome-associated,1.5580608354473675,2.1468645552545498,0.8571428571428571,increase,0.062375289585517635,0.9380965928302631,7
IGFALS,4,7,ECM Glycoproteins,Core matrisome,1.8080925596666404,1.7543626606287572,0.6666666666666666,increase,0.3125498119893917,0.6169740643275367,7
SERPINF1,5,8,ECM Regulators,Matrisome-associated,2.7734982294620694,1.565400983773649,0.6,decrease,0.05599615771547506,0.2940033802248792,10
COL15A1,4,7,Collagens,Core matrisome,1.9156235935798913,1.7203242087288453,0.7142857142857143,decrease,0.021590301019551728,-0.3339225021624553,7
COL18A1,5,8,Collagens,Core matrisome,2.604654210466536,2.014068891533812,0.5,mixed,0.3179175779230474,0.12836395254627464,12
CXCL12,4,7,Secreted Factors,Matrisome-associated,1.6130933799457488,2.118547540150459,0.5714285714285714,increase,0.10010886426743504,0.4352467442360715,7
LMAN1,5,8,ECM-affiliated Proteins,Matrisome-associated,2.0923406532326125,1.581817706444773,0.6,increase,0.004177688308832028,0.004943893402808086,8
THBS3,2,4,ECM Glycoproteins,Core matrisome,2.79782073192169,0.2782070902960726,0.75,decrease,0.14869869703121502,0.023289531905083205,4
SERPINH1,5,8,ECM Regulators,Matrisome-associated,2.2074749147183703,1.784504371099465,0.625,decrease,0.18363056542959155,-0.3356702643667253,8
ANXA11,5,8,ECM-affiliated Proteins,Matrisome-associated,2.019122068278955,1.9512390915286721,0.5,mixed,0.3393066872035,-0.2023888586022872,8
LUM,5,8,Proteoglycans,Core matrisome,1.0477529339591858,3.0411676425571903,0.5,mixed,0.49473111020972227,-0.13042318426503624,8
PRELP,5,8,Proteoglycans,Core matrisome,1.2504088617229279,2.8500784991073087,0.75,increase,0.6071267623940393,0.051389483790773995,8
MFAP2,3,6,ECM Glycoproteins,Core matrisome,1.4555619805571596,1.9467652221629144,0.5,mixed,0.39446086730120866,-0.04790476849141549,6
MFAP4,4,7,ECM Glycoproteins,Core matrisome,1.713578867238138,1.8216962763286313,0.6,increase,0.4472406013894694,-0.04023334539436835,7
LAMB2,5,8,ECM Glycoproteins,Core matrisome,1.5343573783355287,2.326014630535117,0.625,decrease,0.10789547059880311,-0.20265053950050493,8
CCL18,2,4,Secreted Factors,Matrisome-associated,2.426935029575718,0.03564061780920384,0.6666666666666666,decrease,0.02785669244151212,-0.14343041251542296,4
S100A10,4,6,Secreted Factors,Matrisome-associated,2.229806048019984,1.2464208153264569,0.5,mixed,0.15645075531369557,-0.048906274071570055,6
SRPX,3,5,ECM Glycoproteins,Core matrisome,2.8164760071779513,0.3593972099024587,0.75,decrease,0.0025013501720902998,0.06704858255811784,5
FBLN2,3,5,ECM Glycoproteins,Core matrisome,3.012405693357116,0.28524704253467115,0.6,decrease,0.04317153346183167,-0.2498762109792548,5
HSPG2,5,8,Proteoglycans,Core matrisome,1.986608651054978,1.7542888649036186,0.625,decrease,0.014731364122364532,-0.09075654025186997,8
COL7A1,3,6,Collagens,Core matrisome,1.9967984945764987,1.4208033566218665,0.5,mixed,0.0014253587280408375,-0.0115021284978013,6
PLOD1,3,5,ECM Regulators,Matrisome-associated,2.9209853044444745,0.3508400856613077,0.75,increase,0.15272375067385024,0.10890747088501046,5
COL14A1,5,8,Collagens,Core matrisome,1.7096447992685384,2.2102447599430275,0.875,decrease,0.14886914781414062,-0.3807757585407655,8
ITIH3,4,7,ECM Regulators,Matrisome-associated,1.8784605092137023,1.6692129815209908,0.8,increase,0.18561356272963536,0.4564250217936337,7
FMOD,4,6,Proteoglycans,Core matrisome,2.512411865033418,1.1277698995116214,0.6666666666666666,decrease,0.12239315580523003,-0.3198289781519718,6
COL16A1,4,7,Collagens,Core matrisome,1.9870195362889136,1.6066742929839355,0.5714285714285714,decrease,0.03303804800207466,-0.13422573477741304,7
DPT,5,8,ECM Glycoproteins,Core matrisome,1.6351844969357245,2.351343756138251,0.5,mixed,0.42600355178396754,0.009547146217448718,8
MFGE8,4,7,ECM Glycoproteins,Core matrisome,1.9620124983338796,1.6473141259259934,0.5714285714285714,decrease,0.053412131809859265,-0.0055643955264057755,7
EFEMP1,5,8,ECM Glycoproteins,Core matrisome,1.951435140515036,1.8282086183322124,0.875,increase,0.08157516197758241,0.29506366333491474,8
FSTL1,2,4,Secreted Factors,Matrisome-associated,2.719191415504223,0.21015596845959564,1.0,decrease,0.011857557965370802,-0.194296005335588,4
SEMA3B,2,5,ECM-affiliated Proteins,Matrisome-associated,1.9732933492766198,1.2365703709887041,0.6,decrease,0.050304793063380204,-0.03677307846462818,5
ADAM15,2,3,ECM Regulators,Matrisome-associated,1.9516165215164276,0.5731870889984826,0.5,mixed,0.7835906519362482,-0.17046702418052917,3
COL9A2,2,5,Collagens,Core matrisome,1.9475786757705262,1.2944581885383049,1.0,decrease,0.000540158103710553,-0.20120650622796296,5
NID2,5,8,ECM Glycoproteins,Core matrisome,1.9150327276036014,1.8658054361375358,0.625,decrease,0.012978361913859038,-0.2573734230501411,8
ITIH4,5,8,ECM Regulators,Matrisome-associated,2.801289970999856,1.5734052761923494,0.5,mixed,0.06119322311312092,0.5912591915744232,10
LTBP1,4,7,ECM Glycoproteins,Core matrisome,1.5324643604328174,1.9714848774529887,1.0,increase,0.6138242952580937,0.2513254655091098,7
LTBP2,2,4,ECM Glycoproteins,Core matrisome,2.697215439504105,0.2702675165963017,0.75,increase,0.0055756264433148295,0.10613808308582119,4
POSTN,5,8,ECM Glycoproteins,Core matrisome,2.1102175184235703,1.7235082785718299,0.5,mixed,0.03705879437693693,0.30232196370101705,8
PCOLCE,2,4,ECM Glycoproteins,Core matrisome,2.731091941926751,0.35275799099730304,0.75,decrease,0.05002129219836937,-0.28687092978059164,4
FCN2,2,5,ECM-affiliated Proteins,Matrisome-associated,1.0437530390232346,1.850655065336915,0.5,mixed,1.3772335120532897,-0.0754987072813715,5
TGFBI,5,8,ECM Glycoproteins,Core matrisome,2.7071806219688073,1.6500256065678305,0.7,decrease,0.12762092638614808,-0.09712594604797922,10
ADIPOQ,3,5,ECM Glycoproteins,Core matrisome,2.260993367050815,0.21540939351589233,1.0,increase,0.07809977190075701,0.4268784384430349,5
IGFBP7,3,6,ECM Glycoproteins,Core matrisome,2.0024309801880724,1.564130489686307,0.6666666666666666,decrease,0.09429332291002646,-0.06067927335963357,6
LAMA4,5,8,ECM Glycoproteins,Core matrisome,1.9558908249593856,1.8286766591679569,0.75,decrease,0.0330919381824577,-0.1450781770162956,8
ECM1,4,7,ECM Glycoproteins,Core matrisome,1.7340314218785298,1.974810983421528,0.8571428571428571,increase,0.36610042029783973,0.5230263321353391,7
COL28A1,3,5,Collagens,Core matrisome,2.692845112506923,0.35597939926131655,0.6666666666666666,decrease,0.055638470132002626,-0.1146388882790393,5
P3H1,3,5,ECM Regulators,Matrisome-associated,3.105916269453204,0.4148234900051395,0.6,decrease,0.10508294686933056,-0.5164161189550107,5
FNDC1,3,6,ECM Glycoproteins,Core matrisome,1.959606235105389,1.3928457904877491,0.8,decrease,0.22523960009293753,0.02169980373666231,6
FBLN7,2,4,ECM Glycoproteins,Core matrisome,2.6388967835872528,0.21151171325352136,0.6666666666666666,increase,0.2605228522882194,-0.008508612556035225,4
ANXA8,2,2,ECM-affiliated Proteins,Matrisome-associated,0.2820396688683754,0.5906419720848011,,insufficient_data,,,2
VWA1,4,7,ECM Glycoproteins,Core matrisome,1.7686833506865243,1.9408592292534472,1.0,decrease,0.14526378867396916,-0.30425662999667724,7
CSPG4,3,5,ECM-affiliated Proteins,Matrisome-associated,3.019788866670801,0.47116904803750026,0.8,decrease,0.0320407640558642,-0.2667594842421436,5
PLXDC2,2,4,ECM-affiliated Proteins,Matrisome-associated,2.6298526050067332,0.2931172772203147,1.0,increase,0.3898709309439245,0.17504197831317672,4
VIT,2,4,ECM Glycoproteins,Core matrisome,2.6657212625019415,0.44618356738838705,1.0,decrease,0.013892430565577707,-0.9767647112103883,4
CD109,3,5,ECM Regulators,Matrisome-associated,3.0487949400270327,0.4475454845885152,1.0,decrease,0.05918406615590932,-0.5215845234201113,5
ABI3BP,4,6,ECM Glycoproteins,Core matrisome,2.8882856433050517,0.8167488394528221,0.6666666666666666,decrease,0.03500695254075703,-0.03943086323048154,6
ITIH5,4,7,ECM Regulators,Matrisome-associated,1.9837320613699125,1.5330419086698543,1.0,decrease,0.16362079743600222,-0.2880071297414567,7
ANGPTL5,2,4,Secreted Factors,Matrisome-associated,2.6318172830261983,0.2892022156654124,0.6666666666666666,increase,0.3515356896523465,-0.08083664715925713,4
AEBP1,5,8,ECM Glycoproteins,Core matrisome,1.9960536730237752,1.753195777533912,0.5,mixed,0.04787079619796031,-0.1801707367762912,8
LTBP4,4,7,ECM Glycoproteins,Core matrisome,1.7394063370579254,1.8786037961743776,0.5,mixed,0.35890602323411924,-0.11229399272914999,7
PXDN,4,7,ECM Glycoproteins,Core matrisome,2.0009975888957987,1.7630506938225214,0.75,increase,0.01733570569972631,0.04964033702233864,8
HTRA1,3,6,ECM Regulators,Matrisome-associated,1.61665841209857,1.9849929402386226,0.8333333333333334,increase,0.029055754318423554,0.449299675319099,6
PRG4,2,4,Proteoglycans,Core matrisome,2.6183472058089974,0.33414950587309933,1.0,increase,0.43502738941355235,0.9799352703394154,4
CTHRC1,2,4,ECM Glycoproteins,Core matrisome,2.7179261732889977,0.3288524964229051,0.5,mixed,0.0263868013728637,-0.019953335375555978,4
HMCN1,2,4,ECM Glycoproteins,Core matrisome,2.760666584948107,0.4105989194315529,0.5,mixed,0.11713470833223849,-0.2636704084857344,4
