Protein,Mean_Zscore_Delta,Std_Zscore_Delta,Consistency,N_Studies,N_Tissues,Temporal_Pattern,Matrisome_Division,Matrisome_Category
Smoc2,0.8698545566693375,1.3427312493762484,-0.3844666090835718,4,4,Chronic_Change,Core matrisome,ECM Glycoproteins
ELN,0.8678431513062174,1.0840676616589233,-0.12008610093055627,6,4,Chronic_Change,Core matrisome,ECM Glycoproteins
Fth1,0.8362570170983721,0.22237999162500044,0.762479759762767,4,4,Late_Increase,Non-ECM,Non-ECM
PLG,0.8340519123414248,1.302190164037682,-0.3941303977135817,8,8,Chronic_Change,Matrisome-associated,ECM Regulators
Ppt1,0.7948489901554837,0.3708793106979916,0.5855397784674822,4,4,Late_Increase,Non-ECM,Non-ECM
Ctsf,0.7774724633378417,0.7859450480119888,0.10430802008041273,7,7,Chronic_Change,Matrisome-associated,ECM Regulators
SEMA3A,0.7766243461598726,0.3067179415876878,0.6501147350843132,3,3,Late_Increase,Matrisome-associated,ECM-affiliated Proteins
Comp,0.7606552753374543,0.45302993924437157,0.4736220735221275,4,4,Chronic_Change,Core matrisome,ECM Glycoproteins
SERPINA4,0.7310964947436301,0.9406220176703922,-0.1317843639330325,7,7,Chronic_Change,Matrisome-associated,ECM Regulators
FGA,0.7075108772488362,1.1404350224337512,-0.4122844094920144,10,8,Chronic_Change,Core matrisome,ECM Glycoproteins
LOXL1,0.6937783601977471,0.5156736914516284,0.35035556862098993,2,2,Chronic_Change,Matrisome-associated,ECM Regulators
SERPINC1,0.6917881033815407,1.428194084767489,-0.8037579482035762,8,8,Chronic_Change,Matrisome-associated,ECM Regulators
ITIH1,0.6863276009367996,1.0573837488130424,-0.34471147592087226,8,8,Chronic_Change,Matrisome-associated,ECM Regulators
LRG1,0.6621244494612865,0.6310172512051807,0.1720285950001733,4,4,Chronic_Change,Core matrisome,ECM Glycoproteins
KNG1,0.6527320983499096,0.893276362458417,-0.18671219736291222,7,7,Chronic_Change,Matrisome-associated,ECM Regulators
Gstm2,0.6497362354779427,0.09721853178852005,0.8703296877113789,4,4,Late_Increase,Non-ECM,Non-ECM
SERPIND1,0.6416155630658318,0.8597446669079687,-0.1592861716032392,7,7,Chronic_Change,Matrisome-associated,ECM Regulators
HRG,0.6332291739319413,0.870078244110057,-0.18663887777986599,8,8,Chronic_Change,Matrisome-associated,ECM Regulators
SERPINF2,0.6314849186405268,0.8502314817746149,-0.1623363108494158,8,8,Chronic_Change,Matrisome-associated,ECM Regulators
FCN3,0.6303325475721668,0.2669253078971057,0.6345153878401812,3,3,Late_Increase,Matrisome-associated,ECM-affiliated Proteins
AMBP,0.6179412953407062,0.696355053324007,0.03006686223064403,8,8,Chronic_Change,Matrisome-associated,ECM Regulators
IGFALS,0.6169740643275367,0.7951809928708239,-0.10907915981122551,6,6,Chronic_Change,Core matrisome,ECM Glycoproteins
Angptl2,0.6060683479185923,0.17991080902173343,0.7451934935872857,4,4,Late_Increase,Matrisome-associated,Secreted Factors
ITIH4,0.5912591915744232,1.164031929982636,-0.6839297678363134,10,8,Chronic_Change,Matrisome-associated,ECM Regulators
Fam213a,0.589164138815103,0.1282801491800146,0.8138612531398255,4,4,Late_Increase,Non-ECM,Non-ECM
MMP2,0.5809673122778218,0.7814185677080954,-0.14751259512628612,4,4,Chronic_Change,Matrisome-associated,ECM Regulators
Cxcl12,0.5657850903935682,0.21026299638166565,0.6841878867287761,2,2,Late_Increase,Matrisome-associated,Secreted Factors
Col4a3,0.5503172926340834,0.1198475830500809,0.8157090632410477,3,3,Late_Increase,Core matrisome,Collagens
Col11a2,0.5480735216082906,1.8637486260376672,-1.8758289976305442,2,2,Chronic_Change,Core matrisome,Collagens
Hc,0.5471800440083119,0.7062840308688586,-0.09132541617705936,4,4,Chronic_Change,Non-ECM,Non-ECM
CSTB,0.5237034207287398,0.8035793723714344,-0.2883998157850829,5,5,Chronic_Change,Matrisome-associated,ECM Regulators
ECM1,0.5230263321353391,0.5445438594564033,0.12596975220926487,7,7,Chronic_Change,Core matrisome,ECM Glycoproteins
MASP1,0.5202177878722383,0.17322878850888848,0.7206968392454866,2,2,Late_Increase,Matrisome-associated,ECM Regulators
ANGPTL2,0.49579426681827665,0.13768953554024502,0.7688975151178457,4,4,Chronic_Change,Matrisome-associated,Secreted Factors
Sema3c,0.48412940958823797,0.23829366352078768,0.5920533025571086,4,4,Chronic_Change,Matrisome-associated,ECM-affiliated Proteins
F2,0.4784004036981658,0.8856013941787313,-0.5311216736993776,14,13,Chronic_Change,Matrisome-associated,ECM Regulators
INHBC,0.4773647345473106,0.3412571334619521,0.4089401152470481,2,2,Chronic_Change,Matrisome-associated,Secreted Factors
Apod,0.46313494957556,0.4963319063073154,0.11862705967476295,4,4,Chronic_Change,Non-ECM,Non-ECM
ITIH3,0.4564250217936337,0.5207544407867413,0.06410671628660503,5,5,Chronic_Change,Matrisome-associated,ECM Regulators
A2M,0.4526963934658959,0.5945053046259258,-0.07564534824960756,8,8,Chronic_Change,Matrisome-associated,ECM Regulators
Srpx,0.45259696461881926,0.4588222738067495,0.1696981648763768,2,2,Chronic_Change,Core matrisome,ECM Glycoproteins
HTRA1,0.449299675319099,0.3799134044547692,0.3083676879399755,6,6,Chronic_Change,Matrisome-associated,ECM Regulators
Ppp1r1a,0.4411375943374869,0.44688612269101113,0.17417284001838296,2,2,Chronic_Change,Non-ECM,Non-ECM
HTRA3,0.4403139319156351,0.14967528180593012,0.7229845966116963,3,3,Chronic_Change,Matrisome-associated,ECM Regulators
CXCL12,0.4352467442360715,0.9137175816376066,-0.7070960103488455,7,7,Chronic_Change,Matrisome-associated,Secreted Factors
Hrg,0.43404007909942166,0.4271247735399993,0.2002009020366392,4,4,Chronic_Change,Matrisome-associated,ECM Regulators
Mfge8,0.4329152409585449,0.44427483223387576,0.16633115721223002,10,10,Chronic_Change,Core matrisome,ECM Glycoproteins
COL10A1,0.43007233462145184,0.06563273025211015,0.8761815586942838,2,2,Chronic_Change,Core matrisome,Collagens
ADIPOQ,0.4268784384430349,0.2757964151573623,0.4765464003948211,2,2,Chronic_Change,Core matrisome,ECM Glycoproteins
Itih3,0.4243490387790778,0.26524457632092524,0.4941450127599455,8,8,Chronic_Change,Matrisome-associated,ECM Regulators
S100A7,0.41961148294373474,0.6031528212530969,-0.160776543728554,3,3,Chronic_Change,Matrisome-associated,Secreted Factors
Ambp,0.4187678254194361,0.31846308787950023,0.3861163467067078,7,7,Chronic_Change,Matrisome-associated,ECM Regulators
Pla2g7,0.4151469795374391,0.19455925589085266,0.622322825098283,3,3,Chronic_Change,Non-ECM,Non-ECM
Aspn,0.4126795693589933,0.6040202114096187,-0.17816321833309878,8,8,Chronic_Change,Core matrisome,Proteoglycans
SERPINE2,0.4082565941477477,0.2958116764011817,0.4179875287261089,4,4,Chronic_Change,Matrisome-associated,ECM Regulators
Hapln2,0.3973284483517803,0.09867139779475455,0.8015971173139882,2,2,Chronic_Change,Core matrisome,Proteoglycans
Alpl,0.39549052913049204,0.3792036291949731,0.23469045945153422,4,4,Chronic_Change,Non-ECM,Non-ECM
Thbs1,0.3902979874342554,0.7860988911252252,-0.6033084191083571,4,4,Chronic_Change,Core matrisome,ECM Glycoproteins
SERPINA1,0.3900365751958458,0.5150919468443278,-0.05112959504801973,10,8,Chronic_Change,Matrisome-associated,ECM Regulators
Cdnf,0.3806571223507656,0.25327575867310465,0.47306354801443373,4,4,Chronic_Change,Non-ECM,Non-ECM
Ces1d,0.37289938212478,0.7881250738500818,-0.6665808914973923,4,4,Chronic_Change,Non-ECM,Non-ECM
CTSZ,0.3718366432846391,0.24045168052753452,0.4903921008473262,4,4,Chronic_Change,Matrisome-associated,ECM Regulators
NTN3,0.364636027519893,0.5350409550530665,-0.15152705206476735,2,2,Chronic_Change,Core matrisome,ECM Glycoproteins
SERPINA7,0.3637666045159409,0.7237230865564152,-0.5605329911837991,3,3,Chronic_Change,Matrisome-associated,ECM Regulators
CTSD,0.35673722730632784,0.35568701156527865,0.22124365981071226,6,6,Chronic_Change,Matrisome-associated,ECM Regulators
EBI3,0.35667127164328377,0.8399634440990439,-0.8393174615003114,2,2,Chronic_Change,Matrisome-associated,Secreted Factors
Pebp1,0.34764380169965486,0.23313208744283143,0.47920179714841526,4,4,Chronic_Change,Non-ECM,Non-ECM
F12,0.34510577740472914,0.44620947621480817,-0.0024796326314036055,7,6,Chronic_Change,Matrisome-associated,ECM Regulators
Ctsd,0.3406239855236033,0.3439748072344729,0.21934615786809708,10,10,Chronic_Change,Matrisome-associated,ECM Regulators
SFRP1,0.3353492499187324,0.49898693442867975,-0.14617616665660216,2,2,Chronic_Change,Matrisome-associated,Secreted Factors
ANGPTL4,0.3316414169098383,0.3871353885226085,0.1031087996741662,2,2,Chronic_Change,Matrisome-associated,Secreted Factors
Gpx3,0.3219618561277561,0.12651141148972697,0.7001828254082201,4,4,Chronic_Change,Non-ECM,Non-ECM
Clu,0.3119124778682617,0.18776179416216465,0.5441706569952105,4,4,Chronic_Change,Non-ECM,Non-ECM
Col4a4,0.3092273610429659,0.0951070902052287,0.7675935207195417,2,2,Chronic_Change,Core matrisome,Collagens
S100A7A,0.30812756427078014,0.1282084109279174,0.6858619163422761,2,2,Chronic_Change,Matrisome-associated,Secreted Factors
INHBA,0.30496775933932657,0.3759973898377219,0.07153747139986555,3,3,Chronic_Change,Matrisome-associated,Secreted Factors
POSTN,0.30232196370101705,0.8677614442551591,-1.156883099974205,8,8,Chronic_Change,Core matrisome,ECM Glycoproteins
Ctsb,0.29944733092727577,0.34875397375641204,0.12690873926528523,10,10,Chronic_Change,Matrisome-associated,ECM Regulators
CCN5,0.2974546749132226,0.37630868543394175,0.053203524361357,5,5,Chronic_Change,Core matrisome,ECM Glycoproteins
COMP,0.2967765920416349,0.12555727189015267,0.6835567560977045,3,3,Chronic_Change,Core matrisome,ECM Glycoproteins
EFEMP1,0.29506366333491474,0.2694660387998126,0.3179174300032419,8,8,Chronic_Change,Core matrisome,ECM Glycoproteins
SERPINF1,0.2940033802248792,0.8929813362556182,-1.2664306477420193,10,8,Chronic_Change,Matrisome-associated,ECM Regulators
Gfer,0.2939805856201262,0.19998109885742366,0.4924087476476714,4,4,Chronic_Change,Non-ECM,Non-ECM
Itih1,0.29094298646440936,0.35213431097199344,0.09926939946766133,9,9,Chronic_Change,Matrisome-associated,ECM Regulators
Gsto1,0.28726115657276263,0.20522805767560634,0.47005256222477354,4,4,Chronic_Change,Non-ECM,Non-ECM
ADAMTSL4,0.28436006551304005,0.6377814787819664,-0.6593333595431201,3,3,Chronic_Change,Matrisome-associated,ECM Regulators
Naxe,0.28034085492071065,0.059966960490893756,0.8423336338574645,4,4,Chronic_Change,Non-ECM,Non-ECM
MMP3,0.2791378212647263,0.23257870249138393,0.386558951793443,3,3,Chronic_Change,Matrisome-associated,ECM Regulators
SERPINA3,0.2750957077975833,0.4664704073186903,-0.24360369266186455,10,8,Chronic_Change,Matrisome-associated,ECM Regulators
COL4A5,0.27394385251958375,0.6274427038078301,-0.6779061871995085,4,2,Chronic_Change,Core matrisome,Collagens
Mif,0.2717451880984444,0.1462638947560767,0.6065479811473886,4,4,Chronic_Change,Non-ECM,Non-ECM
Col4a1,0.27143571270801725,0.2239842247560327,0.3969771427657389,10,10,Chronic_Change,Core matrisome,Collagens
Cfi,0.2688985139460397,0.21775377353790756,0.40971902757580825,4,4,Chronic_Change,Non-ECM,Non-ECM
FREM2,0.26849254297191794,0.5322688744645334,-0.444449513609551,2,2,Chronic_Change,Matrisome-associated,ECM-affiliated Proteins
Serpinb6a,0.2667496967034667,0.33252318370871287,0.09332390265731416,10,10,Chronic_Change,Matrisome-associated,ECM Regulators
COL22A1,0.2665164442222181,0.08286761838681313,0.7739047737335063,2,2,Chronic_Change,Core matrisome,Collagens
Mmrn1,0.2654502395691259,0.33099576158748534,0.0942795331650711,3,3,Chronic_Change,Core matrisome,ECM Glycoproteins
Ctss,0.2634879546289103,0.29499915115770603,0.18842110886762498,5,5,Chronic_Change,Matrisome-associated,ECM Regulators
Dbi,0.2614891843673119,0.25169688130435874,0.30372223516206887,4,4,Chronic_Change,Non-ECM,Non-ECM
Serpina3n,0.2602453639514771,0.2785573086152893,0.2267567150348968,6,6,Chronic_Change,Matrisome-associated,ECM Regulators
PODN,0.25969911617445274,1.0370129539854953,-1.8830011177523938,2,2,Chronic_Change,Core matrisome,Proteoglycans
Fetub,0.25905854719212806,0.3373441280082733,0.060475984637223035,4,4,Chronic_Change,Non-ECM,Non-ECM
Akr1b3,0.2572940827430622,0.1274581952092817,0.6432681049998256,4,4,Chronic_Change,Non-ECM,Non-ECM
Hspb6,0.2563492331972402,0.20082645056234144,0.4364336110380137,4,4,Chronic_Change,Non-ECM,Non-ECM
Them6,0.2547747658241129,0.0444804795073216,0.8746233278345007,4,4,Chronic_Change,Non-ECM,Non-ECM
Hpx,0.25471393542323534,0.17502681448395135,0.5065691053972436,7,7,Chronic_Change,Matrisome-associated,ECM-affiliated Proteins
Vtn,0.2537413164355531,0.2227112217068564,0.3704121872135584,8,8,Chronic_Change,Core matrisome,ECM Glycoproteins
CPAMD8,0.25342864493153283,0.2285879730721588,0.35322737319030406,2,2,Chronic_Change,Matrisome-associated,ECM Regulators
CCL21,0.2518597660059456,0.13589695171681193,0.6137752455774793,2,2,Chronic_Change,Matrisome-associated,Secreted Factors
LTBP1,0.2513254655091098,0.2552445981001027,0.2734810790609079,4,4,Chronic_Change,Core matrisome,ECM Glycoproteins
Pcolce2,0.25004956679272483,0.11682190603441897,0.6662703882059284,2,2,Chronic_Change,Core matrisome,ECM Glycoproteins
Col6a5,0.24683398592755842,0.5059648720830705,-0.4588099569594919,3,3,Chronic_Change,Core matrisome,Collagens
C1QB,0.24496743863676307,0.5656644034313658,-0.6397617284308037,6,6,Chronic_Change,Matrisome-associated,ECM-affiliated Proteins
PRG3,0.24254037680676965,0.41678422152193717,-0.2167447978170738,2,2,Chronic_Change,Core matrisome,Proteoglycans
Serpina1a,0.23883278804817995,0.24555314327745714,0.27529698441538963,6,6,Chronic_Change,Matrisome-associated,ECM Regulators
Dhrs11,0.23755009305753466,0.21390513615212078,0.36630106004544605,4,4,Chronic_Change,Non-ECM,Non-ECM
SFRP2,0.23403416885320089,0.1865532579294154,0.44151444575300147,2,2,Chronic_Change,Matrisome-associated,Secreted Factors
Fcna,0.23268200006754586,0.39034806809591466,-0.17333690436110327,2,2,Chronic_Change,Matrisome-associated,ECM-affiliated Proteins
FN1,0.2288793111476802,0.5819360166150885,-0.7694515796214847,8,8,Chronic_Change,Core matrisome,ECM Glycoproteins
CLEC11A,0.2272398453138574,0.13611118091924687,0.5840629346689064,3,3,Chronic_Change,Matrisome-associated,ECM-affiliated Proteins
ADAMTS5,0.22391331581593127,0.07020217956574668,0.7832686211466523,2,2,Chronic_Change,Matrisome-associated,ECM Regulators
Angpt1,0.22365470991707495,0.03255919815103261,0.8994014387759883,2,2,Chronic_Change,Matrisome-associated,Secreted Factors
Serpina3m,0.22314271543849673,0.11395743182855228,0.6473464312079111,6,6,Chronic_Change,Matrisome-associated,ECM Regulators
Psap,0.22310651923562744,0.2920652625657393,0.09607127935184478,4,4,Chronic_Change,Non-ECM,Non-ECM
CLEC5A,0.22056644923281052,0.3513444798593072,-0.09601139077453569,2,2,Chronic_Change,Matrisome-associated,ECM-affiliated Proteins
Lgals3,0.21783895184111568,0.26517956202209986,0.16567947230501712,3,3,Chronic_Change,Matrisome-associated,ECM-affiliated Proteins
S100a6,0.2158892192116991,0.10235078661011966,0.6759915173251692,6,6,Chronic_Change,Matrisome-associated,Secreted Factors
S100A9,0.2156586334038839,0.44528292171087863,-0.4106470553623065,11,8,Chronic_Change,Matrisome-associated,Secreted Factors
Htra1,0.21231720904722895,0.2121604585391295,0.32068918268590707,6,6,Chronic_Change,Matrisome-associated,ECM Regulators
OMD,0.21073914086328185,0.33288705716988565,-0.07127494864365458,4,4,Chronic_Change,Core matrisome,Proteoglycans
Cpa3,0.20898202127617832,0.28833892921729404,0.06681001041297752,4,4,Chronic_Change,Non-ECM,Non-ECM
Gstm1,0.2074412061493101,0.1485242928570585,0.5169018014295486,4,4,Chronic_Change,Non-ECM,Non-ECM
Ttr,0.20729551385514908,0.12266673910056362,0.6008183212255241,4,4,Chronic_Change,Non-ECM,Non-ECM
Clec10a,0.2048128948537423,0.16695728951777883,0.4522630363197411,2,2,Chronic_Change,Matrisome-associated,ECM-affiliated Proteins
PDGFC,0.20294891524298872,0.08415364993135925,0.7222183487144642,3,3,Chronic_Change,Matrisome-associated,Secreted Factors
Cma1,0.19869858032458715,0.2038340993275082,0.31759267450816964,4,4,Stable,Non-ECM,Non-ECM
Cstb,0.19831588875001813,0.2955509755523142,0.009268407423048353,9,9,Stable,Matrisome-associated,ECM Regulators
F13A1,0.19198984504920671,0.8305278036512844,-1.8443722195589447,7,7,Stable,Matrisome-associated,ECM Regulators
S100a5,0.19065449428478123,0.29925072530991403,-0.02957542785046452,2,2,Stable,Matrisome-associated,Secreted Factors
Igfbp5,0.18557086252393934,0.21496748707686145,0.24723592184114807,5,5,Stable,Core matrisome,ECM Glycoproteins
Col4a2,0.18556267998988407,0.1882322958765552,0.3408371994434872,10,10,Stable,Core matrisome,Collagens
Itih4,0.18521850792353833,0.15618094624387968,0.4524165090795972,8,8,Stable,Matrisome-associated,ECM Regulators
Gstm5,0.18472964447974596,0.25586701012876367,0.10136856105629499,4,4,Stable,Non-ECM,Non-ECM
Wnt4,0.18369325241211873,0.25097149309425,0.11534204299767459,2,2,Stable,Matrisome-associated,Secreted Factors
ITIH6,0.18192102139412494,0.2820405170532559,-0.0004238621814720567,3,3,Stable,Matrisome-associated,ECM Regulators
COL4A6,0.1801396184523861,0.498332605446236,-0.778872293034607,5,3,Stable,Core matrisome,Collagens
Pdap1,0.1791271575877445,0.16598447704040004,0.40534458031650944,4,4,Stable,Non-ECM,Non-ECM
Actg1,0.17838986654018077,0.6072971560110267,-1.1814628655794621,2,2,Stable,Non-ECM,Non-ECM
Tpt1,0.17545757343974802,0.1653554440085384,0.39970630705963406,4,4,Stable,Non-ECM,Non-ECM
OGN,0.1754071308006204,0.27844221656427537,-0.011020360129499363,8,8,Stable,Core matrisome,Proteoglycans
PLXDC2,0.17504197831317672,0.15739161483670552,0.4277542075504872,3,3,Stable,Matrisome-associated,ECM-affiliated Proteins
CTSB,0.17319559250266922,0.45341785855486944,-0.659682187407322,7,7,Stable,Matrisome-associated,ECM Regulators
Ces1c,0.1731362991918946,0.20406986144409367,0.252864368273796,4,4,Stable,Non-ECM,Non-ECM
CPN2,0.17286787935759046,0.6970085554828092,-1.5543811060641066,5,5,Stable,Matrisome-associated,ECM Regulators
Orm1,0.17243384044013263,0.13540398243059862,0.5029839824162605,4,4,Stable,Non-ECM,Non-ECM
Hspa5,0.17138905423694464,0.21769184112991224,0.19786064422535765,4,4,Stable,Non-ECM,Non-ECM
ADAM19,0.1661997470001283,0.09394074700564962,0.6471042964379513,2,2,Stable,Matrisome-associated,ECM Regulators
Rnh1,0.16564272813652675,0.10321924224072952,0.6114358448100258,4,4,Stable,Non-ECM,Non-ECM
Mbl1,0.1652780335318328,0.29648578492695116,-0.11764167194557218,4,4,Stable,Matrisome-associated,ECM-affiliated Proteins
CCL14,0.16469924360879287,0.14367353634735086,0.45721969436493604,3,3,Stable,Matrisome-associated,Secreted Factors
Fabp3,0.16422005596912295,0.1753700969086922,0.3362725767903624,4,4,Stable,Non-ECM,Non-ECM
CXCL14,0.16368400110841705,0.10911785151831711,0.5861794759650514,2,2,Stable,Matrisome-associated,Secreted Factors
Asah1,0.16210733241592556,0.0655914385511652,0.7497535153000554,3,3,Stable,Non-ECM,Non-ECM
SMOC1,0.1615638362717971,0.277411323782935,-0.06058745634343099,3,3,Stable,Core matrisome,ECM Glycoproteins
ADAMTSL5,0.15951023835203218,0.562855944528793,-1.1689161402767652,2,2,Stable,Matrisome-associated,ECM Regulators
Serpina10,0.15885805522263724,0.11761346671975621,0.5456449419022336,2,2,Stable,Matrisome-associated,ECM Regulators
Cp,0.1568294051992908,0.09685601458845103,0.622878016972807,4,4,Stable,Non-ECM,Non-ECM
SERPINI2,0.15611754060839866,0.08648145919203559,0.6623368357098784,2,2,Stable,Matrisome-associated,ECM Regulators
Serpine2,0.15593328115821117,0.3066516074601719,-0.19817010930519818,9,9,Stable,Matrisome-associated,ECM Regulators
Cbln4,0.15587224531348293,0.024458589155840885,0.9044109331753613,2,2,Stable,Matrisome-associated,Secreted Factors
Trf,0.1537597363424321,0.1600715361834782,0.3692004157528278,4,4,Stable,Non-ECM,Non-ECM
F10,0.15318295554184885,0.22284353009773836,0.11983202178511454,7,6,Stable,Matrisome-associated,ECM Regulators
Ache,0.15257381335870562,0.2849667482968538,-0.12825135950314714,4,4,Stable,Non-ECM,Non-ECM
SFRP4,0.15200410944741996,0.2026000496385686,0.1960446594191727,3,3,Stable,Matrisome-associated,Secreted Factors
GDF5,0.1518947261098848,0.26341522275822726,-0.045735362650335176,3,3,Stable,Matrisome-associated,Secreted Factors
A2m,0.150456705868355,0.0646097971047369,0.7420320734446731,3,3,Stable,Matrisome-associated,ECM Regulators
Papln,0.14999218593013172,0.2230588532404778,0.1077366982069643,5,5,Stable,Core matrisome,ECM Glycoproteins
Serpinc1,0.14856839188312582,0.148572734241834,0.40228629587107234,10,10,Stable,Matrisome-associated,ECM Regulators
Aebp1,0.14787392529900728,0.22462979102459363,0.09377401937849872,6,6,Stable,Core matrisome,ECM Glycoproteins
SPON1,0.14653726475401618,0.745881902307045,-2.0254326989927973,4,4,Stable,Core matrisome,ECM Glycoproteins
Mgp,0.14633013047034,0.14025698088685054,0.4306137839530819,2,2,Stable,Core matrisome,ECM Glycoproteins
SPON2,0.14520812386599793,0.12927763132591558,0.4727840607900756,3,3,Stable,Core matrisome,ECM Glycoproteins
Alad,0.1450754277503022,0.12869550473184282,0.4748738953014675,4,4,Stable,Non-ECM,Non-ECM
ANGPTL6,0.14428050186534644,0.15581526168698515,0.3621461373414304,2,2,Stable,Matrisome-associated,Secreted Factors
Lamb2,0.140951961234512,0.14808765636899626,0.3854058891644938,10,10,Stable,Core matrisome,ECM Glycoproteins
LGALS2,0.14063018777017686,0.6008621664357762,-1.4970356878483293,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
Sfrp1,0.14062458045705759,0.042328872332866016,0.8240874965788455,2,2,Stable,Matrisome-associated,Secreted Factors
Serpina1b,0.1382530395832279,0.20887008436079008,0.12332667517626195,9,9,Stable,Matrisome-associated,ECM Regulators
Bgn,0.13789025893583065,0.18662157024653228,0.21551403121187807,11,10,Stable,Core matrisome,Proteoglycans
Gc,0.1364379744770201,0.2768487077100005,-0.17091473280620573,4,4,Stable,Non-ECM,Non-ECM
Sord,0.13425840097974798,0.09655925953099544,0.5878087653328465,4,4,Stable,Non-ECM,Non-ECM
Sod1,0.1308741302964665,0.17408840409498982,0.24595967564039278,4,4,Stable,Non-ECM,Non-ECM
C1QC,0.12993291100059914,0.23691018140010778,-0.030344809575739484,6,6,Stable,Matrisome-associated,ECM-affiliated Proteins
Il1rap,0.12837701973057383,0.0778193921694788,0.65925033849165,3,3,Stable,Non-ECM,Non-ECM
COL18A1,0.12836395254627464,0.7556403458513883,-2.3089300540910402,12,8,Stable,Core matrisome,Collagens
Cfh,0.12512010615323926,0.16895161705368839,0.2495045425276985,4,4,Stable,Non-ECM,Non-ECM
Tsg101,0.12086099598284172,0.15288252726856755,0.3077884730699816,4,4,Stable,Non-ECM,Non-ECM
SERPING1,0.12024208660375194,0.4634427836317911,-1.104242612201514,10,8,Stable,Matrisome-associated,ECM Regulators
Acan,0.1179114095380627,0.09005271360789353,0.5867462204076836,2,2,Stable,Core matrisome,Proteoglycans
NELL1,0.11721597939258753,0.4682728730095201,-1.1557938523628701,4,4,Stable,Core matrisome,ECM Glycoproteins
ANXA5,0.11697529462000113,0.805226575231533,-2.711144057399546,7,7,Stable,Matrisome-associated,ECM-affiliated Proteins
COL2A1,0.11355528005198055,0.8026981813558112,-2.758737227945991,6,6,Stable,Core matrisome,Collagens
Kng1,0.11256351849967099,0.11974633685224552,0.43665621599865045,10,10,Stable,Matrisome-associated,ECM Regulators
TIMP1,0.11001416583704082,0.31976594187075374,-0.5225922527477223,5,5,Stable,Matrisome-associated,ECM Regulators
SDC2,0.10950540745080965,0.3019730948598384,-0.44136181750220227,4,4,Stable,Matrisome-associated,ECM-affiliated Proteins
PLOD1,0.10890747088501046,0.19693995924173646,0.05728618317274692,4,4,Stable,Matrisome-associated,ECM Regulators
Sdc1,0.10702264354707165,0.04139961306450186,0.8000237444794842,2,2,Stable,Matrisome-associated,ECM-affiliated Proteins
Prkacb,0.10634188899265487,0.16693221413805365,0.19099212015066935,4,4,Stable,Non-ECM,Non-ECM
LTBP2,0.10613808308582119,0.08917585538738172,0.5673974742927281,4,4,Stable,Core matrisome,ECM Glycoproteins
Pltp,0.1040030880932255,0.16662583194437502,0.18321907034941454,3,3,Stable,Non-ECM,Non-ECM
CTSG,0.10296662821103983,0.2852143626203877,-0.40522786989311665,5,5,Stable,Matrisome-associated,ECM Regulators
Car4,0.10265380175612777,0.46948941969651925,-1.316706696978227,3,3,Stable,Non-ECM,Non-ECM
Azgp1,0.10161797985405473,0.027200994567008457,0.865086464080741,4,4,Stable,Non-ECM,Non-ECM
