Gene_Symbol,Compartment_A,Compartment_B,Delta_z_A,Delta_z_B,Antagonism_Magnitude,Tissue,Matrisome_Category,Mechanical_Stress_A,Mechanical_Stress_B,Protein_Type
PRG3,OAF,Tubulointerstitial,2.954983623634188,-1.9822693313974236,4.937252955031612,Intervertebral_disc_OAF,Proteoglycans,0.0,0.5,Other
PRG3,OAF,Glomerular,2.954983623634188,-1.8958646806827624,4.85084830431695,Intervertebral_disc_OAF,Proteoglycans,0.0,0.5,Other
Fbn2,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_TA,0.2561371732170867,-4.587837044093266,4.843974217310353,Skeletal_muscle_Gastrocnemius,ECM Glycoproteins,0.5,0.0,Other
Fgg,Skeletal_muscle_Soleus,Cortex,-0.60036041777964,4.192396192027111,4.7927566098067516,Skeletal_muscle_Soleus,ECM Glycoproteins,1.0,1.0,Other
Postn,Ovary,Skeletal_muscle_TA,1.0823779445353172,-3.5927136237417794,4.675091568277097,Ovary,ECM Glycoproteins,0.5,0.0,Other
S100A8,IAF,Cortex,2.443900029312342,-2.191722543294376,4.635622572606718,Intervertebral_disc_IAF,Secreted Factors,0.0,1.0,Other
Cilp2,Skeletal_muscle_Soleus,Skeletal_muscle_TA,1.8505495556824891,-2.7456304785341,4.596180034216589,Skeletal_muscle_Soleus,ECM Glycoproteins,1.0,0.0,Other
S100A16,OAF,Cortex,3.789596707469445,-0.8011669011945406,4.590763608663986,Intervertebral_disc_OAF,Secreted Factors,0.0,1.0,Other
Fgg,Skeletal_muscle_Gastrocnemius,Cortex,-0.3707898163300809,4.192396192027111,4.563186008357192,Skeletal_muscle_Gastrocnemius,ECM Glycoproteins,0.5,1.0,Other
Pcolce,Ovary,Skeletal_muscle_Gastrocnemius,0.4445014220122675,-4.056164301070654,4.500665723082921,Ovary,ECM Glycoproteins,0.5,0.5,Other
Postn,Skeletal_muscle_Soleus,Skeletal_muscle_TA,0.883120469587075,-3.5927136237417794,4.475834093328855,Skeletal_muscle_Soleus,ECM Glycoproteins,1.0,0.0,Other
ELANE,OAF,Glomerular,-2.4790990458071347,1.9897474606297203,4.468846506436855,Intervertebral_disc_OAF,ECM Regulators,0.0,0.5,Other
Pcolce,Ovary,Skeletal_muscle_TA,0.4445014220122675,-3.9905934860359658,4.435094908048233,Ovary,ECM Glycoproteins,0.5,0.0,Other
Fgg,Skeletal_muscle_TA,Cortex,-0.2403631658687315,4.192396192027111,4.432759357895843,Skeletal_muscle_TA,ECM Glycoproteins,0.0,1.0,Other
Col1a2,Skeletal_muscle_TA,Hippocampus,-1.9078132273284791,2.5201316291764586,4.427944856504938,Skeletal_muscle_TA,Collagens,0.0,0.0,Other
Tnc,Ovary,Hippocampus,0.9591351281826879,-3.449350941121905,4.408486069304593,Ovary,ECM Glycoproteins,0.5,0.0,Other
COL10A1,OAF,Skin dermis,2.340642129879647,-2.053297973260084,4.39394010313973,Intervertebral_disc_OAF,Collagens,0.0,0.5,Other
CXCL14,IAF,Glomerular,-3.072193494578781,1.2743084205266255,4.3465019151054065,Intervertebral_disc_IAF,Secreted Factors,0.0,0.5,Other
CXCL14,NP,Glomerular,-3.059449021729631,1.2743084205266255,4.333757442256257,Intervertebral_disc_NP,Secreted Factors,1.0,0.5,Other
PRG4,NP,Skin dermis,0.5756912330288624,-3.7095864909840586,4.285277724012921,Intervertebral_disc_NP,Proteoglycans,1.0,0.5,Other
PRG4,IAF,Skin dermis,0.5344592714737064,-3.7095864909840586,4.244045762457765,Intervertebral_disc_IAF,Proteoglycans,0.0,0.5,Other
Serpina1e,Lung,Skeletal_muscle_Soleus,3.060987042523208,-1.1255170722084429,4.186504114731651,Lung,ECM Regulators,0.5,1.0,Other
KNG1,IAF,Skin dermis,3.815680717770139,-0.3500342590952313,4.16571497686537,Intervertebral_disc_IAF,ECM Regulators,0.0,0.5,Other
NPNT,IAF,Glomerular,-3.7028236517028135,0.46112646837423854,4.163950120077052,Intervertebral_disc_IAF,ECM Glycoproteins,0.0,0.5,Other
Serpinf1,Lung,Skeletal_muscle_EDL,0.1257337049762613,-4.021295252029004,4.147028957005266,Lung,ECM Regulators,0.5,0.5,Other
Mbl2,Ovary,Skeletal_muscle_Gastrocnemius,1.954201648259119,-2.1848179776085517,4.139019625867671,Ovary,ECM-affiliated Proteins,0.5,0.5,Other
NPNT,IAF,Skin dermis,-3.7028236517028135,0.4110867160839302,4.113910367786744,Intervertebral_disc_IAF,ECM Glycoproteins,0.0,0.5,Other
KNG1,IAF,Cortex,3.815680717770139,-0.2739201011754243,4.089600818945563,Intervertebral_disc_IAF,ECM Regulators,0.0,1.0,Other
PRG4,OAF,Skin dermis,0.3796290695213953,-3.7095864909840586,4.089215560505454,Intervertebral_disc_OAF,Proteoglycans,0.0,0.5,Other
SERPINC1,NP,Cortex,2.1377222882530265,-1.9420900810408868,4.079812369293913,Intervertebral_disc_NP,ECM Regulators,1.0,1.0,Regulatory
NPNT,IAF,Tubulointerstitial,-3.7028236517028135,0.3299286263825259,4.032752278085339,Intervertebral_disc_IAF,ECM Glycoproteins,0.0,0.5,Other
COL2A1,NP,Cortex,-1.0381429421633173,2.993756409406916,4.0318993515702335,Intervertebral_disc_NP,Collagens,1.0,1.0,Structural
LMAN1,IAF,OAF,3.3661312232426197,-0.6657123260892428,4.031843549331862,Intervertebral_disc_IAF,ECM-affiliated Proteins,0.0,0.0,Other
SDC2,IAF,Tubulointerstitial,-3.1009800291093828,0.9214054477926528,4.022385476902036,Intervertebral_disc_IAF,ECM-affiliated Proteins,0.0,0.5,Other
PLXNB2,NP,Skin dermis,-3.4041581462179216,0.6095666209950346,4.013724767212956,Intervertebral_disc_NP,ECM-affiliated Proteins,1.0,0.5,Other
SDC1,OAF,Tubulointerstitial,-2.234170760810886,1.761344636149787,3.9955153969606734,Intervertebral_disc_OAF,ECM-affiliated Proteins,0.0,0.5,Other
S100A13,Skin dermis,Cortex,2.1435879759034813,-1.838029778681052,3.9816177545845335,Skin dermis,Secreted Factors,0.5,1.0,Other
ACAN,OAF,Skin dermis,-0.5313532101855097,3.443846764655154,3.9751999748406637,Intervertebral_disc_OAF,Proteoglycans,0.0,0.5,Structural
ACAN,NP,Skin dermis,-0.5312859741263567,3.443846764655154,3.975132738781511,Intervertebral_disc_NP,Proteoglycans,1.0,0.5,Structural
Serpina1e,Lung,Skeletal_muscle_EDL,3.060987042523208,-0.8565161464365755,3.9175031889597833,Lung,ECM Regulators,0.5,0.5,Other
SERPINC1,IAF,Cortex,1.9579460060595808,-1.9420900810408868,3.9000360871004673,Intervertebral_disc_IAF,ECM Regulators,0.0,1.0,Regulatory
Serpina1e,Lung,Skeletal_muscle_Gastrocnemius,3.060987042523208,-0.8264500666152694,3.887437109138477,Lung,ECM Regulators,0.5,0.5,Other
Fgg,Skeletal_muscle_EDL,Hippocampus,-0.8738046566794411,2.997704023263509,3.8715086799429503,Skeletal_muscle_EDL,ECM Glycoproteins,0.5,0.0,Other
COL2A1,Tubulointerstitial,Cortex,-0.8668847492487454,2.993756409406916,3.8606411586556613,Kidney_Tubulointerstitial,Collagens,0.5,1.0,Structural
Col5a2,Skeletal_muscle_Soleus,Skeletal_muscle_TA,1.7998069627267284,-2.057731792667324,3.8575387553940526,Skeletal_muscle_Soleus,Collagens,1.0,0.0,Other
COL2A1,OAF,Cortex,-0.8517380803906998,2.993756409406916,3.8454944897976153,Intervertebral_disc_OAF,Collagens,0.0,1.0,Structural
INHBC,OAF,Tubulointerstitial,3.499158084057323,-0.3239063193815973,3.82306440343892,Intervertebral_disc_OAF,Secreted Factors,0.0,0.5,Other
Htra1,Ovary,Hippocampus,-0.7364771751338134,3.0684256799509892,3.8049028550848027,Ovary,ECM Regulators,0.5,0.0,Other
Postn,Lung,Skeletal_muscle_TA,0.2086415732420161,-3.5927136237417794,3.8013551969837955,Lung,ECM Glycoproteins,0.5,0.0,Other
CXCL14,IAF,Skin dermis,-3.072193494578781,0.7288780877429498,3.8010715823217307,Intervertebral_disc_IAF,Secreted Factors,0.0,0.5,Other
CXCL14,IAF,Tubulointerstitial,-3.072193494578781,0.7215657616337648,3.793759256212546,Intervertebral_disc_IAF,Secreted Factors,0.0,0.5,Other
CXCL14,NP,Skin dermis,-3.059449021729631,0.7288780877429498,3.7883271094725806,Intervertebral_disc_NP,Secreted Factors,1.0,0.5,Other
FGL2,OAF,Skin dermis,3.399470077310741,-0.387744189019177,3.7872142663299178,Intervertebral_disc_OAF,ECM Glycoproteins,0.0,0.5,Other
CXCL14,NP,Tubulointerstitial,-3.059449021729631,0.7215657616337648,3.781014783363396,Intervertebral_disc_NP,Secreted Factors,1.0,0.5,Other
ELANE,OAF,Tubulointerstitial,-2.4790990458071347,1.2914145302733515,3.770513576080486,Intervertebral_disc_OAF,ECM Regulators,0.0,0.5,Other
PLXNB2,NP,Cortex,-3.4041581462179216,0.3647275628135114,3.7688857090314327,Intervertebral_disc_NP,ECM-affiliated Proteins,1.0,1.0,Other
PZP,NP,Skin dermis,2.2373462561751847,-1.531308186772956,3.768654442948141,Intervertebral_disc_NP,ECM Regulators,1.0,0.5,Other
Serpine2,Ovary,Skeletal_muscle_Gastrocnemius,-2.177380681159769,1.589763279128376,3.767143960288145,Ovary,ECM Regulators,0.5,0.5,Other
DSPP,IAF,Tubulointerstitial,-3.4984126014102133,0.2571939017127953,3.7556065031230084,Intervertebral_disc_IAF,ECM Glycoproteins,0.0,0.5,Other
COL10A1,OAF,Tubulointerstitial,2.340642129879647,-1.4060289738801874,3.7466711037598346,Intervertebral_disc_OAF,Collagens,0.0,0.5,Other
SERPINB9,OAF,Skin dermis,-2.813953219361288,0.9306944002355492,3.744647619596837,Intervertebral_disc_OAF,ECM Regulators,0.0,0.5,Other
LMAN1,NP,OAF,3.06065148946521,-0.6657123260892428,3.726363815554453,Intervertebral_disc_NP,ECM-affiliated Proteins,1.0,0.0,Other
ACAN,IAF,Skin dermis,-0.2731350581547662,3.443846764655154,3.7169818228099203,Intervertebral_disc_IAF,Proteoglycans,0.0,0.5,Structural
Serpina1e,Lung,Skeletal_muscle_TA,3.060987042523208,-0.6501310939480798,3.7111181364712875,Lung,ECM Regulators,0.5,0.0,Other
SDC2,IAF,Glomerular,-3.1009800291093828,0.5957977096305518,3.6967777387399345,Intervertebral_disc_IAF,ECM-affiliated Proteins,0.0,0.5,Other
Col6a1,Skeletal_muscle_TA,Cortex,-1.9211471471602124,1.7714998943518396,3.692647041512052,Skeletal_muscle_TA,Collagens,0.0,1.0,Other
ADAM15,NP,Tubulointerstitial,-3.5221419873299125,0.1663437748268171,3.6884857621567297,Intervertebral_disc_NP,ECM Regulators,1.0,0.5,Other
C1QTNF7,OAF,Skin dermis,-2.8807729698246267,0.805422977400972,3.686195947225599,Intervertebral_disc_OAF,ECM-affiliated Proteins,0.0,0.5,Other
MASP2,IAF,Tubulointerstitial,3.1695743068673905,-0.4891587214324921,3.6587330282998827,Intervertebral_disc_IAF,ECM Regulators,0.0,0.5,Other
C17orf58,OAF,Skin dermis,2.2838105802419815,-1.37429664956899,3.6581072298109714,Intervertebral_disc_OAF,ECM Regulators,0.0,0.5,Other
CPN2,NP,OAF,2.8946965942407057,-0.7452334627617752,3.6399300570024806,Intervertebral_disc_NP,ECM Regulators,1.0,0.0,Other
COL2A1,Glomerular,Cortex,-0.6451517428893799,2.993756409406916,3.638908152296296,Kidney_Glomerular,Collagens,0.5,1.0,Structural
ACAN,Skin dermis,Tubulointerstitial,3.443846764655154,-0.1923836905906011,3.636230455245755,Skin dermis,Proteoglycans,0.5,0.5,Structural
COL2A1,IAF,Cortex,-0.6334129988003573,2.993756409406916,3.627169408207273,Intervertebral_disc_IAF,Collagens,0.0,1.0,Structural
MASP2,OAF,Tubulointerstitial,3.1155343718262745,-0.4891587214324921,3.6046930932587666,Intervertebral_disc_OAF,ECM Regulators,0.0,0.5,Other
Fgg,Skeletal_muscle_Soleus,Hippocampus,-0.60036041777964,2.997704023263509,3.598064441043149,Skeletal_muscle_Soleus,ECM Glycoproteins,1.0,0.0,Other
Tnc,Ovary,Skeletal_muscle_TA,0.9591351281826879,-2.636901198530164,3.5960363267128517,Ovary,ECM Glycoproteins,0.5,0.0,Other
LMAN1,IAF,Cortex,3.3661312232426197,-0.228131793222503,3.594263016465123,Intervertebral_disc_IAF,ECM-affiliated Proteins,0.0,1.0,Other
MMP12,OAF,Glomerular,1.8153730668705412,-1.7464738371031294,3.5618469039736707,Intervertebral_disc_OAF,ECM Regulators,0.0,0.5,Other
Htra1,Ovary,Cortex,-0.7364771751338134,2.803064099269109,3.5395412744029224,Ovary,ECM Regulators,0.5,1.0,Other
MFAP4,IAF,Skin dermis,3.1735832929769834,-0.3527676867574865,3.52635097973447,Intervertebral_disc_IAF,ECM Glycoproteins,0.0,0.5,Other
LMAN1,IAF,Tubulointerstitial,3.3661312232426197,-0.1536067498248843,3.519737973067504,Intervertebral_disc_IAF,ECM-affiliated Proteins,0.0,0.5,Other
CSTB,Glomerular,Cortex,-1.388199875983249,2.1187871255412887,3.5069870015245375,Kidney_Glomerular,ECM Regulators,0.5,1.0,Other
F9,IAF,OAF,3.2417325261994367,-0.212911878623654,3.4546444048230907,Intervertebral_disc_IAF,ECM Regulators,0.0,0.0,Regulatory
HAPLN3,NP,Skin dermis,-0.8104946390491127,2.6376463782343356,3.448141017283448,Intervertebral_disc_NP,Proteoglycans,1.0,0.5,Other
LAMB1,IAF,Cortex,0.2025780906064369,-3.2364117521197007,3.4389898427261376,Intervertebral_disc_IAF,ECM Glycoproteins,0.0,1.0,Structural
S100A8,Tubulointerstitial,Cortex,1.2425790605308265,-2.191722543294376,3.4343016038252028,Kidney_Tubulointerstitial,Secreted Factors,0.5,1.0,Other
Col12a1,Skeletal_muscle_Soleus,Skeletal_muscle_TA,2.9463593942891997,-0.4825946532692309,3.4289540475584306,Skeletal_muscle_Soleus,Collagens,1.0,0.0,Other
CCN5,NP,Skin dermis,3.110221490321502,-0.3177717536940458,3.427993244015548,Intervertebral_disc_NP,ECM Glycoproteins,1.0,0.5,Other
Col6a4,Lung,Ovary,-3.300227770654444,0.120167888549213,3.4203956592036566,Lung,Collagens,0.5,0.5,Other
SDC2,IAF,Cortex,-3.1009800291093828,0.3037387532225307,3.4047187823319134,Intervertebral_disc_IAF,ECM-affiliated Proteins,0.0,1.0,Other
FNDC1,Skin dermis,Glomerular,2.575528651353516,-0.8185674471384536,3.3940960984919695,Skin dermis,ECM Glycoproteins,0.5,0.5,Other
ITIH1,NP,Tubulointerstitial,1.7868778973648425,-1.5957091510334651,3.3825870483983076,Intervertebral_disc_NP,ECM Regulators,1.0,0.5,Other
MFAP4,IAF,OAF,3.1735832929769834,-0.2021437645214835,3.375727057498467,Intervertebral_disc_IAF,ECM Glycoproteins,0.0,0.0,Other
Fgg,Skeletal_muscle_Gastrocnemius,Hippocampus,-0.3707898163300809,2.997704023263509,3.36849383959359,Skeletal_muscle_Gastrocnemius,ECM Glycoproteins,0.5,0.0,Other
SDC1,OAF,Glomerular,-2.234170760810886,1.1335092816504793,3.367680042461365,Intervertebral_disc_OAF,ECM-affiliated Proteins,0.0,0.5,Other
Col1a1,Skeletal_muscle_Soleus,Skeletal_muscle_TA,1.5507906286192616,-1.7752984428959928,3.3260890715152547,Skeletal_muscle_Soleus,Collagens,1.0,0.0,Other
CTSC,Skin dermis,Glomerular,2.1847951736455133,-1.1318578641462425,3.316653037791756,Skin dermis,ECM Regulators,0.5,0.5,Other
COL11A1,NP,Skin dermis,-0.7455531532385989,2.5705861334716245,3.3161392867102233,Intervertebral_disc_NP,Collagens,1.0,0.5,Structural
SLIT3,NP,Skin dermis,-1.2399853172957256,2.075593273578013,3.3155785908737387,Intervertebral_disc_NP,ECM Glycoproteins,1.0,0.5,Other
FNDC1,NP,Skin dermis,-0.7398005204900919,2.575528651353516,3.315329171843608,Intervertebral_disc_NP,ECM Glycoproteins,1.0,0.5,Other
COL11A1,OAF,Skin dermis,-0.7354637685111615,2.5705861334716245,3.306049901982786,Intervertebral_disc_OAF,Collagens,0.0,0.5,Structural
FNDC1,IAF,Skin dermis,-0.727625991612369,2.575528651353516,3.3031546429658847,Intervertebral_disc_IAF,ECM Glycoproteins,0.0,0.5,Other
Postn,Ovary,Skeletal_muscle_EDL,1.0823779445353172,-2.2160391604116567,3.298417104946974,Ovary,ECM Glycoproteins,0.5,0.5,Other
Thbs4,Ovary,Skeletal_muscle_Soleus,-1.859107095856084,1.43697710767502,3.296084203531104,Ovary,ECM Glycoproteins,0.5,1.0,Other
LMAN1,NP,Cortex,3.06065148946521,-0.228131793222503,3.2887832826877132,Intervertebral_disc_NP,ECM-affiliated Proteins,1.0,1.0,Other
Sparc,Skeletal_muscle_Soleus,Cortex,-3.275298812917822,0.0022163865645157,3.277515199482338,Skeletal_muscle_Soleus,ECM Glycoproteins,1.0,1.0,Other
Col6a1,Skeletal_muscle_TA,Hippocampus,-1.9211471471602124,1.346632851811959,3.2677799989721716,Skeletal_muscle_TA,Collagens,0.0,0.0,Other
MASP2,NP,Tubulointerstitial,2.765501173483477,-0.4891587214324921,3.254659894915969,Intervertebral_disc_NP,ECM Regulators,1.0,0.5,Other
AGT,NP,Cortex,0.3194268923293748,-2.9335641011337934,3.2529909934631682,Intervertebral_disc_NP,ECM Regulators,1.0,1.0,Other
Efemp1,Ovary,Skeletal_muscle_Soleus,1.9623386555063052,-1.281332723896924,3.2436713794032292,Ovary,ECM Glycoproteins,0.5,1.0,Other
Fgg,Skeletal_muscle_TA,Hippocampus,-0.2403631658687315,2.997704023263509,3.2380671891322406,Skeletal_muscle_TA,ECM Glycoproteins,0.0,0.0,Other
Col5a2,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_TA,1.1632487729075545,-2.057731792667324,3.2209805655748784,Skeletal_muscle_Gastrocnemius,Collagens,0.5,0.0,Other
LMAN1,NP,Tubulointerstitial,3.06065148946521,-0.1536067498248843,3.2142582392900945,Intervertebral_disc_NP,ECM-affiliated Proteins,1.0,0.5,Other
HAPLN3,OAF,Skin dermis,-0.5754392534139838,2.6376463782343356,3.2130856316483194,Intervertebral_disc_OAF,Proteoglycans,0.0,0.5,Other
DCN,Glomerular,Cortex,0.9566688662263708,-2.2540385476124856,3.2107074138388563,Kidney_Glomerular,Proteoglycans,0.5,1.0,Structural
FNDC1,OAF,Skin dermis,-0.6199716388504062,2.575528651353516,3.1955002902039222,Intervertebral_disc_OAF,ECM Glycoproteins,0.0,0.5,Other
C1qa,Skeletal_muscle_TA,Cortex,-0.9907381695958716,2.2040947259211388,3.19483289551701,Skeletal_muscle_TA,ECM-affiliated Proteins,0.0,1.0,Other
Aspn,Lung,Skeletal_muscle_EDL,-0.0987241655519899,3.088596254194331,3.1873204197463205,Lung,Proteoglycans,0.5,0.5,Other
THBS4,OAF,Skin dermis,-0.5297390114237653,2.6432094601086833,3.1729484715324485,Intervertebral_disc_OAF,ECM Glycoproteins,0.0,0.5,Other
COL11A1,Skin dermis,Glomerular,2.5705861334716245,-0.5918245658476301,3.1624106993192544,Skin dermis,Collagens,0.5,0.5,Structural
COL11A1,IAF,Skin dermis,-0.5603666969013193,2.5705861334716245,3.130952830372944,Intervertebral_disc_IAF,Collagens,0.0,0.5,Structural
MMRN2,OAF,Skin dermis,2.7541362622797605,-0.3638614240296285,3.117997686309389,Intervertebral_disc_OAF,ECM Glycoproteins,0.0,0.5,Other
CCN5,NP,OAF,3.110221490321502,-0.0043253313020124,3.1145468216235144,Intervertebral_disc_NP,ECM Glycoproteins,1.0,0.0,Other
MMRN2,IAF,OAF,-0.3512618417962692,2.7541362622797605,3.1053981040760297,Intervertebral_disc_IAF,ECM Glycoproteins,0.0,0.0,Other
CPN2,NP,Tubulointerstitial,2.8946965942407057,-0.2088445795917843,3.10354117383249,Intervertebral_disc_NP,ECM Regulators,1.0,0.5,Other
Postn,Skeletal_muscle_Soleus,Skeletal_muscle_EDL,0.883120469587075,-2.2160391604116567,3.0991596299987316,Skeletal_muscle_Soleus,ECM Glycoproteins,1.0,0.5,Other
THBS4,IAF,Skin dermis,-0.4526057527760754,2.6432094601086833,3.0958152128847587,Intervertebral_disc_IAF,ECM Glycoproteins,0.0,0.5,Other
Ctsf,Skeletal_muscle_Soleus,Hippocampus,2.898072510299357,-0.1930940475061068,3.091166557805464,Skeletal_muscle_Soleus,ECM Regulators,1.0,0.0,Other
FNDC1,Skin dermis,Tubulointerstitial,2.575528651353516,-0.5149220968968387,3.0904507482503547,Skin dermis,ECM Glycoproteins,0.5,0.5,Other
Col1a1,Skeletal_muscle_TA,Hippocampus,-1.7752984428959928,1.3127716341647395,3.088070077060732,Skeletal_muscle_TA,Collagens,0.0,0.0,Other
VCAN,Glomerular,Tubulointerstitial,2.0207243217245145,-1.065702169049553,3.0864264907740675,Kidney_Glomerular,Proteoglycans,0.5,0.5,Structural
CTSZ,NP,Cortex,-1.4054431838740276,1.6809431638757932,3.086386347749821,Intervertebral_disc_NP,ECM Regulators,1.0,1.0,Other
Col1a2,Skeletal_muscle_Soleus,Skeletal_muscle_TA,1.1637489470878175,-1.9078132273284791,3.0715621744162966,Skeletal_muscle_Soleus,Collagens,1.0,0.0,Other
COL1A1,Glomerular,Cortex,1.0045046942502915,-2.060007760496083,3.0645124547463745,Kidney_Glomerular,Collagens,0.5,1.0,Structural
HAPLN3,IAF,Skin dermis,-0.423846498047514,2.6376463782343356,3.0614928762818496,Intervertebral_disc_IAF,Proteoglycans,0.0,0.5,Other
Agrn,Lung,Ovary,-2.696820153894304,0.3632321556911388,3.060052309585443,Lung,ECM Glycoproteins,0.5,0.5,Other
MFAP4,NP,Skin dermis,2.705480438027637,-0.3527676867574865,3.0582481247851234,Intervertebral_disc_NP,ECM Glycoproteins,1.0,0.5,Other
Efemp1,Ovary,Skeletal_muscle_EDL,1.9623386555063052,-1.0881065643452454,3.0504452198515506,Ovary,ECM Glycoproteins,0.5,0.5,Other
Col12a1,Skeletal_muscle_Soleus,Skeletal_muscle_Gastrocnemius,2.9463593942891997,-0.1029298489217931,3.0492892432109926,Skeletal_muscle_Soleus,Collagens,1.0,0.5,Other
Itih2,Ovary,Hippocampus,-0.2674761747215021,2.7731000781012596,3.0405762528227616,Ovary,ECM Regulators,0.5,0.0,Other
F9,NP,OAF,2.827114215336088,-0.212911878623654,3.040026093959742,Intervertebral_disc_NP,ECM Regulators,1.0,0.0,Regulatory
Mbl2,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_TA,-2.1848179776085517,0.8494518156907782,3.03426979329933,Skeletal_muscle_Gastrocnemius,ECM-affiliated Proteins,0.5,0.0,Other
Col2a1,Skeletal_muscle_TA,Skeletal_muscle_EDL,-1.9666161931577677,1.0631593666051609,3.0297755597629283,Skeletal_muscle_TA,Collagens,0.0,0.5,Other
Cst3,Ovary,Skeletal_muscle_TA,1.9327283990999984,-1.0964045218910554,3.029132920991054,Ovary,ECM Regulators,0.5,0.0,Other
ITIH1,IAF,Tubulointerstitial,1.4105786311929374,-1.5957091510334651,3.0062877822264022,Intervertebral_disc_IAF,ECM Regulators,0.0,0.5,Other
THBS4,NP,Skin dermis,-0.3599354950841814,2.6432094601086833,3.0031449551928646,Intervertebral_disc_NP,ECM Glycoproteins,1.0,0.5,Other
Col6a2,Skeletal_muscle_TA,Hippocampus,-1.49847146934696,1.4898176173399929,2.9882890866869527,Skeletal_muscle_TA,Collagens,0.0,0.0,Other
PAPLN,OAF,Tubulointerstitial,2.094413825861372,-0.8917516845564507,2.986165510417823,Intervertebral_disc_OAF,ECM Glycoproteins,0.0,0.5,Other
MATN4,NP,Skin dermis,-0.5421585971471923,2.4285318177332047,2.970690414880397,Intervertebral_disc_NP,ECM Glycoproteins,1.0,0.5,Other
COL11A1,Skin dermis,Tubulointerstitial,2.5705861334716245,-0.4000143572855854,2.9706004907572097,Skin dermis,Collagens,0.5,0.5,Structural
Agrn,Lung,Cortex,-2.696820153894304,0.2676222956208252,2.964442449515129,Lung,ECM Glycoproteins,0.5,1.0,Other
MFAP4,Skin dermis,Glomerular,-0.3527676867574865,2.6104873545010667,2.963255041258553,Skin dermis,ECM Glycoproteins,0.5,0.5,Other
PRELP,OAF,Glomerular,-0.3530611652087799,2.596536473858281,2.949597639067061,Intervertebral_disc_OAF,Proteoglycans,0.0,0.5,Structural
AGT,IAF,Cortex,0.0135175405180935,-2.9335641011337934,2.947081641651887,Intervertebral_disc_IAF,ECM Regulators,0.0,1.0,Other
MMRN2,NP,OAF,-0.1850723790376429,2.7541362622797605,2.9392086413174034,Intervertebral_disc_NP,ECM Glycoproteins,1.0,0.0,Other
