Gene_Symbol,Protein_Name,Matrisome_Category,Matrisome_Division,N_Tissues,Predominant_Direction,Abs_Mean_Zscore_Delta,Strong_Effect_Rate,Universality_Score
Serpinb6a,,ECM Regulators,Matrisome-associated,4,UP,0.6280671356430535,0.75,0.632664114005504
Itih1,,ECM Regulators,Matrisome-associated,7,UP,0.3958438351553398,0.2857142857142857,0.6593899071140217
Apoe,,Non-ECM,Non-ECM,4,DOWN,0.2418840626068885,0.0,0.5884087854324914
Entpd2,,Non-ECM,Non-ECM,4,DOWN,0.230539149085048,0.25,0.5724345895692434
Serpina1e,,ECM Regulators,Matrisome-associated,7,DOWN,0.3186396961946602,0.0,0.6551695269128981
Gfer,,Non-ECM,Non-ECM,4,UP,0.2939805856201262,0.0,0.587885071455063
Lipe,,Non-ECM,Non-ECM,4,DOWN,0.2330837774761156,0.0,0.5725637915132062
Ltbp4,,ECM Glycoproteins,Core matrisome,4,DOWN,0.5698498169609629,0.25,0.6163611303812004
Hspb6,,Non-ECM,Non-ECM,4,UP,0.2563492331972402,0.0,0.5794776362285023
Akr1b3,,Non-ECM,Non-ECM,4,UP,0.2572940827430622,0.0,0.5908505825663204
Gsn,,Non-ECM,Non-ECM,4,DOWN,0.3107605693947582,0.25,0.5972561352388113
Gpx3,,Non-ECM,Non-ECM,4,UP,0.3219618561277561,0.0,0.5998528299383742
Col4a2,,Collagens,Core matrisome,8,UP,0.2136424997349205,0.125,0.658785190725598
Dbi,,Non-ECM,Non-ECM,4,UP,0.2614891843673119,0.25,0.5708825931105215
Pdia3,,Non-ECM,Non-ECM,4,DOWN,0.1989393209756442,0.0,0.5646450746674286
Apoa1,,Non-ECM,Non-ECM,4,DOWN,0.3956064424602178,0.25,0.6092542256317053
Vtn,,ECM Glycoproteins,Core matrisome,6,UP,0.3001121734603073,0.1666666666666666,0.6334584013869642
Col15a1,,Collagens,Core matrisome,6,DOWN,0.3470471558967531,0.1666666666666666,0.639732210032774
Ahsg,,Non-ECM,Non-ECM,4,DOWN,0.1425066639822143,0.0,0.5508514195536668
Pebp1,,Non-ECM,Non-ECM,4,UP,0.3476438016996548,0.25,0.5936554602276866
Rnh1,,Non-ECM,Non-ECM,4,UP,0.1656427281365267,0.0,0.5773577587288099
Serping1,,ECM Regulators,Matrisome-associated,4,DOWN,0.1059955632248563,0.0,0.5507322488097177
Ttr,,Non-ECM,Non-ECM,4,UP,0.207295513855149,0.0,0.5826983451355279
Serpina3m,,ECM Regulators,Matrisome-associated,5,UP,0.2545022247808278,0.0,0.6129308371004545
Cap1,,Non-ECM,Non-ECM,4,DOWN,0.2651263061983812,0.0,0.5960998428879413
Them6,,Non-ECM,Non-ECM,4,UP,0.2547747658241129,0.0,0.5957801747674448
Ddt,,Non-ECM,Non-ECM,4,UP,0.0595658920409716,0.0,0.5474284219870118
Gstm1,,Non-ECM,Non-ECM,4,UP,0.2074412061493101,0.0,0.5776867932547459
Cdnf,,Non-ECM,Non-ECM,4,UP,0.3806571223507656,0.5,0.5971739594554408
Hc,,Non-ECM,Non-ECM,4,UP,0.5471800440083119,0.25,0.5814980098514213
Apoa4,,Non-ECM,Non-ECM,4,DOWN,0.2182825741063642,0.0,0.5903529979374738
Calr,,Non-ECM,Non-ECM,4,DOWN,0.2512380503926626,0.0,0.5893948248401668
Mydgf,,Non-ECM,Non-ECM,4,DOWN,0.169568587622461,0.0,0.5833266318996616
Hdgf,,Non-ECM,Non-ECM,4,UP,0.0594821111374599,0.0,0.548557352409466
Naxe,,Non-ECM,Non-ECM,4,UP,0.2803408549207106,0.0,0.598104134165854
Sord,,Non-ECM,Non-ECM,4,UP,0.1342584009797479,0.0,0.5702257024075132
Orm1,,Non-ECM,Non-ECM,4,UP,0.1724338404401326,0.0,0.570998328540685
Hpx,,ECM-affiliated Proteins,Matrisome-associated,6,UP,0.225193129258249,0.0,0.6236813213539937
Hdlbp,,Non-ECM,Non-ECM,4,DOWN,0.2606781235691031,0.0,0.5869581266667022
Ehd2,,Non-ECM,Non-ECM,4,DOWN,0.1170719221449494,0.0,0.5807010204589862
Fetub,,Non-ECM,Non-ECM,4,UP,0.259058547192128,0.25,0.5520645177136219
Mif,,Non-ECM,Non-ECM,4,UP,0.2717451880984444,0.0,0.5909817840152284
Pecam1,,Non-ECM,Non-ECM,4,DOWN,0.1385846043865298,0.0,0.5781196628875183
Fbln5,,ECM Glycoproteins,Core matrisome,7,DOWN,0.5570841495063636,0.4285714285714285,0.677791492052616
Emilin1,,ECM Glycoproteins,Core matrisome,4,DOWN,0.1928406738873367,0.0,0.5810463719140249
Lman2,,Non-ECM,Non-ECM,4,DOWN,0.1597514979180266,0.0,0.5809722727222211
Rpsa,,Non-ECM,Non-ECM,4,DOWN,0.1406263667371957,0.0,0.5503443564096319
Cfi,,Non-ECM,Non-ECM,4,UP,0.2688985139460397,0.25,0.579461182942237
Phospho1,,Non-ECM,Non-ECM,4,DOWN,0.3024302401690824,0.25,0.5786046963327227
Dnajb11,,Non-ECM,Non-ECM,4,DOWN,0.1106621680671869,0.0,0.5660656814296222
Cfl1,,Non-ECM,Non-ECM,4,DOWN,0.2290019645188968,0.0,0.5897817542158922
Dlg1,,Non-ECM,Non-ECM,4,DOWN,0.161796297919005,0.0,0.5780531763033399
Stx4a,,Non-ECM,Non-ECM,4,DOWN,0.1474896570727944,0.0,0.569136718389009
Copa,,Non-ECM,Non-ECM,4,DOWN,0.1923135289573492,0.0,0.5822119122044415
Hspd1,,Non-ECM,Non-ECM,4,DOWN,0.0669081014840835,0.0,0.5412278981415314
Dnajc8,,Non-ECM,Non-ECM,4,DOWN,0.0358885288796683,0.0,0.5229738759862183
Cp,,Non-ECM,Non-ECM,4,UP,0.1568294051992908,0.0,0.5766893790173957
Rab35,,Non-ECM,Non-ECM,4,DOWN,0.1604746052157217,0.0,0.5794375477012128
Itgb1,,Non-ECM,Non-ECM,4,DOWN,0.1603966493446499,0.0,0.5689852246380727
Glg1,,Non-ECM,Non-ECM,4,DOWN,0.1649073872603137,0.0,0.5590873857719794
Adipoq,,ECM Glycoproteins,Core matrisome,5,DOWN,0.1498594945383331,0.0,0.5998310062601308
Hsp90ab1,,Non-ECM,Non-ECM,4,DOWN,0.1619979678701156,0.0,0.5628294376916512
Hsph1,,Non-ECM,Non-ECM,4,DOWN,0.2579615153790993,0.0,0.580222316317939
Azgp1,,Non-ECM,Non-ECM,4,UP,0.1016179798540547,0.0,0.5797570706201463
Ctss,,ECM Regulators,Matrisome-associated,4,UP,0.3057923364662718,0.25,0.570305073886192
Matn2,,ECM Glycoproteins,Core matrisome,4,DOWN,0.2039120033272597,0.25,0.5561106890753134
Anxa7,,ECM-affiliated Proteins,Matrisome-associated,4,DOWN,0.1080534568103065,0.0,0.5690152835963895
Plxnb2,,ECM-affiliated Proteins,Matrisome-associated,4,DOWN,0.1514635009961197,0.0,0.5660847770494393
Dsp,,ECM Glycoproteins,Core matrisome,4,DOWN,0.0826863000449821,0.0,0.5613360278781923
Serpina3n,,ECM Regulators,Matrisome-associated,4,UP,0.3263013928487309,0.25,0.5775689864845833
S100a6,,Secreted Factors,Matrisome-associated,4,UP,0.2320462643408427,0.0,0.5875758808416756
Anxa11,,ECM-affiliated Proteins,Matrisome-associated,4,DOWN,0.1392989813920152,0.0,0.5654329895820073
Plxnd1,,ECM-affiliated Proteins,Matrisome-associated,4,DOWN,0.1036947780836711,0.0,0.5614627295553072
Cspg4,,ECM-affiliated Proteins,Matrisome-associated,4,DOWN,0.1696039353313137,0.0,0.5555260300651056
Cap2,,ECM Regulators,Matrisome-associated,4,DOWN,0.0817122566918167,0.0,0.5606162383773802
Htra1,,ECM Regulators,Matrisome-associated,4,UP,0.2939510324984797,0.0,0.5942136429933671
COL5A3,Collagen alpha-3(V) chain,Collagens,Core matrisome,4,DOWN,0.2495896060122345,0.25,0.5812753849967762
TGM3,Protein-glutamine gamma-glutamyltransferase E (EC 2.3.2.13) (Transglutaminase E) (TG(E)) (TGE) (TGase E) (Transglutaminase-3) (TGase-3) [Cleaved into: Protein-glutamine gamma-glutamyltransferase E 50 kDa catalytic chain; Protein-glutamine gamma-glutamyltransferase E 27 kDa non-catalytic chain],ECM Regulators,Matrisome-associated,4,DOWN,0.6682555768113927,0.25,0.6107562502459144
