Protein_ID,Protein_Name,Gene_Symbol,Tissue,Species,Age,Age_Unit,Abundance,Abundance_Unit,Method,Study_ID,Sample_ID,Parsing_Notes,Canonical_Gene_Symbol,Matrisome Category,Matrisome Division,Match_Level,Match_Confidence
O75487,Glypican-4,GPC4,Skin dermis,Homo sapiens,65,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Elderly_2,"Age=65yr (midpoint of Elderly group, >60yr); Column 'Elderly-Sample2' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",GPC4,ECM-affiliated Proteins,Matrisome-associated,Gene_Symbol_or_UniProt,1
O75487,Glypican-4,GPC4,Skin dermis,Homo sapiens,65,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Elderly_3,"Age=65yr (midpoint of Elderly group, >60yr); Column 'Elderly-Sample3' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",GPC4,ECM-affiliated Proteins,Matrisome-associated,Gene_Symbol_or_UniProt,1
P13928,Annexin A8 {ECO:0000312|HGNC:HGNC:546},ANXA8,Skin dermis,Homo sapiens,2,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Toddler_1,"Age=2yr (midpoint of Toddler group, range varies); Column 'Toddler-Sample1' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",ANXA8,ECM-affiliated Proteins,Matrisome-associated,Gene_Symbol_or_UniProt,1
P13928,Annexin A8 {ECO:0000312|HGNC:HGNC:546},ANXA8,Skin dermis,Homo sapiens,2,years,6.38227553858647,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Toddler_2,"Age=2yr (midpoint of Toddler group, range varies); Column 'Toddler-Sample2' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",ANXA8,ECM-affiliated Proteins,Matrisome-associated,Gene_Symbol_or_UniProt,1
P13928,Annexin A8 {ECO:0000312|HGNC:HGNC:546},ANXA8,Skin dermis,Homo sapiens,14,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Teenager_1,"Age=14yr (midpoint of Teenager group, range varies); Column 'Teenager-Sample1' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",ANXA8,ECM-affiliated Proteins,Matrisome-associated,Gene_Symbol_or_UniProt,1
P13928,Annexin A8 {ECO:0000312|HGNC:HGNC:546},ANXA8,Skin dermis,Homo sapiens,14,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Teenager_2,"Age=14yr (midpoint of Teenager group, range varies); Column 'Teenager-Sample2' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",ANXA8,ECM-affiliated Proteins,Matrisome-associated,Gene_Symbol_or_UniProt,1
P13928,Annexin A8 {ECO:0000312|HGNC:HGNC:546},ANXA8,Skin dermis,Homo sapiens,14,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Teenager_3,"Age=14yr (midpoint of Teenager group, range varies); Column 'Teenager-Sample3' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",ANXA8,ECM-affiliated Proteins,Matrisome-associated,Gene_Symbol_or_UniProt,1
P13928,Annexin A8 {ECO:0000312|HGNC:HGNC:546},ANXA8,Skin dermis,Homo sapiens,65,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Elderly_1,"Age=65yr (midpoint of Elderly group, >60yr); Column 'Elderly-Sample1' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",ANXA8,ECM-affiliated Proteins,Matrisome-associated,Gene_Symbol_or_UniProt,1
P13928,Annexin A8 {ECO:0000312|HGNC:HGNC:546},ANXA8,Skin dermis,Homo sapiens,65,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Elderly_2,"Age=65yr (midpoint of Elderly group, >60yr); Column 'Elderly-Sample2' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",ANXA8,ECM-affiliated Proteins,Matrisome-associated,Gene_Symbol_or_UniProt,1
P13928,Annexin A8 {ECO:0000312|HGNC:HGNC:546},ANXA8,Skin dermis,Homo sapiens,65,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Elderly_3,"Age=65yr (midpoint of Elderly group, >60yr); Column 'Elderly-Sample3' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",ANXA8,ECM-affiliated Proteins,Matrisome-associated,Gene_Symbol_or_UniProt,1
P29508,Serpin B3,SERPINB3,Skin dermis,Homo sapiens,2,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Toddler_1,"Age=2yr (midpoint of Toddler group, range varies); Column 'Toddler-Sample1' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",SERPINB3,ECM Regulators,Matrisome-associated,Gene_Symbol_or_UniProt,1
P29508,Serpin B3,SERPINB3,Skin dermis,Homo sapiens,2,years,5.87050347804311,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Toddler_2,"Age=2yr (midpoint of Toddler group, range varies); Column 'Toddler-Sample2' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",SERPINB3,ECM Regulators,Matrisome-associated,Gene_Symbol_or_UniProt,1
P29508,Serpin B3,SERPINB3,Skin dermis,Homo sapiens,14,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Teenager_1,"Age=14yr (midpoint of Teenager group, range varies); Column 'Teenager-Sample1' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",SERPINB3,ECM Regulators,Matrisome-associated,Gene_Symbol_or_UniProt,1
P29508,Serpin B3,SERPINB3,Skin dermis,Homo sapiens,14,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Teenager_2,"Age=14yr (midpoint of Teenager group, range varies); Column 'Teenager-Sample2' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",SERPINB3,ECM Regulators,Matrisome-associated,Gene_Symbol_or_UniProt,1
P29508,Serpin B3,SERPINB3,Skin dermis,Homo sapiens,14,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Teenager_3,"Age=14yr (midpoint of Teenager group, range varies); Column 'Teenager-Sample3' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",SERPINB3,ECM Regulators,Matrisome-associated,Gene_Symbol_or_UniProt,1
P29508,Serpin B3,SERPINB3,Skin dermis,Homo sapiens,65,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Elderly_1,"Age=65yr (midpoint of Elderly group, >60yr); Column 'Elderly-Sample1' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",SERPINB3,ECM Regulators,Matrisome-associated,Gene_Symbol_or_UniProt,1
P29508,Serpin B3,SERPINB3,Skin dermis,Homo sapiens,65,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Elderly_2,"Age=65yr (midpoint of Elderly group, >60yr); Column 'Elderly-Sample2' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",SERPINB3,ECM Regulators,Matrisome-associated,Gene_Symbol_or_UniProt,1
P29508,Serpin B3,SERPINB3,Skin dermis,Homo sapiens,65,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Elderly_3,"Age=65yr (midpoint of Elderly group, >60yr); Column 'Elderly-Sample3' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",SERPINB3,ECM Regulators,Matrisome-associated,Gene_Symbol_or_UniProt,1
Q8N6G6,ADAMTS-like protein 1,ADAMTSL1,Skin dermis,Homo sapiens,2,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Toddler_1,"Age=2yr (midpoint of Toddler group, range varies); Column 'Toddler-Sample1' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",ADAMTSL1,ECM Regulators,Matrisome-associated,Gene_Symbol_or_UniProt,1
Q8N6G6,ADAMTS-like protein 1,ADAMTSL1,Skin dermis,Homo sapiens,2,years,5.54601442524714,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Toddler_2,"Age=2yr (midpoint of Toddler group, range varies); Column 'Toddler-Sample2' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",ADAMTSL1,ECM Regulators,Matrisome-associated,Gene_Symbol_or_UniProt,1
Q8N6G6,ADAMTS-like protein 1,ADAMTSL1,Skin dermis,Homo sapiens,14,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Teenager_1,"Age=14yr (midpoint of Teenager group, range varies); Column 'Teenager-Sample1' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",ADAMTSL1,ECM Regulators,Matrisome-associated,Gene_Symbol_or_UniProt,1
Q8N6G6,ADAMTS-like protein 1,ADAMTSL1,Skin dermis,Homo sapiens,14,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Teenager_2,"Age=14yr (midpoint of Teenager group, range varies); Column 'Teenager-Sample2' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",ADAMTSL1,ECM Regulators,Matrisome-associated,Gene_Symbol_or_UniProt,1
Q8N6G6,ADAMTS-like protein 1,ADAMTSL1,Skin dermis,Homo sapiens,14,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Teenager_3,"Age=14yr (midpoint of Teenager group, range varies); Column 'Teenager-Sample3' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",ADAMTSL1,ECM Regulators,Matrisome-associated,Gene_Symbol_or_UniProt,1
Q8N6G6,ADAMTS-like protein 1,ADAMTSL1,Skin dermis,Homo sapiens,65,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Elderly_1,"Age=65yr (midpoint of Elderly group, >60yr); Column 'Elderly-Sample1' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",ADAMTSL1,ECM Regulators,Matrisome-associated,Gene_Symbol_or_UniProt,1
Q8N6G6,ADAMTS-like protein 1,ADAMTSL1,Skin dermis,Homo sapiens,65,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Elderly_2,"Age=65yr (midpoint of Elderly group, >60yr); Column 'Elderly-Sample2' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",ADAMTSL1,ECM Regulators,Matrisome-associated,Gene_Symbol_or_UniProt,1
Q8N6G6,ADAMTS-like protein 1,ADAMTSL1,Skin dermis,Homo sapiens,65,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Elderly_3,"Age=65yr (midpoint of Elderly group, >60yr); Column 'Elderly-Sample3' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",ADAMTSL1,ECM Regulators,Matrisome-associated,Gene_Symbol_or_UniProt,1
Q6UXI9,Nephronectin,NPNT,Skin dermis,Homo sapiens,2,years,4.41816302165228,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Toddler_1,"Age=2yr (midpoint of Toddler group, range varies); Column 'Toddler-Sample1' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",NPNT,ECM Glycoproteins,Core matrisome,Gene_Symbol_or_UniProt,1
Q6UXI9,Nephronectin,NPNT,Skin dermis,Homo sapiens,2,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Toddler_2,"Age=2yr (midpoint of Toddler group, range varies); Column 'Toddler-Sample2' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",NPNT,ECM Glycoproteins,Core matrisome,Gene_Symbol_or_UniProt,1
Q6UXI9,Nephronectin,NPNT,Skin dermis,Homo sapiens,14,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Teenager_1,"Age=14yr (midpoint of Teenager group, range varies); Column 'Teenager-Sample1' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",NPNT,ECM Glycoproteins,Core matrisome,Gene_Symbol_or_UniProt,1
Q6UXI9,Nephronectin,NPNT,Skin dermis,Homo sapiens,14,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Teenager_2,"Age=14yr (midpoint of Teenager group, range varies); Column 'Teenager-Sample2' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",NPNT,ECM Glycoproteins,Core matrisome,Gene_Symbol_or_UniProt,1
Q6UXI9,Nephronectin,NPNT,Skin dermis,Homo sapiens,14,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Teenager_3,"Age=14yr (midpoint of Teenager group, range varies); Column 'Teenager-Sample3' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",NPNT,ECM Glycoproteins,Core matrisome,Gene_Symbol_or_UniProt,1
Q6UXI9,Nephronectin,NPNT,Skin dermis,Homo sapiens,65,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Elderly_1,"Age=65yr (midpoint of Elderly group, >60yr); Column 'Elderly-Sample1' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",NPNT,ECM Glycoproteins,Core matrisome,Gene_Symbol_or_UniProt,1
Q6UXI9,Nephronectin,NPNT,Skin dermis,Homo sapiens,65,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Elderly_2,"Age=65yr (midpoint of Elderly group, >60yr); Column 'Elderly-Sample2' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",NPNT,ECM Glycoproteins,Core matrisome,Gene_Symbol_or_UniProt,1
Q6UXI9,Nephronectin,NPNT,Skin dermis,Homo sapiens,65,years,0.0,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Elderly_3,"Age=65yr (midpoint of Elderly group, >60yr); Column 'Elderly-Sample3' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",NPNT,ECM Glycoproteins,Core matrisome,Gene_Symbol_or_UniProt,1
O75094,Slit homolog 3 protein,SLIT3,Skin dermis,Homo sapiens,2,years,2.64243437244752,log2_normalized_intensity,Label-free LC-MS/MS,LiDermis_2021,Dermis_Toddler_1,"Age=2yr (midpoint of Toddler group, range varies); Column 'Toddler-Sample1' in Table 2 sheet 'Table S2'; Abundance: log2-normalized intensity (FOT fraction of total); Method: LC-MS/MS on decellularized dermal scaffold; Adult group (40yr, n=2) excluded as middle-aged (30<40<55); Retained 57.1% samples",SLIT3,ECM Glycoproteins,Core matrisome,Gene_Symbol_or_UniProt,1
